listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11627977,CAROLINE SPRINGS,3023,475,2064.0,"Tuesday, 16 September 2025",2025-09-02,7,3,2,1,House,4 Lalor Court,-37.75647,144.74808,2025-09-09 16:42:10,11627977,PX-4669-FB,14,1,0,False,House,House,LITTLE Real Estate Victoria,24974,Jason King,"Balcony / Deck, Car Accom: Single Carport, Heating: Gas Ducted Heating, Cooling: Reverse Cycle Air Conditioning, Kitchen: Modern, Cooking: Gas Hotplates and Electric Oven",https://www.domain.com.au/4-lalor-court-caroline-springs-vic-3023-11627977
14967773,CAROLINE SPRINGS,3023,480,2085.0,"Monday, 01 September 2025",2025-08-18,22,3,2,1,House,5/1-3 Chelsworth Place,-37.727165,144.74144,2025-09-09 16:42:10,14967773,ZT-0932-CA,6,0,0,False,House,House,Sweeney Estate Agents Caroline Springs,7932,Monique Ristoski,"Gas, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/5-1-3-chelsworth-place-caroline-springs-vic-3023-14967773
16662903,CAROLINE SPRINGS,3023,680,2947.0,"Saturday, 04 October 2025",2025-08-27,13,5,2,2,House,3 Lancefield Drive,-37.71437,144.7393,2025-09-09 16:42:10,16662903,RD-5431-GC,14,0,0,False,House,House,Shaw Estate Agents,30491,Sophie Shaw,,https://www.domain.com.au/3-lancefield-drive-caroline-springs-vic-3023-16662903
17225299,CAROLINE SPRINGS,3023,520,2260.0,"Thursday, 04 September 2025",2025-09-04,5,3,2,2,House,14 Cotteridge Place,-37.73994,144.73659,2025-09-09 16:42:10,17225299,WZ-3691-BP,14,0,0,False,House,House,Burnham Real Estate Footscray,3381,Bryson De Guzman,"Built in wardrobes, Secure Parking, Bath, Heating, Dishwasher, Study",https://www.domain.com.au/14-cotteridge-place-caroline-springs-vic-3023-17225299
17688552,CAROLINE SPRINGS,3023,800,3466.0,"Tuesday, 29 July 2025",2025-07-28,43,5,2,4,House,5 Colac Place,-37.75377,144.73471,2025-09-09 16:42:10,17688552,,18,0,1,False,House,House,Huxley Real Estate,38920,"Jetah Keighran, Shae Joiner","Air conditioning, Secure Parking, Fireplace(s), Study, Balcony / Deck, Ensuite",https://www.domain.com.au/5-colac-place-caroline-springs-vic-3023-17688552
17716761,CAROLINE SPRINGS,3023,700,3042.0,"Tuesday, 07 October 2025",2025-08-15,25,3,2,1,Apartment / Unit / Flat,37/1 Woodward Way,-37.735977,144.73975,2025-09-09 16:42:10,17716761,,9,0,0,False,Apartment,Apartment / Unit / Flat,Huxley Real Estate,38920,"Jetah Keighran, Shae Joiner",Balcony / Deck,https://www.domain.com.au/37-1-woodward-way-caroline-springs-vic-3023-17716761
17727965,CAROLINE SPRINGS,3023,520,2260.0,"Monday, 15 September 2025",2025-08-22,18,2,2,1,Apartment / Unit / Flat,213/173 Caroline Springs Boulevard,-37.735508,144.73991,2025-09-09 16:42:10,17727965,,6,0,0,False,Apartment,Apartment / Unit / Flat,Huxley Real Estate,38920,"Jetah Keighran, Shae Joiner","Internal Laundry, Heating",https://www.domain.com.au/213-173-caroline-springs-boulevard-caroline-springs-vic-3023-17727965
17730167,CAROLINE SPRINGS,3023,550,2390.0,"Wednesday, 01 October 2025",2025-08-25,15,3,2,2,House,12/16 Garretty Road,-37.731354,144.74677,2025-09-09 16:42:10,17730167,,16,0,0,False,House,House,Huxley Real Estate,38920,"Jetah Keighran, Shae Joiner","Internal Laundry, Secure Parking, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/12-16-garretty-road-caroline-springs-vic-3023-17730167
17732403,CAROLINE SPRINGS,3023,480,2086.0,"Friday, 29 August 2025",2025-08-26,14,3,2,2,House,2/30 College Street,-37.730217,144.7382,2025-09-09 16:42:10,17732403,,10,0,0,False,House,House,Sweeney Estate Agents Caroline Springs,7932,Diana Simic,Heating,https://www.domain.com.au/2-30-college-street-caroline-springs-vic-3023-17732403
17738503,CAROLINE SPRINGS,3023,550,2390.0,"Monday, 22 September 2025",2025-08-29,11,3,2,1,House,14 Etheridge Rise,-37.733067,144.7288,2025-09-09 16:42:10,17738503,,6,0,0,False,House,House,Nelson Alexander Keilor East,15596,"Kassandra Talajic, Silvia Cavallin","Secure Parking, Heating",https://www.domain.com.au/14-etheridge-rise-caroline-springs-vic-3023-17738503
17740887,CAROLINE SPRINGS,3023,600,2607.0,"Monday, 01 September 2025",2025-09-01,8,4,2,2,House,38 Dahlia Drive,-37.724144,144.73212,2025-09-09 16:42:10,17740887,,14,0,0,False,House,House,YPA Estate Agents Caroline Springs,21306,"Victoria Galea, Rental Department Caroline Springs","Secure Parking, Bath, Heating, Dishwasher, Study, Balcony / Deck",https://www.domain.com.au/38-dahlia-drive-caroline-springs-vic-3023-17740887
17741234,CAROLINE SPRINGS,3023,550,2390.0,"Friday, 03 October 2025",2025-09-01,8,3,3,2,House,6/106 The Esplanade,-37.734505,144.74706,2025-09-09 16:42:10,17741234,,5,0,0,False,House,House,Huxley Real Estate,38920,"Jetah Keighran, Shae Joiner","Secure Parking, Intercom",https://www.domain.com.au/6-106-the-esplanade-caroline-springs-vic-3023-17741234
17743508,CAROLINE SPRINGS,3023,495,2151.0,"Thursday, 25 September 2025",2025-09-02,7,3,2,1,House,13 Claretown Avenue,-37.739876,144.74232,2025-09-09 16:42:10,17743508,,6,1,0,False,House,House,Barry Plant Caroline Springs,11528,"Garnet Rodrigues, Property Management","Secure Parking, Heating",https://www.domain.com.au/13-claretown-avenue-caroline-springs-vic-3023-17743508
17744658,CAROLINE SPRINGS,3023,550,2390.0,"Saturday, 06 September 2025",2025-09-03,6,3,2,1,House,29 Herrington Turn,-37.74564,144.7456,2025-09-09 16:42:10,17744658,,22,0,0,False,House,House,YPA Estate Agents Caroline Springs,21306,"Victoria Galea, Rental Department Caroline Springs","Secure Parking, Bath, Heating, Balcony / Deck",https://www.domain.com.au/29-herrington-turn-caroline-springs-vic-3023-17744658
17745161,CAROLINE SPRINGS,3023,500,2167.0,"Monday, 08 September 2025",2025-09-03,6,2,1,1,Apartment / Unit / Flat,4/11 Monckton Place,-37.729145,144.7471,2025-09-09 16:42:10,17745161,,16,0,0,False,Apartment,Apartment / Unit / Flat,Professionals Caroline Springs,35862,"Maria Aram, Andrew Ivezic","Built in wardrobes, Heating",https://www.domain.com.au/4-11-monckton-place-caroline-springs-vic-3023-17745161
17745476,CAROLINE SPRINGS,3023,530,2303.0,"Friday, 05 September 2025",2025-09-03,6,3,2,2,House,17 Emerald Court,-37.75464,144.74794,2025-09-09 16:42:10,17745476,,18,0,0,False,House,House,Professionals Taylors Lakes,8505,Julia Crisara,"Heating, Laundry",https://www.domain.com.au/17-emerald-court-caroline-springs-vic-3023-17745476
17751302,CAROLINE SPRINGS,3023,530,2303.0,"Wednesday, 10 September 2025",2025-09-08,1,4,2,4,House,7 Viewbank Walk,-37.7388,144.74387,2025-09-09 16:42:10,17751302,,11,0,0,False,House,House,White Knight Estate Agents,31333,Jay Dee,"Secure Parking, Heating, Study",https://www.domain.com.au/7-viewbank-walk-caroline-springs-vic-3023-17751302
17751571,CAROLINE SPRINGS,3023,520,2260.0,"Friday, 24 October 2025",2025-09-08,1,2,2,1,Apartment / Unit / Flat,217/173 Caroline Springs Boulevard,-37.735508,144.73991,2025-09-09 16:42:10,17751571,,7,0,0,False,Apartment,Apartment / Unit / Flat,Huxley Real Estate,38920,"Jetah Keighran, Shae Joiner","Internal Laundry, Heating",https://www.domain.com.au/217-173-caroline-springs-boulevard-caroline-springs-vic-3023-17751571
17752167,CAROLINE SPRINGS,3023,650,2824.0,"Monday, 08 September 2025",2025-09-08,1,4,2,2,House,13 Carisbrook Street,-37.728535,144.73277,2025-09-09 16:42:10,17752167,,13,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi",Secure Parking,https://www.domain.com.au/13-carisbrook-street-caroline-springs-vic-3023-17752167
