listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15653991,CARRUM DOWNS,3201,480,2086,"Tuesday, 14 October 2025",2025-08-19,21,3,1,1.0,House,3 Cassowary Close,-38.107243,145.17802,2025-09-09 16:51:33,15653991,PA-2060-AO,7,0,0,False,House,House,Ray White Wantirna,16586,Elle Leonhardt,"Shed, Built in wardrobes, Bath, Fireplace(s), Heating, Secure Parking, Garden / Courtyard",https://www.domain.com.au/3-cassowary-close-carrum-downs-vic-3201-15653991
16836307,CARRUM DOWNS,3201,600,2520,"Wednesday, 10 September 2025",2025-08-11,29,4,2,2.0,House,69 Lyrebird Drive,-38.110733,145.17686,2025-09-09 16:51:33,16836307,VD-6978-SJ,10,0,0,False,House,House,The Roof Real Estate,36733,"Nitu Grewal, Rita Sehgal","Secure Parking, Heating, Dishwasher, Solar panels",https://www.domain.com.au/69-lyrebird-drive-carrum-downs-vic-3201-16836307
17658086,CARRUM DOWNS,3201,570,2477,"Tuesday, 08 July 2025",2025-07-08,63,3,2,2.0,House,37 Herbert Road,-38.089855,145.1846,2025-09-09 16:51:33,17658086,,14,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Broadband internet access, Heating",https://www.domain.com.au/37-herbert-road-carrum-downs-vic-3201-17658086
17719019,CARRUM DOWNS,3201,585,2541,"Saturday, 23 August 2025",2025-08-18,22,2,2,1.0,Townhouse,8/55 McCormicks Road,-38.11173,145.19398,2025-09-09 16:51:33,17719019,,9,0,1,False,Townhouse/Villa,Townhouse,Care Property Management,29924,Rebecca Storey,"Internal Laundry, Courtyard, Fully fenced, Remote Garage, Secure Parking, Built in wardrobes, Air conditioning, Split-System Air Conditioning, Split-System Heating, Water Tank, Ensuite",https://www.domain.com.au/8-55-mccormicks-road-carrum-downs-vic-3201-17719019
17732733,CARRUM DOWNS,3201,550,2390,"Thursday, 11 September 2025",2025-08-26,14,3,2,3.0,House,11 Cicada Court,-38.102894,145.17944,2025-09-09 16:51:33,17732733,,12,0,0,False,House,House,Del Real Estate,18196,Naomi Valentine,"Gas, Secure Parking, Bath, Heating, Dishwasher, Laundry",https://www.domain.com.au/11-cicada-court-carrum-downs-vic-3201-17732733
17733223,CARRUM DOWNS,3201,580,2513,"Friday, 05 September 2025",2025-08-26,13,3,2,2.0,House,37 Carrington Crescent,-38.1038,145.19621,2025-09-09 16:51:33,17733223,,9,0,0,False,House,House,Stellar Estate Agents,37106,Sartaj Singh,"Built in wardrobes, Heating, Ensuite",https://www.domain.com.au/37-carrington-crescent-carrum-downs-vic-3201-17733223
17733233,CARRUM DOWNS,3201,570,2477,"Monday, 01 September 2025",2025-08-26,13,3,1,,House,71 Luscombe Avenue,-38.0955,145.18542,2025-09-09 16:51:33,17733233,,15,0,1,False,House,House,OBrien Real Estate Carrum Downs,26103,Jae Lukey,"Air conditioning, Balcony / Deck, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/71-luscombe-avenue-carrum-downs-vic-3201-17733233
17734184,CARRUM DOWNS,3201,640,2781,"Monday, 01 September 2025",2025-08-27,13,4,2,2.0,House,8 Laurel Crescent,-38.10305,145.17764,2025-09-09 16:51:33,17734184,,10,0,0,False,House,House,Ray White Carrum Downs,8673,Kasey Smith,"Secure Parking, Heating, Solar panels",https://www.domain.com.au/8-laurel-crescent-carrum-downs-vic-3201-17734184
17735722,CARRUM DOWNS,3201,350,1520,"Wednesday, 27 August 2025",2025-08-27,12,1,1,,Townhouse,R1 11 Shoreline Cr,-38.098465,145.19127,2025-09-09 16:51:33,17735722,,4,0,0,False,Townhouse/Villa,Townhouse,Moment Group,35720,Leasing Consultant,"Built in wardrobes, Gas",https://www.domain.com.au/r1-11-shoreline-cr-carrum-downs-vic-3201-17735722
17740615,CARRUM DOWNS,3201,630,2738,"Friday, 19 September 2025",2025-09-01,8,4,2,2.0,House,1 Mina Court,-38.08838,145.19826,2025-09-09 16:51:33,17740615,,9,0,0,False,House,House,Harcourts Real Estate Carrum Downs,12530,Harcourts Carrum Downs Leasing Team,"Secure Parking, Heating, Dishwasher, Shed",https://www.domain.com.au/1-mina-court-carrum-downs-vic-3201-17740615
