listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17590008,CAULFIELD,3162,1100,4766.0,"Thursday, 29 May 2025",2025-05-26,106,3,3,2,Townhouse,1/124 Murray Street,-37.885815,145.02054,2025-09-09 17:01:41,17590008,KT-8504-LB,13,0,1,False,Townhouse/Villa,Townhouse,Deal Real Estate,29513,"Leon Komm, Natalie Lazaridou",,https://www.domain.com.au/1-124-murray-street-caulfield-vic-3162-17590008
17669090,CAULFIELD,3162,595,2585.0,"Friday, 18 July 2025",2025-07-15,56,2,1,1,Apartment / Unit / Flat,21/667 Glen Huntly Road,-37.886158,145.0172,2025-09-09 17:01:41,17669090,,7,0,0,True,Apartment,Apartment / Unit / Flat,Wilson Glen Eira PTY LTD,4518,Kirk Stafford,"Dishwasher, Bathtub, Split System Heating, Pets Allowed",https://www.domain.com.au/21-667-glen-huntly-road-caulfield-vic-3162-17669090
17705646,CAULFIELD,3162,1395,9092.0,"Wednesday, 10 September 2025",2025-09-01,8,4,2,2,House,160 Bambra Road,-37.88609,145.02948,2025-09-09 17:01:41,17705646,,15,0,1,False,House,House,Flare Real Estate,8251,"Illana Berman, Leasing Agent","Bath, Alarm System, Study, Built in wardrobes, Dishwasher, Secure Parking, Ducted Cooling, Ducted Heating, Swimming Pool, Combustion wood heater, Attic space",https://www.domain.com.au/160-bambra-road-caulfield-vic-3162-17705646
17709594,CAULFIELD,3162,730,3172.0,"Monday, 22 September 2025",2025-08-11,29,3,1,1,Apartment / Unit / Flat,6/27 Malvern Grove,-37.883163,145.02959,2025-09-09 17:01:41,17709594,,10,0,0,False,Apartment,Apartment / Unit / Flat,Hodges Prahran South Yarra,3916,"Kate Wills, Prahran Leasing","Gas, Internal Laundry, Dishwasher, Ducted Heating, Balcony / Deck, Built in wardrobes, Split System Air Con, Split System Heating, Ensuite",https://www.domain.com.au/6-27-malvern-grove-caulfield-vic-3162-17709594
17710504,CAULFIELD,3162,650,,"Monday, 11 August 2025",2025-08-11,28,2,1,1,Apartment / Unit / Flat,2/214 Kambrook Road,-37.887318,145.03375,2025-09-09 17:01:41,17710504,,17,0,0,False,Apartment,Apartment / Unit / Flat,No Agent Property ,20869,No Agent Property - VIC,"Heating, Study, Floorboards, Garden Shed, Pets Allowed, Swimming/Lap Pool, Courtyard",https://www.domain.com.au/2-214-kambrook-road-caulfield-vic-3162-17710504
17729749,CAULFIELD,3162,400,1738.0,"Wednesday, 03 September 2025",2025-08-25,15,1,1,1,Apartment / Unit / Flat,8/118 Murray Street,-37.885723,145.01987,2025-09-09 17:01:41,17729749,,7,0,0,False,Apartment,Apartment / Unit / Flat,VICPROP Melbourne,22748,"Kang Xia, Lilian Kwan",Intercom,https://www.domain.com.au/8-118-murray-street-caulfield-vic-3162-17729749
17737331,CAULFIELD,3162,575,2498.0,"Thursday, 28 August 2025",2025-08-28,12,2,1,1,Apartment / Unit / Flat,6/17-19 Newlyn Street,-37.883026,145.0274,2025-09-09 17:01:41,17737331,,7,0,0,False,Apartment,Apartment / Unit / Flat,Flare Real Estate,8251,"Gaby Chizhik, Leasing Agent","Gas, Secure Parking, Bath, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Ducted Heating, Floorboards",https://www.domain.com.au/6-17-19-newlyn-street-caulfield-vic-3162-17737331
17737681,CAULFIELD,3162,595,2585.0,"Wednesday, 03 September 2025",2025-08-29,11,2,1,1,Apartment / Unit / Flat,12/89 Neerim Road,-37.88577,145.03374,2025-09-09 17:01:41,17737681,,6,0,1,False,Apartment,Apartment / Unit / Flat,Jellis Craig Mount Waverley ,17805,"John Jin, Jayden Hong, Ashlynn Chew","Bath, Dishwasher, Split System Air Con, Balcony / Deck",https://www.domain.com.au/12-89-neerim-road-caulfield-vic-3162-17737681
17738552,CAULFIELD,3162,620,2695.0,"Thursday, 04 September 2025",2025-08-29,11,2,1,1,Apartment / Unit / Flat,2/30 Snowdon Avenue,-37.884586,145.0257,2025-09-09 17:01:41,17738552,,15,0,1,True,Apartment,Apartment / Unit / Flat,Besser & Co. Estate Agents,16456,Marcel Dybner,,https://www.domain.com.au/2-30-snowdon-avenue-caulfield-vic-3162-17738552
17741978,CAULFIELD,3162,1275,6375.0,"Monday, 01 September 2025",2025-09-01,7,4,2,2,House,19 Webb Street,-37.882576,145.0259,2025-09-09 17:01:41,17741978,,7,0,0,False,House,House,Biggin & Scott Stonnington,3276,"Tom Koller, Michelle Wood",,https://www.domain.com.au/19-webb-street-caulfield-vic-3162-17741978
