listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
10887369,CAULFIELD EAST,3145,400,,"Tuesday, 04 April 2017",2016-10-10,3256,1,1,,Apartment / Unit / Flat,5 Dudley Street,-37.880463,145.048,2025-09-09 17:04:00,10887369,,13,0,0,False,Apartment,Apartment / Unit / Flat,Student Housing Australia,11870,Katie Wong,"Balcony / Deck, Built in wardrobes, Garden / Courtyard, Furnished, Intercom, Reverse Cycle Air Con",https://www.domain.com.au/5-dudley-street-caulfield-east-vic-3145-10887369
12149218,CAULFIELD EAST,3145,425,1847.0,"Monday, 25 August 2025",2025-08-13,27,1,1,,Apartment / Unit / Flat,310/5 Dudley Street,-37.88038,145.04797,2025-09-09 17:04:00,12149218,DZ-2419-MP,9,1,1,False,Apartment,Apartment / Unit / Flat,Student Housing Australia,11870,Katie Wong,"Air conditioning, Built in wardrobes, Gas, Furnished, Broadband internet access, Heating, Balcony / Deck",https://www.domain.com.au/310-5-dudley-street-caulfield-east-vic-3145-12149218
17283101,CAULFIELD EAST,3145,290,1257.0,"Saturday, 06 September 2025",2024-11-04,309,1,1,,Studio,28A Tattenham Street,-37.882656,145.0447,2025-09-09 17:04:00,17283101,,3,0,0,False,Apartment,Studio,For Sale By Owner,20095,For Rent (VIC),"Gas, Internal Laundry, Bath, Ensuite, Furnished, Heating, Renovated Kitchen, Garden, Alarm System, Safe, Close to schools, Close to shops, Close to transport, Fully fenced",https://www.domain.com.au/28a-tattenham-street-caulfield-east-vic-3145-17283101
17649079,CAULFIELD EAST,3145,470,2042.0,"Monday, 28 July 2025",2025-07-02,69,2,1,1.0,House,7/7 Dudley Street,-37.880344,145.04756,2025-09-09 17:04:00,17649079,,6,0,0,False,House,House,Barry Plant Manningham,7015,"Freya Semera, Nasim Vaziri","Built in wardrobes, Secure Parking, Intercom, Heating, Study",https://www.domain.com.au/7-7-dudley-street-caulfield-east-vic-3145-17649079
17650337,CAULFIELD EAST,3145,595,2585.0,"Monday, 21 July 2025",2025-07-02,68,3,1,1.0,Apartment / Unit / Flat,1/7 Dudley Street,-37.880344,145.04756,2025-09-09 17:04:00,17650337,,8,0,0,False,Apartment,Apartment / Unit / Flat,Professionals First & Co,29341,"Jing Chong, Dorean Wang",Furnished,https://www.domain.com.au/1-7-dudley-street-caulfield-east-vic-3145-17650337
17696094,CAULFIELD EAST,3145,525,2281.0,"Friday, 08 August 2025",2025-08-01,39,2,1,1.0,Apartment / Unit / Flat,4/3 Lord Street,-37.88523,145.04643,2025-09-09 17:04:00,17696094,,10,0,0,True,Apartment,Apartment / Unit / Flat,Areal Property - Melbourne,35843,Ranjit Singh,"Gas, Internal Laundry, Air conditioning, Secure Parking, Intercom, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/4-3-lord-street-caulfield-east-vic-3145-17696094
17703797,CAULFIELD EAST,3145,950,4128.0,"Friday, 29 August 2025",2025-08-06,34,4,2,2.0,House,10 Clifton Street,-37.88394,145.04633,2025-09-09 17:04:00,17703797,,7,0,0,False,House,House,Ray White Bentleigh,38248,"Lachie Whitehead, Nick Giannopoulos","Air conditioning, Built in wardrobes, Heating",https://www.domain.com.au/10-clifton-street-caulfield-east-vic-3145-17703797
17703875,CAULFIELD EAST,3145,480,2086.0,"Wednesday, 06 August 2025",2025-08-06,34,2,1,1.0,Apartment / Unit / Flat,112/7 Dudley Street,-37.880344,145.04756,2025-09-09 17:04:00,17703875,,8,0,1,False,Apartment,Apartment / Unit / Flat,DCMIL PROPERTY GROUP,32448,John Huang,Furnished,https://www.domain.com.au/112-7-dudley-street-caulfield-east-vic-3145-17703875
17712481,CAULFIELD EAST,3145,800,3476.0,"Tuesday, 12 August 2025",2025-08-12,27,3,2,1.0,Townhouse,5/954 Dandenong Road,-37.88058,145.04893,2025-09-09 17:04:00,17712481,,7,0,0,False,Townhouse/Villa,Townhouse,Thomson ,176,Harriet Henderson,,https://www.domain.com.au/5-954-dandenong-road-caulfield-east-vic-3145-17712481
17745436,CAULFIELD EAST,3145,1100,7170.0,"Friday, 12 September 2025",2025-09-03,6,4,2,3.0,House,34 Queens Avenue,-37.883972,145.04375,2025-09-09 17:04:00,17745436,,12,1,1,False,House,House,   Gary Peer,26354,Kellie Finlayson,"Air conditioning, Alarm System, Secure Parking, Intercom, Balcony / Deck, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards, Gas Heating, Study, Internal Laundry",https://www.domain.com.au/34-queens-avenue-caulfield-east-vic-3145-17745436
17746213,CAULFIELD EAST,3145,550,2390.0,"Friday, 05 September 2025",2025-09-03,5,2,1,1.0,House,303/7 Dudley Street,-37.880344,145.04756,2025-09-09 17:04:00,17746213,,12,1,1,True,House,House,LongView Real Estate,7797,Bridgid Nolan,"Gas, Internal Laundry, Intercom, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Furnished",https://www.domain.com.au/303-7-dudley-street-caulfield-east-vic-3145-17746213
