listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16954649,CAULFIELD SOUTH,3162,700,3042,"Friday, 23 May 2025",2025-04-24,138,2,1,1.0,House,85 Narrawong Road,-37.89828,145.03099,2025-09-09 17:13:42,16954649,DU-5585-GJ,15,0,1,False,House,House,Haven Agents,34079,Jodi Sherr,"Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Courtyard",https://www.domain.com.au/85-narrawong-road-caulfield-south-vic-3162-16954649
17629978,CAULFIELD SOUTH,3162,390,1695,"Friday, 27 June 2025",2025-06-19,81,1,1,1.0,Apartment / Unit / Flat,13/28 Eumeralla Road,-37.898106,145.03232,2025-09-09 17:13:42,17629978,,10,1,1,False,Apartment,Apartment / Unit / Flat,   Gary Peer,26354,Angela Skarlatos,"Air conditioning, Built in wardrobes, Internal Laundry",https://www.domain.com.au/13-28-eumeralla-road-caulfield-south-vic-3162-17629978
17679850,CAULFIELD SOUTH,3162,700,3041,"Tuesday, 29 July 2025",2025-07-22,49,2,2,1.0,Apartment / Unit / Flat,115/3 Olive St,-37.8881,145.02196,2025-09-09 17:13:42,17679850,,8,0,1,True,Apartment,Apartment / Unit / Flat,Richardson & Wrench Projects Victoria,31321,Daniel Aldieri,"Intercom, Study, Floorboards, Built in wardrobes, Dishwasher, Broadband, Gas Appliances, Split System Heating, Ducted Air Conditioning, Ensuite(s), Balcony, Secure Parking",https://www.domain.com.au/115-3-olive-st-caulfield-south-vic-3162-17679850
17715674,CAULFIELD SOUTH,3162,650,2824,"Friday, 15 August 2025",2025-08-14,26,2,2,1.0,Apartment / Unit / Flat,2/2a Imperial Ave,-37.8865,145.01675,2025-09-09 17:13:42,17715674,,5,1,0,False,Apartment,Apartment / Unit / Flat, Gary Peer,273,Leasing Concierge,"Air conditioning, Intercom, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry",https://www.domain.com.au/2-2a-imperial-ave-caulfield-south-vic-3162-17715674
17716741,CAULFIELD SOUTH,3162,1550,6735,"Tuesday, 23 September 2025",2025-08-15,25,4,2,1.0,House,26 Almond Street,-37.889706,145.02426,2025-09-09 17:13:42,17716741,,12,0,1,False,House,House,Fletchers Glen Eira (Bentleigh),3604,Helna Bigaignon,"Air conditioning, Internal Laundry, Heating, Study, Balcony / Deck",https://www.domain.com.au/26-almond-street-caulfield-south-vic-3162-17716741
17743091,CAULFIELD SOUTH,3162,725,3150,"Tuesday, 02 September 2025",2025-09-02,7,2,2,1.0,Apartment / Unit / Flat,202/3 Olive Street,-37.8881,145.02196,2025-09-09 17:13:42,17743091,,15,1,1,True,Apartment,Apartment / Unit / Flat,Richardson & Wrench Projects Victoria,31321,Daniel Aldieri,"Dishwasher, Ducted Heating, Ducted Air Conditioning, Ensuite(s)",https://www.domain.com.au/202-3-olive-street-caulfield-south-vic-3162-17743091
17746767,CAULFIELD SOUTH,3162,1000,4345,"Thursday, 04 September 2025",2025-09-04,5,3,2,2.0,House,2/33 Goe Street,-37.890915,145.0318,2025-09-09 17:13:42,17746767,,7,1,1,True,House,House,Metropole Properties Melbourne,18456,Asal Mohajer,"Internal Laundry, Secure Parking, Built in wardrobes, Dishwasher, Bathtub, Ducted Heating, Air conditioning, Courtyard",https://www.domain.com.au/2-33-goe-street-caulfield-south-vic-3162-17746767
17748699,CAULFIELD SOUTH,3162,900,3911,"Friday, 12 September 2025",2025-09-05,4,3,1,,House,7 Almond Street,-37.889046,145.0228,2025-09-09 17:13:42,17748699,,11,0,0,False,House,House,RT Edgar Glen Eira,23085,"Jessica Vieth, Steven Biggins","Air conditioning, Alarm System, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Floorboards, Fully fenced",https://www.domain.com.au/7-almond-street-caulfield-south-vic-3162-17748699
17750458,CAULFIELD SOUTH,3162,550,2390,"Friday, 19 September 2025",2025-09-08,1,2,1,1.0,Apartment / Unit / Flat,2/434 Kooyong Rd,-37.893703,145.01373,2025-09-09 17:13:42,17750458,,6,0,0,False,Apartment,Apartment / Unit / Flat, Gary Peer,273,Leasing Concierge,"Air conditioning, Secure Parking, Garden / Courtyard, Built in wardrobes, Dishwasher",https://www.domain.com.au/2-434-kooyong-rd-caulfield-south-vic-3162-17750458
17751401,CAULFIELD SOUTH,3162,800,3476,"Tuesday, 30 September 2025",2025-09-08,1,3,1,1.0,Apartment / Unit / Flat,4/21 Gardenvale Road,-37.89969,145.01683,2025-09-09 17:13:42,17751401,,10,0,1,False,Apartment,Apartment / Unit / Flat,Flare Real Estate,8251,"Laura Marshalik, Leasing Agent","Gas, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Cooling, Ducted Heating, Secure Parking",https://www.domain.com.au/4-21-gardenvale-road-caulfield-south-vic-3162-17751401
17753236,CAULFIELD SOUTH,3162,760,3302,"Wednesday, 10 September 2025",2025-09-09,0,3,2,2.0,Apartment / Unit / Flat,1/39 Filbert St,-37.89093,145.02484,2025-09-09 17:13:42,17753236,,7,0,0,False,Apartment,Apartment / Unit / Flat, Gary Peer,273,Leasing Concierge,,https://www.domain.com.au/1-39-filbert-st-caulfield-south-vic-3162-17753236
