listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15802799,CHADSTONE,3148,630,2738.0,"Thursday, 18 September 2025",2025-09-06,3,2,2,1.0,Townhouse,2/23 Amaroo Street,-37.877323,145.10025,2025-09-09 17:19:35,15802799,LR-9499-KZ,8,0,0,False,Townhouse/Villa,Townhouse,Ray White Oakleigh,12122,"Matthew Swinnerton, Allan Wilkinson","Floorboards, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Study, Garden / Courtyard",https://www.domain.com.au/2-23-amaroo-street-chadstone-vic-3148-15802799
16909025,CHADSTONE,3148,700,3042.0,"Monday, 06 October 2025",2025-08-28,12,3,2,3.0,House,27 Gateway Close,-37.88309,145.10869,2025-09-09 17:19:35,16909025,CG-5248-SC,11,0,0,False,House,House,Biggin Scott Glen Waverley,24636,"Leasing Team, Tianer Zhou","Air conditioning, Heating",https://www.domain.com.au/27-gateway-close-chadstone-vic-3148-16909025
17535226,CHADSTONE,3148,250,1000.0,"Thursday, 21 November 2024",2025-08-11,29,8,2,2.0,House,Rm1/1/2 Myora Ct,-37.87485,145.0928,2025-09-09 17:19:35,17535226,IN-1844-UP,6,0,1,False,House,House,Levic Group Pty Ltd,32569,Victoria Chen,"Gas, Broadband internet access, Heating",https://www.domain.com.au/rm1-1-2-myora-ct-chadstone-vic-3148-17535226
17690299,CHADSTONE,3148,600,2607.0,"Wednesday, 20 August 2025",2025-07-29,42,4,1,2.0,House,11 Carramar St,-37.877857,145.10216,2025-09-09 17:19:35,17690299,,9,0,0,False,House,House,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Internal Laundry, Bath, Heating",https://www.domain.com.au/11-carramar-st-chadstone-vic-3148-17690299
17693008,CHADSTONE,3148,900,3911.0,"Wednesday, 06 August 2025",2025-07-30,41,4,3,2.0,Townhouse,2/155-157 Waverley Road,-37.88208,145.10764,2025-09-09 17:19:35,17693008,,10,0,1,False,Townhouse/Villa,Townhouse,Jellis Craig Mount Waverley ,17805,"John Jin, Zahra Sharifi","Split System Air Con, Study, Built in wardrobes, Balcony / Deck, Remote Garage, Dishwasher",https://www.domain.com.au/2-155-157-waverley-road-chadstone-vic-3148-17693008
17703904,CHADSTONE,3148,590,2564.0,"Wednesday, 06 August 2025",2025-08-06,34,2,1,1.0,Apartment / Unit / Flat,122/70 Batesford Road,-37.875786,145.09306,2025-09-09 17:19:35,17703904,,11,0,0,False,Apartment,Apartment / Unit / Flat,Hall & Partners First National Dandenong,17903,Kelly Cull,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/122-70-batesford-road-chadstone-vic-3148-17703904
17712875,CHADSTONE,3148,790,3433.0,"Friday, 05 September 2025",2025-08-13,27,3,2,1.0,Townhouse,2/97 Huntingdale Road,-37.89001,145.10732,2025-09-09 17:19:35,17712875,,11,1,0,False,Townhouse/Villa,Townhouse,Buxton Ashburton,15987,Lynn Xu,"Split System Air Con, Built in wardrobes, Dishwasher, Ducted Heating, Floorboards, Ensuite",https://www.domain.com.au/2-97-huntingdale-road-chadstone-vic-3148-17712875
17715324,CHADSTONE,3148,520,2260.0,"Tuesday, 09 September 2025",2025-08-14,26,1,1,1.0,Apartment / Unit / Flat,235/70 Batesford Road,-37.875786,145.09306,2025-09-09 17:19:35,17715324,,6,0,0,False,Apartment,Apartment / Unit / Flat,T. G. Newton,11574,Tamara Matecic,,https://www.domain.com.au/235-70-batesford-road-chadstone-vic-3148-17715324
17721282,CHADSTONE,3148,480,2086.0,"Thursday, 18 September 2025",2025-08-19,21,1,1,1.0,Apartment / Unit / Flat,107/70 Batesford Rd,-37.875786,145.09306,2025-09-09 17:19:35,17721282,,8,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Reservoir,30296,Alexandra Everitt,"Air conditioning, Built in wardrobes, Gas, Internal Laundry, Dishwasher, Balcony / Deck",https://www.domain.com.au/107-70-batesford-rd-chadstone-vic-3148-17721282
17722477,CHADSTONE,3148,820,3563.0,"Tuesday, 19 August 2025",2025-08-19,21,3,2,1.0,Townhouse,2/7 Ashby Court,-37.885563,145.10715,2025-09-09 17:19:35,17722477,,13,1,0,False,Townhouse/Villa,Townhouse,Hall & Partners First National Dandenong,17903,Jackie Lyons,"Gas, Internal Laundry, Secure Parking, Dishwasher",https://www.domain.com.au/2-7-ashby-court-chadstone-vic-3148-17722477
