listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11776848,CHELSEA,3196,,,"Friday, 10 November 2017",2017-11-09,2860,2,1,1.0,Apartment / Unit / Flat,,-38.05111,145.12195,2025-09-09 16:17:59,11776848,,8,0,0,False,Apartment,Apartment / Unit / Flat,Eastern Central Real Estate,20164,George Mash,,https://www.domain.com.au/chelsea-vic-3196-11776848
16863132,CHELSEA,3196,570.0,2477.0,"Friday, 12 September 2025",2025-09-09,0,2,1,2.0,House,2A Kelvin Grove,-38.04806,145.1134,2025-09-09 16:17:59,16863132,NW-6621-KL,8,0,0,False,House,House,Ray White Chelsea,36359,Briedi Gibson,"Secure Parking, Floorboards, Internal Laundry, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/2a-kelvin-grove-chelsea-vic-3196-16863132
17640849,CHELSEA,3196,480.0,2086.0,"Friday, 04 July 2025",2025-06-26,75,2,1,1.0,Apartment / Unit / Flat,2/58 Chelsea Road,-38.050205,145.12077,2025-09-09 16:17:59,17640849,,6,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Hampton East,3938,Hilary Makings,"Gas, Internal Laundry, Bath, Balcony / Deck, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Shed",https://www.domain.com.au/2-58-chelsea-road-chelsea-vic-3196-17640849
17640906,CHELSEA,3196,750.0,2000.0,"Wednesday, 02 July 2025",2025-06-26,75,3,2,2.0,Townhouse,53B Thames Promenade,-38.048264,145.12209,2025-09-09 16:17:59,17640906,,5,0,0,False,Townhouse/Villa,Townhouse,RentBetter,27499,,"Air conditioning, Alarm System, Balcony / Deck, Built in wardrobes, Dishwasher, Fully fenced, Garden / Courtyard, Heating, Intercom, Pets Allowed, Rainwater storage tank",https://www.domain.com.au/53b-thames-promenade-chelsea-vic-3196-17640906
17687344,CHELSEA,3196,690.0,2999.0,"Monday, 28 July 2025",2025-07-28,43,2,2,1.0,Townhouse,359C Nepean Hwy,-38.048607,145.11394,2025-09-09 16:17:59,17687344,,6,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Bayside,16215,Dimmy Alevizos,"Air conditioning, Internal Laundry, Heating, Remote Garage",https://www.domain.com.au/359c-nepean-hwy-chelsea-vic-3196-17687344
17725689,CHELSEA,3196,850.0,3693.0,"Friday, 12 September 2025",2025-08-21,19,3,2,2.0,Townhouse,23A Thames Prom,-38.04945,145.11856,2025-09-09 16:17:59,17725689,,15,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Bayside,16215,Dimmy Alevizos,"Internal Laundry, Secure Parking, Intercom, Heating, Study, Balcony / Deck",https://www.domain.com.au/23a-thames-prom-chelsea-vic-3196-17725689
17729533,CHELSEA,3196,450.0,1955.0,"Monday, 25 August 2025",2025-08-25,15,2,1,1.0,Apartment / Unit / Flat,4/40 Woodbine Grove,-38.053764,145.12291,2025-09-09 16:17:59,17729533,,7,0,0,False,Apartment,Apartment / Unit / Flat,Patterson Lakes Real Estate ,5733,"Aldo Mangoni, Carolyn Lostorfer","Internal Laundry, Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/4-40-woodbine-grove-chelsea-vic-3196-17729533
17736490,CHELSEA,3196,580.0,2520.0,"Friday, 10 October 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,2/5 Golden Avenue,-38.05777,145.12051,2025-09-09 16:17:59,17736490,,7,0,0,False,Apartment,Apartment / Unit / Flat,OBrien Bayside Rentals,37952,"Bayside Rentals Leasing Team, Maddy Goodwin","Close to transport, Close to shops, Close to schools",https://www.domain.com.au/2-5-golden-avenue-chelsea-vic-3196-17736490
17739893,CHELSEA,3196,810.0,3520.0,"Friday, 05 September 2025",2025-09-01,8,3,3,1.0,Townhouse,1/28 Woodbine Grove,-38.054058,145.12134,2025-09-09 16:17:59,17739893,,12,0,0,False,Townhouse/Villa,Townhouse,OBrien Bayside Rentals,37952,"Maddy Goodwin, Bayside Rentals Leasing Team",,https://www.domain.com.au/1-28-woodbine-grove-chelsea-vic-3196-17739893
17742166,CHELSEA,3196,480.0,2086.0,"Monday, 29 September 2025",2025-09-02,7,2,1,,House,7/334-339 Station Street,-38.05276,145.11685,2025-09-09 16:17:59,17742166,,10,0,0,False,House,House,Ray White Pakenham & Officer,17285,Ray White Pakenham Rental Team,,https://www.domain.com.au/7-334-339-station-street-chelsea-vic-3196-17742166
17745688,CHELSEA,3196,450.0,1955.0,"Monday, 15 September 2025",2025-09-03,6,2,1,1.0,Apartment / Unit / Flat,2/51 Thames Prom,-38.0483,145.1217,2025-09-09 16:17:59,17745688,,9,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,"Dimmy Alevizos, Helen Paliouras","Built in wardrobes, Bath, Heating",https://www.domain.com.au/2-51-thames-prom-chelsea-vic-3196-17745688
17747327,CHELSEA,3196,585.0,2542.0,"Friday, 26 September 2025",2025-09-04,5,2,1,1.0,House,26 Stayner Street,-38.045033,145.121,2025-09-09 16:17:59,17747327,,9,0,1,False,House,House,Eleven North Property Group,33338,Wenda Chng,"Built in wardrobes, Internal Laundry, Secure Parking, Shed",https://www.domain.com.au/26-stayner-street-chelsea-vic-3196-17747327
17747565,CHELSEA,3196,440.0,1912.0,"Wednesday, 17 September 2025",2025-09-04,5,2,1,1.0,Townhouse,4/26 Sherwood Av,-38.05346,145.12062,2025-09-09 16:17:59,17747565,,12,0,1,False,Townhouse/Villa,Townhouse,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Heating",https://www.domain.com.au/4-26-sherwood-av-chelsea-vic-3196-17747565
17748540,CHELSEA,3196,810.0,3520.0,"Monday, 08 September 2025",2025-09-05,4,3,3,1.0,Townhouse,1/19 Swanpool Avenue,-38.04646,145.11621,2025-09-09 16:17:59,17748540,,7,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Mentone & Chelsea,23619,Tania Souki,"Balcony / Deck, Dishwasher, Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/1-19-swanpool-avenue-chelsea-vic-3196-17748540
17752796,CHELSEA,3196,520.0,2260.0,"Friday, 17 October 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,20/334 Station Street,-38.05276,145.11685,2025-09-09 16:17:59,17752796,,14,0,0,False,Apartment,Apartment / Unit / Flat,OBrien Bayside Rentals,37952,"Bayside Rentals Leasing Team, Maddy Goodwin","Close to transport, Close to shops, Close to schools",https://www.domain.com.au/20-334-station-street-chelsea-vic-3196-17752796
