listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16335960,CHELTENHAM,3192,700.0,3042,"Friday, 03 October 2025",2025-08-18,22,3,1,2.0,House,17 Barclay Drive,-37.96255,145.08249,2025-09-09 16:22:01,16335960,YW-1180-BK,11,0,0,True,House,House,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Air conditioning, Built in wardrobes, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/17-barclay-drive-cheltenham-vic-3192-16335960
16992572,CHELTENHAM,3192,725.0,3151,"Wednesday, 27 August 2025",2025-08-28,12,3,2,2.0,House,9 Lorraine Street,-37.973106,145.06609,2025-09-09 16:22:01,16992572,GT-4517-KS,5,0,0,False,House,House,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Built in wardrobes, Secure Parking, Heating, Study",https://www.domain.com.au/9-lorraine-street-cheltenham-vic-3192-16992572
17119838,CHELTENHAM,3192,530.0,2303,"Thursday, 09 October 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,18/374 Warrigal Road,-37.960674,145.07559,2025-09-09 16:22:01,17119838,UQ-8372-SL,10,0,0,True,Apartment,Apartment / Unit / Flat,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking, Bath",https://www.domain.com.au/18-374-warrigal-road-cheltenham-vic-3192-17119838
17166783,CHELTENHAM,3192,1050.0,4562,"Friday, 10 October 2025",2025-09-08,0,4,3,2.0,House,3 Bruton Avenue,-37.973686,145.06023,2025-09-09 16:22:01,17166783,UC-1984-FU,32,0,0,False,House,House,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Secure Parking, Intercom, Heating, Study",https://www.domain.com.au/3-bruton-avenue-cheltenham-vic-3192-17166783
17599059,CHELTENHAM,3192,650.0,2824,"Thursday, 02 October 2025",2025-09-03,6,2,1,2.0,Townhouse,10 Darvall Court,-37.952126,145.0626,2025-09-09 16:22:01,17599059,,6,0,1,False,Townhouse/Villa,Townhouse,Hartrick Property,37276,"Daniel Davis, Danielle Clarke","Built in wardrobes, Gas, Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/10-darvall-court-cheltenham-vic-3192-17599059
17693051,CHELTENHAM,3192,820.0,3563,"Saturday, 30 August 2025",2025-07-30,41,4,1,2.0,House,3 Charles Street,-37.971878,145.05887,2025-09-09 16:22:01,17693051,,18,0,1,False,House,House,Buxton Real Estate Mentone,3937,Catherine Halliwell,"Built in wardrobes, Heating, Balcony / Deck",https://www.domain.com.au/3-charles-street-cheltenham-vic-3192-17693051
17704509,CHELTENHAM,3192,495.0,2151,"Thursday, 07 August 2025",2025-08-07,33,1,1,1.0,Apartment / Unit / Flat,202/9 Chesterville Road,-37.961323,145.0562,2025-09-09 16:22:01,17704509,,7,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Northcote,37294,"Sophie Bilias, George Boutsiavaras","Built in wardrobes, Gas, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/202-9-chesterville-road-cheltenham-vic-3192-17704509
17714871,CHELTENHAM,3192,700.0,3215,"Friday, 05 September 2025",2025-08-14,26,3,2,2.0,House,2/12-16 Axelton Street,-37.967392,145.06367,2025-09-09 16:22:01,17714871,,7,0,0,False,House,House,HODGES MENTONE,3918,Emma Harrison,"Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/2-12-16-axelton-street-cheltenham-vic-3192-17714871
17716353,CHELTENHAM,3192,900.0,3911,"Friday, 22 August 2025",2025-08-14,25,4,2,2.0,House,40 Garfield Street,-37.961956,145.05399,2025-09-09 16:22:01,17716353,,24,0,0,False,House,House,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Built in wardrobes, Gas, Fireplace(s), Heating, Dishwasher, Shed, Balcony / Deck",https://www.domain.com.au/40-garfield-street-cheltenham-vic-3192-17716353
17729785,CHELTENHAM,3192,650.0,2824,"Saturday, 04 October 2025",2025-08-25,15,2,1,1.0,Apartment / Unit / Flat,3/17 Kayden Street,-37.957367,145.07178,2025-09-09 16:22:01,17729785,,8,0,0,False,Apartment,Apartment / Unit / Flat,HODGES MENTONE,3918,Vicky Miller,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Bath, Dishwasher",https://www.domain.com.au/3-17-kayden-street-cheltenham-vic-3192-17729785
17730063,CHELTENHAM,3192,590.0,2564,"Wednesday, 01 October 2025",2025-08-25,15,2,2,1.0,Apartment / Unit / Flat,101/157 Park Road,-37.96506,145.05519,2025-09-09 16:22:01,17730063,,8,0,0,False,Apartment,Apartment / Unit / Flat,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Air conditioning, Gas, Secure Parking, Dishwasher",https://www.domain.com.au/101-157-park-road-cheltenham-vic-3192-17730063
17741842,CHELTENHAM,3192,470.0,2042,"Saturday, 13 September 2025",2025-09-01,7,2,1,1.0,Apartment / Unit / Flat,3/7 Weymar Street,-37.96183,145.06056,2025-09-09 16:22:01,17741842,,4,0,0,False,Apartment,Apartment / Unit / Flat,LongView Real Estate,7797,Simone Jonker,"Built in wardrobes, Bath, Dishwasher, Split System Heating, Balcony",https://www.domain.com.au/3-7-weymar-street-cheltenham-vic-3192-17741842
17744977,CHELTENHAM,3192,800.0,3476,"Wednesday, 03 September 2025",2025-09-03,6,4,2,2.0,House,2 Coral Court,-37.97249,145.07701,2025-09-09 16:22:01,17744977,,5,0,1,False,House,House,Buxton Real Estate Brighton,3934,Zarah Baker,,https://www.domain.com.au/2-coral-court-cheltenham-vic-3192-17744977
17748301,CHELTENHAM,3192,800.0,3476,"Thursday, 25 September 2025",2025-09-05,4,3,2,2.0,Townhouse,19 Primrose Avenue,-37.956413,145.06795,2025-09-09 16:22:01,17748301,,7,0,0,False,Townhouse/Villa,Townhouse,Inner Real Estate,15712,Maya Angela,"Close to transport, Close to shops, Close to schools",https://www.domain.com.au/19-primrose-avenue-cheltenham-vic-3192-17748301
17748626,CHELTENHAM,3192,700.0,3040,"Monday, 22 September 2025",2025-09-05,4,2,2,1.0,Apartment / Unit / Flat,G06/5 Maude St,-37.964016,145.05426,2025-09-09 16:22:01,17748626,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Intercom, Bath, Dishwasher, Balcony / Deck",https://www.domain.com.au/g06-5-maude-st-cheltenham-vic-3192-17748626
17749189,CHELTENHAM,3192,790.0,3435,"Monday, 22 September 2025",2025-09-05,4,3,1,2.0,House,6 Tanti St,-37.96616,145.07152,2025-09-09 16:22:01,17749189,,8,0,0,False,House,House,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Internal Laundry, Bath, Study",https://www.domain.com.au/6-tanti-st-cheltenham-vic-3192-17749189
17751011,CHELTENHAM,3192,550.0,2390,"Friday, 26 September 2025",2025-09-08,1,2,2,1.0,Townhouse,3/3 Jean Street,-37.962276,145.052,2025-09-09 16:22:01,17751011,,11,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Mentone & Chelsea,23619,Tania Souki,"Gas, Internal Laundry, Heating, Dishwasher, Remote Garage, Balcony / Deck, Built in wardrobes, Ensuite",https://www.domain.com.au/3-3-jean-street-cheltenham-vic-3192-17751011
17751259,CHELTENHAM,3192,675.0,2933,"Tuesday, 07 October 2025",2025-09-08,1,2,1,2.0,Townhouse,2A Radcliff Avenue,-37.960075,145.05818,2025-09-09 16:22:01,17751259,,7,0,1,False,Townhouse/Villa,Townhouse,Buxton Hampton East,3938,Rose Patterson,"Built in wardrobes, Gas, Internal Laundry, Balcony / Deck, Ducted Heating, Garden / Courtyard, Secure Parking, Dishwasher, Ducted Cooling, Shed",https://www.domain.com.au/2a-radcliff-avenue-cheltenham-vic-3192-17751259
17752386,CHELTENHAM,3192,775.0,3368,"Saturday, 30 August 2025",2025-09-08,0,4,1,5.0,House,7 Baringhup St,-37.96522,145.06407,2025-09-09 16:22:01,17752386,,8,0,0,False,House,House,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Heating, Dishwasher, Study",https://www.domain.com.au/7-baringhup-st-cheltenham-vic-3192-17752386
17753182,CHELTENHAM,3192,510.0,2217,"Monday, 13 October 2025",2025-09-09,0,2,1,,Apartment / Unit / Flat,6/134 Centre Dandenong Rd,-37.968082,145.07318,2025-09-09 16:22:01,17753182,,9,0,0,False,Apartment,Apartment / Unit / Flat,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Built in wardrobes, Secure Parking, Heating, Ensuite",https://www.domain.com.au/6-134-centre-dandenong-rd-cheltenham-vic-3192-17753182
12742740,CHELTENHAM,3192,,1387,"Saturday, 18 June 2022",2022-06-15,1182,2,1,1.0,Apartment / Unit / Flat,3/1359 Nepean Highway,-37.971348,145.06291,2025-09-09 16:22:06,12742740,CU-1118-EY,10,0,0,False,Apartment,Apartment / Unit / Flat,Waverley Real Estate,30211,,"Air conditioning, Built in wardrobes, Bath, Heating, Internal Laundry, Ground floor",https://www.domain.com.au/3-1359-nepean-highway-cheltenham-vic-3192-12742740
15097773,CHELTENHAM,3192,530.0,2303,"Saturday, 27 September 2025",2025-08-25,15,2,1,1.0,Apartment / Unit / Flat,24/1255 Nepean Highway,-37.961388,145.05524,2025-09-09 16:22:06,15097773,FA-8552-ER,7,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Carnegie,5958,Lachie Whitehead,"Built in wardrobes, Heating",https://www.domain.com.au/24-1255-nepean-highway-cheltenham-vic-3192-15097773
16558693,CHELTENHAM,3192,,3563,,2023-07-11,791,4,2,3.0,House,11 Jodi Street,-37.96579,145.08356,2025-09-09 16:22:06,16558693,OR-6056-DS,9,0,1,False,House,House,LEWIN REAL ESTATE - KINGSTON/BAYSIDE,33543,,"Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Shed, Balcony / Deck",https://www.domain.com.au/11-jodi-street-cheltenham-vic-3192-16558693
17139810,CHELTENHAM,3192,,1868,,2024-07-31,404,2,1,1.0,Apartment / Unit / Flat,7/3 David Court,-37.97322,145.06534,2025-09-09 16:22:06,17139810,IE-9935-LX,5,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Bentleigh,30117,Daniel Biviano,Heating,https://www.domain.com.au/7-3-david-court-cheltenham-vic-3192-17139810
17194618,CHELTENHAM,3192,320.0,1280,"Tuesday, 16 September 2025",2024-09-05,369,1,1,,Studio,2/31 Jean Street,-37.96021,145.05075,2025-09-09 16:22:06,17194618,QL-5113-GN,11,0,0,False,Apartment,Studio,The Hopkins Group,17841,"James Hickey, Sonya Rokhlina","Close to shops, Close to schools",https://www.domain.com.au/2-31-jean-street-cheltenham-vic-3192-17194618
17335041,CHELTENHAM,3192,560.0,2433,"Monday, 30 June 2025",2025-06-17,84,2,1,3.0,Apartment / Unit / Flat,4/9-11 Delacombe Court,-37.95602,145.07082,2025-09-09 16:22:06,17335041,,7,0,0,False,Apartment,Apartment / Unit / Flat,Area Specialist Keysborough,31225,David Kuoch,"Built in wardrobes, Gas, Internal Laundry, Heating",https://www.domain.com.au/4-9-11-delacombe-court-cheltenham-vic-3192-17335041
17636178,CHELTENHAM,3192,395.0,1716,"Tuesday, 01 July 2025",2025-06-24,77,1,1,,Apartment / Unit / Flat,7/13 Wedd Street,-37.966606,145.06068,2025-09-09 16:22:06,17636178,,4,0,0,False,Apartment,Apartment / Unit / Flat,Hall & Partners First National Dandenong,17903,Kelly Cull,"Air conditioning, Gas, Heating",https://www.domain.com.au/7-13-wedd-street-cheltenham-vic-3192-17636178
17714732,CHELTENHAM,3192,720.0,3129,"Monday, 08 September 2025",2025-08-14,26,3,1,2.0,House,10 Cobham Street,-37.972527,145.06487,2025-09-09 16:22:06,17714732,,10,0,0,False,House,House,Buxton Real Estate Sandringham,3935,"Tatum Cleaver, Beth Bodi","Dishwasher, Air conditioning, Split System Heating, Shed",https://www.domain.com.au/10-cobham-street-cheltenham-vic-3192-17714732
17717765,CHELTENHAM,3192,495.0,2151,"Monday, 18 August 2025",2025-08-15,25,2,1,1.0,Apartment / Unit / Flat,1/18 Follett Road,-37.971054,145.07018,2025-09-09 16:22:06,17717765,,6,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property Sandringham,3720,"Stella Patselis, Andrew Pettman","Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/1-18-follett-road-cheltenham-vic-3192-17717765
17729331,CHELTENHAM,3192,995.0,5970,"Wednesday, 24 September 2025",2025-08-25,15,3,3,2.0,Townhouse,4A Bayliss Street,-37.97189,145.07263,2025-09-09 16:22:06,17729331,,10,0,0,False,Townhouse/Villa,Townhouse,Buxton Hampton East,3938,Rose Patterson,"Gas, Internal Laundry, Bath, Study, Balcony / Deck, Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Remote Garage, Floorboards",https://www.domain.com.au/4a-bayliss-street-cheltenham-vic-3192-17729331
17740292,CHELTENHAM,3192,500.0,2173,"Friday, 05 September 2025",2025-09-01,8,4,1,3.0,House,2C Bendigo Street,-37.96454,145.0583,2025-09-09 16:22:06,17740292,,17,0,0,False,House,House,Fletchers Glen Eira (Bentleigh),3604,Helna Bigaignon,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Bath, Study",https://www.domain.com.au/2c-bendigo-street-cheltenham-vic-3192-17740292
17740537,CHELTENHAM,3192,720.0,3129,"Monday, 01 September 2025",2025-09-01,8,3,2,3.0,House,14 Tuck Street,-37.970757,145.05931,2025-09-09 16:22:06,17740537,,11,0,0,False,House,House,Fletchers Glen Eira (Bentleigh),3604,Helna Bigaignon,"Air conditioning, Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/14-tuck-street-cheltenham-vic-3192-17740537
17740790,CHELTENHAM,3192,550.0,2520,"Friday, 12 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,7/1a Jean Street,-37.96274,145.0527,2025-09-09 16:22:06,17740790,,9,0,0,False,Apartment,Apartment / Unit / Flat,Eleven North Property Group,33338,Wenda Chng,,https://www.domain.com.au/7-1a-jean-street-cheltenham-vic-3192-17740790
17745069,CHELTENHAM,3192,1050.0,4562,"Sunday, 05 October 2025",2025-09-03,6,4,2,2.0,House,8 Amberley Drive,-37.961807,145.04068,2025-09-09 16:22:06,17745069,,14,0,1,False,House,House,Austrump Glen Pty Ltd,31049,"Chris Lu, Kristy Zhang","Internal Laundry, Secure Parking, Heating, Pets Allowed",https://www.domain.com.au/8-amberley-drive-cheltenham-vic-3192-17745069
17745099,CHELTENHAM,3192,735.0,3194,"Monday, 06 October 2025",2025-09-03,6,3,2,2.0,Apartment / Unit / Flat,1/18 Wilson Street,-37.96358,145.06104,2025-09-09 16:22:06,17745099,,10,0,0,False,Apartment,Apartment / Unit / Flat,Hall & Partners First National Dandenong,17903,Agata Bagaric,"Secure Parking, Heating, Study",https://www.domain.com.au/1-18-wilson-street-cheltenham-vic-3192-17745099
17745791,CHELTENHAM,3192,480.0,2086,"Wednesday, 08 October 2025",2025-09-03,6,2,1,1.0,Apartment / Unit / Flat,5/3 David Court,-37.97322,145.06534,2025-09-09 16:22:06,17745791,,6,0,0,True,Apartment,Apartment / Unit / Flat,Belle Property Mentone,3717,Tina Jarman,"Built in wardrobes, Close to transport, Close to shops, Close to schools, Security Access, Dishwasher",https://www.domain.com.au/5-3-david-court-cheltenham-vic-3192-17745791
