listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17359183,CHURCHILL,3842,380,1646.0,"Wednesday, 01 October 2025",2025-09-01,8,3,1,1.0,House,8 Hakea Court,-38.30644,146.41919,2025-09-09 16:39:03,17359183,RG-2891-TZ,9,0,0,False,House,House,BJ Bennett & Co Real Estate,15039,Rental Department,"Built in wardrobes, Heating, Shed, Laundry",https://www.domain.com.au/8-hakea-court-churchill-vic-3842-17359183
17610242,CHURCHILL,3842,410,1776.0,"Tuesday, 24 June 2025",2025-06-06,95,3,1,,House,65 Walker Parade,-38.316883,146.41774,2025-09-09 16:39:03,17610242,,14,0,0,False,House,House,Stockdale & Leggo La Trobe Valley,6114,Morwell Property Management,"Air conditioning, Built in wardrobes, Secure Parking, Heating, Shed",https://www.domain.com.au/65-walker-parade-churchill-vic-3842-17610242
17686336,CHURCHILL,3842,335,,"Thursday, 24 July 2025",2025-07-25,46,3,1,1.0,House,58 Maple Crescent,-38.305866,146.41374,2025-09-09 16:39:03,17686336,,1,0,0,False,House,House,BJ Bennett & Co Real Estate,15039,Rental Department,"Heating, Shed, Laundry",https://www.domain.com.au/58-maple-crescent-churchill-vic-3842-17686336
17705220,CHURCHILL,3842,420,1820.0,"Thursday, 07 August 2025",2025-08-07,33,3,1,2.0,House,22 Shaw Street,-38.310253,146.41078,2025-09-09 16:39:03,17705220,,22,0,0,False,House,House,Stockdale & Leggo La Trobe Valley,6114,Morwell Property Management,"Secure Parking, Heating",https://www.domain.com.au/22-shaw-street-churchill-vic-3842-17705220
17722149,CHURCHILL,3842,560,2433.0,"Tuesday, 19 August 2025",2025-08-19,21,4,2,2.0,House,11 Emerald Court Street,-38.32167,146.4165,2025-09-09 16:39:03,17722149,,22,1,1,False,House,House,Goldfish Real Estate,32614,"Jitender Kajal, Sonia MEHTA, Melbourne Leasing Team","Air conditioning, Heating, Close to transport, Ensuite, Study",https://www.domain.com.au/11-emerald-court-street-churchill-vic-3842-17722149
17728118,CHURCHILL,3842,415,1798.0,"Friday, 22 August 2025",2025-08-22,18,3,1,,House,1 Coolabah Drive,-38.30718,146.41562,2025-09-09 16:39:03,17728118,,7,0,0,False,House,House,Stockdale & Leggo La Trobe Valley,6114,Morwell Property Management,"Built in wardrobes, Gas, Heating",https://www.domain.com.au/1-coolabah-drive-churchill-vic-3842-17728118
17733996,CHURCHILL,3842,380,1651.0,"Wednesday, 10 September 2025",2025-08-27,13,3,2,4.0,House,21 Heesom Crescent,-38.30946,146.41428,2025-09-09 16:39:03,17733996,,7,0,0,False,House,House,First National Real Estate Latrobe,3227,First National Real Estate Latrobe,,https://www.domain.com.au/21-heesom-crescent-churchill-vic-3842-17733996
17736439,CHURCHILL,3842,520,2253.0,"Thursday, 04 September 2025",2025-08-28,12,4,2,3.0,House,8 Box Court,-38.304993,146.41217,2025-09-09 16:39:03,17736439,,12,0,0,False,House,House,Stockdale & Leggo La Trobe Valley,6114,Morwell Property Management,"Built in wardrobes, Heating, Dishwasher, Study",https://www.domain.com.au/8-box-court-churchill-vic-3842-17736439
17739169,CHURCHILL,3842,600,2600.0,"Friday, 29 August 2025",2025-08-29,10,4,2,2.0,House,23 Jack Brawn Ave,-38.309814,146.40207,2025-09-09 16:39:03,17739169,,16,0,0,False,House,House,Ross Maddaluno Real Estate,6924,,Secure Parking,https://www.domain.com.au/23-jack-brawn-ave-churchill-vic-3842-17739169
17743791,CHURCHILL,3842,345,1495.0,"Friday, 03 October 2025",2025-09-02,7,4,1,1.0,House,7 Switchback Road,-38.308235,146.41693,2025-09-09 16:39:03,17743791,,7,0,0,False,House,House,Stockdale & Leggo La Trobe Valley,6114,Morwell Property Management,"Bath, Heating, Study",https://www.domain.com.au/7-switchback-road-churchill-vic-3842-17743791
