listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15570789,CLAYTON,3168,260.0,1130.0,"Wednesday, 23 July 2025",2025-07-23,48,8.0,3,2.0,Townhouse,1/84 Moriah Street,-37.924507,145.13008,2025-09-09 16:46:45,15570789,EO-4385-GG,15,0,1,False,Townhouse/Villa,Townhouse,James Perry Property Group,20235,"Denis Stavropoulos, James Telios",,https://www.domain.com.au/1-84-moriah-street-clayton-vic-3168-15570789
15722081,CLAYTON,3168,650.0,2824.0,"Friday, 08 August 2025",2025-08-05,35,2.0,2,1.0,Apartment / Unit / Flat,101/9 Renver Road,-37.917835,145.14316,2025-09-09 16:46:45,15722081,BM-4300-WH,10,0,0,False,Apartment,Apartment / Unit / Flat,MATRIX GLOBAL INVESTMENT GROUP MELBOURNE PTY LTD,30850,"Kenny Wu, Tony Gao",Air conditioning,https://www.domain.com.au/101-9-renver-road-clayton-vic-3168-15722081
15951118,CLAYTON,3168,630.0,2738.0,"Thursday, 31 July 2025",2025-07-24,47,3.0,1,1.0,Townhouse,3/16 Prince Street,-37.91696,145.1245,2025-09-09 16:46:45,15951118,HV-2633-UF,7,1,0,False,Townhouse/Villa,Townhouse,Ray White Oakleigh,12122,"David Hua, Katerina Vafeas","Floorboards, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/3-16-prince-street-clayton-vic-3168-15951118
16865657,CLAYTON,3168,510.0,2216.0,"Monday, 06 October 2025",2025-09-09,0,2.0,1,1.0,Apartment / Unit / Flat,1/1390 North Road,-37.913147,145.11366,2025-09-09 16:46:45,16865657,VQ-2167-IS,5,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Oakleigh,12122,"David Hua, David Xu","Air conditioning, Gas",https://www.domain.com.au/1-1390-north-road-clayton-vic-3168-16865657
17020769,CLAYTON,3168,530.0,,"Friday, 15 August 2025",2025-08-11,29,2.0,1,1.0,Apartment / Unit / Flat,2/72 Ormond Road,-37.925854,145.11203,2025-09-09 16:46:45,17020769,YT-5740-YX,7,0,0,False,Apartment,Apartment / Unit / Flat,Century 21 Property Group,21959,Georgia Davey,"Air conditioning, Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/2-72-ormond-road-clayton-vic-3168-17020769
17183539,CLAYTON,3168,750.0,3250.0,"Thursday, 18 September 2025",2025-09-09,0,3.0,2,2.0,Townhouse,7 Mary Street,-37.92204,145.12138,2025-09-09 16:46:45,17183539,OX-0006-CN,12,0,0,False,Townhouse/Villa,Townhouse,For Sale By Owner,20095,For Rent (VIC),"Air conditioning, Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/7-mary-street-clayton-vic-3168-17183539
17491926,CLAYTON,3168,750.0,3259.0,"Monday, 14 April 2025",2025-03-20,173,3.0,2,1.0,Apartment / Unit / Flat,G04/11-13 Koonawarra Street,-37.907707,145.12498,2025-09-09 16:46:45,17491926,,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White (Judd White Group),17402,David Yang,,https://www.domain.com.au/g04-11-13-koonawarra-street-clayton-vic-3168-17491926
17667122,CLAYTON,3168,650.0,2824.0,"Tuesday, 05 August 2025",2025-07-14,57,3.0,2,1.0,Townhouse,1/4 Fortuna Street,-37.919735,145.12799,2025-09-09 16:46:45,17667122,,7,0,0,False,Townhouse/Villa,Townhouse,Buxton Oakleigh,18667,George Bezas,,https://www.domain.com.au/1-4-fortuna-street-clayton-vic-3168-17667122
17720206,CLAYTON,3168,600.0,2607.0,"Friday, 05 September 2025",2025-08-18,22,2.0,1,1.0,Apartment / Unit / Flat,3/177 Carinish Road,-37.926,145.12346,2025-09-09 16:46:45,17720206,,6,0,1,False,Apartment,Apartment / Unit / Flat,Buxton Oakleigh,18667,George Bezas,"Dishwasher, Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/3-177-carinish-road-clayton-vic-3168-17720206
17721762,CLAYTON,3168,470.0,2042.0,"Monday, 25 August 2025",2025-08-19,21,2.0,1,1.0,House,2/2 Mary Street,-37.921722,145.12192,2025-09-09 16:46:45,17721762,,6,0,0,False,House,House,Ray White Oakleigh,12122,"Dylan Reeves, Toni Antoniou","Built in wardrobes, Bath",https://www.domain.com.au/2-2-mary-street-clayton-vic-3168-17721762
