listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16822411,CLAYTON SOUTH,3169,350.0,1400.0,"Tuesday, 09 September 2025",2025-09-09,0,1,1,1.0,Studio,1434 Centre Road,-37.9302,145.12984,2025-09-09 17:00:57,16822411,,14,0,0,False,Apartment,Studio,The Hopkins Group,17841,Parth Dhrafani,"Air conditioning, Built in wardrobes, Close to transport, Close to shops, Furnished, Broadband Internet Available",https://www.domain.com.au/1434-centre-road-clayton-south-vic-3169-16822411
17671559,CLAYTON SOUTH,3169,650.0,2824.0,"Tuesday, 07 October 2025",2025-09-09,0,2,2,1.0,Apartment / Unit / Flat,403/3 Orchid Street,-37.931007,145.12788,2025-09-09 17:00:57,17671559,,9,0,0,False,Apartment,Apartment / Unit / Flat,Joy Realty,20616,Lulu Lee,"Balcony, Courtyard, Remote Garage, Secure Parking, Built in wardrobes, Dishwasher, Intercom, Air conditioning, Split-System Air Conditioning",https://www.domain.com.au/403-3-orchid-street-clayton-south-vic-3169-17671559
17699540,CLAYTON SOUTH,3169,700.0,3042.0,"Monday, 04 August 2025",2025-08-04,36,3,1,1.0,Apartment / Unit / Flat,1/1 Alward Avenue,-37.934353,145.11845,2025-09-09 17:00:57,17699540,,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Oakleigh,12122,Jason Gu,,https://www.domain.com.au/1-1-alward-avenue-clayton-south-vic-3169-17699540
17700403,CLAYTON SOUTH,3169,700.0,3042.0,"Friday, 15 August 2025",2025-08-05,35,2,2,1.0,Apartment / Unit / Flat,"2,3,4,5/237-239 Westall Road",-37.958694,145.13622,2025-09-09 17:00:57,17700403,,28,0,0,False,Apartment,Apartment / Unit / Flat,McGrath Clayton,29763,"Albien Vergara, Rukhsara Hashemi","Internal Laundry, Heating, Study, Fully fenced, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/2-3-4-5-237-239-westall-road-clayton-south-vic-3169-17700403
17708071,CLAYTON SOUTH,3169,700.0,3042.0,"Friday, 08 August 2025",2025-08-08,31,4,2,2.0,House,30 Glenelg Drive,-37.93803,145.11122,2025-09-09 17:00:57,17708071,,8,0,0,False,House,House,McGrath Clayton,29763,"Albien Vergara, Rukhsara Hashemi","Gas, Internal Laundry, Bath, Study, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/30-glenelg-drive-clayton-south-vic-3169-17708071
17715803,CLAYTON SOUTH,3169,950.0,4128.0,"Friday, 22 August 2025",2025-08-14,26,4,3,2.0,Townhouse,2/32 Newport Road,-37.932743,145.11569,2025-09-09 17:00:57,17715803,,8,0,0,False,Townhouse/Villa,Townhouse,Buxton Oakleigh,18667,George Bezas,"Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Floorboards, Fully fenced, Remote Garage, Rumpus Room, Ensuite",https://www.domain.com.au/2-32-newport-road-clayton-south-vic-3169-17715803
17728928,CLAYTON SOUTH,3169,975.0,4237.0,"Friday, 22 August 2025",2025-08-23,17,3,2,2.0,House,16 Meppel Drive,-37.93253,145.11874,2025-09-09 17:00:57,17728928,,15,0,0,False,House,House,No Agent Property ,20869,No Agent Property - VIC,"Built in wardrobes, Gas, Air conditioning, Pay Tv Enabled, Entertainment Area, Garden Shed, Remote Garage, Dishwasher, Courtyard, Secure Parking, Greywater system, Solar hot water",https://www.domain.com.au/16-meppel-drive-clayton-south-vic-3169-17728928
17730862,CLAYTON SOUTH,3169,700.0,3042.0,"Thursday, 25 September 2025",2025-08-25,15,2,2,1.0,Apartment / Unit / Flat,2/43 Main Road,-37.936295,145.12776,2025-09-09 17:00:57,17730862,,8,0,0,False,Apartment,Apartment / Unit / Flat,McGrath Clayton,29763,"Albien Vergara, Rukhsara Hashemi","Gas, Internal Laundry, Secure Parking, Balcony / Deck, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/2-43-main-road-clayton-south-vic-3169-17730862
17732493,CLAYTON SOUTH,3169,560.0,2433.0,"Wednesday, 17 September 2025",2025-08-26,14,1,1,1.0,Apartment / Unit / Flat,308/16 Lomandra Drive,-37.930023,145.12686,2025-09-09 17:00:57,17732493,,11,0,0,False,Apartment,Apartment / Unit / Flat,Areal Property - Hawthorn,12104,Rio Bond,"Air conditioning, Secure Parking, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher",https://www.domain.com.au/308-16-lomandra-drive-clayton-south-vic-3169-17732493
17742106,CLAYTON SOUTH,3169,525.0,2281.0,"Monday, 08 September 2025",2025-09-01,7,2,1,1.0,House,1/4B Wordsworth Avenue,-37.935368,145.13255,2025-09-09 17:00:57,17742106,,8,0,2,False,House,House,Ray White (Judd White Group),17402,"Lida Khem, Rick Massarello","Floorboards, Built in wardrobes, Internal Laundry, Pets Allowed, Heating, Dishwasher, Secure Parking, Fully fenced, Garden / Courtyard",https://www.domain.com.au/1-4b-wordsworth-avenue-clayton-south-vic-3169-17742106
17743428,CLAYTON SOUTH,3169,490.0,2129.0,"Friday, 12 September 2025",2025-09-02,7,2,1,1.0,Apartment / Unit / Flat,3/559 Clayton Road,-37.94235,145.1158,2025-09-09 17:00:57,17743428,,10,0,0,False,Apartment,Apartment / Unit / Flat,ZERVAS AND CO REAL ESTATE AGENTS,20657,"Chrissy Savic, Chris Zervas","Air conditioning, Built in wardrobes, Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/3-559-clayton-road-clayton-south-vic-3169-17743428
17745381,CLAYTON SOUTH,3169,820.0,3564.0,"Wednesday, 03 September 2025",2025-09-03,6,4,3,2.0,Townhouse,28 First Street,-37.932953,145.13441,2025-09-09 17:00:57,17745381,,11,0,0,False,Townhouse/Villa,Townhouse,Entre Shield Property,32445,,"Internal Laundry, Heating, Air conditioning, Ensuite, Floorboards, Alarm System, Built in wardrobes, Intercom, Bath, Dishwasher, Shed, Secure Parking, Fully fenced, Balcony / Deck, Ground floor",https://www.domain.com.au/28-first-street-clayton-south-vic-3169-17745381
17746924,CLAYTON SOUTH,3169,670.0,2911.0,"Wednesday, 08 October 2025",2025-09-04,5,2,2,1.0,Apartment / Unit / Flat,308/18 Lomandra Drive,-37.929676,145.12633,2025-09-09 17:00:57,17746924,,9,0,0,False,Apartment,Apartment / Unit / Flat,McGrath Clayton,29763,"Kelly Min, Pisey Kim","Gas, Intercom, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/308-18-lomandra-drive-clayton-south-vic-3169-17746924
17747563,CLAYTON SOUTH,3169,575.0,2499.0,"Friday, 03 October 2025",2025-09-04,5,2,2,1.0,Apartment / Unit / Flat,135/59 Autumn Terrace,-37.93922,145.13846,2025-09-09 17:00:57,17747563,,3,0,0,False,Apartment,Apartment / Unit / Flat,McGrath Clayton,29763,"Kelly Min, Pisey Kim","Built in wardrobes, Gas, Internal Laundry, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/135-59-autumn-terrace-clayton-south-vic-3169-17747563
17747734,CLAYTON SOUTH,3169,535.0,2325.0,"Saturday, 06 September 2025",2025-09-04,5,2,1,1.0,Apartment / Unit / Flat,3/31 Oakes Avenue,-37.93539,145.13205,2025-09-09 17:00:57,17747734,,6,0,0,False,Apartment,Apartment / Unit / Flat,McGrath Clayton,29763,"Kelly Min, Pisey Kim","Internal Laundry, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/3-31-oakes-avenue-clayton-south-vic-3169-17747734
17747752,CLAYTON SOUTH,3169,510.0,2216.0,"Saturday, 20 September 2025",2025-09-04,5,2,1,2.0,House,4/34 Wordsworth Avenue,-37.93876,145.13222,2025-09-09 17:00:57,17747752,,4,0,0,False,House,House,ZERVAS AND CO REAL ESTATE AGENTS,20657,"Chris Zervas, Dianne Wilson",Heating,https://www.domain.com.au/4-34-wordsworth-avenue-clayton-south-vic-3169-17747752
17748605,CLAYTON SOUTH,3169,580.0,2520.0,"Monday, 15 September 2025",2025-09-05,4,2,1,1.0,Apartment / Unit / Flat,2/6 Moore Avenue,-37.9377,145.13579,2025-09-09 17:00:57,17748605,,7,0,0,False,Apartment,Apartment / Unit / Flat,ZERVAS AND CO REAL ESTATE AGENTS,20657,"Max Mai, Chrissy Savic","Gas, Internal Laundry, Air conditioning, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/2-6-moore-avenue-clayton-south-vic-3169-17748605
17750485,CLAYTON SOUTH,3169,750.0,3255.0,"Monday, 08 September 2025",2025-09-08,1,3,2,2.0,Townhouse,1/11B Rosebank Avenue,-37.938633,145.1284,2025-09-09 17:00:57,17750485,,17,1,1,False,Townhouse/Villa,Townhouse,Ray White Oakleigh,12122,"Matthew Swinnerton, Penny Costa","Built in wardrobes, Internal Laundry, Bath, Heating, Fully fenced, Garden / Courtyard",https://www.domain.com.au/1-11b-rosebank-avenue-clayton-south-vic-3169-17750485
17750629,CLAYTON SOUTH,3169,550.0,2390.0,"Monday, 08 September 2025",2025-09-08,1,2,1,2.0,Apartment / Unit / Flat,4/555-557 Clayton Road,-37.942245,145.11609,2025-09-09 17:00:57,17750629,,8,0,1,False,Apartment,Apartment / Unit / Flat,Woodards Oakleigh,3330,Morgan Young,"Built in wardrobes, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/4-555-557-clayton-road-clayton-south-vic-3169-17750629
17752786,CLAYTON SOUTH,3169,560.0,2426.0,"Tuesday, 09 September 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,2/42 First Street,-37.93403,145.13426,2025-09-09 17:00:57,17752786,,9,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Oakleigh,12122,"David Hua, Joel McBow","Floorboards, Built in wardrobes",https://www.domain.com.au/2-42-first-street-clayton-south-vic-3169-17752786
15248297,CLAYTON SOUTH,3169,650.0,2816.0,"Monday, 17 February 2025",2021-07-12,1519,2,2,1.0,Apartment / Unit / Flat,2.2B/1408 Centre Road,-37.92964,145.12582,2025-09-09 17:01:02,15248297,,24,0,0,False,Apartment,Apartment / Unit / Flat,BRW Group,34868,Support Team,Secure Parking,https://www.domain.com.au/2-2b-1408-centre-road-clayton-south-vic-3169-15248297
15248298,CLAYTON SOUTH,3169,610.0,2651.0,"Monday, 17 February 2025",2021-07-12,1519,2,1,1.0,Apartment / Unit / Flat,2B1B/1408 Centre Road,-37.92964,145.12582,2025-09-09 17:01:02,15248298,,22,1,0,True,Apartment,Apartment / Unit / Flat,BRW Group,34868,"Janever Lee, Support Team",Secure Parking,https://www.domain.com.au/2b1b-1408-centre-road-clayton-south-vic-3169-15248298
15305420,CLAYTON SOUTH,3169,710.0,3086.0,"Sunday, 08 June 2025",2021-08-05,1496,2,1,1.0,Apartment / Unit / Flat,2B1B/20 Lomandra Dr,-37.92994,145.1259,2025-09-09 17:01:02,15305420,VC-9432-XC,16,0,0,False,Apartment,Apartment / Unit / Flat,BRW Group,34868,Support Team,"Secure Parking, Ensuite",https://www.domain.com.au/2b1b-20-lomandra-dr-clayton-south-vic-3169-15305420
15305421,CLAYTON SOUTH,3169,650.0,2825.0,"Sunday, 22 June 2025",2021-08-05,1496,2,2,1.0,Apartment / Unit / Flat,208/20 Lomandra Dr,-37.92994,145.1259,2025-09-09 17:01:02,15305421,,25,0,0,False,Apartment,Apartment / Unit / Flat,BRW Group,34868,"Support Team, Janever Lee","Secure Parking, Ensuite",https://www.domain.com.au/208-20-lomandra-dr-clayton-south-vic-3169-15305421
16390747,CLAYTON SOUTH,3169,670.0,2912.0,"Tuesday, 02 September 2025",2023-03-24,899,2,2,1.0,Apartment / Unit / Flat,110/2 Main Road,-37.931007,145.12788,2025-09-09 17:01:02,16390747,,21,0,0,False,Apartment,Apartment / Unit / Flat,BRW Group,34868,"Janever Lee, BRW Leasing",,https://www.domain.com.au/110-2-main-road-clayton-south-vic-3169-16390747
16390748,CLAYTON SOUTH,3169,560.0,2434.0,"Sunday, 24 August 2025",2023-03-24,899,1,1,1.0,Apartment / Unit / Flat,501/3 Orchid Street,-37.930386,145.12738,2025-09-09 17:01:02,16390748,,24,0,0,False,Apartment,Apartment / Unit / Flat,BRW Group,34868,"Support Team, Janever Lee",,https://www.domain.com.au/501-3-orchid-street-clayton-south-vic-3169-16390748
16404357,CLAYTON SOUTH,3169,,2434.0,,2023-04-03,889,1,1,1.0,Apartment / Unit / Flat,1B1B/1408 Centre Road,-37.929672,145.1253,2025-09-09 17:01:02,16404357,,19,0,0,False,Apartment,Apartment / Unit / Flat,BRW Group,34868,Jeana Chen,,https://www.domain.com.au/1b1b-1408-centre-road-clayton-south-vic-3169-16404357
17087644,CLAYTON SOUTH,3169,500.0,2172.0,"Thursday, 25 July 2024",2024-06-28,438,2,1,1.0,Apartment / Unit / Flat,1/20 Moore Avenue,-37.93897,145.13556,2025-09-09 17:01:02,17087644,QP-2926-MH,20,0,0,False,Apartment,Apartment / Unit / Flat,LANDNEST REAL ESTATE,30082,Clayton Leasing team,"Built in wardrobes, Gas, Heating",https://www.domain.com.au/1-20-moore-avenue-clayton-south-vic-3169-17087644
