listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15835272,CLIFTON HILL,3068,1050,4563,"Tuesday, 26 August 2025",2025-07-28,43,3,2,2.0,House,32 Yambla Street,-37.7918,145.00117,2025-09-09 17:06:48,15835272,YK-3300-ME,9,0,1,False,House,House,LITTLE Real Estate Victoria,24974,Cooper Modica,"Air conditioning, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck, Kitchen: Modern, Cooking: Gas Hotplates and Electric Oven, Laundry: Internal, Pool/Spa Count: 0",https://www.domain.com.au/32-yambla-street-clifton-hill-vic-3068-15835272
17027643,CLIFTON HILL,3068,578,2505,"Wednesday, 13 August 2025",2025-08-08,32,2,1,1.0,Apartment / Unit / Flat,5/60 Fenwick Street,-37.78672,144.9999,2025-09-09 17:06:48,17027643,XJ-7363-DQ,9,0,0,False,Apartment,Apartment / Unit / Flat,Seascape RE,22931,The Manager,"Internal Laundry, Bath, Air conditioning, Balcony / Deck, Broadband internet access, Built in wardrobes, Gas Hot Water Service, Heating",https://www.domain.com.au/5-60-fenwick-street-clifton-hill-vic-3068-17027643
17640790,CLIFTON HILL,3068,1175,6000,"Monday, 25 August 2025",2025-06-26,75,3,2,1.0,House,32 Noone Street,-37.793205,144.99074,2025-09-09 17:06:48,17640790,,10,0,1,False,House,House,Minus The Agent,26625,Minus The Agent Property Management,"Gas, Alarm System, Vacuum System, Intercom, Ensuite(s), Remote control garage, Secure Parking, Balcony, Outdoor entertainment area, Fully fenced, Study, Floorboards, Split system air conditioning, Broadband, Built in wardrobes, Hydronic heating, Cable or Satellite, Dishwasher, Reverse cycle air conditioning, Solar hot water, Water Tank, Energy Eff. Rating: 5.5",https://www.domain.com.au/32-noone-street-clifton-hill-vic-3068-17640790
17685839,CLIFTON HILL,3068,495,2151,"Friday, 25 July 2025",2025-07-25,46,2,1,1.0,Apartment / Unit / Flat,20/57 Caroline Street,-37.790195,145.00096,2025-09-09 17:06:48,17685839,,6,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Fitzroy,3709,"Jayde Cashion, Jellis Craig Inner North","Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Open Plan Living",https://www.domain.com.au/20-57-caroline-street-clifton-hill-vic-3068-17685839
17695875,CLIFTON HILL,3068,650,2824,"Thursday, 04 September 2025",2025-08-01,39,2,2,1.0,Apartment / Unit / Flat,3/165 Noone Street,-37.794434,144.99945,2025-09-09 17:06:48,17695875,,7,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Fitzroy,4718,Charlotte Robertson,"Air conditioning, Gas, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/3-165-noone-street-clifton-hill-vic-3068-17695875
17705655,CLIFTON HILL,3068,1250,5432,"Monday, 15 September 2025",2025-08-07,33,3,1,1.0,House,20 Council Street,-37.79235,144.98645,2025-09-09 17:06:48,17705655,,9,0,0,False,House,House,NICOLE GERVASI PROPERTY GROUP,29875,"Andrew D'Aprano, Amanda Ocean Pacifique, Nikki Gervasi",,https://www.domain.com.au/20-council-street-clifton-hill-vic-3068-17705655
17706069,CLIFTON HILL,3068,850,3694,"Thursday, 07 August 2025",2025-08-07,33,2,2,1.0,Apartment / Unit / Flat,9/99 Queens Parade,-37.789707,144.98936,2025-09-09 17:06:48,17706069,,15,0,1,False,Apartment,Apartment / Unit / Flat,Realco,34967,"Teresa Ly, Chris Koulloupas","Balcony, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Broadband Internet Available, Built in wardrobes, Dishwasher, Floorboards, Intercom, Pay TV Access, Air conditioning, Ensuite, Pets Allowed",https://www.domain.com.au/9-99-queens-parade-clifton-hill-vic-3068-17706069
17706205,CLIFTON HILL,3068,1190,5950,"Friday, 15 August 2025",2025-08-07,32,4,2,2.0,House,37 Yarrabing Lane,-37.793484,144.99771,2025-09-09 17:06:48,17706205,,17,0,1,True,House,House,Woodards,19,Emina Taleb,"Air conditioning, Gas, Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/37-yarrabing-lane-clifton-hill-vic-3068-17706205
17712848,CLIFTON HILL,3068,500,1955,"Thursday, 14 August 2025",2025-08-13,27,2,1,1.0,Apartment / Unit / Flat,4/41 Fenwick Street,-37.788826,144.99995,2025-09-09 17:06:48,17712848,,6,1,0,True,Apartment,Apartment / Unit / Flat,Love & Co Reservoir,7121,Kimberley Della Chiesa,"Built in wardrobes, Internal Laundry, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/4-41-fenwick-street-clifton-hill-vic-3068-17712848
17725892,CLIFTON HILL,3068,995,4324,"Wednesday, 03 September 2025",2025-08-21,19,3,2,1.0,Townhouse,90 Alexandra Parade,-37.79402,144.99039,2025-09-09 17:06:48,17725892,,7,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Fitzroy,4718,Ebony O'Regan,"Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/90-alexandra-parade-clifton-hill-vic-3068-17725892
17736731,CLIFTON HILL,3068,890,3867,"Friday, 19 September 2025",2025-08-28,12,2,2,1.0,House,8B Peckville Street,-37.79307,144.99152,2025-09-09 17:06:48,17736731,,6,0,0,False,House,House,Nelson Alexander | Carlton,4719,Thao Duong,"Gas, Bath, Dishwasher, Balcony / Deck, Study",https://www.domain.com.au/8b-peckville-street-clifton-hill-vic-3068-17736731
