listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15756398,COBURG,3058,650.0,2824.0,"Monday, 22 September 2025",2025-09-08,1,2,1,1.0,House,8 Hudson Street,-37.74386,144.96243,2025-09-09 16:27:40,15756398,TD-0198-HK,20,0,1,False,House,House,Ray White Coburg,27662,Scout Kennedy,"Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/8-hudson-street-coburg-vic-3058-15756398
16317810,COBURG,3058,300.0,1200.0,"Monday, 18 August 2025",2023-02-08,944,1,1,,Apartment / Unit / Flat,789 Sydney Road,-37.731712,144.96397,2025-09-09 16:27:40,16317810,,5,0,0,False,Apartment,Apartment / Unit / Flat,Gotham Property,32563,David Passaro,,https://www.domain.com.au/789-sydney-road-coburg-vic-3058-16317810
17615695,COBURG,3058,600.0,2400.0,"Thursday, 16 October 2025",2025-09-08,1,2,1,1.0,Townhouse,47A Cameron Street,-37.749817,144.96259,2025-09-09 16:27:40,17615695,,9,0,0,False,Townhouse/Villa,Townhouse,Peter Leahy Real Estate,25056,"Jacob Gioulekas, Rental Department","Gas, Internal Laundry, Floorboards, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Courtyard, Remote Garage, Secure Parking",https://www.domain.com.au/47a-cameron-street-coburg-vic-3058-17615695
17671214,COBURG,3058,830.0,3606.0,"Monday, 01 September 2025",2025-07-16,55,4,2,,House,13 Lascelles Street,-37.746014,144.95023,2025-09-09 16:27:40,17671214,,6,0,0,False,House,House,Jellis Craig - Brunswick,6216,Brandon Antrim,"Built in wardrobes, Dishwasher, Ducted Heating, Evaporative Cooling, Floorboards",https://www.domain.com.au/13-lascelles-street-coburg-vic-3058-17671214
17698702,COBURG,3058,600.0,2600.0,"Tuesday, 09 September 2025",2025-09-05,4,2,1,1.0,Townhouse,22/110 Moore Street,-37.75514,144.97685,2025-09-09 16:27:40,17698702,,12,0,0,False,Townhouse/Villa,Townhouse,Raine & Horne Brunswick Sales,5247,"Ivan  Elezovic, Alisha Tsia","Gas, Internal Laundry, Air conditioning, Ensuite, Balcony / Deck",https://www.domain.com.au/22-110-moore-street-coburg-vic-3058-17698702
17702033,COBURG,3058,800.0,3466.0,"Tuesday, 05 August 2025",2025-08-05,34,4,2,2.0,House,129 O'Hea Street,-37.736767,144.95514,2025-09-09 16:27:40,17702033,,10,0,1,False,House,House,Ray White Coburg,27662,Marcy Helal,Heating,https://www.domain.com.au/129-o-hea-street-coburg-vic-3058-17702033
17714531,COBURG,3058,650.0,2825.0,"Wednesday, 20 August 2025",2025-08-13,26,2,1,4.0,House,15 Huntington Grove,-37.749928,144.97559,2025-09-09 16:27:40,17714531,,6,0,1,False,House,House,Harcourts Coburg,34825,"Shae Williams, Amber Howlett","Air conditioning, Built in wardrobes, Internal Laundry, Bath, Heating, Secure Parking, Shed, Garden / Courtyard",https://www.domain.com.au/15-huntington-grove-coburg-vic-3058-17714531
17717569,COBURG,3058,580.0,2520.0,"Wednesday, 17 September 2025",2025-08-15,25,2,2,1.0,Apartment / Unit / Flat,8/7-9 Bell Street,-37.742725,144.97736,2025-09-09 16:27:40,17717569,,6,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig - Brunswick,6216,Brandon Antrim,"Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Intercom, Remote Garage, Secure Parking",https://www.domain.com.au/8-7-9-bell-street-coburg-vic-3058-17717569
17729499,COBURG,3058,900.0,4597.0,"Monday, 15 September 2025",2025-08-25,15,3,2,1.0,House,27 Richards Street,-37.743866,144.97174,2025-09-09 16:27:40,17729499,,9,0,0,False,House,House,Jellis Craig Northcote,15667,"Alicia Cannizzaro, Jellis Craig Inner North","Heating, Evaporative Cooling, Dishwasher, Outdoor Entertainment Area, Laundry",https://www.domain.com.au/27-richards-street-coburg-vic-3058-17729499
17729598,COBURG,3058,700.0,3042.0,"Monday, 08 September 2025",2025-08-25,15,3,1,,House,23 Donne Street,-37.752033,144.94864,2025-09-09 16:27:40,17729598,,16,0,0,False,House,House,Raine & Horne Brunswick Sales,5247,Taylah Vella,"Built in wardrobes, Gas, Internal Laundry, Dishwasher",https://www.domain.com.au/23-donne-street-coburg-vic-3058-17729598
