listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
8558150,COLLINGWOOD,3066,375,1629.0,"Thursday, 28 August 2025",2025-08-25,15,1,1,,Apartment / Unit / Flat,307/45 Victoria Parade,-37.808685,144.98413,2025-09-09 16:48:09,8558150,ZW-3946-IV,11,0,0,False,Apartment,Apartment / Unit / Flat,Student Housing Australia,11870,Travis Ch'ng,,https://www.domain.com.au/307-45-victoria-parade-collingwood-vic-3066-8558150
13516844,COLLINGWOOD,3066,550,2390.0,"Monday, 08 September 2025",2025-09-08,1,1,1,1.0,Apartment / Unit / Flat,708/470 Smith Street,-37.794514,144.98524,2025-09-09 16:48:09,13516844,GD-6570-WJ,12,0,1,False,Apartment,Apartment / Unit / Flat,Asset Advantage Management,7605,Jasmin Hickey,"Gas, Intercom, Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Balcony, Pets Allowed",https://www.domain.com.au/708-470-smith-street-collingwood-vic-3066-13516844
15218291,COLLINGWOOD,3066,750,3259.0,"Wednesday, 17 September 2025",2025-08-21,19,2,2,1.0,Apartment / Unit / Flat,507/470 Smith Street,-37.794514,144.98524,2025-09-09 16:48:09,15218291,HH-3706-UX,9,1,0,False,Apartment,Apartment / Unit / Flat,Samma Real Estate,15424,Ismaeel Hussain,"Intercom, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Balcony",https://www.domain.com.au/507-470-smith-street-collingwood-vic-3066-15218291
16593969,COLLINGWOOD,3066,640,2780.0,"Thursday, 18 September 2025",2025-09-01,8,2,1,,House,115 Hotham Street,-37.797,144.99133,2025-09-09 16:48:09,16593969,ZT-5630-TA,12,0,0,False,House,House,Ray White Williamstown,3723,"Travis Flint, Simone Speakman","Air conditioning, Floorboards, Bath, Heating, Dishwasher, Fully fenced, Garden / Courtyard",https://www.domain.com.au/115-hotham-street-collingwood-vic-3066-16593969
17150173,COLLINGWOOD,3066,585,2542.0,"Friday, 12 September 2025",2025-09-01,8,1,1,1.0,Apartment / Unit / Flat,216/3 Hoddle Street,-37.808956,144.99112,2025-09-09 16:48:09,17150173,EX-2311-LL,9,0,1,False,Apartment,Apartment / Unit / Flat,Ray White CRE,7728,RACHEL BOGGS,,https://www.domain.com.au/216-3-hoddle-street-collingwood-vic-3066-17150173
17155225,COLLINGWOOD,3066,949,4123.0,"Monday, 01 September 2025",2025-08-31,8,3,1,,House,99 Gold St,-37.795418,144.98956,2025-09-09 16:48:09,17155225,YG-2609-AJ,9,0,0,False,House,House,For Sale By Owner,20095,For Rent (VIC),"Built in wardrobes, Internal Laundry, Bath, Fireplace(s), Heating",https://www.domain.com.au/99-gold-st-collingwood-vic-3066-17155225
17185482,COLLINGWOOD,3066,580,2514.0,"Friday, 10 October 2025",2025-09-05,4,1,1,1.0,Apartment / Unit / Flat,606/51 Napoleon Street,-37.80181,144.98668,2025-09-09 16:48:09,17185482,NT-1530-WW,8,0,0,False,Apartment,Apartment / Unit / Flat,Walshe & Whitelock Pty Ltd,29046,Joe Pollina,"Balcony / Deck, Air conditioning, Secure Parking, Heating",https://www.domain.com.au/606-51-napoleon-street-collingwood-vic-3066-17185482
17656931,COLLINGWOOD,3066,505,2195.0,"Sunday, 27 July 2025",2025-07-07,64,1,1,1.0,Apartment / Unit / Flat,15/34 Smith Street,-37.80723,144.98343,2025-09-09 16:48:09,17656931,,6,0,0,False,Apartment,Apartment / Unit / Flat,Luxe Property,20536,Michael Sabell,"Built in wardrobes, Dishwasher, Balcony, Secure Parking, Heating Electric, Split System (Heating), Split System (Air Con)",https://www.domain.com.au/15-34-smith-street-collingwood-vic-3066-17656931
17691841,COLLINGWOOD,3066,800,3476.0,"Tuesday, 26 August 2025",2025-07-30,41,2,1,1.0,House,35 Otter Street,-37.80108,144.98596,2025-09-09 16:48:09,17691841,,6,0,0,False,House,House,Jellis Craig Fitzroy,3709,"Jayde Cashion, Jellis Craig Inner North","Floorboards, Garden / Courtyard, Ducted Heating, Dishwasher",https://www.domain.com.au/35-otter-street-collingwood-vic-3066-17691841
17736383,COLLINGWOOD,3066,600,2607.0,"Friday, 19 September 2025",2025-08-28,12,1,1,1.0,Apartment / Unit / Flat,5/109 Oxford Street,-37.80282,144.98479,2025-09-09 16:48:09,17736383,,9,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Fitzroy,3709,"Jayde Cashion, Emma Trethowan","Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Intercom, Secure Parking, Open Plan Living",https://www.domain.com.au/5-109-oxford-street-collingwood-vic-3066-17736383
