listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15355823,CORIO,3214,440,1906.0,"Wednesday, 15 October 2025",2025-09-01,8,3,1,1.0,House,136 Purnell Road,-38.073284,144.35327,2025-09-09 16:23:07,15355823,ZK-0166-VT,13,0,0,False,House,House,Compton Green Geelong,21762,Sarah Milner,"Gas, Air conditioning, Built in wardrobes, Pets Allowed, Heating, Shed",https://www.domain.com.au/136-purnell-road-corio-vic-3214-15355823
15961063,CORIO,3214,440,1906.0,"Friday, 12 September 2025",2025-08-04,36,3,1,5.0,House,143 Purnell Road,-38.072826,144.3461,2025-09-09 16:23:07,15961063,QN-6124-FX,9,0,0,False,House,House,Compton Green Geelong,21762,Sarah Milner,"Shed, Air conditioning, Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Heating, Secure Parking, Fully fenced, Garden / Courtyard",https://www.domain.com.au/143-purnell-road-corio-vic-3214-15961063
17125451,CORIO,3214,405,1755.0,"Tuesday, 23 September 2025",2025-09-08,1,3,1,3.0,House,61 Vermont Avenue,-38.081474,144.35042,2025-09-09 16:23:07,17125451,HR-1675-UO,10,0,0,False,House,House,Compton Green Geelong,21762,Michelle Lowerson,"Gas, Air conditioning, Internal Laundry, Pets Allowed, Bath, Heating, Fully fenced",https://www.domain.com.au/61-vermont-avenue-corio-vic-3214-17125451
17665268,CORIO,3214,460,1999.0,"Saturday, 12 July 2025",2025-07-11,60,4,2,2.0,House,17 Florida Avenue,-38.081425,144.35524,2025-09-09 16:23:07,17665268,,8,1,0,False,House,House,Jellis Craig Geelong,18039,Tim Callander,"Internal Laundry, Bath, Solar panels, Split System Air Con, Split System Heating, Study, Built in wardrobes, Dishwasher, Floorboards, Fully fenced, Outdoor Entertainment Area, Pets Allowed, Secure Parking, Shed",https://www.domain.com.au/17-florida-avenue-corio-vic-3214-17665268
17694810,CORIO,3214,490,2129.0,"Thursday, 31 July 2025",2025-07-31,40,3,2,4.0,House,8-10 Como Road,-38.081627,144.34569,2025-09-09 16:23:07,17694810,,10,0,1,False,House,House,Geelong Real Estate Co.,35120,"Abby Westgarth, Reece Fidler","Gas, Built in wardrobes, Dishwasher, Floorboards, Rumpus Room, Secure Parking, Shed, Split System AirCon, Split System Heating",https://www.domain.com.au/8-10-como-road-corio-vic-3214-17694810
17699245,CORIO,3214,390,1695.0,"Monday, 04 August 2025",2025-08-04,36,3,1,2.0,House,17 Georgia Grove,-38.082947,144.35446,2025-09-09 16:23:07,17699245,,12,0,1,False,House,House,Lara Real Estate,36528,Rental Department,"Bath, Fully fenced, Built in wardrobes, Floorboards, Gas Heating, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/17-georgia-grove-corio-vic-3214-17699245
17710697,CORIO,3214,435,1890.0,"Friday, 22 August 2025",2025-08-12,28,3,1,2.0,House,44 Princess Road,-38.078224,144.34763,2025-09-09 16:23:07,17710697,,9,0,0,False,House,House,Buxton Geelong North Pty Ltd,31040,"Eden McCawley, Sophie Kennedy-Rush","Air conditioning, Internal Laundry, Bath",https://www.domain.com.au/44-princess-road-corio-vic-3214-17710697
17717723,CORIO,3214,510,2216.0,"Friday, 19 September 2025",2025-08-15,25,4,2,2.0,House,6 Hedgerow Cct,-38.060646,144.37505,2025-09-09 16:23:07,17717723,,7,0,0,False,House,House,Reventon Residential,26980,James Sherer,"Study, Rumpus Room, Built in wardrobes, Dishwasher, Ducted Heating, Reverse Cycle Air Conditioning, Remote Garage, Secure Parking, Fully fenced",https://www.domain.com.au/6-hedgerow-cct-corio-vic-3214-17717723
17731035,CORIO,3214,420,1820.0,"Monday, 25 August 2025",2025-08-25,14,3,1,3.0,House,15 Kosciusko Avenue,-38.07174,144.37013,2025-09-09 16:23:07,17731035,,14,0,0,False,House,House,Compton Green Geelong,21762,Sarah Milner,"Air conditioning, Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Heating, Secure Parking, Shed, Fully fenced",https://www.domain.com.au/15-kosciusko-avenue-corio-vic-3214-17731035
17732354,CORIO,3214,440,,"Tuesday, 30 September 2025",2025-08-26,14,3,1,1.0,House,180 Bacchus Marsh Road,-38.06948,144.35928,2025-09-09 16:23:07,17732354,,7,0,0,False,House,House,Harcourts North Geelong,26155,"Mina Nair, Harcourts Leasing","Air conditioning, Heating",https://www.domain.com.au/180-bacchus-marsh-road-corio-vic-3214-17732354
