listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16554226,COWES,3922,450,1956,"Friday, 22 August 2025",2025-07-02,69,3,1,2.0,House,46 Wyndham Avenue,-38.455116,145.23299,2025-09-09 16:38:31,16554226,YR-2247-PN,15,0,0,True,House,House,Ray White Phillip Island,14522,Jamee Riley,"Air conditioning, Balcony / Deck, Built in wardrobes, Fireplace(s)",https://www.domain.com.au/46-wyndham-avenue-cowes-vic-3922-16554226
16853778,COWES,3922,460,1999,"Monday, 29 September 2025",2025-09-08,1,3,2,3.0,House,3 Longridge Street,-38.458096,145.20845,2025-09-09 16:38:31,16853778,HQ-5497-EA,12,0,1,False,House,House,Ray White Phillip Island,14522,Jamee Riley,Secure Parking,https://www.domain.com.au/3-longridge-street-cowes-vic-3922-16853778
16954963,COWES,3922,420,1825,"Wednesday, 03 September 2025",2025-08-22,18,2,1,1.0,Apartment / Unit / Flat,4/1a Wagtail Way,-38.4591,145.22166,2025-09-09 16:38:31,16954963,PI-9959-LG,11,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Phillip Island,14522,Jamee Riley,"Heating, Built in wardrobes",https://www.domain.com.au/4-1a-wagtail-way-cowes-vic-3922-16954963
17556481,COWES,3922,550,2200,"Monday, 08 September 2025",2025-08-05,35,4,2,2.0,House,5 Kenwyn Court,-38.452984,145.22562,2025-09-09 16:38:31,17556481,OR-3764-HF,14,0,2,False,House,House,RentBetter,27499,,"Internal Laundry, Fireplace(s), Heating, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Fully fenced, Furnished, Secure Parking",https://www.domain.com.au/5-kenwyn-court-cowes-vic-3922-17556481
17613060,COWES,3922,600,2607,"Saturday, 05 July 2025",2025-06-10,91,3,2,2.0,Apartment / Unit / Flat,6/21 The Esplanade,-38.44823,145.23648,2025-09-09 16:38:31,17613060,,8,0,0,True,Apartment,Apartment / Unit / Flat,Barry Plant - Phillip Island & San Remo,4714,Emily Kate Philip,"Furnished, Bath, Heating",https://www.domain.com.au/6-21-the-esplanade-cowes-vic-3922-17613060
17648831,COWES,3922,520,2259,"Wednesday, 02 July 2025",2025-07-02,69,4,2,2.0,House,18 Echidna Grove,-38.46097,145.22173,2025-09-09 16:38:31,17648831,,13,0,0,False,House,House,Harcourts Asap Group,29204,Reception Asap,"Built in wardrobes, Heating, Study, Balcony / Deck",https://www.domain.com.au/18-echidna-grove-cowes-vic-3922-17648831
17652607,COWES,3922,540,2347,"Monday, 28 July 2025",2025-07-04,67,4,2,1.0,Apartment / Unit / Flat,2/11 Wyndham Avenue,-38.45365,145.23378,2025-09-09 16:38:31,17652607,,8,0,0,True,Apartment,Apartment / Unit / Flat,Ray White Phillip Island,14522,Jamee Riley,"Bath, Balcony / Deck",https://www.domain.com.au/2-11-wyndham-avenue-cowes-vic-3922-17652607
17685972,COWES,3922,510,2217,"Monday, 01 September 2025",2025-07-25,46,4,2,,House,111 Pembrey Loop,-38.461277,145.20905,2025-09-09 16:38:31,17685972,,14,0,0,True,House,House,Ray White Phillip Island,14522,Jamee Riley,,https://www.domain.com.au/111-pembrey-loop-cowes-vic-3922-17685972
17689782,COWES,3922,410,1781,"Thursday, 14 August 2025",2025-07-29,42,3,1,2.0,House,7 Chicory Avenue,-38.451813,145.24234,2025-09-09 16:38:31,17689782,,8,0,0,False,House,House,Barry Plant - Phillip Island & San Remo,4714,Emily Kate Philip,"Internal Laundry, Secure Parking, Fully fenced, Built in wardrobes",https://www.domain.com.au/7-chicory-avenue-cowes-vic-3922-17689782
17692995,COWES,3922,480,2086,"Wednesday, 30 July 2025",2025-07-30,41,3,1,,House,103 Scenic Drive,-38.462784,145.20421,2025-09-09 16:38:31,17692995,,9,0,0,True,House,House,Barry Plant - Phillip Island & San Remo,4714,Emily Kate Philip,"Pets Allowed, Bath, Fully fenced, Balcony / Deck, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/103-scenic-drive-cowes-vic-3922-17692995
