listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14978598,CRAIGIEBURN,3064,630.0,2738.0,"Wednesday, 17 September 2025",2025-08-26,14,4,2,2.0,House,434 Brookfield Boulevard,-37.57464,144.90456,2025-09-09 16:44:19,14978598,JM-2444-TE,18,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Ebony Montebello, Lauren Vicary","Secure Parking, Ensuite, Built in wardrobes, Bath, Heating, Dishwasher, Study",https://www.domain.com.au/434-brookfield-boulevard-craigieburn-vic-3064-14978598
16488163,CRAIGIEBURN,3064,450.0,1950.0,"Monday, 19 August 2024",2025-08-20,20,2,1,1.0,Townhouse,1/9 Melville Road,-37.572197,144.90985,2025-09-09 16:44:19,16488163,MQ-6694-JM,8,0,0,False,Townhouse/Villa,Townhouse,Csquare Craigieburn Group Pty Ltd,34921,"Preet Bhamra, Rental Management","Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/1-9-melville-road-craigieburn-vic-3064-16488163
16560348,CRAIGIEBURN,3064,580.0,2513.0,"Monday, 25 August 2025",2025-08-05,35,4,2,2.0,House,33 Streamside Drive,-37.58873,144.89368,2025-09-09 16:44:19,16560348,MZ-7526-ZI,19,0,0,False,House,House,Csquare Craigieburn Group Pty Ltd,34921,"Brooke Johnson, Rental Management","Secure Parking, Heating",https://www.domain.com.au/33-streamside-drive-craigieburn-vic-3064-16560348
16672267,CRAIGIEBURN,3064,540.0,2347.0,"Friday, 26 September 2025",2025-09-01,8,3,2,1.0,House,14 Glengarry Place,-37.585186,144.90181,2025-09-09 16:44:19,16672267,BX-0944-KM,10,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Ebony Montebello, Lauren Vicary","Built in wardrobes, Secure Parking, Heating, Ensuite, Floorboards, Bath",https://www.domain.com.au/14-glengarry-place-craigieburn-vic-3064-16672267
16989752,CRAIGIEBURN,3064,590.0,2564.0,"Friday, 05 September 2025",2025-09-02,7,4,2,2.0,House,6 Cardigan Street,-37.569447,144.91093,2025-09-09 16:44:19,16989752,KT-9585-KA,9,0,0,False,House,House,Csquare Craigieburn Group Pty Ltd,34921,"Brooke Johnson, Rental Management","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/6-cardigan-street-craigieburn-vic-3064-16989752
17684336,CRAIGIEBURN,3064,580.0,2521.0,"Saturday, 26 July 2025",2025-07-24,47,4,2,2.0,House,16 Scarborough Terrace,-37.57579,144.9293,2025-09-09 16:44:19,17684336,,14,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Ebony Montebello","Balcony / Deck, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Garden / Courtyard",https://www.domain.com.au/16-scarborough-terrace-craigieburn-vic-3064-17684336
17709983,CRAIGIEBURN,3064,500.0,2173.0,"Monday, 18 August 2025",2025-09-08,1,3,2,2.0,House,12 Grosvenor Square,-37.591114,144.90698,2025-09-09 16:44:19,17709983,,27,0,0,False,House,House,DK Property Partners Melbourne,17655,Nhi Dinh,"Ensuite, Air conditioning, Fully fenced, Built in wardrobes, Dishwasher",https://www.domain.com.au/12-grosvenor-square-craigieburn-vic-3064-17709983
17726489,CRAIGIEBURN,3064,580.0,2520.0,"Friday, 05 September 2025",2025-08-21,19,4,2,2.0,House,46 Natural Drive,-37.59854,144.90057,2025-09-09 16:44:19,17726489,,13,0,0,False,House,House,Csquare Craigieburn Group Pty Ltd,34921,"Brooke Johnson, Rental Management","Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/46-natural-drive-craigieburn-vic-3064-17726489
17747250,CRAIGIEBURN,3064,480.0,2086.0,"Thursday, 04 September 2025",2025-09-04,5,3,2,1.0,House,2/10 Leveque Loop,-37.599663,144.91023,2025-09-09 16:44:19,17747250,,10,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Ebony Montebello","Secure Parking, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Garden / Courtyard",https://www.domain.com.au/2-10-leveque-loop-craigieburn-vic-3064-17747250
17750465,CRAIGIEBURN,3064,450.0,1955.0,"Friday, 12 September 2025",2025-09-08,1,2,1,1.0,House,27/60 Cradle Mountain Drive,-37.574703,144.92226,2025-09-09 16:44:19,17750465,,11,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,"Samantha Ashley, Eminda Ruwin","Heating, Dishwasher, Study",https://www.domain.com.au/27-60-cradle-mountain-drive-craigieburn-vic-3064-17750465
