listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15597700,CRANBOURNE,3977,560.0,2433.0,"Monday, 29 September 2025",2025-09-02,7,4,2,2.0,House,20 Dearing Avenue,-38.10604,145.27757,2025-09-09 16:58:31,15597700,LL-5513-FS,8,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Bath, Fireplace(s), Dishwasher",https://www.domain.com.au/20-dearing-avenue-cranbourne-vic-3977-15597700
16225812,CRANBOURNE,3977,540.0,2347.0,"Thursday, 04 September 2025",2025-08-01,39,3,2,2.0,House,3 Nariel Place,-38.09225,145.25659,2025-09-09 16:58:31,16225812,GF-7548-FR,11,0,0,True,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Secure Parking, Heating",https://www.domain.com.au/3-nariel-place-cranbourne-vic-3977-16225812
16252495,CRANBOURNE,3977,520.0,2260.0,"Monday, 06 October 2025",2025-09-04,5,3,1,2.0,House,100 Majestic Boulevard,-38.088737,145.2855,2025-09-09 16:58:31,16252495,DX-9805-YZ,11,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Air conditioning, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/100-majestic-boulevard-cranbourne-vic-3977-16252495
16592264,CRANBOURNE,3977,590.0,2564.0,"Friday, 12 September 2025",2025-08-05,35,4,3,2.0,House,7a Binding Ave,-38.109753,145.27792,2025-09-09 16:58:31,16592264,WX-1768-PB,12,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Secure Parking, Heating, Fully fenced, Balcony / Deck",https://www.domain.com.au/7a-binding-ave-cranbourne-vic-3977-16592264
17145595,CRANBOURNE,3977,520.0,2260.0,"Friday, 03 October 2025",2025-09-09,0,3,1,2.0,House,2 Seacombe Place,-38.096443,145.29167,2025-09-09 16:58:31,17145595,CI-7470-JH,30,0,1,False,House,House,Ray White Cranbourne,18759,Uaina Purcell,"Heating, Shed, Solar panels",https://www.domain.com.au/2-seacombe-place-cranbourne-vic-3977-17145595
17375855,CRANBOURNE,3977,545.0,2368.0,"Monday, 29 September 2025",2025-09-09,0,3,2,1.0,House,49 Valencia Circuit,-38.09128,145.28416,2025-09-09 16:58:31,17375855,AX-6578-NR,7,0,1,False,House,House,Harcourts Rowville,24412,Byron Sweerts,Heating,https://www.domain.com.au/49-valencia-circuit-cranbourne-vic-3977-17375855
17465831,CRANBOURNE,3977,475.0,2064.0,"Monday, 15 September 2025",2025-08-26,13,2,1,1.0,House,1/26 Bakewell Street,-38.11119,145.2858,2025-09-09 16:58:31,17465831,GS-6638-WF,12,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Built in wardrobes, Secure Parking, Bath, Heating",https://www.domain.com.au/1-26-bakewell-street-cranbourne-vic-3977-17465831
17656141,CRANBOURNE,3977,560.0,2434.0,"Monday, 07 July 2025",2025-07-07,64,3,2,2.0,Townhouse,144 Willow Glen Boulevard,-38.112225,145.25244,2025-09-09 16:58:31,17656141,,16,0,0,False,Townhouse/Villa,Townhouse,Ray White Cranbourne,18759,"Sophie Bridges, Mia Johnson","Heating, Solar panels",https://www.domain.com.au/144-willow-glen-boulevard-cranbourne-vic-3977-17656141
17668497,CRANBOURNE,3977,780.0,3380.0,"Monday, 14 July 2025",2025-07-15,56,5,2,7.0,House,7 Bunurong Place,-38.10275,145.27576,2025-09-09 16:58:31,17668497,,19,0,0,False,House,House,Raine and Horne Cranbourne,36174,"Sonam Kapoor, Kawal Kaur",Ensuite,https://www.domain.com.au/7-bunurong-place-cranbourne-vic-3977-17668497
17717922,CRANBOURNE,3977,630.0,2738.0,"Friday, 15 August 2025",2025-08-15,25,5,2,1.0,House,7 Lamb St,-38.111717,145.28065,2025-09-09 16:58:31,17717922,,6,0,0,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Air conditioning, Built in wardrobes, Internal Laundry, Study, Shed",https://www.domain.com.au/7-lamb-st-cranbourne-vic-3977-17717922
17728867,CRANBOURNE,3977,525.0,2282.0,"Tuesday, 02 September 2025",2025-08-22,17,3,1,2.0,House,8 Valepark Crescent,-38.110146,145.2696,2025-09-09 16:58:31,17728867,,16,0,0,False,House,House,Ray White Cranbourne,18759,"Sophie Bridges, Mia Johnson","Built in wardrobes, Internal Laundry",https://www.domain.com.au/8-valepark-crescent-cranbourne-vic-3977-17728867
17733913,CRANBOURNE,3977,550.0,2390.0,"Wednesday, 27 August 2025",2025-08-27,13,3,2,1.0,House,45 Kellett Street,-38.06789,145.273,2025-09-09 16:58:31,17733913,,15,0,0,False,House,House,LJ Hooker Casey,19249,Monika Papdan,"Secure Parking, Ensuite, Ducted Heating",https://www.domain.com.au/45-kellett-street-cranbourne-vic-3977-17733913
17735747,CRANBOURNE,3977,550.0,2390.0,"Saturday, 06 September 2025",2025-08-28,12,4,2,2.0,House,2 Burberry Place,-38.08908,145.28856,2025-09-09 16:58:31,17735747,,13,0,0,False,House,House,ProSell Real Estate,32486,Indika Sathkumara,"Ensuite, Built in wardrobes, Rumpus Room, Floorboards, Ducted Heating, Remote Garage, Fully fenced, Solar panels",https://www.domain.com.au/2-burberry-place-cranbourne-vic-3977-17735747
17741928,CRANBOURNE,3977,500.0,2173.0,"Friday, 05 September 2025",2025-09-01,7,2,1,1.0,House,1/18 Walter St,-38.10266,145.28043,2025-09-09 16:58:31,17741928,,13,0,0,False,House,House,UpHill Real Estate,31519,Lorenzo Lazo,"Built in wardrobes, Internal Laundry, Pets Allowed, Heating, Shed, Balcony / Deck",https://www.domain.com.au/1-18-walter-st-cranbourne-vic-3977-17741928
17744336,CRANBOURNE,3977,530.0,2303.0,"Monday, 22 September 2025",2025-09-03,6,3,1,2.0,House,26 Ruffy Drive,-38.0997,145.27722,2025-09-09 16:58:31,17744336,,13,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Air conditioning, Shed",https://www.domain.com.au/26-ruffy-drive-cranbourne-vic-3977-17744336
17746765,CRANBOURNE,3977,550.0,2390.0,"Friday, 10 October 2025",2025-09-04,5,3,1,,House,3 Arnold Street,-38.1041,145.29019,2025-09-09 16:58:31,17746765,,16,0,1,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Air conditioning, Bath, Dishwasher, Fully fenced",https://www.domain.com.au/3-arnold-street-cranbourne-vic-3977-17746765
17752561,CRANBOURNE,3977,550.0,2390.0,"Thursday, 04 September 2025",2025-09-08,0,3,2,2.0,House,5 Circle Drive North,-38.0955,145.28047,2025-09-09 16:58:31,17752561,,15,0,1,True,House,House,Casey Estate Agents,19032,Lee-Ann Harley,,https://www.domain.com.au/5-circle-drive-north-cranbourne-vic-3977-17752561
17752753,CRANBOURNE,3977,615.0,2672.0,"Tuesday, 09 September 2025",2025-09-09,0,3,2,2.0,House,12 Cardiff Grove,-38.10572,145.29662,2025-09-09 16:58:31,17752753,,15,0,0,False,House,House,Ray White Cranbourne,18759,"Sophie Bridges, Mia Johnson",Study,https://www.domain.com.au/12-cardiff-grove-cranbourne-vic-3977-17752753
17754357,CRANBOURNE,3977,550.0,2390.0,"Saturday, 20 September 2025",2025-09-09,0,3,2,1.0,Apartment / Unit / Flat,1/63 Circle Drive,-38.09614,145.27756,2025-09-09 16:58:31,17754357,,12,0,0,False,Apartment,Apartment / Unit / Flat,Finning First National  ,8602,Property Management Team,"Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/1-63-circle-drive-cranbourne-vic-3977-17754357
17754387,CRANBOURNE,3977,460.0,1999.0,"Monday, 29 September 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,6/17-19 William Street,-38.103203,145.28055,2025-09-09 16:58:31,17754387,,10,0,0,False,Apartment,Apartment / Unit / Flat,Finning First National  ,8602,Property Management Team,Secure Parking,https://www.domain.com.au/6-17-19-william-street-cranbourne-vic-3977-17754387
17639871,CRANBOURNE,3977,850.0,3694.0,"Saturday, 28 June 2025",2025-06-26,75,4,2,2.0,House,46 Huey Circuit,-38.115017,145.25394,2025-09-09 16:58:36,17639871,,6,0,0,False,House,House,Barry Plant Narre Warren,17478,"Madisson Akers, Nicole Robertson","Secure Parking, Bath, Fireplace(s), Heating, Study",https://www.domain.com.au/46-huey-circuit-cranbourne-vic-3977-17639871
17707073,CRANBOURNE,3977,600.0,2607.0,"Friday, 29 August 2025",2025-08-08,32,4,2,2.0,House,15 Evergreen Court,-38.073803,145.27359,2025-09-09 16:58:36,17707073,,11,0,0,False,House,House,Hall & Partners First National Dandenong,17903,Amrita Karki Rawal,"Air conditioning, Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/15-evergreen-court-cranbourne-vic-3977-17707073
