listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15660577,CRANBOURNE NORTH,3977,530.0,2303.0,"Friday, 15 August 2025",2025-07-16,55,3,2,1.0,House,3 Bannan Crescent,-38.08586,145.33286,2025-09-09 17:05:18,15660577,CS-8751-ZM,12,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Gas, Internal Laundry, Secure Parking, Bath",https://www.domain.com.au/3-bannan-crescent-cranbourne-north-vic-3977-15660577
16688558,CRANBOURNE NORTH,3977,590.0,2564.0,"Tuesday, 05 August 2025",2025-07-10,60,4,2,2.0,House,144 Lawless Drive,-38.069096,145.27435,2025-09-09 17:05:18,16688558,GV-4650-FF,11,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Heating, Study",https://www.domain.com.au/144-lawless-drive-cranbourne-north-vic-3977-16688558
17120906,CRANBOURNE NORTH,3977,550.0,2390.0,"Friday, 05 September 2025",2025-08-07,33,3,2,2.0,House,6 Tinara Court,-38.079422,145.28134,2025-09-09 17:05:18,17120906,GQ-0336-WG,11,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Built in wardrobes, Gas, Bath, Dishwasher, Balcony / Deck",https://www.domain.com.au/6-tinara-court-cranbourne-north-vic-3977-17120906
17191643,CRANBOURNE NORTH,3977,600.0,2600.0,"Friday, 26 September 2025",2025-09-03,6,4,2,1.0,House,2 Elda Court,-38.083233,145.28685,2025-09-09 17:05:18,17191643,AH-7805-YZ,7,0,0,False,House,House,Ray White Croydon,17921,Leasing ...,"Air conditioning, Internal Laundry, Secure Parking, Heating, Dishwasher, Study, Shed, Fully fenced, Ensuite",https://www.domain.com.au/2-elda-court-cranbourne-north-vic-3977-17191643
17653801,CRANBOURNE NORTH,3977,550.0,2390.0,"Friday, 11 July 2025",2025-07-04,67,3,2,2.0,House,7 Filomena Court,-38.08175,145.2838,2025-09-09 17:05:18,17653801,,15,0,0,False,House,House,Ray White Cranbourne,18759,"Uaina Purcell, Kevin Cabezas","Built in wardrobes, Gas, Internal Laundry, Bath, Heating, Dishwasher, Solar panels",https://www.domain.com.au/7-filomena-court-cranbourne-north-vic-3977-17653801
17698163,CRANBOURNE NORTH,3977,550.0,2390.0,"Monday, 25 August 2025",2025-08-04,36,3,2,1.0,House,6 Bamboo Court,-38.071404,145.27151,2025-09-09 17:05:18,17698163,,14,0,0,False,House,House,Ray White Cranbourne,18759,"Sophie Bridges, Mia Johnson","Internal Laundry, Air conditioning, Built in wardrobes, Separate Dining Room, Secure Parking, Evaporative Cooling, Close to shops, schools and train station",https://www.domain.com.au/6-bamboo-court-cranbourne-north-vic-3977-17698163
17702879,CRANBOURNE NORTH,3977,550.0,2389.0,"Wednesday, 06 August 2025",2025-08-06,34,3,2,2.0,House,13 Samantha Crescent,-38.077484,145.29358,2025-09-09 17:05:18,17702879,,12,0,0,False,House,House,Ray White Cranbourne,18759,"Sophie Bridges, Mia Johnson",,https://www.domain.com.au/13-samantha-crescent-cranbourne-north-vic-3977-17702879
17703371,CRANBOURNE NORTH,3977,630.0,2738.0,"Thursday, 07 August 2025",2025-08-06,34,4,2,2.0,House,31 Tilden Rise,-38.07659,145.3214,2025-09-09 17:05:18,17703371,,10,0,0,False,House,House,Ray White Carrum Downs,8673,Peter Bell,"Gas, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/31-tilden-rise-cranbourne-north-vic-3977-17703371
17725611,CRANBOURNE NORTH,3977,600.0,2607.0,"Thursday, 21 August 2025",2025-08-21,19,3,2,2.0,House,12 Mariner Close,-38.077717,145.28452,2025-09-09 17:05:18,17725611,,15,0,0,False,House,House,Ray White Cranbourne,18759,"Sophie Bridges, Mia Johnson",Study,https://www.domain.com.au/12-mariner-close-cranbourne-north-vic-3977-17725611
17726775,CRANBOURNE NORTH,3977,600.0,2608.0,"Monday, 15 September 2025",2025-08-21,19,4,2,2.0,House,10 Islington Avenue,-38.069637,145.28912,2025-09-09 17:05:18,17726775,,3,0,0,False,House,House,Ray White Cranbourne,18759,Uaina Purcell,,https://www.domain.com.au/10-islington-avenue-cranbourne-north-vic-3977-17726775
