listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15673611,CROYDON,3136,525.0,2275,"Monday, 15 September 2025",2025-08-15,25,2,2,1.0,Apartment / Unit / Flat,105/10 Alfrick Road,-37.800724,145.28745,2025-09-09 16:17:50,15673611,OI-4129-YG,8,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Croydon,17921,Leasing ...,"Gas, Internal Laundry, Heating, Dishwasher, Air conditioning, Built in wardrobes, Secure Parking, Balcony / Deck",https://www.domain.com.au/105-10-alfrick-road-croydon-vic-3136-15673611
15872230,CROYDON,3136,760.0,3290,"Saturday, 02 August 2025",2025-06-26,75,3,2,2.0,House,3/29 Binbrook Drive,-37.78608,145.26758,2025-09-09 16:17:50,15872230,DU-3556-JM,19,1,0,False,House,House,Ray White Croydon,17921,Leasing ...,"Heating, Built in wardrobes, Bath, Separate Dining Room, Dishwasher, Secure Parking, Rainwater storage tank",https://www.domain.com.au/3-29-binbrook-drive-croydon-vic-3136-15872230
16616631,CROYDON,3136,520.0,2250,"Wednesday, 08 October 2025",2025-09-04,4,2,1,1.0,Apartment / Unit / Flat,22/24 Croydon Road,-37.792515,145.28224,2025-09-09 16:17:50,16616631,RE-2786-YO,6,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Croydon,17921,Leasing ...,"Internal Laundry, Heating, Balcony / Deck, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/22-24-croydon-road-croydon-vic-3136-16616631
17215392,CROYDON,3136,525.0,2281,"Saturday, 27 September 2025",2025-08-28,12,2,2,1.0,Apartment / Unit / Flat,108/4 Alfrick Road,-37.800236,145.28754,2025-09-09 16:17:50,17215392,BL-3023-KO,10,0,0,False,Apartment,Apartment / Unit / Flat,Melbourne Realty Group Pty Ltd,30692,Marcel Di-Scipio,"Internal Laundry, Ensuite, Dishwasher, Built in wardrobes, Floorboards, Broadband, Air-Conditioner, Split System Heating, Intercom, Remote Garage, Secure Parking, Balcony",https://www.domain.com.au/108-4-alfrick-road-croydon-vic-3136-17215392
17332730,CROYDON,3136,260.0,600,"Friday, 11 July 2025",2024-12-02,281,1,1,,House,Room 2/11 Railway Crescent,-37.792923,145.284,2025-09-09 16:17:50,17332730,,10,0,0,False,House,House,CHN Real Estate Group,29444,"Chris Sun, Winnie Wen","Gas, Heating",https://www.domain.com.au/room-2-11-railway-crescent-croydon-vic-3136-17332730
17693635,CROYDON,3136,640.0,2781,"Thursday, 31 July 2025",2025-07-31,40,3,1,1.0,Apartment / Unit / Flat,17A Nursery Road,-37.787914,145.26704,2025-09-09 16:17:50,17693635,,11,0,1,False,Apartment,Apartment / Unit / Flat,Jellis Craig Maroondah,4081,Emily Revere,"Internal Laundry, Bath, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Secure Parking",https://www.domain.com.au/17a-nursery-road-croydon-vic-3136-17693635
17724693,CROYDON,3136,615.0,2672,"Friday, 29 August 2025",2025-08-20,19,3,1,2.0,Apartment / Unit / Flat,2/16 Jackson Street,-37.794563,145.28868,2025-09-09 16:17:50,17724693,,10,0,0,False,Apartment,Apartment / Unit / Flat,McGrath Blackburn,12105,Michael Li,"Air conditioning, Gas, Secure Parking, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/2-16-jackson-street-croydon-vic-3136-17724693
17725066,CROYDON,3136,600.0,2607,"Wednesday, 20 August 2025",2025-08-20,19,3,1,1.0,House,4 Edith Avenue,-37.797127,145.26408,2025-09-09 16:17:50,17725066,,12,0,1,False,House,House,Areal Property - Box Hill,33000,Renata Xiang,"Air conditioning, Gas, Internal Laundry, Bath, Heating, Shed, Balcony / Deck",https://www.domain.com.au/4-edith-avenue-croydon-vic-3136-17725066
17732975,CROYDON,3136,480.0,2086,"Wednesday, 24 September 2025",2025-08-26,13,3,1,2.0,Apartment / Unit / Flat,8 Carlyle Street,-37.7987,145.29906,2025-09-09 16:17:50,17732975,,6,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Maroondah,4081,"Croydon Rentals, Maddie Oultram","Internal Laundry, Air conditioning, Built in wardrobes, Dishwasher, Ducted Heating, Floorboards",https://www.domain.com.au/8-carlyle-street-croydon-vic-3136-17732975
17735810,CROYDON,3136,500.0,2173,"Tuesday, 30 September 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,5/20-22 Beaufort Road,-37.798706,145.26282,2025-09-09 16:17:50,17735810,,7,0,1,False,Apartment,Apartment / Unit / Flat,Jellis Craig Maroondah,4081,Rebekah Titterton,"Gas, Internal Laundry, Air conditioning, Built in wardrobes, Balcony / Deck, Dishwasher, Ducted Heating, Floorboards, Fully fenced, Outdoor Entertainment Area, Shed",https://www.domain.com.au/5-20-22-beaufort-road-croydon-vic-3136-17735810
