listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15195517,DANDENONG,3175,450,1955.0,"Monday, 25 August 2025",2025-08-22,18,2,1,1.0,Apartment / Unit / Flat,4/49 Potter Street,-37.981464,145.206,2025-09-09 16:43:06,15195517,SN-4415-XF,6,0,0,False,Apartment,Apartment / Unit / Flat,Stockdale & Leggo Dandenong,4513,Rentals Department,"Air conditioning, Built in wardrobes, Bath, Balcony / Deck",https://www.domain.com.au/4-49-potter-street-dandenong-vic-3175-15195517
15799923,DANDENONG,3175,600,2600.0,"Thursday, 18 September 2025",2025-09-03,6,2,2,1.0,House,10/69-71 Potter Street,-37.979713,145.20638,2025-09-09 16:43:06,15799923,VH-0735-WV,12,1,0,False,House,House,Ray White Noble Park | Springvale,6380,"Joseph Taranto, Bahara Rezai","Internal Laundry, Secure Parking, Study, Built in wardrobes",https://www.domain.com.au/10-69-71-potter-street-dandenong-vic-3175-15799923
16605757,DANDENONG,3175,660,2860.0,"Wednesday, 01 October 2025",2025-08-26,14,3,2,2.0,Townhouse,2 Jupiter Place,-37.981995,145.20265,2025-09-09 16:43:06,16605757,XC-0367-EQ,8,0,0,False,Townhouse/Villa,Townhouse,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Built in wardrobes, Gas, Secure Parking, Dishwasher, Shed, Balcony / Deck",https://www.domain.com.au/2-jupiter-place-dandenong-vic-3175-16605757
17628476,DANDENONG,3175,550,2390.0,"Sunday, 29 June 2025",2025-06-19,82,3,1,2.0,House,82 Railway Parade,-37.98314,145.19975,2025-09-09 16:43:06,17628476,,7,0,0,False,House,House,Area Specialist Keysborough,31225,Property Management,"Air conditioning, Heating",https://www.domain.com.au/82-railway-parade-dandenong-vic-3175-17628476
17724794,DANDENONG,3175,550,2390.0,"Friday, 22 August 2025",2025-08-20,19,3,1,2.0,House,39 Oswald Street,-37.973995,145.22136,2025-09-09 16:43:06,17724794,,11,0,0,False,House,House,Raine & Horne Springvale,8693,"Rental Department, Brendon To","Built in wardrobes, Gas",https://www.domain.com.au/39-oswald-street-dandenong-vic-3175-17724794
17734150,DANDENONG,3175,500,2173.0,"Monday, 11 August 2025",2025-08-27,13,1,1,1.0,House,208/54-56 Scott Street,-37.985794,145.20909,2025-09-09 16:43:06,17734150,,3,0,0,False,House,House,Ray White Croydon,17921,Leasing ...,"Gas, Air conditioning, Intercom, Built in wardrobes, Dishwasher, Secure Parking, Balcony / Deck",https://www.domain.com.au/208-54-56-scott-street-dandenong-vic-3175-17734150
17743250,DANDENONG,3175,550,2390.0,"Thursday, 04 September 2025",2025-09-02,7,3,1,2.0,House,20 Grandview Avenue,-37.983315,145.22525,2025-09-09 16:43:06,17743250,,11,0,0,False,House,House,LongView Real Estate,7797,Hannah Nguyen,"Gas, Internal Laundry, Floorboards, Built in wardrobes, Ducted Heating",https://www.domain.com.au/20-grandview-avenue-dandenong-vic-3175-17743250
17743863,DANDENONG,3175,500,2166.0,"Wednesday, 10 September 2025",2025-09-02,7,3,2,1.0,Apartment / Unit / Flat,3/9 King Street,-37.982895,145.21643,2025-09-09 16:43:06,17743863,,8,0,0,False,Apartment,Apartment / Unit / Flat,Pioneer Real Estate ,19062,Dilan Niroshan,"Built in wardrobes, Secure Parking, Heating, Ensuite",https://www.domain.com.au/3-9-king-street-dandenong-vic-3175-17743863
17744830,DANDENONG,3175,700,3035.0,"Saturday, 06 September 2025",2025-09-03,6,3,2,2.0,Townhouse,5/8A Peter Court,-37.97205,145.22209,2025-09-09 16:43:06,17744830,,10,1,0,False,Townhouse/Villa,Townhouse,Ray White Noble Park | Springvale,6380,"Bahara Rezai, Joseph Taranto","Built in wardrobes, Heating",https://www.domain.com.au/5-8a-peter-court-dandenong-vic-3175-17744830
17745297,DANDENONG,3175,590,2564.0,"Wednesday, 03 September 2025",2025-09-03,6,3,2,1.0,Townhouse,2/56 Hemmings Street,-37.9827,145.20401,2025-09-09 16:43:06,17745297,,14,0,1,False,Townhouse/Villa,Townhouse,Journey Real Estate,37507,"Vikas Puri, Sam Singh","Gas, Dishwasher, Study",https://www.domain.com.au/2-56-hemmings-street-dandenong-vic-3175-17745297
