listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17549135,DAYLESFORD,3460,395,1716,"Friday, 02 May 2025",2025-04-29,132,1,1,,Studio,2b Green Gables Road,-37.3324,144.14273,2025-09-09 16:19:54,17549135,,6,0,0,False,Apartment,Studio,Biggin Scott Daylesford,23154,Lisa Samulski,"Heating, Balcony / Deck",https://www.domain.com.au/2b-green-gables-road-daylesford-vic-3460-17549135
17590406,DAYLESFORD,3460,620,2694,"Monday, 30 June 2025",2025-05-26,106,3,2,,House,73 Vincent Street North,-37.33084,144.1439,2025-09-09 16:19:54,17590406,DO-4087-FU,14,0,0,False,House,House,Biggin Scott Daylesford,23154,Curtis O'Neil,"Furnished, Heating, Balcony / Deck",https://www.domain.com.au/73-vincent-street-north-daylesford-vic-3460-17590406
17660526,DAYLESFORD,3460,420,1825,"Tuesday, 19 August 2025",2025-07-09,62,1,1,,Apartment / Unit / Flat,80A Raglan Street,-37.339424,144.14125,2025-09-09 16:19:54,17660526,,9,0,0,False,Apartment,Apartment / Unit / Flat,Biggin Scott Daylesford,23154,Curtis O'Neil,"Built in wardrobes, Internal Laundry, Heating, Balcony / Deck",https://www.domain.com.au/80a-raglan-street-daylesford-vic-3460-17660526
17683815,DAYLESFORD,3460,650,2738,"Thursday, 24 July 2025",2025-07-24,47,3,1,2.0,House,17 Stanbridge Street,-37.346714,144.15236,2025-09-09 16:19:54,17683815,,10,0,1,False,House,House,Belle Property Daylesford,7636,Mitchell Roberts,"Internal Laundry, Furnished, Heating",https://www.domain.com.au/17-stanbridge-street-daylesford-vic-3460-17683815
17698420,DAYLESFORD,3460,742,3224,"Wednesday, 10 September 2025",2025-08-04,36,4,2,2.0,House,23 Frazer Street,-37.345676,144.15405,2025-09-09 16:19:54,17698420,,9,0,0,False,House,House,Biggin Scott Daylesford,23154,Lisa Samulski,"Internal Laundry, Secure Parking, Bath, Heating, Shed, Balcony / Deck",https://www.domain.com.au/23-frazer-street-daylesford-vic-3460-17698420
17719557,DAYLESFORD,3460,750,3250,"Wednesday, 01 October 2025",2025-08-18,22,3,3,1.0,House,23 King Street,-37.35105,144.14116,2025-09-09 16:19:54,17719557,,12,0,0,False,House,House,Biggin Scott Daylesford,23154,Curtis O'Neil,"Pets Allowed, Furnished, Fully fenced, Solar panels, Balcony / Deck",https://www.domain.com.au/23-king-street-daylesford-vic-3460-17719557
17731385,DAYLESFORD,3460,485,2107,"Monday, 15 September 2025",2025-08-26,14,2,1,,House,31 Jamieson Street,-37.336464,144.14752,2025-09-09 16:19:54,17731385,,6,0,2,False,House,House,Belle Property Daylesford,7636,Mitchell Roberts,"Gas, Internal Laundry, Bath, Heating, Shed, Study",https://www.domain.com.au/31-jamieson-street-daylesford-vic-3460-17731385
17731671,DAYLESFORD,3460,540,2346,"Monday, 15 September 2025",2025-08-26,14,2,1,,House,2a Green Gables Road,-37.332348,144.14275,2025-09-09 16:19:54,17731671,,9,0,0,False,House,House,Biggin Scott Daylesford,23154,Lisa Samulski,Balcony / Deck,https://www.domain.com.au/2a-green-gables-road-daylesford-vic-3460-17731671
17736364,DAYLESFORD,3460,750,3259,"Thursday, 28 August 2025",2025-08-28,12,4,3,3.0,House,13 Garibaldi Drive,-37.334114,144.14929,2025-09-09 16:19:54,17736364,,15,0,11,False,House,House,Belle Property Daylesford,7636,Mitchell Roberts,"Heating, Balcony / Deck, Study",https://www.domain.com.au/13-garibaldi-drive-daylesford-vic-3460-17736364
17737731,DAYLESFORD,3460,875,3802,"Monday, 08 September 2025",2025-08-29,11,3,3,1.0,Townhouse,4/32 King Street,-37.35225,144.14021,2025-09-09 16:19:54,17737731,,8,0,1,False,Townhouse/Villa,Townhouse,"Jellis Craig Woodend, Castlemaine & Daylesford",22405,Tricia Crofts,"Fireplace(s), Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Furnished",https://www.domain.com.au/4-32-king-street-daylesford-vic-3460-17737731
