listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17549903,DEER PARK,3023,360,1564,"Friday, 05 September 2025",2025-09-05,3,2,1,,Apartment / Unit / Flat,1/15 Wood Street,-37.77617,144.77188,2025-09-09 16:26:54,17549903,JO-1724-AL,8,0,0,False,Apartment,Apartment / Unit / Flat,Burnham Real Estate Footscray,3381,Bryson De Guzman,"Built in wardrobes, Gas, Secure Parking, Bath, Heating",https://www.domain.com.au/1-15-wood-street-deer-park-vic-3023-17549903
17612299,DEER PARK,3023,490,2129,"Thursday, 10 July 2025",2025-06-10,91,3,2,1.0,House,21 Hatchlands Drive,-37.77702,144.75764,2025-09-09 16:26:54,17612299,,12,0,0,False,House,House,Equity Estate Agents,37028,Cathy Boccia,"Dishwasher, Built in wardrobes, Air-Conditioner, Ducted Heating, Secure Parking",https://www.domain.com.au/21-hatchlands-drive-deer-park-vic-3023-17612299
17644391,DEER PARK,3023,540,2346,"Monday, 15 September 2025",2025-09-05,4,4,2,2.0,House,6 Stapehill Court,-37.78116,144.76366,2025-09-09 16:26:54,17644391,,6,0,0,False,House,House,Ray White Taylors Lakes,19113,"Tiffany Perriam, Jack Desira","Heating, Dishwasher",https://www.domain.com.au/6-stapehill-court-deer-park-vic-3023-17644391
17673461,DEER PARK,3023,450,1955,"Thursday, 17 July 2025",2025-07-17,54,3,2,2.0,House,1 Trinacria Court,-37.767666,144.77652,2025-09-09 16:26:54,17673461,,10,0,0,False,House,House,OBrien Real Estate Deer Park,17811,Laura Gray,"Air conditioning, Gas, Heating, Shed, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/1-trinacria-court-deer-park-vic-3023-17673461
17728417,DEER PARK,3023,520,2260,"Friday, 29 August 2025",2025-08-22,18,4,2,2.0,House,19 Parkfield Court,-37.779217,144.75735,2025-09-09 16:26:54,17728417,,23,0,0,False,House,House,DK Property Partners Melbourne,17655,Nhi Dinh,"Ensuite, Secure Parking, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Out door entertaining area, Internal Laundry",https://www.domain.com.au/19-parkfield-court-deer-park-vic-3023-17728417
17731652,DEER PARK,3023,520,2259,"Thursday, 18 September 2025",2025-08-26,14,3,2,2.0,House,65 Hatchlands Drive,-37.778267,144.76277,2025-09-09 16:26:54,17731652,,4,0,0,False,House,House,Jellis Craig Inner West,19574,Sala Liku,,https://www.domain.com.au/65-hatchlands-drive-deer-park-vic-3023-17731652
17732406,DEER PARK,3023,450,1955,"Monday, 08 September 2025",2025-08-26,14,3,1,1.0,House,27 Welwyn Parade,-37.76299,144.771,2025-09-09 16:26:54,17732406,,8,0,0,False,House,House,Ray White Taylors Lakes,19113,"Tiffany Perriam, Jack Desira","Heating, Dishwasher",https://www.domain.com.au/27-welwyn-parade-deer-park-vic-3023-17732406
17732872,DEER PARK,3023,460,1994,"Tuesday, 26 August 2025",2025-08-26,14,3,1,1.0,Apartment / Unit / Flat,2/2 Carroll Street,-37.771908,144.7626,2025-09-09 16:26:54,17732872,,5,0,0,False,Apartment,Apartment / Unit / Flat,YPA Estate Agents Sydenham,18194,"Cynthia Mercieca, Amanda Galea","Secure Parking, Heating",https://www.domain.com.au/2-2-carroll-street-deer-park-vic-3023-17732872
17733924,DEER PARK,3023,660,2868,"Monday, 08 September 2025",2025-08-27,13,4,2,2.0,House,21 Hemsley Drive,-37.77771,144.76859,2025-09-09 16:26:54,17733924,,21,0,0,False,House,House,Westside Realty Group,33914,Sarita Anumalla,"Built in wardrobes, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/21-hemsley-drive-deer-park-vic-3023-17733924
17734030,DEER PARK,3023,550,2390,"Monday, 01 September 2025",2025-08-27,13,3,2,1.0,Townhouse,1-6/1 Neimur Avenue,-37.775764,144.77011,2025-09-09 16:26:54,17734030,,20,0,0,False,Townhouse/Villa,Townhouse,Area Specialist Brimbank,39132,"Nick  Makroglou, Steve Jusup",,https://www.domain.com.au/1-6-1-neimur-avenue-deer-park-vic-3023-17734030
17738062,DEER PARK,3023,440,1911,"Friday, 29 August 2025",2025-08-29,11,2,1,,House,2A Laming Road,-37.758663,144.77382,2025-09-09 16:26:54,17738062,,6,0,0,False,House,House,Ray White Taylors Lakes,19113,"Tiffany Perriam, Jack Desira","Built in wardrobes, Heating",https://www.domain.com.au/2a-laming-road-deer-park-vic-3023-17738062
17739655,DEER PARK,3023,540,2173,"Friday, 19 September 2025",2025-09-01,8,3,2,2.0,House,75 Jonah Parade,-37.773777,144.757,2025-09-09 16:26:54,17739655,,6,0,0,False,House,House,Guardian Property & Asset Management Werribee,15427,Guardian Melbourne,"Gas, Study, Built in wardrobes, Dishwasher, Ducted Heating, Remote Garage, Fully fenced, Secure Parking",https://www.domain.com.au/75-jonah-parade-deer-park-vic-3023-17739655
17745519,DEER PARK,3023,450,1955,"Friday, 19 September 2025",2025-09-03,6,3,1,1.0,House,76 Billingham Road,-37.758804,144.7683,2025-09-09 16:26:54,17745519,,8,0,0,False,House,House,YPA Estate Agents Sydenham,18194,"Cynthia Mercieca, Amanda Galea",,https://www.domain.com.au/76-billingham-road-deer-park-vic-3023-17745519
17749185,DEER PARK,3023,570,2470,"Wednesday, 03 September 2025",2025-09-05,4,4,2,2.0,House,30 Howard Place,-37.781284,144.7603,2025-09-09 16:26:54,17749185,,12,0,0,False,House,House,Harcourts SAS Deerpark,39092,"Nenad Kesic, Martin Vu","Secure Parking, Heating",https://www.domain.com.au/30-howard-place-deer-park-vic-3023-17749185
17749891,DEER PARK,3023,450,1956,"Thursday, 25 September 2025",2025-09-05,3,3,1,1.0,House,104 Robinsons Road,-37.769035,144.75671,2025-09-09 16:26:54,17749891,,14,1,0,False,House,House,Barry Plant Caroline Springs,11528,"Garnet Rodrigues, Property Management",,https://www.domain.com.au/104-robinsons-road-deer-park-vic-3023-17749891
17750017,DEER PARK,3023,440,1912,"Friday, 05 September 2025",2025-09-05,3,2,1,1.0,House,13/45A Hatchlands Drive,-37.777218,144.76122,2025-09-09 16:26:54,17750017,,11,0,0,False,House,House,Reliance Werribee,35358,"Vipul Gaba, Kamini Dogra","Gas, Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/13-45a-hatchlands-drive-deer-park-vic-3023-17750017
17751887,DEER PARK,3023,500,2173,"Monday, 15 September 2025",2025-09-08,1,3,2,2.0,Apartment / Unit / Flat,3/11 Crosslee Court,-37.761227,144.77368,2025-09-09 16:26:54,17751887,,9,0,0,False,Apartment,Apartment / Unit / Flat,OBrien Real Estate Deer Park,17811,Suzette Mackovski,"Secure Parking, Broadband internet access, Heating, Shed, Balcony / Deck, Built in wardrobes, Close to transport, Close to shops, Close to schools, Dishwasher",https://www.domain.com.au/3-11-crosslee-court-deer-park-vic-3023-17751887
17751970,DEER PARK,3023,500,2173,"Friday, 03 October 2025",2025-09-08,1,3,2,1.0,House,3/58 Billingham Rd,-37.759254,144.77133,2025-09-09 16:26:54,17751970,,7,0,0,False,House,House,Ryder Real Estate,4585,Lachlan Kerr,"Internal Laundry, Heating",https://www.domain.com.au/3-58-billingham-rd-deer-park-vic-3023-17751970
17752529,DEER PARK,3023,490,2129,"Friday, 03 October 2025",2025-09-08,0,3,1,4.0,House,27 Winnington Street,-37.759663,144.77074,2025-09-09 16:26:54,17752529,,11,0,0,True,House,House,First National Real Estate D & K ,15204,"Dorothy Schembri, Jordon Gillett",,https://www.domain.com.au/27-winnington-street-deer-park-vic-3023-17752529
17754101,DEER PARK,3023,600,2608,"Tuesday, 09 September 2025",2025-09-09,0,5,2,2.0,House,37 Buckhaven St,-37.78226,144.77132,2025-09-09 16:26:54,17754101,,15,1,0,False,House,House,Woodards Essendon,2743,Ashleigh Owens,"Secure Parking, Air conditioning, Garden / Courtyard, Outdoor Entertainment Area, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/37-buckhaven-st-deer-park-vic-3023-17754101
16864132,DEER PARK,3023,450,1955,"Friday, 25 July 2025",2025-07-25,46,2,1,1.0,Apartment / Unit / Flat,2/55 Hogan Street,-37.76832,144.76544,2025-09-09 16:26:58,16864132,GH-9471-XH,9,0,1,False,Apartment,Apartment / Unit / Flat,Burnham Real Estate Footscray,3381,Bryson De Guzman,"Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/2-55-hogan-street-deer-park-vic-3023-16864132
17612737,DEER PARK,3023,340,1477,"Monday, 16 June 2025",2025-06-10,91,1,1,1.0,Apartment / Unit / Flat,5/820 Ballarat Road,-37.769596,144.77304,2025-09-09 16:26:58,17612737,,6,0,0,False,Apartment,Apartment / Unit / Flat,OBrien Real Estate Deer Park,17811,Suzette Mackovski,"Built in wardrobes, Close to transport, Close to shops",https://www.domain.com.au/5-820-ballarat-road-deer-park-vic-3023-17612737
17654024,DEER PARK,3023,420,1825,"Saturday, 19 July 2025",2025-07-04,67,3,1,,House,25 Ferris Avenue,-37.75526,144.76918,2025-09-09 16:26:58,17654024,,3,0,0,False,House,House,YPA Estate Agents Sydenham,18194,"Cynthia Mercieca, Amanda Galea",Built in wardrobes,https://www.domain.com.au/25-ferris-avenue-deer-park-vic-3023-17654024
17676018,DEER PARK,3023,570,2477,"Monday, 28 July 2025",2025-07-18,53,4,2,2.0,House,12 Edward Street,-37.774628,144.76714,2025-09-09 16:26:58,17676018,,12,0,0,False,House,House,OBrien Real Estate Deer Park,17811,Suzette Mackovski,"Internal Laundry, Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Spa, Close to schools",https://www.domain.com.au/12-edward-street-deer-park-vic-3023-17676018
17689794,DEER PARK,3023,540,2347,"Tuesday, 16 September 2025",2025-07-29,42,3,2,2.0,House,4 Howard Place,-37.781136,144.75851,2025-09-09 16:26:58,17689794,,1,0,0,False,House,House,Barry Plant Caroline Springs,11528,"Garnet Rodrigues, Property Management","Secure Parking, Heating, Ensuite",https://www.domain.com.au/4-howard-place-deer-park-vic-3023-17689794
17715012,DEER PARK,3023,570,2477,"Thursday, 14 August 2025",2025-08-14,26,3,2,2.0,House,4 Corey Close,-37.776207,144.7611,2025-09-09 16:26:58,17715012,,11,0,1,False,House,House,OBrien Real Estate Deer Park,17811,Suzette Mackovski,"Secure Parking, Heating, Shed, Solar panels, Built in wardrobes, Close to transport, Close to shops, Alarm System, Close to schools, Ensuite, Kitchenette, Security System",https://www.domain.com.au/4-corey-close-deer-park-vic-3023-17715012
