listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11164722,DELAHEY,3037,,1473,,2021-03-17,1637,2,1,1.0,Apartment / Unit / Flat,3/54 McNicholl Way,-37.712574,144.7822,2025-09-09 16:33:22,11164722,BA-5247-LB,1,0,0,False,Apartment,Apartment / Unit / Flat,Regal Real Estate,12987,Tony  Barkho,Secure Parking,https://www.domain.com.au/3-54-mcnicholl-way-delahey-vic-3037-11164722
14146257,DELAHEY,3037,500.0,2167,"Wednesday, 23 July 2025",2025-07-15,56,3,1,1.0,Apartment / Unit / Flat,3/22 Hackett Court,-37.71107,144.77747,2025-09-09 16:33:22,14146257,JA-2733-KB,6,0,0,False,Apartment,Apartment / Unit / Flat,Biggin & Scott Deer Park,4688,Elena Mandalas,"Air conditioning, Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/3-22-hackett-court-delahey-vic-3037-14146257
16512589,DELAHEY,3037,500.0,2167,"Tuesday, 30 September 2025",2025-09-03,6,4,2,1.0,House,1 / 53 Shakespeare Drive,-37.72402,144.77615,2025-09-09 16:33:22,16512589,BA-1175-UX,7,0,0,False,House,House,Sweeney Estate Agents Caroline Springs,7932,David Zakryszka,"Heating, Dishwasher, Air conditioning, Alarm System, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/1-53-shakespeare-drive-delahey-vic-3037-16512589
17185781,DELAHEY,3037,,2173,,2024-08-30,375,3,2,2.0,House,7 Cowley Street,-37.715332,144.76787,2025-09-09 16:33:22,17185781,GD-0430-RY,9,0,0,False,House,House,Ray White Taylors Lakes,19113,Angela Travlos,Heating,https://www.domain.com.au/7-cowley-street-delahey-vic-3037-17185781
17638908,DELAHEY,3037,460.0,1999,"Tuesday, 08 July 2025",2025-06-25,76,3,2,1.0,House,6 Flint Crescent,-37.724533,144.76672,2025-09-09 16:33:22,17638908,,10,0,0,False,House,House,YPA Estate Agents Sydenham,18194,"Sienna Giannaula, Melanie Axiaq",,https://www.domain.com.au/6-flint-crescent-delahey-vic-3037-17638908
17690552,DELAHEY,3037,450.0,1955,"Tuesday, 29 July 2025",2025-08-14,26,3,1,2.0,House,16 Smart Court,-37.71719,144.7747,2025-09-09 16:33:22,17690552,,14,0,0,False,House,House,Area Specialist West,37887,"Jordan Chircop, Stephanie Scerri","Built in wardrobes, Heating",https://www.domain.com.au/16-smart-court-delahey-vic-3037-17690552
17706480,DELAHEY,3037,420.0,1825,"Saturday, 16 August 2025",2025-08-08,32,3,2,,House,6 Rye Court,-37.719566,144.76842,2025-09-09 16:33:22,17706480,,10,1,0,False,House,House,Barry Plant Caroline Springs,11528,"Garnet Rodrigues, Property Management","Air conditioning, Built in wardrobes, Gas, Internal Laundry, Heating",https://www.domain.com.au/6-rye-court-delahey-vic-3037-17706480
17706976,DELAHEY,3037,550.0,2390,"Thursday, 21 August 2025",2025-08-08,32,4,2,3.0,House,11 Barley Court,-37.718994,144.76692,2025-09-09 16:33:22,17706976,,13,0,0,False,House,House,OBrien Real Estate Deer Park,17811,Laura Gray,"Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Openable Windows",https://www.domain.com.au/11-barley-court-delahey-vic-3037-17706976
17720013,DELAHEY,3037,530.0,2302,"Monday, 18 August 2025",2025-08-18,22,3,2,5.0,House,4 Oat Close,-37.718914,144.76991,2025-09-09 16:33:22,17720013,,12,0,0,False,House,House,Barry Plant Taylors Lakes,4692,"Shari Jansz, Stephanie Karras","Secure Parking, Built in wardrobes, Alarm System, Evaporative Cooling, Ducted Heating",https://www.domain.com.au/4-oat-close-delahey-vic-3037-17720013
17726214,DELAHEY,3037,405.0,1759,"Tuesday, 02 September 2025",2025-08-21,19,2,1,1.0,Apartment / Unit / Flat,2/2 Montagu Way,-37.717175,144.78036,2025-09-09 16:33:22,17726214,,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant St Albans,4690,"Peter D'aloia, Diwa Kakar","Secure Parking, Air conditioning, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/2-2-montagu-way-delahey-vic-3037-17726214
