listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16169034,DIGGERS REST,3427,590.0,2564,"Tuesday, 30 September 2025",2025-08-28,12,4,2,3,House,8 Hero Street,-37.622643,144.7042,2025-09-09 16:52:10,16169034,SE-6034-DE,12,0,0,False,House,House,Raine & Horne Diggers Rest,34715,Ambika Sharma,,https://www.domain.com.au/8-hero-street-diggers-rest-vic-3427-16169034
16339172,DIGGERS REST,3427,480.0,2086,"Friday, 17 October 2025",2025-09-09,0,3,2,2,House,43 Bouquet Circuit,-37.622837,144.69699,2025-09-09 16:52:10,16339172,XT-0151-DE,10,0,0,False,House,House,Leading Real Estate Sunbury Pty Ltd,24193,Melanie Williams,"Secure Parking, Bath, Dishwasher",https://www.domain.com.au/43-bouquet-circuit-diggers-rest-vic-3427-16339172
16516253,DIGGERS REST,3427,540.0,2346,"Thursday, 25 September 2025",2025-09-01,8,3,2,2,House,17 Splendour Circuit,-37.62291,144.70193,2025-09-09 16:52:10,16516253,WJ-1653-NP,14,0,0,False,House,House,Raine & Horne Essendon,30128,"Adriana Tanzimat, Vanessa Borraccino","Secure Parking, Heating, Dishwasher, Ensuite",https://www.domain.com.au/17-splendour-circuit-diggers-rest-vic-3427-16516253
17239478,DIGGERS REST,3427,800.0,3476,"Friday, 29 August 2025",2025-08-27,13,7,2,6,House,7 Plumpton Road,-37.617485,144.71077,2025-09-09 16:52:10,17239478,TK-7911-WX,11,0,0,False,House,House,Raine & Horne Diggers Rest,34715,Ambika Sharma,,https://www.domain.com.au/7-plumpton-road-diggers-rest-vic-3427-17239478
17255882,DIGGERS REST,3427,,1825,"Wednesday, 16 October 2024",2024-10-16,328,3,1,1,House,23 Shoring Road,-37.622932,144.71135,2025-09-09 16:52:10,17255882,TA-2157-MT,10,0,0,False,House,House,AGENCY HQ Melbourne West,37657,"Nitin Babbar, Antony Varghese, Giji Antony","Built in wardrobes, Internal Laundry, Secure Parking, Bath, Fully fenced, Floorboards, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/23-shoring-road-diggers-rest-vic-3427-17255882
17665466,DIGGERS REST,3427,580.0,2520,"Friday, 22 August 2025",2025-07-11,60,4,2,2,House,4 Burrow Drive,-37.619083,144.70795,2025-09-09 16:52:10,17665466,,10,0,0,False,House,House,Raine & Horne Diggers Rest,34715,Ambika Sharma,"Air conditioning, Alarm System, Built in wardrobes, Bath, Heating, Dishwasher, Fully fenced, Garden / Courtyard, stone benches, 900mm oven, cameras & alarm, open plan living & kitchen",https://www.domain.com.au/4-burrow-drive-diggers-rest-vic-3427-17665466
17685650,DIGGERS REST,3427,750.0,3258,"Monday, 28 July 2025",2025-07-25,46,5,4,2,House,2 Wheat Street,-37.623634,144.70312,2025-09-09 16:52:10,17685650,,19,0,0,False,House,House,Reliance Sunbury,28273,"Ashley Mynard, Mitkul Singh","Pets Allowed, Study, Built in wardrobes, Close to shops, Close to schools",https://www.domain.com.au/2-wheat-street-diggers-rest-vic-3427-17685650
17687850,DIGGERS REST,3427,580.0,2521,"Wednesday, 20 August 2025",2025-07-28,43,4,2,2,House,13 Daffodil Crescent,-37.624424,144.69537,2025-09-09 16:52:10,17687850,,6,0,0,False,House,House,Barry Plant Gladstone Park,17270,"Simone Shiells, Shifa Rashid","Internal Laundry, Secure Parking, Bath, Heating, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/13-daffodil-crescent-diggers-rest-vic-3427-17687850
17710600,DIGGERS REST,3427,570.0,2477,"Friday, 29 August 2025",2025-08-12,28,4,2,2,House,114 Plumpton Road,-37.62469,144.70903,2025-09-09 16:52:10,17710600,,12,0,0,True,House,House,First National Real Estate D & K ,15204,"Dorothy Schembri, Jordon Gillett",,https://www.domain.com.au/114-plumpton-road-diggers-rest-vic-3427-17710600
17719567,DIGGERS REST,3427,700.0,3042,"Saturday, 30 August 2025",2025-09-09,0,5,2,2,House,61 Romulea Circuit,-37.6207,144.69489,2025-09-09 16:52:10,17719567,,22,0,1,False,House,House,Ray White Sunbury Pty Ltd,12373,Nowelle Dawson,"Secure Parking, Study, Built in wardrobes, Pets Allowed, Heating, Dishwasher, Fully fenced, Garden / Courtyard",https://www.domain.com.au/61-romulea-circuit-diggers-rest-vic-3427-17719567
17725354,DIGGERS REST,3427,490.0,2129,"Friday, 22 August 2025",2025-08-21,19,3,2,2,House,39 Banks Drive,-37.619343,144.70132,2025-09-09 16:52:10,17725354,,12,0,0,False,House,House,YPA Estate Agents Caroline Springs,21306,"Charlotte Ryder, Rental Department Caroline Springs","Built in wardrobes, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/39-banks-drive-diggers-rest-vic-3427-17725354
17727855,DIGGERS REST,3427,550.0,2390,"Friday, 29 August 2025",2025-08-22,18,3,2,2,House,62 Figwood Drive,-37.62125,144.69377,2025-09-09 16:52:10,17727855,,6,0,0,False,House,House,Ray White Sunbury Pty Ltd,12373,Nowelle Dawson,"Secure Parking, Floorboards, Built in wardrobes, Pets Allowed, Bath, Heating, Dishwasher, Fully fenced, Garden / Courtyard",https://www.domain.com.au/62-figwood-drive-diggers-rest-vic-3427-17727855
17741793,DIGGERS REST,3427,520.0,2260,"Saturday, 06 September 2025",2025-09-01,8,3,2,2,House,43 Civic St,-37.62044,144.7025,2025-09-09 16:52:10,17741793,,6,0,6,False,House,House,YPA SUNBURY,18193,Karen Neely,"Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/43-civic-st-diggers-rest-vic-3427-17741793
17745723,DIGGERS REST,3427,600.0,2607,"Wednesday, 03 September 2025",2025-09-03,6,4,2,4,House,84 Welcome Road,-37.620636,144.71349,2025-09-09 16:52:10,17745723,,15,0,0,False,House,House,Area Specialist West,37887,"Jordan Chircop, Stephanie Scerri","Heating, Dishwasher",https://www.domain.com.au/84-welcome-road-diggers-rest-vic-3427-17745723
