listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
9975633,DOCKLANDS,3008,700.0,3042.0,"Friday, 26 September 2025",2025-09-08,1,2.0,1.0,1.0,Apartment / Unit / Flat,101/8 Waterside Place,-37.81992,144.9422,2025-09-09 16:19:12,9975633,ZP-6608-VN,6,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Pelin Vural,"Car Accom: Single Security Parking, Heating: Gas Ducted Heating, Cooling: Evaporative Cooling, Cooking: Electric Hotplates & Gas Oven, Pool/Spa Count: 0",https://www.domain.com.au/101-8-waterside-place-docklands-vic-3008-9975633
14525659,DOCKLANDS,3008,760.0,,"Thursday, 02 October 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,801E/888 Collins Street,-37.8206,144.94243,2025-09-09 16:19:12,14525659,LM-1677-JC,10,0,0,False,Apartment,Apartment / Unit / Flat,Diamond Property Management,31578,James Ollaik,"Gas, Heating, Dishwasher, Balcony / Deck, Secure Parking",https://www.domain.com.au/801e-888-collins-street-docklands-vic-3008-14525659
16655490,DOCKLANDS,3008,550.0,2389.0,"Monday, 08 September 2025",2025-09-08,1,1.0,1.0,,Apartment / Unit / Flat,503E/888 Collins Street,-37.8206,144.94243,2025-09-09 16:19:12,16655490,MV-3508-NM,5,0,0,False,Apartment,Apartment / Unit / Flat,Apex Investment Alliance,19360,Elvis Ng,"Balcony, Outdoor Entertainment Area, Swimming Pool - Above Ground, Alarm System, Broadband Internet Available, Built in wardrobes, Dishwasher, Floorboards, Gym, Intercom, Air conditioning",https://www.domain.com.au/503e-888-collins-street-docklands-vic-3008-16655490
17199395,DOCKLANDS,3008,800.0,3476.0,"Monday, 22 September 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,1306/387 Docklands Drive,-37.813873,144.94077,2025-09-09 16:19:12,17199395,WT-0121-LD,17,0,1,False,Apartment,Apartment / Unit / Flat,1ST CHOICE PROPERTY,26976,"Gianluca Matarazzo, Karina Chan","Internal Laundry, Intercom, Ensuite(s), Above ground pool, Secure Parking, Balcony, Split system heating, Split system air conditioning, Gym, Built in wardrobes, Dishwasher",https://www.domain.com.au/1306-387-docklands-drive-docklands-vic-3008-17199395
17718544,DOCKLANDS,3008,530.0,2303.0,"Saturday, 16 August 2025",2025-08-16,24,1.0,1.0,,Apartment / Unit / Flat,816/677 La Trobe St,-37.814846,144.94728,2025-09-09 16:19:12,17718544,,10,0,0,False,Apartment,Apartment / Unit / Flat,L&M Property Co,36956,Nicky Karaman,,https://www.domain.com.au/816-677-la-trobe-st-docklands-vic-3008-17718544
17724160,DOCKLANDS,3008,560.0,,"Saturday, 20 September 2025",2025-08-20,20,1.0,1.0,,Apartment / Unit / Flat,708/3 Aquitania Way,-37.813625,144.94142,2025-09-09 16:19:12,17724160,,12,0,0,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Ruby Singh,"Study, Swimming Pool, Air conditioning, Balcony / Deck, Broadband internet access, Built in wardrobes, Dishwasher, Floorboards, Gym, Intercom",https://www.domain.com.au/708-3-aquitania-way-docklands-vic-3008-17724160
17726036,DOCKLANDS,3008,580.0,,"Friday, 05 September 2025",2025-08-21,19,1.0,1.0,,Apartment / Unit / Flat,3410A/100 Harbour Esplanade,-37.818577,144.94737,2025-09-09 16:19:12,17726036,,10,0,0,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Ruby Singh,"Internal Laundry, Dishwasher, Air conditioning, Balcony / Deck, Built in wardrobes, Intercom, Furnished",https://www.domain.com.au/3410a-100-harbour-esplanade-docklands-vic-3008-17726036
17746038,DOCKLANDS,3008,835.0,3628.0,"Monday, 15 September 2025",2025-09-03,5,1.0,1.0,,Apartment / Unit / Flat,1505/11 Maritime Place,-37.822987,144.95085,2025-09-09 16:19:12,17746038,,13,0,0,False,Apartment,Apartment / Unit / Flat,iCare Property Pty Ltd,36127,"Owen Jiang, Bobby Sung","Internal Laundry, Gym, Intercom, Study, Floorboards, Built in wardrobes, Dishwasher, Balcony, City Views",https://www.domain.com.au/1505-11-maritime-place-docklands-vic-3008-17746038
17746040,DOCKLANDS,3008,835.0,3628.0,"Monday, 15 September 2025",2025-09-03,5,1.0,1.0,,Apartment / Unit / Flat,1505/11 Maritime Place,-37.822987,144.95085,2025-09-09 16:19:12,17746040,,13,0,0,False,Apartment,Apartment / Unit / Flat,ICARE Real Estate,37850,"Owen Jiang, Bobby Sung","Internal Laundry, Gym, Intercom, Study, Floorboards, Built in wardrobes, Dishwasher, Balcony, City Views",https://www.domain.com.au/1505-11-maritime-place-docklands-vic-3008-17746040
17750453,DOCKLANDS,3008,790.0,,"Saturday, 06 September 2025",2025-09-08,1,2.0,2.0,2.0,Apartment / Unit / Flat,246/8 Waterside Place,-37.81992,144.9422,2025-09-09 16:19:12,17750453,,17,0,1,False,Apartment,Apartment / Unit / Flat,buymyplace,17238,buymyplace .,"Balcony / Deck, Ensuite, Dishwasher, Built in wardrobes, Floorboards, Living area, Gym, Broadband internet access, Intercom, Indoor Spa, Air conditioning, Heating, Hot water service, Garage spaces: 2",https://www.domain.com.au/246-8-waterside-place-docklands-vic-3008-17750453
