listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16561254,DONCASTER,3108,795.0,3454.0,"Friday, 19 September 2025",2025-09-09,0,4,3,2,House,41 Pettys Lane,-37.79115,145.11263,2025-09-09 16:35:34,16561254,NO-3107-TN,8,0,0,False,House,House,Harcourts Manningham,33307,Sevda Edraki,Secure Parking,https://www.domain.com.au/41-pettys-lane-doncaster-vic-3108-16561254
17190655,DONCASTER,3108,665.0,2890.0,"Wednesday, 01 October 2025",2025-09-04,5,2,2,1,Apartment / Unit / Flat,206/8 Clay Drive,-37.78812,145.12825,2025-09-09 16:35:34,17190655,RT-6438-AI,8,0,1,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Damian Gattone, Nonny Junsomran","Gas, Internal Laundry, Intercom, Floorboards, Built in wardrobes, Dishwasher, Broadband, Bathtub, Split System Heating, Split System Air Conditioning, Electric Hot Water, Ensuite(s), Balcony, Remote Garage, Secure Parking, Valley Views",https://www.domain.com.au/206-8-clay-drive-doncaster-vic-3108-17190655
17452588,DONCASTER,3108,700.0,3042.0,"Monday, 29 September 2025",2025-09-08,1,3,1,2,House,2/26 Kiewa Street,-37.788948,145.13976,2025-09-09 16:35:34,17452588,ZY-5281-ET,6,0,0,False,House,House,Barry Plant Manningham,7015,"Nonny Junsomran, Nick Mallisioras","Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/2-26-kiewa-street-doncaster-vic-3108-17452588
17724744,DONCASTER,3108,650.0,2824.0,"Friday, 22 August 2025",2025-08-20,19,2,2,2,Apartment / Unit / Flat,103/632 Doncaster Road,-37.78752,145.12662,2025-09-09 16:35:34,17724744,,8,0,0,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Lachie Hollamby,Balcony / Deck,https://www.domain.com.au/103-632-doncaster-road-doncaster-vic-3108-17724744
17725963,DONCASTER,3108,830.0,3607.0,"Saturday, 20 September 2025",2025-08-21,19,4,2,2,House,13 Cason Street,-37.77849,145.11891,2025-09-09 16:35:34,17725963,,11,0,0,False,House,House, Woodards Manningham ,21971,"Virginia Sier, Manningham Rentals","Split System Air Con, Split System Heating, Dishwasher, Floorboards, Fully fenced, Gas, Outdoor Entertainment Area, Pets Allowed, Secure Parking, Built in wardrobes, Air conditioning, Study, Garden / Courtyard, Ensuite",https://www.domain.com.au/13-cason-street-doncaster-vic-3108-17725963
17729730,DONCASTER,3108,745.0,3237.0,"Wednesday, 03 September 2025",2025-08-25,15,4,2,2,House,7 Harcourt Street,-37.789547,145.11237,2025-09-09 16:35:34,17729730,,7,0,0,False,House,House,Hudson Bond,15409,Hudson Bond Rentals,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Car Parking - Surface, Openable Windows, Toilet Facilities, Window Treatments",https://www.domain.com.au/7-harcourt-street-doncaster-vic-3108-17729730
17746454,DONCASTER,3108,795.0,3454.0,"Friday, 12 September 2025",2025-09-04,5,3,2,2,Townhouse,4/723 Elgar Road,-37.794964,145.11923,2025-09-09 16:35:34,17746454,,13,0,1,False,Townhouse/Villa,Townhouse,Woodards Blackburn,3599,"Amy Hu, Angelica Martinez","Secure Parking, Heating, Air conditioning, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards, Ensuite",https://www.domain.com.au/4-723-elgar-road-doncaster-vic-3108-17746454
17747000,DONCASTER,3108,650.0,2824.0,"Sunday, 28 September 2025",2025-09-04,5,2,2,1,Apartment / Unit / Flat,11/872 Doncaster Road,-37.78737,145.12477,2025-09-09 16:35:34,17747000,,10,0,1,False,Apartment,Apartment / Unit / Flat,Noel Jones Doncaster,11515,"Rentals Noel Jones Doncaster, Michelle D'Assisi","Internal Laundry, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Intercom, Remote Garage, Reverse Cycle Air Conditioning, Air conditioning, Secure Parking",https://www.domain.com.au/11-872-doncaster-road-doncaster-vic-3108-17747000
17748321,DONCASTER,3108,1100.0,4780.0,"Monday, 29 September 2025",2025-09-05,4,5,3,2,House,1A Glenfern Avenue,-37.779,145.10414,2025-09-09 16:35:34,17748321,,6,0,0,False,House,House,Barry Plant Manningham,7015,"Nonny Junsomran, Alex Fassos","Gas, Secure Parking, Heating, Dishwasher, Bathtub",https://www.domain.com.au/1a-glenfern-avenue-doncaster-vic-3108-17748321
17748742,DONCASTER,3108,700.0,3042.0,"Monday, 13 October 2025",2025-09-05,4,2,2,2,Apartment / Unit / Flat,G03/20 Hepburn Road,-37.788387,145.12927,2025-09-09 16:35:34,17748742,,7,0,1,False,Apartment,Apartment / Unit / Flat,VICPROP Manningham,29196,Kaan Arel,"Internal Laundry, Secure Parking, Intercom, Heating, Study, Balcony / Deck",https://www.domain.com.au/g03-20-hepburn-road-doncaster-vic-3108-17748742
17749156,DONCASTER,3108,650.0,2824.0,"Friday, 05 September 2025",2025-09-05,4,3,2,1,Townhouse,54 Harvest Court,-37.77453,145.1293,2025-09-09 16:35:34,17749156,,10,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Croydon,12205,Lisa Quigley,"Gas, Internal Laundry, Secure Parking, Dishwasher, Balcony / Deck, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/54-harvest-court-doncaster-vic-3108-17749156
17752212,DONCASTER,3108,395.0,1716.0,"Monday, 08 September 2025",2025-09-08,1,1,1,1,Apartment / Unit / Flat,13/10-16 Wetherby Road,-37.788055,145.14378,2025-09-09 16:35:34,17752212,,10,0,0,False,Apartment,Apartment / Unit / Flat,Haughton Stotts Real Estate,11284,Peter Ricardo,"Built in wardrobes, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/13-10-16-wetherby-road-doncaster-vic-3108-17752212
17752620,DONCASTER,3108,910.0,3954.0,"Friday, 17 October 2025",2025-09-09,0,3,2,2,Townhouse,13 Hillingdon Crescent,-37.783604,145.106,2025-09-09 16:35:34,17752620,,10,0,0,False,Townhouse/Villa,Townhouse,RT Edgar Manningham,30446,Christie Joannides,"Air conditioning, Built in wardrobes, Garden / Courtyard, Dishwasher, Remote Garage, Gas",https://www.domain.com.au/13-hillingdon-crescent-doncaster-vic-3108-17752620
