listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14573417,DONCASTER EAST,3109,570.0,2477.0,"Wednesday, 24 September 2025",2025-08-29,11,2,1,1,Apartment / Unit / Flat,106/956 Doncaster Road,-37.788742,145.15694,2025-09-09 16:42:42,14573417,XF-0273-MB,6,0,0,False,Apartment,Apartment / Unit / Flat,Raine & Horne Brunswick Sales,5247,Sia Neveskiotis,"Intercom, Heating, Air conditioning, Ensuite, Built in wardrobes",https://www.domain.com.au/106-956-doncaster-road-doncaster-east-vic-3109-14573417
16110079,DONCASTER EAST,3109,600.0,2607.0,"Friday, 26 September 2025",2025-09-03,6,2,2,1,Apartment / Unit / Flat,G04/190 Reynolds Road,-37.76396,145.16852,2025-09-09 16:42:42,16110079,,11,0,1,False,Apartment,Apartment / Unit / Flat,LongView Real Estate,7797,Alison Ball,"Gas, Study, Floorboards, Built in wardrobes, Dishwasher, Broadband, Split System Air Conditioning, Ensuite(s), Balcony, Secure Parking",https://www.domain.com.au/g04-190-reynolds-road-doncaster-east-vic-3109-16110079
17685541,DONCASTER EAST,3109,720.0,3129.0,"Friday, 05 September 2025",2025-07-25,46,4,2,2,House,4 Streeton Lane,-37.777287,145.16887,2025-09-09 16:42:42,17685541,,8,0,0,False,House,House,Jellis Craig Whitehorse,20157,"Hayley Cleeman, Karen Boltadzija",Dishwasher,https://www.domain.com.au/4-streeton-lane-doncaster-east-vic-3109-17685541
17716424,DONCASTER EAST,3109,1200.0,5214.0,"Monday, 15 September 2025",2025-08-14,25,4,2,2,House,4 Timms Place,-37.753834,145.16856,2025-09-09 16:42:42,17716424,,9,0,1,False,House,House,Forge Group Australia Pty Ltd,32680,Wayne Deng,"Deck, Fully fenced, Outdoor Entertainment Area, Broadband Internet Available, Built in wardrobes, Floorboards, Study, Air conditioning",https://www.domain.com.au/4-timms-place-doncaster-east-vic-3109-17716424
17724021,DONCASTER EAST,3109,825.0,3585.0,"Monday, 01 September 2025",2025-08-20,20,4,2,2,House,12 Snow Gum Road,-37.785534,145.17178,2025-09-09 16:42:42,17724021,,10,0,1,False,House,House, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,Secure Parking,https://www.domain.com.au/12-snow-gum-road-doncaster-east-vic-3109-17724021
17725953,DONCASTER EAST,3109,1200.0,5214.0,"Wednesday, 10 September 2025",2025-08-21,19,4,3,2,House,11 Heysen Court,-37.77759,145.1718,2025-09-09 16:42:42,17725953,,9,0,0,True,House,House, Woodards Manningham ,21971,"Virginia Sier, Manningham Rentals","Fireplace(s), Air conditioning, Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Fully fenced, Gas, Outdoor Entertainment Area, Swimming Pool, Ensuite",https://www.domain.com.au/11-heysen-court-doncaster-east-vic-3109-17725953
17729864,DONCASTER EAST,3109,790.0,3433.0,"Thursday, 25 September 2025",2025-08-25,15,3,2,2,House,16 Gainsborough Street,-37.783173,145.15555,2025-09-09 16:42:42,17729864,,15,0,1,False,House,House,First National Avant - Box Hill,33756,Isabelle Chan,"Air conditioning, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/16-gainsborough-street-doncaster-east-vic-3109-17729864
17733816,DONCASTER EAST,3109,1050.0,4562.0,"Wednesday, 10 September 2025",2025-08-27,13,4,2,2,House,53 Tracey Street,-37.784473,145.15479,2025-09-09 16:42:42,17733816,,21,0,0,False,House,House,Woodards Blackburn,3599,"Jade Whiting, Angelica Martinez","Internal Laundry, Heating, Shed, Balcony / Deck",https://www.domain.com.au/53-tracey-street-doncaster-east-vic-3109-17733816
17736237,DONCASTER EAST,3109,580.0,,"Tuesday, 30 September 2025",2025-08-28,12,2,2,1,Apartment / Unit / Flat,202/210 Reynolds Road,-37.764088,145.16933,2025-09-09 16:42:42,17736237,,14,0,1,False,Apartment,Apartment / Unit / Flat,Maycorp Property,36445,Leasing Team,"Balcony, Remote Garage, Secure Parking, Broadband Internet Available, Built in wardrobes, Dishwasher, Floorboards, Intercom, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/202-210-reynolds-road-doncaster-east-vic-3109-17736237
17738109,DONCASTER EAST,3109,650.0,2824.0,"Monday, 31 August 2026",2025-08-29,11,3,1,2,Townhouse,2/43 Paula Crescent,-37.800106,145.16805,2025-09-09 16:42:42,17738109,,6,0,0,False,Townhouse/Villa,Townhouse,JA CAIN,3524,Louise Lasscock,"Built in wardrobes, Gas, Internal Laundry, Heating",https://www.domain.com.au/2-43-paula-crescent-doncaster-east-vic-3109-17738109
