listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12873883,DOREEN,3754,530,2303.0,"Thursday, 14 August 2025",2025-09-04,5,4,2,2,House,10 Aria Court,-37.59599,145.1139,2025-09-09 17:02:01,12873883,BI-1017-AW,6,0,0,False,House,House,LITTLE Real Estate Victoria,24974,Amira Khatoun,"Car Accom: Double Garage, Heating: Gas Ducted Heating, Cooling: Reverse Cycle Air Conditioning",https://www.domain.com.au/10-aria-court-doreen-vic-3754-12873883
15428464,DOREEN,3754,600,2607.0,"Monday, 29 September 2025",2025-09-08,1,4,2,2,House,17 Dunraven Crescent,-37.602863,145.12015,2025-09-09 17:02:01,15428464,SP-1249-GE,6,0,0,False,House,House,Ray White South Morang,12623,Lauren Gray,"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/17-dunraven-crescent-doreen-vic-3754-15428464
15888410,DOREEN,3754,580,2520.0,"Wednesday, 24 September 2025",2025-08-29,11,4,2,2,House,188 Hazel Glen Drive,-37.588196,145.11737,2025-09-09 17:02:01,15888410,FQ-5818-KT,15,0,0,False,House,House,Ray White Mernda,33841,Rental Department Mernda,Ensuite,https://www.domain.com.au/188-hazel-glen-drive-doreen-vic-3754-15888410
16691190,DOREEN,3754,625,2716.0,"Wednesday, 10 September 2025",2025-09-04,5,4,2,2,House,33 Eliot avenue,-37.57998,145.12866,2025-09-09 17:02:01,16691190,RI-5651-TQ,7,0,0,False,House,House,Ray White South Morang,12623,Ishan Jinadasa,"Built in wardrobes, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/33-eliot-avenue-doreen-vic-3754-16691190
17700464,DOREEN,3754,515,2238.0,"Wednesday, 06 August 2025",2025-09-02,7,3,2,1,House,20 Bear Crescent,-37.582905,145.11934,2025-09-09 17:02:01,17700464,,11,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Secure Parking, Heating, Solar panels",https://www.domain.com.au/20-bear-crescent-doreen-vic-3754-17700464
17707480,DOREEN,3754,580,2520.0,"Monday, 11 August 2025",2025-08-08,32,4,2,2,House,58 Yellow Brick Road,-37.60698,145.1348,2025-09-09 17:02:01,17707480,,6,0,0,False,House,House,Ray White Doreen,7283,"Kenzie Grech, Rachel Menzies","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/58-yellow-brick-road-doreen-vic-3754-17707480
17735061,DOREEN,3754,550,2390.0,"Wednesday, 27 August 2025",2025-08-27,13,3,2,2,House,22 Atwood St,-37.6099,145.12894,2025-09-09 17:02:01,17735061,,8,0,0,False,House,House,Ray White Bundoora,12449,"Josiah Donato, Agnes Ale",,https://www.domain.com.au/22-atwood-st-doreen-vic-3754-17735061
17742378,DOREEN,3754,580,2520.0,"Monday, 15 September 2025",2025-09-02,7,4,2,2,House,16 Windermere Parade,-37.60537,145.12549,2025-09-09 17:02:01,17742378,,7,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Secure Parking, Heating",https://www.domain.com.au/16-windermere-parade-doreen-vic-3754-17742378
17744347,DOREEN,3754,595,2586.0,"Wednesday, 03 September 2025",2025-09-03,6,3,2,2,House,13 Eliot Avenue,-37.580273,145.1311,2025-09-09 17:02:01,17744347,,6,0,0,False,House,House,Ray White Doreen,7283,"Rachel Menzies, Kenzie Grech","Gas, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/13-eliot-avenue-doreen-vic-3754-17744347
17744937,DOREEN,3754,530,2303.0,"Monday, 29 September 2025",2025-09-03,6,3,3,2,Townhouse,2/48 Elderfield Circuit,-37.613087,145.13496,2025-09-09 17:02:01,17744937,,7,0,0,False,Townhouse/Villa,Townhouse,Morrison Kleeman Estate Agents,4241,"Claudia Newcombe, Sarah Barclay","Secure Parking, Dishwasher",https://www.domain.com.au/2-48-elderfield-circuit-doreen-vic-3754-17744937
17745012,DOREEN,3754,560,2433.0,"Tuesday, 16 September 2025",2025-09-03,6,4,2,2,House,10 Mollison Drive,-37.58141,145.12154,2025-09-09 17:02:01,17745012,,3,0,1,False,House,House,Morrison Kleeman Estate Agents,4241,"Claudia Newcombe, Sarah Barclay","Secure Parking, Heating, Study",https://www.domain.com.au/10-mollison-drive-doreen-vic-3754-17745012
17745105,DOREEN,3754,530,2303.0,"Thursday, 16 October 2025",2025-09-03,6,3,2,2,House,13 Meander Road,-37.60909,145.11551,2025-09-09 17:02:01,17745105,,6,0,0,False,House,House,Morrison Kleeman Estate Agents,4241,"Claudia Newcombe, Sarah Barclay",,https://www.domain.com.au/13-meander-road-doreen-vic-3754-17745105
17746442,DOREEN,3754,540,2346.0,"Thursday, 02 October 2025",2025-09-04,5,3,2,2,House,6 Heronvale Court,-37.606564,145.11359,2025-09-09 17:02:01,17746442,,1,0,0,False,House,House,Morrison Kleeman Estate Agents,4241,Jessika Watkins,Balcony / Deck,https://www.domain.com.au/6-heronvale-court-doreen-vic-3754-17746442
17747721,DOREEN,3754,550,2390.0,"Friday, 12 September 2025",2025-09-04,5,4,2,2,House,32 Peterborough Drive,-37.5789,145.12607,2025-09-09 17:02:01,17747721,,3,0,0,False,House,House,Morrison Kleeman Estate Agents,4241,"Rosetta Stavris, Tanya Eiken","Secure Parking, Bath, Heating",https://www.domain.com.au/32-peterborough-drive-doreen-vic-3754-17747721
17750134,DOREEN,3754,540,2346.0,"Friday, 12 September 2025",2025-09-05,3,3,2,2,House,28 Garden Road,-37.610477,145.1315,2025-09-09 17:02:01,17750134,,8,0,1,False,House,House,Chwyla,37349,"Bri McIntyre, Hayley Baker","Secure Parking, Heating, Balcony / Deck, Built in wardrobes, Ensuite, Roller Door Access, Security System, Dishwasher, Floorboards, Study",https://www.domain.com.au/28-garden-road-doreen-vic-3754-17750134
17750597,DOREEN,3754,630,2738.0,"Monday, 20 October 2025",2025-09-08,1,4,2,2,House,93 Fortress Road,-37.607647,145.12357,2025-09-09 17:02:01,17750597,,10,0,1,False,House,House,Chwyla,37349,Morgan Carroll,"Internal Laundry, Pets Allowed, Secure Parking, Heating, Balcony / Deck, Built in wardrobes, Ensuite, Dishwasher",https://www.domain.com.au/93-fortress-road-doreen-vic-3754-17750597
17751787,DOREEN,3754,580,,"Wednesday, 01 October 2025",2025-09-08,1,4,2,2,House,9/52 Waterway Boulevard,-37.58947,145.12665,2025-09-09 17:02:01,17751787,,5,0,0,False,House,House,Harcourts Hume,22388,Maria Zamanis,"Secure Parking, Intercom, Broadband internet access, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/9-52-waterway-boulevard-doreen-vic-3754-17751787
17752229,DOREEN,3754,630,,"Friday, 26 September 2025",2025-09-08,1,4,2,2,House,6 Woodridge Crescent,-37.603592,145.11026,2025-09-09 17:02:01,17752229,,12,0,2,True,House,House,Stone Real Estate Whittlesea,1195,"Jessica Conte-Singh, Chloe Dwyer-Fraser","Secure Parking, Heating",https://www.domain.com.au/6-woodridge-crescent-doreen-vic-3754-17752229
17752677,DOREEN,3754,650,2824.0,"Monday, 22 September 2025",2025-09-09,0,4,2,4,House,14 Ballet Street,-37.6094,145.12186,2025-09-09 17:02:01,17752677,,11,0,0,False,House,House,Buckingham & Company,12165,Bianca Bowden,"Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/14-ballet-street-doreen-vic-3754-17752677
17752894,DOREEN,3754,530,2303.0,"Friday, 19 September 2025",2025-09-09,0,4,2,2,Townhouse,11 Composites Lane,-37.614952,145.12173,2025-09-09 17:02:01,17752894,,11,0,1,False,Townhouse/Villa,Townhouse,Morrison Kleeman Estate Agents,4241,"Ben Seivers, Claudia Newcombe","Internal Laundry, Secure Parking",https://www.domain.com.au/11-composites-lane-doreen-vic-3754-17752894
15381214,DOREEN,3754,500,2173.0,"Wednesday, 06 August 2025",2025-07-22,49,3,2,1,Apartment / Unit / Flat,7/10 Heywood Street,-37.6013,145.12148,2025-09-09 17:02:06,15381214,TT-6836-NH,10,0,0,False,Apartment,Apartment / Unit / Flat,Love & Co Mill Park,7119,Merve Ozer,"Secure Parking, Heating, Dishwasher, Shed",https://www.domain.com.au/7-10-heywood-street-doreen-vic-3754-15381214
17593474,DOREEN,3754,1100,9560.0,"Monday, 23 June 2025",2025-05-27,105,5,2,2,House,28-32 Laurimar Hill Drive,-37.5773,145.14108,2025-09-09 17:02:06,17593474,SO-7304-IS,9,0,1,False,House,House,Chwyla,37349,Morgan Carroll,"Secure Parking, Swimming Pool, Fully fenced, Built in wardrobes, Ensuite, Dishwasher, Floorboards",https://www.domain.com.au/28-32-laurimar-hill-drive-doreen-vic-3754-17593474
17640097,DOREEN,3754,280,1120.0,"Thursday, 26 June 2025",2025-06-26,75,1,1,1,Studio,34 Byre Street,-37.609715,145.12221,2025-09-09 17:02:06,17640097,,20,0,0,False,Apartment,Studio,The Hopkins Group,17841,James Hickey,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Vacuum System, Close to schools, Ensuite, Security Access, Furnished, Carpeted, Exhaust, Toilet Facilities, Broadband Internet Available, Pay TV Access, Floorboards, Fully fenced",https://www.domain.com.au/34-byre-street-doreen-vic-3754-17640097
