listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15084012,DOVETON,3177,460,1999,"Saturday, 20 September 2025",2025-09-08,1,3,1,2,House,17 Boobyalla Street,-37.98874,145.23622,2025-09-09 17:07:26,15084012,YK-9086-QX,8,0,0,False,House,House,Grant's Estate Agents - Berwick,8681,Rentals Reception,"Heating, Shed, Air conditioning, Secure Parking",https://www.domain.com.au/17-boobyalla-street-doveton-vic-3177-15084012
16113408,DOVETON,3177,475,2046,"Tuesday, 12 August 2025",2025-08-14,26,3,1,1,House,15 Ash Street,-37.991295,145.23958,2025-09-09 17:07:26,16113408,TV-3410-EB,8,0,0,False,House,House,Century 21 Wilson Pride,16761,Justin Wright,"Built in wardrobes, Secure Parking, Bath, Heating",https://www.domain.com.au/15-ash-street-doveton-vic-3177-16113408
16840642,DOVETON,3177,450,1955,"Tuesday, 16 September 2025",2025-09-09,0,2,1,1,House,75 Ash Street,-37.99175,145.24489,2025-09-09 17:07:26,16840642,RJ-4107-GM,17,0,0,False,House,House,Century 21 Wilson Pride,16761,Julia Moshinsky,"Heating, Air conditioning",https://www.domain.com.au/75-ash-street-doveton-vic-3177-16840642
17492456,DOVETON,3177,520,2260,"Wednesday, 27 August 2025",2025-08-27,13,3,1,2,House,4 Capella Close,-37.99088,145.25021,2025-09-09 17:07:26,17492456,PE-6152-AB,11,0,0,False,House,House,Hall & Partners First National Dandenong,17903,Kelly Cull,"Secure Parking, Bath",https://www.domain.com.au/4-capella-close-doveton-vic-3177-17492456
17694493,DOVETON,3177,620,2694,"Monday, 04 August 2025",2025-07-31,40,3,2,2,Townhouse,1 Mannifera Street,-37.99536,145.23015,2025-09-09 17:07:26,17694493,,8,0,0,False,Townhouse/Villa,Townhouse,Area Specialist Keysborough,31225,Property Management,"Internal Laundry, Secure Parking, Bath",https://www.domain.com.au/1-mannifera-street-doveton-vic-3177-17694493
17700236,DOVETON,3177,630,2738,"Friday, 08 August 2025",2025-08-05,35,4,2,2,Townhouse,14 Deodar Street,-37.99561,145.22974,2025-09-09 17:07:26,17700236,,10,0,0,False,Townhouse/Villa,Townhouse,"Barry Plant Noble Park, Keysborough & Dandenong",17354,"Rental Dept - Barry Plant Noble Park, Investor Concierge Casee Heath","Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Remote Garage",https://www.domain.com.au/14-deodar-street-doveton-vic-3177-17700236
17703403,DOVETON,3177,585,2542,"Friday, 08 August 2025",2025-08-06,34,2,2,1,Apartment / Unit / Flat,2/10 Ash Street,-37.99132,145.23999,2025-09-09 17:07:26,17703403,,9,0,0,False,Apartment,Apartment / Unit / Flat,Platinum Real Estate,21900,Leasing Department,"Built in wardrobes, Bath, Dishwasher",https://www.domain.com.au/2-10-ash-street-doveton-vic-3177-17703403
17706188,DOVETON,3177,650,2824,"Thursday, 07 August 2025",2025-08-07,32,4,2,2,House,26 Deodar Street,-37.995556,145.22925,2025-09-09 17:07:26,17706188,,12,0,0,False,House,House,Professionals First & Co,29341,"Jing Chong, William Zhao","Pets Allowed, Secure Parking, Heating",https://www.domain.com.au/26-deodar-street-doveton-vic-3177-17706188
17707427,DOVETON,3177,520,2253,"Friday, 29 August 2025",2025-08-08,32,3,1,4,House,57 Box Street,-37.996296,145.23166,2025-09-09 17:07:26,17707427,,7,0,0,False,House,House,Gr8 Est8 Agents,30606,"Fi Selimi, Dash Muaremov","Heating, Fully fenced",https://www.domain.com.au/57-box-street-doveton-vic-3177-17707427
17708931,DOVETON,3177,695,3020,"Wednesday, 03 September 2025",2025-08-11,29,4,3,3,Townhouse,1C Moonah Court,-37.990597,145.24567,2025-09-09 17:07:26,17708931,,12,0,0,False,Townhouse/Villa,Townhouse,Hall & Partners First National Dandenong,17903,Frances Sofra,"Built in wardrobes, Internal Laundry, Secure Parking, Gym, Heating, Dishwasher, Shed",https://www.domain.com.au/1c-moonah-court-doveton-vic-3177-17708931
17711848,DOVETON,3177,650,2824,"Tuesday, 12 August 2025",2025-08-12,28,4,2,2,House,18 Deodar Street,-37.995594,145.22958,2025-09-09 17:07:26,17711848,,13,0,0,False,House,House,Harcourts Asap Group,29204,Reception Asap,,https://www.domain.com.au/18-deodar-street-doveton-vic-3177-17711848
17714622,DOVETON,3177,550,2389,"Thursday, 14 August 2025",2025-08-14,26,3,1,1,House,18 Liquidamber Street,-37.982754,145.23842,2025-09-09 17:07:26,17714622,,10,0,0,False,House,House,Harcourts Asap Group,29204,Reception Asap,,https://www.domain.com.au/18-liquidamber-street-doveton-vic-3177-17714622
17726965,DOVETON,3177,500,2173,"Monday, 25 August 2025",2025-08-21,18,3,1,2,House,7 Stenocarpus Drive,-37.993587,145.23253,2025-09-09 17:07:26,17726965,,15,0,0,False,House,House,Century 21 Wilson Pride,16761,Julia Moshinsky,"Gas, Internal Laundry, Secure Parking, Air conditioning",https://www.domain.com.au/7-stenocarpus-drive-doveton-vic-3177-17726965
17727942,DOVETON,3177,495,2151,"Friday, 29 August 2025",2025-08-22,18,3,1,2,House,43 Tristania Street,-37.991714,145.24217,2025-09-09 17:07:26,17727942,,6,0,0,False,House,House,Hall & Partners First National Dandenong,17903,Joanna Karow,,https://www.domain.com.au/43-tristania-street-doveton-vic-3177-17727942
17731429,DOVETON,3177,600,2607,"Tuesday, 07 October 2025",2025-08-26,14,4,1,1,House,1/11 Catalpa Street,-37.993355,145.23572,2025-09-09 17:07:26,17731429,,7,0,0,False,House,House,Platinum Real Estate,21900,Leasing Department,"Heating, Shed, Air conditioning, Close to transport, Close to shops, Close to schools, Furnished, Floorboards",https://www.domain.com.au/1-11-catalpa-street-doveton-vic-3177-17731429
17731811,DOVETON,3177,475,2064,"Monday, 01 September 2025",2025-08-26,14,2,1,1,House,,-37.98768,145.23941,2025-09-09 17:07:26,17731811,,8,0,0,False,House,House,Platinum Real Estate,21900,Leasing Department,"Gas, Internal Laundry, Secure Parking, Bath, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/doveton-vic-3177-17731811
17741683,DOVETON,3177,420,1825,"Saturday, 04 October 2025",2025-09-01,8,3,1,1,Apartment / Unit / Flat,1/9 Rose Drive,-37.992714,145.23262,2025-09-09 17:07:26,17741683,,7,1,0,False,Apartment,Apartment / Unit / Flat,"Barry Plant Noble Park, Keysborough & Dandenong",17354,"Rental Dept - Barry Plant Noble Park, Investor Concierge Casee Heath","Gas, Ducted Heating",https://www.domain.com.au/1-9-rose-drive-doveton-vic-3177-17741683
17741815,DOVETON,3177,500,2173,"Wednesday, 01 October 2025",2025-09-01,8,3,1,2,House,40 Kanooka Grove,-37.995693,145.23555,2025-09-09 17:07:26,17741815,,8,0,0,False,House,House,MATRIX GLOBAL INVESTMENT GROUP MELBOURNE PTY LTD,30850,"Kenny Wu, Tony Gao",,https://www.domain.com.au/40-kanooka-grove-doveton-vic-3177-17741815
