listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17581314,DROMANA,3936,550,2390.0,"Friday, 23 May 2025",2025-05-20,112,4,1.0,2.0,House,2 Bellmare Ave,-38.332478,144.9785,2025-09-09 17:11:45,17581314,MB-7454-CZ,6,0,0,False,House,House,Basso Real Estate,26379,Jessica Haines,"Built in wardrobes, Internal Laundry, Bath, Fireplace(s), Shed",https://www.domain.com.au/2-bellmare-ave-dromana-vic-3936-17581314
17617198,DROMANA,3936,695,3020.0,"Tuesday, 01 July 2025",2025-06-12,89,3,2.0,2.0,House,12 Coleus Street,-38.338642,144.97823,2025-09-09 17:11:45,17617198,,12,0,0,False,House,House,Bennetts Real Estate Dromana,32370,Rentals @ Bennetts,"Gas, Dishwasher, Balcony / Deck",https://www.domain.com.au/12-coleus-street-dromana-vic-3936-17617198
17661195,DROMANA,3936,845,3672.0,"Friday, 01 August 2025",2025-07-09,62,4,4.0,2.0,Townhouse,11A Anthony Street,-38.335274,144.9652,2025-09-09 17:11:45,17661195,,13,1,1,False,Townhouse/Villa,Townhouse,Belle Property Dromana,32621,"Leanne Devlin, Liliana Patane","Gas, Internal Laundry, Secure Parking, Intercom, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/11a-anthony-street-dromana-vic-3936-17661195
17664234,DROMANA,3936,420,,"Wednesday, 23 July 2025",2025-07-11,60,2,1.0,1.0,Apartment / Unit / Flat,15/131 Nepean Highway,-38.33018,144.99374,2025-09-09 17:11:45,17664234,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Mornington,20786,Frances Pingiaro,"Gas, Heating, Shed",https://www.domain.com.au/15-131-nepean-highway-dromana-vic-3936-17664234
17670591,DROMANA,3936,450,1955.0,"Tuesday, 22 July 2025",2025-07-16,55,2,1.0,1.0,Apartment / Unit / Flat,3/4 Marcus Street,-38.33545,144.96335,2025-09-09 17:11:45,17670591,,9,0,1,False,Apartment,Apartment / Unit / Flat,Ash Marton Realty,19254,"Portia Pym, Kevin Ljungberg","Built in wardrobes, Internal Laundry, Heating, Close to transport, Close to shops, Close to schools, Courtyard",https://www.domain.com.au/3-4-marcus-street-dromana-vic-3936-17670591
17671861,DROMANA,3936,950,4128.0,"Friday, 29 August 2025",2025-07-16,55,4,3.0,1.0,House,15 Susan Street,-38.33746,144.96799,2025-09-09 17:11:45,17671861,,13,0,0,False,House,House,YPA Dromana,32856,"Nic Apostolidis, Nancy Crupi","Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/15-susan-street-dromana-vic-3936-17671861
17690951,DROMANA,3936,1150,7297.0,"Friday, 01 August 2025",2025-07-29,42,5,4.0,4.0,House,9 Grant Street,-38.34125,144.9511,2025-09-09 17:11:45,17690951,,12,0,1,False,House,House,Ray White Rosebud,16668,"Laura Vidotto, Rosebud Property Management","Internal Laundry, Secure Parking, Heating, Ensuite",https://www.domain.com.au/9-grant-street-dromana-vic-3936-17690951
17696278,DROMANA,3936,800,3476.0,"Friday, 15 August 2025",2025-08-01,39,3,3.0,2.0,House,1/56 Heales Street,-38.341,144.95856,2025-09-09 17:11:45,17696278,,18,0,3,True,House,House,Belle Property Dromana,32621,"Leanne Devlin, Liliana Patane","Heating, Solar panels, Balcony / Deck",https://www.domain.com.au/1-56-heales-street-dromana-vic-3936-17696278
17709624,DROMANA,3936,460,1999.0,"Tuesday, 23 September 2025",2025-08-11,29,2,1.0,2.0,House,25 Davey Avenue,-38.3385,144.97101,2025-09-09 17:11:45,17709624,,8,0,0,False,House,House,YPA Dromana,32856,"Nic Apostolidis, Nancy Crupi","Air conditioning, Gas, Internal Laundry, Dishwasher, Shed",https://www.domain.com.au/25-davey-avenue-dromana-vic-3936-17709624
17725554,DROMANA,3936,520,2260.0,"Wednesday, 01 October 2025",2025-08-21,19,2,1.0,,House,7 Karadoc Street,-38.329926,144.97533,2025-09-09 17:11:45,17725554,,10,0,1,False,House,House,Barry Plant Mornington,20786,Frances Pingiaro,Internal Laundry,https://www.domain.com.au/7-karadoc-street-dromana-vic-3936-17725554
17727062,DROMANA,3936,330,1434.0,"Friday, 12 September 2025",2025-08-22,18,2,1.0,1.0,Apartment / Unit / Flat,30/131 Nepean Highway,-38.33018,144.99374,2025-09-09 17:11:45,17727062,,4,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Mornington,20786,Frances Pingiaro,Built in wardrobes,https://www.domain.com.au/30-131-nepean-highway-dromana-vic-3936-17727062
17731577,DROMANA,3936,880,3824.0,"Tuesday, 23 September 2025",2025-08-26,14,4,2.0,1.0,House,25 Rosalie Avenue,-38.33195,144.98065,2025-09-09 17:11:45,17731577,,13,0,2,False,House,House,Belle Property Dromana,32621,"Leanne Devlin, Liliana Patane","Internal Laundry, Heating, Study, Shed, Balcony / Deck",https://www.domain.com.au/25-rosalie-avenue-dromana-vic-3936-17731577
17736463,DROMANA,3936,560,2433.0,"Friday, 12 September 2025",2025-08-28,12,3,2.0,4.0,House,191 Palmerston Avenue,-38.339863,144.96709,2025-09-09 17:11:45,17736463,,9,0,1,False,House,House,Barry Plant Rosebud,21537,Barry Plant Rosebud,"Balcony / Deck, Built in wardrobes",https://www.domain.com.au/191-palmerston-avenue-dromana-vic-3936-17736463
17739912,DROMANA,3936,520,2260.0,"Friday, 12 September 2025",2025-09-01,8,2,1.0,,House,12 Glenone Avenue,-38.34374,144.95428,2025-09-09 17:11:45,17739912,,6,0,0,False,House,House,Belle Property Dromana,32621,"Krystal Darcy, Liliana Patane","Built in wardrobes, Gas, Balcony / Deck",https://www.domain.com.au/12-glenone-avenue-dromana-vic-3936-17739912
17741776,DROMANA,3936,700,3042.0,"Thursday, 25 September 2025",2025-09-01,8,3,3.0,2.0,Townhouse,2/16 James Street,-38.339302,144.9629,2025-09-09 17:11:45,17741776,,5,0,2,False,Townhouse/Villa,Townhouse,Belle Property Dromana,32621,"Ben Curtis, Liliana Patane","Secure Parking, Heating, Dishwasher, Shed, Balcony / Deck",https://www.domain.com.au/2-16-james-street-dromana-vic-3936-17741776
17744325,DROMANA,3936,450,1955.0,"Friday, 12 September 2025",2025-09-03,6,2,,,Apartment / Unit / Flat,59/131 Nepean Highway,-38.33018,144.99374,2025-09-09 17:11:45,17744325,,11,0,1,False,Apartment,Apartment / Unit / Flat,Barry Plant Mornington,20786,Frances Pingiaro,Built in wardrobes,https://www.domain.com.au/59-131-nepean-highway-dromana-vic-3936-17744325
17744471,DROMANA,3936,900,3911.0,"Wednesday, 03 September 2025",2025-09-03,6,4,2.0,3.0,House,11B Charles Street,-38.330242,144.97731,2025-09-09 17:11:45,17744471,,10,0,1,False,House,House,Belle Property Dromana,32621,"Ben Curtis, Liliana Patane",Secure Parking,https://www.domain.com.au/11b-charles-street-dromana-vic-3936-17744471
17749921,DROMANA,3936,950,4128.0,"Friday, 12 September 2025",2025-09-05,4,4,2.0,2.0,Townhouse,5A Dalworth Avenue,-38.33214,144.97803,2025-09-09 17:11:45,17749921,,16,0,0,False,Townhouse/Villa,Townhouse,KR Peters Wantirna South,12643,Rebecca Nicolls,"Ensuite, Study, Dishwasher, Built in wardrobes, Floorboards, Ducted Heating, Ducted Cooling, Alarm, Remote Garage, Courtyard, Fully fenced",https://www.domain.com.au/5a-dalworth-avenue-dromana-vic-3936-17749921
