listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17004740,EAGLEMONT,3084,730,3172,"Friday, 29 August 2025",2025-07-29,42,3,1,4,House,417 Lower Heidelberg Road,-37.76185,145.0682,2025-09-09 16:20:19,17004740,BR-8757-BL,10,0,1,False,House,House,Barry Plant Manningham,7015,"Paul Sim, Dechlan Maclean","Intercom, Study, Alarm System, Floorboards, Built in wardrobes, Dishwasher, Open Fire Place, Bathtub, Gas Appliances, Ducted Heating, Split System Air Conditioning, Fully fenced",https://www.domain.com.au/417-lower-heidelberg-road-eaglemont-vic-3084-17004740
17650219,EAGLEMONT,3084,1500,6518,"Saturday, 12 July 2025",2025-07-02,68,5,3,3,House,24 Maltravers Road,-37.769314,145.06114,2025-09-09 16:20:19,17650219,,12,0,1,False,House,House,Miles Real Estate Ivanhoe,6011,Jessica Bryceson,"Internal Laundry, Fireplace(s), Heating, Secure Parking, Air conditioning, Garden / Courtyard, Outdoor Entertainment Area, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Study",https://www.domain.com.au/24-maltravers-road-eaglemont-vic-3084-17650219
17681497,EAGLEMONT,3084,1100,4780,"Saturday, 09 August 2025",2025-07-24,47,3,2,2,Townhouse,8/113-115 Banksia Street,-37.758995,145.05574,2025-09-09 16:20:19,17681497,,11,0,0,False,Townhouse/Villa,Townhouse,Miles Real Estate Ivanhoe,6011,Alana Akkari,"Secure Parking, Air conditioning, Balcony / Deck, Garden / Courtyard, Outdoor Entertainment Area, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Study, Furnished",https://www.domain.com.au/8-113-115-banksia-street-eaglemont-vic-3084-17681497
17694316,EAGLEMONT,3084,725,3150,"Thursday, 31 July 2025",2025-07-31,40,3,2,2,House,439 Lower Heidelberg Road,-37.760334,145.06862,2025-09-09 16:20:19,17694316,,9,0,1,False,House,House, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,"Balcony / Deck, Garden / Courtyard, Shed, Study",https://www.domain.com.au/439-lower-heidelberg-road-eaglemont-vic-3084-17694316
17702999,EAGLEMONT,3084,1200,5214,"Friday, 15 August 2025",2025-08-06,34,3,2,2,New House & Land,2/34 Devon Street,-37.762726,145.06467,2025-09-09 16:20:19,17702999,,9,0,0,False,House,New House & Land,Miles Real Estate Ivanhoe,6011,Jessica McFarlane-Ogden,"Fireplace(s), Heating, Study, Secure Parking, Alarm System, Garden / Courtyard, Built in wardrobes, Dishwasher",https://www.domain.com.au/2-34-devon-street-eaglemont-vic-3084-17702999
17704068,EAGLEMONT,3084,850,3693,"Thursday, 14 August 2025",2025-08-06,33,3,1,3,House,71 The Eyrie,-37.765846,145.06001,2025-09-09 16:20:19,17704068,,7,0,0,False,House,House,Miles Real Estate Ivanhoe,6011,Emily Micallef,"Gas, Fireplace(s), Heating, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards, Study",https://www.domain.com.au/71-the-eyrie-eaglemont-vic-3084-17704068
17709203,EAGLEMONT,3084,595,2585,"Monday, 11 August 2025",2025-08-11,29,4,1,2,House,1/25 Banksia Street,-37.759926,145.06866,2025-09-09 16:20:19,17709203,,9,0,1,True,House,House, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,,https://www.domain.com.au/1-25-banksia-street-eaglemont-vic-3084-17709203
17710699,EAGLEMONT,3084,575,2499,"Tuesday, 12 August 2025",2025-08-12,28,3,1,2,House,27 Banksia Street,-37.75995,145.06847,2025-09-09 16:20:19,17710699,,8,0,1,True,House,House, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,,https://www.domain.com.au/27-banksia-street-eaglemont-vic-3084-17710699
17711100,EAGLEMONT,3084,500,2173,"Tuesday, 12 August 2025",2025-08-12,28,2,1,5,House,2/25 Banksia Street,-37.759926,145.06866,2025-09-09 16:20:19,17711100,,8,0,1,True,House,House, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,,https://www.domain.com.au/2-25-banksia-street-eaglemont-vic-3084-17711100
17720744,EAGLEMONT,3084,410,1782,"Monday, 18 August 2025",2025-09-08,1,2,1,1,Apartment / Unit / Flat,8/3 Cape Street,-37.76256,145.06505,2025-09-09 16:20:19,17720744,,8,0,0,False,Apartment,Apartment / Unit / Flat,Haughton Stotts Real Estate,11284,Peter Ricardo,"Built in wardrobes, Internal Laundry, Bath, Heating, Balcony / Deck",https://www.domain.com.au/8-3-cape-street-eaglemont-vic-3084-17720744
