listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14290675,EAST MELBOURNE,3002,625,2716,"Friday, 10 October 2025",2025-09-05,4,1.0,1,1.0,Apartment / Unit / Flat,10/21-23 Hotham Street,-37.814762,144.9898,2025-09-09 16:24:16,14290675,,8,0,0,False,Apartment,Apartment / Unit / Flat,Gotham Property,32563,Carolina  Hernandez,,https://www.domain.com.au/10-21-23-hotham-street-east-melbourne-vic-3002-14290675
15570253,EAST MELBOURNE,3002,495,2151,"Wednesday, 03 September 2025",2025-08-12,28,2.0,1,,Apartment / Unit / Flat,5/126 Albert Street,-37.810604,144.98703,2025-09-09 16:24:16,15570253,LV-8216-VU,9,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Agnes Hartono,"Built in wardrobes, Bath, Car Accom: Single Off-Street Parking, Pool/Spa Count: 0",https://www.domain.com.au/5-126-albert-street-east-melbourne-vic-3002-15570253
17060542,EAST MELBOURNE,3002,370,1608,"Thursday, 21 August 2025",2025-08-13,27,1.0,1,,Apartment / Unit / Flat,10/25 Hotham Street,-37.81488,144.98953,2025-09-09 16:24:16,17060542,IH-4515-UN,7,0,1,False,Apartment,Apartment / Unit / Flat,Ray White CRE,7728,RACHEL BOGGS,"Intercom, Built in wardrobes, Pets Allowed, Heating",https://www.domain.com.au/10-25-hotham-street-east-melbourne-vic-3002-17060542
17165217,EAST MELBOURNE,3002,490,2129,"Thursday, 28 August 2025",2025-08-11,29,1.0,1,1.0,Apartment / Unit / Flat,4/1-11 Grey Street,-37.812634,144.99057,2025-09-09 16:24:16,17165217,CO-7239-MQ,8,0,1,False,Apartment,Apartment / Unit / Flat,Ray White CRE,7728,Diana Jurisic,"Floorboards, Built in wardrobes, Bath, Dishwasher",https://www.domain.com.au/4-1-11-grey-street-east-melbourne-vic-3002-17165217
17407096,EAST MELBOURNE,3002,1750,7605,"Monday, 11 August 2025",2025-08-11,29,2.0,2,1.0,House,166 George Street,-37.815025,144.98466,2025-09-09 16:24:16,17407096,YI-0443-JL,13,0,1,False,House,House,Ray White CRE,7728,RACHEL BOGGS,"Air conditioning, Intercom, Built in wardrobes, Internal Laundry, Pets Allowed, Separate Dining Room, Heating, Dishwasher, Study, Furnished, Secure Parking, Balcony / Deck, Garden / Courtyard",https://www.domain.com.au/166-george-street-east-melbourne-vic-3002-17407096
17442484,EAST MELBOURNE,3002,600,2607,"Saturday, 06 September 2025",2025-09-02,7,2.0,1,1.0,Apartment / Unit / Flat,707V/162 Albert Street,-37.810074,144.98547,2025-09-09 16:24:16,17442484,,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White CRE,7728,RACHEL BOGGS,,https://www.domain.com.au/707v-162-albert-street-east-melbourne-vic-3002-17442484
17687446,EAST MELBOURNE,3002,485,2107,"Friday, 01 August 2025",2025-07-28,43,1.0,1,,Apartment / Unit / Flat,2/100 George Street,-37.81529,144.98706,2025-09-09 16:24:16,17687446,,6,0,0,False,Apartment,Apartment / Unit / Flat,ASK Property Partners Pty Ltd,37858,Zara-Jane Hayes,"Internal Laundry, Broadband Internet Available, Built in wardrobes, Pay TV Access, Pets Allowed",https://www.domain.com.au/2-100-george-street-east-melbourne-vic-3002-17687446
17700518,EAST MELBOURNE,3002,990,5940,"Tuesday, 05 August 2025",2025-08-05,35,2.0,2,1.0,Apartment / Unit / Flat,601/1 Powlett Street,-37.81611,144.98495,2025-09-09 16:24:16,17700518,,11,0,0,False,Apartment,Apartment / Unit / Flat,Kay & Burton Stonnington,88,Debbie Davut,"Balcony, Ducted Air-conditioning, Ducted Heating, Furnished, Gym, Intercom",https://www.domain.com.au/601-1-powlett-street-east-melbourne-vic-3002-17700518
17713413,EAST MELBOURNE,3002,615,2672,"Thursday, 11 September 2025",2025-08-13,27,2.0,1,1.0,Apartment / Unit / Flat,507/166 Wellington Parade,-37.81606,144.98451,2025-09-09 16:24:16,17713413,,7,0,0,True,Apartment,Apartment / Unit / Flat,BLACK & WHITE ESTATE AGENTS (VIC) PTY LTD,12640,"Jake Peters, Kurt  Rimes","Internal Laundry, Gym, Bath, Built in wardrobes, Dishwasher, Secure Parking",https://www.domain.com.au/507-166-wellington-parade-east-melbourne-vic-3002-17713413
17721907,EAST MELBOURNE,3002,800,3476,"Tuesday, 19 August 2025",2025-08-19,21,2.0,1,1.0,Apartment / Unit / Flat,5/246 Albert Street,-37.81011,144.98283,2025-09-09 16:24:16,17721907,,11,0,1,True,Apartment,Apartment / Unit / Flat,Jellis Craig Fitzroy,3709,"Jayde Cashion, Jellis Craig Inner North","Balcony / Deck, Built in wardrobes, Floorboards, Split System Air Con, Split System Heating",https://www.domain.com.au/5-246-albert-street-east-melbourne-vic-3002-17721907
