listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17330579,ECHUCA,3564,330,1320.0,"Friday, 19 September 2025",2025-08-29,11.0,2,1,1.0,Apartment / Unit / Flat,2/319 High Street,-36.137596,144.74992,2025-09-09 16:32:24,17330579,GX-0981-ZF,8.0,1.0,0.0,False,Apartment,Apartment / Unit / Flat,Ray White Echuca,8628.0,Ray White Echuca Leasing,"Air conditioning, Bath, Heating",https://www.domain.com.au/2-319-high-street-echuca-vic-3564-17330579
17628466,ECHUCA,3564,660,2860.0,"Thursday, 19 June 2025",2025-06-19,82.0,3,1,2.0,House,53 Hopwood Street,-36.134483,144.74623,2025-09-09 16:32:24,17628466,,6.0,0.0,0.0,False,House,House,Charles L King First National Echuca,28982.0,Property Management Team,"Study, Air conditioning, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/53-hopwood-street-echuca-vic-3564-17628466
17646952,ECHUCA,3564,500,2000.0,"Thursday, 14 August 2025",2025-07-01,70.0,3,1,,House,97 Hovell Street,-36.131443,144.75685,2025-09-09 16:32:24,17646952,,8.0,1.0,0.0,False,House,House,Ray White Echuca,8628.0,Ray White Echuca Leasing,"Heating, Dishwasher",https://www.domain.com.au/97-hovell-street-echuca-vic-3564-17646952
17650009,ECHUCA,3564,580,,,,,3,2,2.0,House,1/116 Sutton Street,-36.1284,144.75995,2025-09-09 16:32:24,search results - rent,,,,,,,,,,,,https://www.domain.com.au/1-116-sutton-street-echuca-vic-3564-17650009
17689802,ECHUCA,3564,520,2259.0,"Tuesday, 29 July 2025",2025-07-29,42.0,3,1,2.0,House,16 Mckinlay Street,-36.131187,144.76083,2025-09-09 16:32:24,17689802,,14.0,0.0,0.0,False,House,House,Century 21 Rich River Real Estate,8652.0,Tara Apps,"Built in wardrobes, Internal Laundry, Bath, Dishwasher, Pets Allowed, Air conditioning",https://www.domain.com.au/16-mckinlay-street-echuca-vic-3564-17689802
17692408,ECHUCA,3564,620,2687.0,"Tuesday, 07 October 2025",2025-07-30,41.0,2,2,1.0,Apartment / Unit / Flat,9/9 Campaspe Street,-36.12052,144.74487,2025-09-09 16:32:24,17692408,,8.0,0.0,0.0,False,Apartment,Apartment / Unit / Flat,Charles L King First National Echuca,28982.0,Debbie Angove,"Internal Laundry, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/9-9-campaspe-street-echuca-vic-3564-17692408
17704746,ECHUCA,3564,400,1734.0,"Friday, 12 September 2025",2025-08-07,33.0,2,1,1.0,House,3/5 Francis Street,-36.13959,144.7491,2025-09-09 16:32:24,17704746,,6.0,0.0,0.0,False,House,House,Charles L King First National Echuca,28982.0,Property Management Team,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/3-5-francis-street-echuca-vic-3564-17704746
17712746,ECHUCA,3564,530,2297.0,"Tuesday, 09 September 2025",2025-08-13,27.0,3,1,1.0,House,20 Henry Street,-36.118477,144.74081,2025-09-09 16:32:24,17712746,,13.0,0.0,0.0,False,House,House,Charles L King First National Echuca,28982.0,Property Management Team,"Built in wardrobes, Secure Parking, Heating, Dishwasher, Air conditioning",https://www.domain.com.au/20-henry-street-echuca-vic-3564-17712746
17718922,ECHUCA,3564,520,2254.0,"Friday, 05 September 2025",2025-08-18,22.0,3,1,2.0,House,52 McKinlay Street,-36.131607,144.75522,2025-09-09 16:32:24,17718922,,12.0,0.0,0.0,False,House,House,Charles L King First National Echuca,28982.0,Property Management Team,"Air conditioning, Internal Laundry, Heating, Shed",https://www.domain.com.au/52-mckinlay-street-echuca-vic-3564-17718922
17736078,ECHUCA,3564,650,2824.0,"Thursday, 28 August 2025",2025-08-28,12.0,4,2,2.0,House,9 Parkes Court,-36.15084,144.72594,2025-09-09 16:32:24,17736078,,23.0,0.0,2.0,True,House,House,Century 21 Rich River Real Estate,8652.0,Tara Apps,"Internal Laundry, Heating, Pets Allowed, Air conditioning",https://www.domain.com.au/9-parkes-court-echuca-vic-3564-17736078
