listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11296335,ELSTERNWICK,3185,650,2824.0,"Friday, 22 August 2025",2025-08-18,22,2,1,1.0,House,3 Hartington Street,-37.89097,145.0098,2025-09-09 16:50:48,11296335,CP-3578-TL,8,0,0,False,House,House,LITTLE Real Estate Victoria,24974,Chaya Varsani,"Car Accom: Single Garage, Heating: Gas, Cooking: Gas Oven and Hotplates, Pool/Spa Count: 0",https://www.domain.com.au/3-hartington-street-elsternwick-vic-3185-11296335
15253281,ELSTERNWICK,3185,470,2042.0,"Wednesday, 10 September 2025",2025-08-29,11,2,1,1.0,Apartment / Unit / Flat,11/12 Beavis Street,-37.88437,145.0078,2025-09-09 16:50:48,15253281,MO-5065-EM,7,0,0,False,Apartment,Apartment / Unit / Flat,Wilson Glen Eira PTY LTD,4518,Melissa Fredman,Bathtub,https://www.domain.com.au/11-12-beavis-street-elsternwick-vic-3185-15253281
16571448,ELSTERNWICK,3185,390,1695.0,"Friday, 12 September 2025",2025-09-08,1,1,1,1.0,Apartment / Unit / Flat,10/561 Glenhuntly Road,-37.885456,145.01158,2025-09-09 16:50:48,16571448,SZ-1894-VM,9,0,0,False,Apartment,Apartment / Unit / Flat,Wilson Glen Eira PTY LTD,4518,Prasheeta Kuver,"Built in wardrobes, Balcony",https://www.domain.com.au/10-561-glenhuntly-road-elsternwick-vic-3185-16571448
16971211,ELSTERNWICK,3185,2000,,"Tuesday, 30 April 2024",2025-08-21,18,4,2,2.0,Apartment / Unit / Flat,7/72 Orrong Road,-37.884773,145.00607,2025-09-09 16:50:48,16971211,,9,0,1,False,Apartment,Apartment / Unit / Flat,buymyplace,17238,buymyplace .,"Gas, Secure Parking, Balcony / Deck, Ensuite, Dishwasher, Study, Built in wardrobes, Air conditioning, Heating, Garage spaces: 2",https://www.domain.com.au/7-72-orrong-road-elsternwick-vic-3185-16971211
17142068,ELSTERNWICK,3185,995,,"Saturday, 03 August 2024",2025-08-17,23,4,1,,House,293A Glen Huntly Road,-37.88427,145.0017,2025-09-09 16:50:48,17142068,ZY-1509-JL,10,1,0,True,House,House,buymyplace,17238,buymyplace .,"Furnished, Air conditioning, Heating",https://www.domain.com.au/293a-glen-huntly-road-elsternwick-vic-3185-17142068
17674741,ELSTERNWICK,3185,1700,10200.0,"Thursday, 28 August 2025",2025-08-28,12,3,2,2.0,Townhouse,2/239 Kooyong Road,-37.880608,145.01549,2025-09-09 16:50:48,17674741,,13,0,1,False,Townhouse/Villa,Townhouse,Wilson Glen Eira PTY LTD,4518,Melissa Fredman,"Alarm System, Floorboards, Built in wardrobes, Dishwasher, Open Fire Place, Bathtub, Gas Appliances, Ducted Heating, Ducted Air Conditioning, Ensuite(s), Courtyard, Remote Garage, Secure Parking, Pets Allowed",https://www.domain.com.au/2-239-kooyong-road-elsternwick-vic-3185-17674741
17713988,ELSTERNWICK,3185,460,1999.0,"Wednesday, 13 August 2025",2025-08-13,27,1,1,1.0,Apartment / Unit / Flat,7/33 Gardenia Road,-37.897217,145.00885,2025-09-09 16:50:48,17713988,,9,0,0,False,Apartment,Apartment / Unit / Flat,Flare Real Estate,8251,"Sasha Mikhman, Leasing Agent","Gas, Internal Laundry, Bath, Dishwasher, Built in wardrobes, Split System Air Con, Split System Heating, Intercom, Covered Car Space",https://www.domain.com.au/7-33-gardenia-road-elsternwick-vic-3185-17713988
17714203,ELSTERNWICK,3185,850,3693.0,"Monday, 18 August 2025",2025-08-13,27,2,2,1.0,Apartment / Unit / Flat,804/241 Glen Huntly Road,-37.88352,144.99947,2025-09-09 16:50:48,17714203,,13,0,0,False,Apartment,Apartment / Unit / Flat,RT Edgar Glen Eira,23085,"Jessica Vieth, Angela Clark","Air conditioning, Split System Air Con, Balcony / Deck, Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Evaporative Cooling, Floorboards, Intercom, Outdoor Entertainment Area, Remote Garage, Reverse Cycle Air Con, Secure Parking",https://www.domain.com.au/804-241-glen-huntly-road-elsternwick-vic-3185-17714203
17729147,ELSTERNWICK,3185,520,2260.0,"Saturday, 30 August 2025",2025-08-25,15,1,1,1.0,Apartment / Unit / Flat,207/138 Glen Eira Road,-37.87712,144.99832,2025-09-09 16:50:48,17729147,,15,0,1,False,Apartment,Apartment / Unit / Flat,  Buxton Port Phillip,15964,"Thembie Sikwila, Jay Jacob-Green","Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Intercom, Secure Parking",https://www.domain.com.au/207-138-glen-eira-road-elsternwick-vic-3185-17729147
17730140,ELSTERNWICK,3185,850,,"Monday, 01 September 2025",2025-09-09,0,2,2,1.0,Apartment / Unit / Flat,Apartment 501/72 Orrong Road,-37.884773,145.00607,2025-09-09 16:50:48,17730140,,8,0,1,False,Apartment,Apartment / Unit / Flat,buymyplace,17238,buymyplace .,"Gas, Internal Laundry, Pets Allowed, Balcony / Deck, Remote garage, Secure Parking, Ensuite, Dishwasher, Built in wardrobes, Floorboards, Living area, Broadband internet access, Intercom, Air conditioning, Heating, Garage spaces: 1",https://www.domain.com.au/apartment-501-72-orrong-road-elsternwick-vic-3185-17730140
17734133,ELSTERNWICK,3185,425,1847.0,"Wednesday, 01 October 2025",2025-08-27,13,1,1,1.0,Apartment / Unit / Flat,4/11 Downshire Road,-37.886368,145.00742,2025-09-09 16:50:48,17734133,,7,0,0,False,Apartment,Apartment / Unit / Flat, RT Edgar Elwood,5565,Elanah Harbis,"Air conditioning, Built in wardrobes, Bath",https://www.domain.com.au/4-11-downshire-road-elsternwick-vic-3185-17734133
17736121,ELSTERNWICK,3185,620,2694.0,"Friday, 12 September 2025",2025-08-28,12,1,1,1.0,Apartment / Unit / Flat,405/241 Glen Huntly Road,-37.88352,144.99947,2025-09-09 16:50:48,17736121,,9,0,1,False,Apartment,Apartment / Unit / Flat,RT Edgar Glen Eira,23085,"Jessica Vieth, Angela Clark","Air conditioning, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Intercom, Outdoor Entertainment Area, Remote Garage, Reverse Cycle Air Con, Secure Parking",https://www.domain.com.au/405-241-glen-huntly-road-elsternwick-vic-3185-17736121
