listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15104171,ELWOOD,3184,495,2151.0,"Tuesday, 23 September 2025",2025-09-03,6,1,1,1.0,Apartment / Unit / Flat,6/14 Austin Avenue,-37.881702,144.99026,2025-09-09 16:57:23,15104171,SZ-7622-FC,7,0,0,False,Apartment,Apartment / Unit / Flat,Thomson ,176,Xavier George,,https://www.domain.com.au/6-14-austin-avenue-elwood-vic-3184-15104171
17696700,ELWOOD,3184,900,3911.0,"Monday, 01 September 2025",2025-08-01,39,1,1,1.0,Apartment / Unit / Flat,6/53-54 Marine Parade,-37.87559,144.9773,2025-09-09 16:57:23,17696700,,12,1,1,False,Apartment,Apartment / Unit / Flat,The Core Advisory Team VIC,31816,Danielle Ryan,"Intercom, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Ducted Air Conditioning, Balcony, Secure Parking, Furnished",https://www.domain.com.au/6-53-54-marine-parade-elwood-vic-3184-17696700
17741082,ELWOOD,3184,625,2716.0,"Friday, 03 October 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,7/10 Austin Avenue,-37.881596,144.99054,2025-09-09 16:57:23,17741082,,10,0,1,False,Apartment,Apartment / Unit / Flat,  Buxton Port Phillip,15964,"Carla Westraadt, Lani Perry","Dishwasher, Built in wardrobes, Secure Parking, Garden / Courtyard, Intercom, Split System Air Con, Split System Heating",https://www.domain.com.au/7-10-austin-avenue-elwood-vic-3184-17741082
17744074,ELWOOD,3184,700,3042.0,"Friday, 12 September 2025",2025-09-02,6,2,1,,Apartment / Unit / Flat,2/25 Goldsmith Street,-37.87821,144.98494,2025-09-09 16:57:23,17744074,,9,1,0,False,Apartment,Apartment / Unit / Flat,Whiting & Co,3960,Dianne Smith,"Gas Heating, Ducted Heating, Kitchen, Entrance Hall, Formal Entry, Built in wardrobes, Floorboards, High Ceilings, Dishwasher, Courtyard, Outdoor Entertaining Area, Fully fenced, Separate Laundry",https://www.domain.com.au/2-25-goldsmith-street-elwood-vic-3184-17744074
17744313,ELWOOD,3184,500,2173.0,"Wednesday, 03 September 2025",2025-09-03,6,1,1,1.0,Apartment / Unit / Flat,1/52 Scott St,-37.880917,144.98878,2025-09-09 16:57:23,17744313,,7,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Bentleigh Rentals,38227,"Veronica Coco, Jaryd Bray",,https://www.domain.com.au/1-52-scott-st-elwood-vic-3184-17744313
17744648,ELWOOD,3184,750,3259.0,"Wednesday, 03 September 2025",2025-09-03,6,2,2,1.0,Apartment / Unit / Flat,103/12-14 Dickens Street,-37.871284,144.98662,2025-09-09 16:57:23,17744648,,11,0,1,False,Apartment,Apartment / Unit / Flat,  Buxton Port Phillip,15964,"Thembie Sikwila, Jay Jacob-Green","Air conditioning, Balcony / Deck, Built in wardrobes",https://www.domain.com.au/103-12-14-dickens-street-elwood-vic-3184-17744648
17744736,ELWOOD,3184,630,2738.0,"Tuesday, 30 September 2025",2025-09-03,6,2,1,1.0,Apartment / Unit / Flat,3/7 Tennyson St,-37.873386,144.98642,2025-09-09 16:57:23,17744736,,6,0,0,False,Apartment,Apartment / Unit / Flat,  Gary Peer,26351,Leasing Concierge,,https://www.domain.com.au/3-7-tennyson-st-elwood-vic-3184-17744736
17744766,ELWOOD,3184,325,1412.0,"Thursday, 25 September 2025",2025-09-03,6,1,1,,Apartment / Unit / Flat,2/93 Glen Huntly Road,-37.88214,144.98343,2025-09-09 16:57:23,17744766,,7,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Carnegie,6430,"Sammy Knibbs, Carnegie Leasing",Floorboards,https://www.domain.com.au/2-93-glen-huntly-road-elwood-vic-3184-17744766
17746068,ELWOOD,3184,780,3389.0,"Wednesday, 10 September 2025",2025-09-03,6,2,2,2.0,Apartment / Unit / Flat,6/201 Ormond Road,-37.887383,144.99126,2025-09-09 16:57:23,17746068,,6,0,1,False,Apartment,Apartment / Unit / Flat,Beck & Small Property,32041,Richard Beck,"Balcony / Deck, Study, Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Intercom, Remote Garage, Secure Parking, Ensuite",https://www.domain.com.au/6-201-ormond-road-elwood-vic-3184-17746068
17746154,ELWOOD,3184,460,1999.0,"Wednesday, 10 September 2025",2025-09-03,5,2,1,1.0,Apartment / Unit / Flat,9/48 Spray Street,-37.88434,144.98816,2025-09-09 16:57:23,17746154,,7,0,0,False,Apartment,Apartment / Unit / Flat,Beck & Small Property,32041,Richard Beck,"Air conditioning, Balcony / Deck, Built in wardrobes, Gas",https://www.domain.com.au/9-48-spray-street-elwood-vic-3184-17746154
17746231,ELWOOD,3184,895,3889.0,"Thursday, 11 September 2025",2025-09-03,5,2,1,1.0,House,9/125 Ormond Road,-37.885654,144.9884,2025-09-09 16:57:23,17746231,,15,0,0,True,House,House,Chisholm & Gamon Elwood,308,"Kim Menzies, Leasing Team","Air conditioning, Secure Parking, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry",https://www.domain.com.au/9-125-ormond-road-elwood-vic-3184-17746231
17747977,ELWOOD,3184,1350,8100.0,"Friday, 05 September 2025",2025-09-04,5,3,2,1.0,Apartment / Unit / Flat,90A Tennyson Street,-37.877132,144.98953,2025-09-09 16:57:23,17747977,,14,0,1,False,Apartment,Apartment / Unit / Flat,McGrath St Kilda,16646,"Joanne Pearson, Artem Chereshkov",,https://www.domain.com.au/90a-tennyson-street-elwood-vic-3184-17747977
17750780,ELWOOD,3184,450,1955.0,"Wednesday, 24 September 2025",2025-09-08,1,1,1,1.0,Apartment / Unit / Flat,14/40 Ormond Rd,-37.883923,144.98482,2025-09-09 16:57:23,17750780,,9,0,0,False,Apartment,Apartment / Unit / Flat,Bekdon Richards,18501,Tess Macdonald,,https://www.domain.com.au/14-40-ormond-rd-elwood-vic-3184-17750780
17751151,ELWOOD,3184,530,2303.0,"Monday, 08 September 2025",2025-09-08,1,2,1,1.0,Apartment / Unit / Flat,8/28 Ruskin Street,-37.876156,144.98207,2025-09-09 16:57:23,17751151,,6,0,1,False,Apartment,Apartment / Unit / Flat,Biggin Scott St Kilda / Elwood,3356,Bella Perruzza,"Built in wardrobes, Bath",https://www.domain.com.au/8-28-ruskin-street-elwood-vic-3184-17751151
17751250,ELWOOD,3184,1700,10200.0,"Friday, 03 October 2025",2025-09-08,1,4,2,2.0,House,43 Goldsmith Street,-37.87968,144.98485,2025-09-09 16:57:23,17751250,,11,0,1,False,House,House,Belle Property St Kilda,3722,"Shari Holmes, Alison Loiterton","Close to shops, Close to schools, Dishwasher",https://www.domain.com.au/43-goldsmith-street-elwood-vic-3184-17751250
17752421,ELWOOD,3184,690,2998.0,"Monday, 06 October 2025",2025-09-08,0,2,2,1.0,Apartment / Unit / Flat,205/50 Southey Street,-37.876423,144.98756,2025-09-09 16:57:23,17752421,,8,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Port Phillip,18211,Jack Alexander,"Split System Air Con, Split System Heating, Secure Parking",https://www.domain.com.au/205-50-southey-street-elwood-vic-3184-17752421
17752510,ELWOOD,3184,675,2925.0,"Monday, 08 September 2025",2025-09-08,0,2,1,1.0,Apartment / Unit / Flat,8/33 Pine Avenue,-37.88824,144.98758,2025-09-09 16:57:23,17752510,,14,0,1,False,Apartment,Apartment / Unit / Flat,Saint & Wood,37414,Alicia Kate,"Air conditioning, Internal Laundry, Dishwasher, Floorboards, Intercom, Built in wardrobes, Heating, Furnished, Balcony / Deck",https://www.domain.com.au/8-33-pine-avenue-elwood-vic-3184-17752510
17752601,ELWOOD,3184,450,1955.0,"Tuesday, 09 September 2025",2025-09-09,0,1,1,,Apartment / Unit / Flat,8/98 Glenhuntly Road,-37.882984,144.98819,2025-09-09 16:57:23,17752601,,10,1,0,False,Apartment,Apartment / Unit / Flat,  Gary Peer,26351,Leasing Concierge,"Fully fenced, Built in wardrobes, Internal Laundry",https://www.domain.com.au/8-98-glenhuntly-road-elwood-vic-3184-17752601
17752730,ELWOOD,3184,920,3998.0,"Wednesday, 15 October 2025",2025-09-09,0,3,2,1.0,Townhouse,4/16 Dickens Street,-37.870983,144.98625,2025-09-09 16:57:23,17752730,,10,0,1,False,Townhouse/Villa,Townhouse,RT Edgar Glen Eira,23085,"Jessica Vieth, Angela Clark","Air conditioning, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Cooling, Ducted Heating, Evaporative Cooling, Fully fenced, Intercom, Remote Garage, Secure Parking, Shed",https://www.domain.com.au/4-16-dickens-street-elwood-vic-3184-17752730
17753098,ELWOOD,3184,740,3215.0,"Tuesday, 09 September 2025",2025-09-09,0,3,1,,Apartment / Unit / Flat,2/44 Milton Street,-37.875015,144.98618,2025-09-09 16:57:23,17753098,,10,0,0,False,Apartment,Apartment / Unit / Flat,RT Edgar Glen Eira,23085,"Jessica Vieth, Angela Clark","Air conditioning, Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Floorboards, Reverse Cycle Air Con",https://www.domain.com.au/2-44-milton-street-elwood-vic-3184-17753098
16386916,ELWOOD,3184,470,2036.0,"Friday, 19 September 2025",2025-09-03,6,1,1,1.0,Apartment / Unit / Flat,Unit 11/86 Ruskin St,-37.878754,144.98157,2025-09-09 16:57:28,16386916,PF-0429-DL,5,0,0,False,Apartment,Apartment / Unit / Flat,ALL RESIDENTIAL REAL ESTATE AGENCIES,26888,Alex Kenny,"Built in wardrobes, Gas, Intercom, Heating",https://www.domain.com.au/unit-11-86-ruskin-st-elwood-vic-3184-16386916
17000580,ELWOOD,3184,720,3129.0,"Sunday, 17 August 2025",2025-07-16,54,2,2,1.0,Apartment / Unit / Flat,106/50 Southey Street,-37.876423,144.98756,2025-09-09 16:57:28,17000580,PY-6161-LF,10,1,0,False,Apartment,Apartment / Unit / Flat,Jacotine Property Group Pty Ltd,28332,Kasia Rotton-Lewicka,"Intercom, Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Secure Parking, Shed, Fully fenced",https://www.domain.com.au/106-50-southey-street-elwood-vic-3184-17000580
17623275,ELWOOD,3184,850,3400.0,"Wednesday, 01 October 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,202/118 Brighton Rd,-37.877052,144.99268,2025-09-09 16:57:28,17623275,,17,0,0,False,Apartment,Apartment / Unit / Flat,RentBetter,27499,,"Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Furnished, Heating, Intercom, Secure Parking",https://www.domain.com.au/202-118-brighton-rd-elwood-vic-3184-17623275
17697363,ELWOOD,3184,1150,4997.0,"Friday, 01 August 2025",2025-08-01,38,2,2,1.0,Apartment / Unit / Flat,3/53-54 Marine Parade,-37.87559,144.9773,2025-09-09 16:57:28,17697363,,14,1,1,False,Apartment,Apartment / Unit / Flat,The Core Advisory Team VIC,31816,Danielle Ryan,"Built in wardrobes, Dishwasher, Ducted Heating, Ducted Air Conditioning, Balcony, Remote Garage, Secure Parking, Pets Allowed",https://www.domain.com.au/3-53-54-marine-parade-elwood-vic-3184-17697363
17715658,ELWOOD,3184,525,2281.0,"Thursday, 14 August 2025",2025-08-14,26,1,1,,Apartment / Unit / Flat,12/39 Byron Street,-37.87823,144.98816,2025-09-09 16:57:28,17715658,,7,0,0,False,Apartment,Apartment / Unit / Flat,RT Edgar Glen Eira,23085,"Jessica Vieth, Angela Clark","Intercom, Furnished, Air conditioning, Split System Heating, Split System Air Con, Floorboards, Reverse Cycle Air Con",https://www.domain.com.au/12-39-byron-street-elwood-vic-3184-17715658
17720393,ELWOOD,3184,800,3476.0,"Friday, 12 September 2025",2025-08-18,22,2,2,2.0,Townhouse,1/7 Rainsford Street,-37.878223,144.99196,2025-09-09 16:57:28,17720393,,5,1,1,False,Townhouse/Villa,Townhouse,McGrath St Kilda,16646,"Artem Chereshkov, Callum Haydock","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Intercom, Close to schools, Security Access",https://www.domain.com.au/1-7-rainsford-street-elwood-vic-3184-17720393
17721461,ELWOOD,3184,500,2173.0,"Friday, 18 July 2025",2025-08-19,21,1,1,,Apartment / Unit / Flat,9/169 Ormond Street,-37.88633,144.9895,2025-09-09 16:57:28,17721461,,6,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property Albert Park,3702,"William Brydon Waldren, Shar Claridge",Bath,https://www.domain.com.au/9-169-ormond-street-elwood-vic-3184-17721461
17723567,ELWOOD,3184,565,2455.0,"Wednesday, 20 August 2025",2025-08-20,20,2,1,1.0,Apartment / Unit / Flat,3/7 Coleridge Street,-37.881218,144.99356,2025-09-09 16:57:28,17723567,,8,0,2,False,Apartment,Apartment / Unit / Flat,Belle Property St Kilda,3722,"Noah Oyston, Liz Inan","Air conditioning, Close to transport, Close to shops, Courtyard, Dishwasher",https://www.domain.com.au/3-7-coleridge-street-elwood-vic-3184-17723567
17733266,ELWOOD,3184,700,3042.0,"Monday, 22 September 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,1/1 Tennyson Street,-37.872475,144.98618,2025-09-09 16:57:28,17733266,,11,0,0,False,Apartment,Apartment / Unit / Flat,  Buxton Port Phillip,15964,"Lani Perry, Wilson Huynh","Dishwasher, Split System Air Con, Ducted Heating, Garden / Courtyard",https://www.domain.com.au/1-1-tennyson-street-elwood-vic-3184-17733266
17733645,ELWOOD,3184,750,3259.0,"Friday, 26 September 2025",2025-08-27,13,2,2,1.0,Apartment / Unit / Flat,8/1A Hartpury Avenue,-37.874622,144.989,2025-09-09 16:57:28,17733645,,6,0,0,False,Apartment,Apartment / Unit / Flat,Wood Property,27439,"Jade Wilson, Taylah Staples","Internal Laundry, Bath, Heating, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/8-1a-hartpury-avenue-elwood-vic-3184-17733645
17733893,ELWOOD,3184,520,2260.0,"Wednesday, 27 August 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,4/3 Wimbledon Avenue,-37.87286,144.98921,2025-09-09 16:57:28,17733893,,5,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property St Kilda,3722,"Shari Holmes, Alison Loiterton",,https://www.domain.com.au/4-3-wimbledon-avenue-elwood-vic-3184-17733893
17736292,ELWOOD,3184,990,4302.0,"Friday, 29 August 2025",2025-08-28,12,3,2,2.0,Townhouse,7/1 Alfriston Street,-37.875183,144.99048,2025-09-09 16:57:28,17736292,,14,0,1,False,Townhouse/Villa,Townhouse,McGrath St Kilda,16646,"Artem Chereshkov, Rickie White","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Intercom, Close to schools, Security Access",https://www.domain.com.au/7-1-alfriston-street-elwood-vic-3184-17736292
17736430,ELWOOD,3184,725,3150.0,"Wednesday, 08 October 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,11/82 Dickens St,-37.87486,144.97763,2025-09-09 16:57:28,17736430,,7,0,0,False,Apartment,Apartment / Unit / Flat,Spruce Real Estate,33993,"Annabel Webb, Alana Spruce","Air conditioning, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry, Furnished",https://www.domain.com.au/11-82-dickens-st-elwood-vic-3184-17736430
17737606,ELWOOD,3184,700,3042.0,"Friday, 03 October 2025",2025-08-29,11,2,1,1.0,Apartment / Unit / Flat,4/12 Avoca Avenue,-37.873634,144.9849,2025-09-09 16:57:28,17737606,,10,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Fitzroy,4718,Ebony O'Regan,"Air conditioning, Built in wardrobes, Internal Laundry, Intercom, Dishwasher, Balcony / Deck",https://www.domain.com.au/4-12-avoca-avenue-elwood-vic-3184-17737606
