listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15773509,ENDEAVOUR HILLS,3802,615,2665,"Thursday, 04 September 2025",2025-07-30,41,4,2,2.0,House,6 Brett Place,-37.982677,145.26993,2025-09-09 16:16:08,15773509,JO-2915-IR,7,1,0,False,House,House,Ray White Noble Park | Springvale,6380,"Bahara Rezai, Joseph Taranto","Gas, Internal Laundry, Heating, Dishwasher, Air conditioning, Ensuite, Built in wardrobes",https://www.domain.com.au/6-brett-place-endeavour-hills-vic-3802-15773509
16132020,ENDEAVOUR HILLS,3802,600,2600,"Sunday, 08 June 2025",2025-07-22,49,3,1,2.0,House,9 Coledale Close,-37.975475,145.26605,2025-09-09 16:16:08,16132020,BQ-8927-MY,6,0,0,False,House,House,Raine & Horne Blackburn,29609,"Rupa Mane, Patrick Mane","Built in wardrobes, Heating, Balcony / Deck",https://www.domain.com.au/9-coledale-close-endeavour-hills-vic-3802-16132020
17660000,ENDEAVOUR HILLS,3802,650,2824,"Wednesday, 09 July 2025",2025-07-09,62,3,1,2.0,House,4 Calrossie Close,-37.970425,145.26361,2025-09-09 16:16:08,17660000,,6,0,0,False,House,House,Hall & Partners First National Dandenong,17903,Jackie Lyons,"Air conditioning, Built in wardrobes, Internal Laundry, Balcony / Deck",https://www.domain.com.au/4-calrossie-close-endeavour-hills-vic-3802-17660000
17684878,ENDEAVOUR HILLS,3802,595,2585,"Thursday, 07 August 2025",2025-07-24,46,3,2,2.0,Townhouse,2/7 Redleap Court,-37.96463,145.27307,2025-09-09 16:16:08,17684878,,11,0,0,False,Townhouse/Villa,Townhouse,Goldbank Real Estate - Pakenham,31480,"Preet Sekhon, Shaileja Lavingia","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/2-7-redleap-court-endeavour-hills-vic-3802-17684878
17692324,ENDEAVOUR HILLS,3802,650,2824,"Wednesday, 30 July 2025",2025-07-30,41,3,2,1.0,Townhouse,69B Shetland Street,-37.9622,145.26883,2025-09-09 16:16:08,17692324,,10,0,0,False,Townhouse/Villa,Townhouse,Century 21 Wilson Pride,16761,Ekta Sharma,Heating,https://www.domain.com.au/69b-shetland-street-endeavour-hills-vic-3802-17692324
17713387,ENDEAVOUR HILLS,3802,600,2607,"Monday, 01 September 2025",2025-08-13,27,3,2,,House,10 Bonar Court,-37.961784,145.26384,2025-09-09 16:16:08,17713387,,17,1,0,False,House,House,Harcourts Asap Group,29204,Reception Asap,Secure Parking,https://www.domain.com.au/10-bonar-court-endeavour-hills-vic-3802-17713387
17715832,ENDEAVOUR HILLS,3802,900,3911,"Friday, 22 August 2025",2025-08-14,26,4,3,2.0,Townhouse,1B Baileyana Drive,-37.966393,145.2382,2025-09-09 16:16:08,17715832,,14,0,2,False,Townhouse/Villa,Townhouse,O'BRIEN REAL ESTATE CHELTENHAM,31194,Ann-Marie Hardwick,"Built in wardrobes, Gas, Heating, Dishwasher, Study, Shed",https://www.domain.com.au/1b-baileyana-drive-endeavour-hills-vic-3802-17715832
17723569,ENDEAVOUR HILLS,3802,700,3042,"Thursday, 11 September 2025",2025-08-20,20,4,2,2.0,House,6 Primrose Hill Close,-37.969143,145.24554,2025-09-09 16:16:08,17723569,,8,0,0,False,House,House,Just Realty International,30731,Nick Huang,"Built in wardrobes, Gas, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/6-primrose-hill-close-endeavour-hills-vic-3802-17723569
17727495,ENDEAVOUR HILLS,3802,600,2607,"Tuesday, 19 August 2025",2025-08-22,18,4,2,2.0,House,4 Wolf Court,-37.98791,145.25305,2025-09-09 16:16:08,17727495,,11,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/4-wolf-court-endeavour-hills-vic-3802-17727495
17729628,ENDEAVOUR HILLS,3802,580,2520,"Monday, 25 August 2025",2025-08-25,15,3,1,2.0,House,5 Gabo Court,-37.97378,145.2546,2025-09-09 16:16:08,17729628,,8,0,1,False,House,House,Jellis Craig Mount Waverley ,17805,"Tiffany Pan, Jayden Hong, Jane Yuan","Internal Laundry, Heating, Dishwasher, Evaporative Cooling, Built in wardrobes, Shed",https://www.domain.com.au/5-gabo-court-endeavour-hills-vic-3802-17729628
17732156,ENDEAVOUR HILLS,3802,610,2651,"Tuesday, 26 August 2025",2025-08-26,14,3,2,2.0,House,5 Reema Boulevard,-37.96822,145.27412,2025-09-09 16:16:08,17732156,,11,0,0,False,House,House, Century 21 Property Specialists,34566,Chantell Fairclough,"Gas, Heating, Study, Air conditioning",https://www.domain.com.au/5-reema-boulevard-endeavour-hills-vic-3802-17732156
17732162,ENDEAVOUR HILLS,3802,850,3694,"Monday, 01 September 2025",2025-08-26,14,4,2,2.0,House,15 Johnson Place,-37.980183,145.25113,2025-09-09 16:16:08,17732162,,9,0,0,False,House,House,Area Specialist Keysborough,31225,Property Management,"Internal Laundry, Gym, Bath, Study",https://www.domain.com.au/15-johnson-place-endeavour-hills-vic-3802-17732162
17735770,ENDEAVOUR HILLS,3802,575,2499,"Monday, 22 September 2025",2025-08-28,12,3,1,3.0,House,8 Rossiter Avenue,-37.98869,145.26195,2025-09-09 16:16:08,17735770,,10,0,0,False,House,House,Wise Group,22331,Pradeep Fernando,"Built in wardrobes, Fully fenced, Air conditioning, Ducted Heating",https://www.domain.com.au/8-rossiter-avenue-endeavour-hills-vic-3802-17735770
17736991,ENDEAVOUR HILLS,3802,750,3259,"Thursday, 28 August 2025",2025-08-28,12,4,2,2.0,House,7 Furlong Court,-37.968967,145.27313,2025-09-09 16:16:08,17736991,,15,0,0,False,House,House,LT Real Estate,20530,Larissa Tvarkovski,"Ensuite(s), Secure Parking, Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Gas, Bath, Heating, Dishwasher, Shed, Fully fenced, Garden / Courtyard",https://www.domain.com.au/7-furlong-court-endeavour-hills-vic-3802-17736991
17737692,ENDEAVOUR HILLS,3802,600,2607,"Thursday, 02 October 2025",2025-08-29,11,4,2,1.0,House,2 Bittern Drive,-37.97399,145.245,2025-09-09 16:16:08,17737692,,12,0,1,False,House,House,OBrien Real Estate Narre Warren,18745,"Brooke Crivari, Josh Barbut","Heating, Air conditioning, Built in wardrobes, Close to transport, Close to schools, Ensuite",https://www.domain.com.au/2-bittern-drive-endeavour-hills-vic-3802-17737692
17743503,ENDEAVOUR HILLS,3802,540,2346,"Tuesday, 02 September 2025",2025-09-02,7,3,1,2.0,House,18 Heatherton Rd,-37.97363,145.24419,2025-09-09 16:16:08,17743503,,9,0,0,False,House,House,All About Rentals,18245,Katie Adams,"Gas, Bath, Shed, Fully fenced, Secure Parking, Outdoor entertainment area, Undercover outdoor area, Low maintenance, Close to schools, Split System Air Conditioning, Split System Heating",https://www.domain.com.au/18-heatherton-rd-endeavour-hills-vic-3802-17743503
17751266,ENDEAVOUR HILLS,3802,650,2824,"Saturday, 01 November 2025",2025-09-08,1,3,2,3.0,House,4 Redhill Court,-37.969585,145.25148,2025-09-09 16:16:08,17751266,,9,0,0,False,House,House,Real Estate Xpert,37138,Rexpert Rentals,"Gym, Heating, Solar panels, Balcony / Deck",https://www.domain.com.au/4-redhill-court-endeavour-hills-vic-3802-17751266
