listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15037659,EPPING,3076,460,1999.0,"Tuesday, 23 September 2025",2025-09-09,0,3,1,2.0,House,13 Cobena Street,-37.63219,145.00204,2025-09-09 16:22:27,15037659,ZW-2954-QW,8,0,0,False,House,House,Love & Co Thomastown,7125,Sam Dirani,"Built in wardrobes, Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/13-cobena-street-epping-vic-3076-15037659
15835188,EPPING,3076,500,2173.0,"Thursday, 18 September 2025",2025-09-05,4,2,2,1.0,Townhouse,4/15 Cooper Street,-37.653057,145.03311,2025-09-09 16:22:27,15835188,HX-2975-DB,10,0,0,False,Townhouse/Villa,Townhouse,Love & Co Thomastown,7125,Sam Dirani,"Internal Laundry, Secure Parking, Balcony / Deck",https://www.domain.com.au/4-15-cooper-street-epping-vic-3076-15835188
17398369,EPPING,3076,270,1216.0,"Friday, 05 September 2025",2025-01-20,232,1,1,,Apartment / Unit / Flat,Room 8/35 Savannah Crescent,-37.65026,145.03781,2025-09-09 16:22:27,17398369,,9,0,0,False,Apartment,Apartment / Unit / Flat,CHN Real Estate Group,29444,"Chris Sun, Winnie Wen","Gas, Air conditioning, Split System Heating, Split System Air Con, Built in wardrobes, Dishwasher",https://www.domain.com.au/room-8-35-savannah-crescent-epping-vic-3076-17398369
17689454,EPPING,3076,550,2390.0,"Saturday, 16 August 2025",2025-07-29,42,3,2,2.0,House,5 Amarath Circuit,-37.629597,145.00232,2025-09-09 16:22:27,17689454,,6,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office",,https://www.domain.com.au/5-amarath-circuit-epping-vic-3076-17689454
17723287,EPPING,3076,490,2129.0,"Wednesday, 20 August 2025",2025-08-20,20,3,1,2.0,House,12 Brookglen Court,-37.647964,145.02379,2025-09-09 16:22:27,17723287,,11,0,0,False,House,House,Barry Plant North Eastern Group,4902,Ken Samuel,"Built in wardrobes, Heating",https://www.domain.com.au/12-brookglen-court-epping-vic-3076-17723287
17724255,EPPING,3076,490,2129.0,"Monday, 15 September 2025",2025-08-20,20,3,1,2.0,Apartment / Unit / Flat,3/4 Rosamond Way,-37.63379,145.03879,2025-09-09 16:22:27,17724255,,9,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts Rata & Co,30123,Chevy Wilson,"Heating, Fully fenced, Built in wardrobes, Close to transport, Close to shops, Close to schools, Openable Windows, Split System Cooling",https://www.domain.com.au/3-4-rosamond-way-epping-vic-3076-17724255
17731866,EPPING,3076,540,2346.0,"Tuesday, 09 September 2025",2025-08-26,14,3,2,2.0,House,13 Gammage Boulevard,-37.625645,145.01067,2025-09-09 16:22:27,17731866,,10,0,0,False,House,House,Harcourts Rata & Co,30123,Vanessa Vescio,"Gas, Air conditioning, Heating, Built in wardrobes, Close to shops, Close to schools, Ensuite, Openable Windows, Dishwasher",https://www.domain.com.au/13-gammage-boulevard-epping-vic-3076-17731866
17742470,EPPING,3076,515,2238.0,"Tuesday, 02 September 2025",2025-09-02,7,3,1,4.0,House,52 Northumberland Drive,-37.641216,145.03676,2025-09-09 16:22:27,17742470,,15,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Built in wardrobes, Heating, Shed",https://www.domain.com.au/52-northumberland-drive-epping-vic-3076-17742470
17747387,EPPING,3076,530,2303.0,"Thursday, 11 September 2025",2025-09-04,5,3,2,2.0,Townhouse,8/50 Plush Cct,-37.626743,145.0009,2025-09-09 16:22:27,17747387,,10,1,1,True,Townhouse/Villa,Townhouse,LongView Real Estate,7797,Nicola Michels,"Gas, Internal Laundry, Secure Parking, Balcony / Deck, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning",https://www.domain.com.au/8-50-plush-cct-epping-vic-3076-17747387
17749065,EPPING,3076,530,2303.0,"Tuesday, 30 September 2025",2025-09-05,4,3,2,2.0,Townhouse,5 The Mill,-37.630207,145.02692,2025-09-09 16:22:27,17749065,,21,0,0,False,Townhouse/Villa,Townhouse,Harcourts Rata & Co,30123,Sachi Samarasekera,"Gas, Secure Parking, Built in wardrobes, Ensuite, Openable Windows, Split System Cooling, Dishwasher",https://www.domain.com.au/5-the-mill-epping-vic-3076-17749065
17749794,EPPING,3076,560,2433.0,"Monday, 15 September 2025",2025-09-05,4,4,2,2.0,Townhouse,4 Warin Walk,-37.622948,145.00027,2025-09-09 16:22:27,17749794,,12,0,0,False,Townhouse/Villa,Townhouse,Harcourts Rata & Co,30123,"George Stavrakis, Charlotte Delaney","Secure Parking, Solar panels, Air conditioning, Heating, Built in wardrobes, Close to shops, Close to schools, Ensuite, Openable Windows, Cooling, Split System Cooling",https://www.domain.com.au/4-warin-walk-epping-vic-3076-17749794
17750051,EPPING,3076,480,2086.0,"Tuesday, 30 September 2025",2025-09-05,3,2,1,1.0,Apartment / Unit / Flat,1 Avon Place,-37.65065,145.04378,2025-09-09 16:22:27,17750051,,13,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts Rata & Co,30123,Chelsea Picone,"Secure Parking, Heating, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Carpeted, Openable Windows",https://www.domain.com.au/1-avon-place-epping-vic-3076-17750051
17750761,EPPING,3076,600,2607.0,"Monday, 08 September 2025",2025-09-08,1,3,2,2.0,House,20 Bacchus Drive,-37.626423,145.03201,2025-09-09 16:22:27,17750761,,8,0,0,False,House,House,Ray White South Morang,12623,Brooklyn Ring,Heating,https://www.domain.com.au/20-bacchus-drive-epping-vic-3076-17750761
17750890,EPPING,3076,600,2607.0,"Monday, 08 September 2025",2025-09-08,1,3,2,4.0,House,4 Roanoke Court,-37.641445,145.04004,2025-09-09 16:22:27,17750890,,7,0,0,False,House,House,Ray White South Morang,12623,Brooklyn Ring,,https://www.domain.com.au/4-roanoke-court-epping-vic-3076-17750890
17751225,EPPING,3076,580,2520.0,"Thursday, 11 September 2025",2025-09-08,1,5,1,2.0,House,16 Savannah Crescent,-37.64937,145.03778,2025-09-09 16:22:27,17751225,,18,0,1,False,House,House,Harcourts Rata & Co,30123,"George Stavrakis, Sune Geldenhuys","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface, Openable Windows, Cooling",https://www.domain.com.au/16-savannah-crescent-epping-vic-3076-17751225
17751637,EPPING,3076,530,2303.0,"Friday, 10 October 2025",2025-09-08,1,3,2,2.0,Townhouse,5 Basalt Terrace,-37.63026,145.03549,2025-09-09 16:22:27,17751637,,13,0,0,False,Townhouse/Villa,Townhouse,Ristic Real Estate,17959,"Jacinta Scott, Nadine Augello","Air conditioning, Built in wardrobes, Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/5-basalt-terrace-epping-vic-3076-17751637
17752368,EPPING,3076,670,2911.0,"Tuesday, 09 September 2025",2025-09-08,0,4,2,2.0,House,15 Dargile Circuit,-37.634453,145.04372,2025-09-09 16:22:27,17752368,,16,0,0,False,House,House,Hockingstuart Epping,26544,Jass Kaur,"Gas, Secure Parking, Broadband internet access, Heating, Dishwasher, Solar panels",https://www.domain.com.au/15-dargile-circuit-epping-vic-3076-17752368
17752761,EPPING,3076,510,2216.0,"Tuesday, 23 September 2025",2025-09-09,0,3,1,2.0,House,2/9 Lotus Court,-37.63796,145.03435,2025-09-09 16:22:27,17752761,,7,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Secure Parking, Fireplace(s), Heating",https://www.domain.com.au/2-9-lotus-court-epping-vic-3076-17752761
17753744,EPPING,3076,570,2477.0,"Tuesday, 09 September 2025",2025-09-09,0,4,2,2.0,House,13/50 Plush Circuit,-37.62688,145.0006,2025-09-09 16:22:27,17753744,,10,0,0,False,House,House,Australian Residential Group,27892,Dorine Kuok,"Gas, Study, Dishwasher, Pets Allowed",https://www.domain.com.au/13-50-plush-circuit-epping-vic-3076-17753744
17753828,EPPING,3076,600,2607.0,"Tuesday, 09 September 2025",2025-09-09,0,4,2,2.0,House,17/50 Plush Circuit,-37.626648,145.00058,2025-09-09 16:22:27,17753828,,11,0,0,False,House,House,Australian Residential Group,27892,Dorine Kuok,"Gas, Study, Dishwasher, Pets Allowed",https://www.domain.com.au/17-50-plush-circuit-epping-vic-3076-17753828
16031640,EPPING,3076,600,2600.0,"Tuesday, 01 July 2025",2025-07-01,70,4,2,2.0,House,16 Pike Street,-37.6238,145.0105,2025-09-09 16:22:32,16031640,AP-1239-QD,5,0,0,False,House,House,PSP PROPERTY GROUP,17904,"PSP Rentals, Anmol Chahal","Secure Parking, Heating",https://www.domain.com.au/16-pike-street-epping-vic-3076-16031640
17699284,EPPING,3076,550,2390.0,"Monday, 04 August 2025",2025-08-04,36,3,1,4.0,House,41 Wedge Street,-37.651302,145.02722,2025-09-09 16:22:32,17699284,,16,0,0,False,House,House,Haughton Stotts Real Estate,11284,Peter Ricardo,"Built in wardrobes, Secure Parking",https://www.domain.com.au/41-wedge-street-epping-vic-3076-17699284
17701267,EPPING,3076,490,2129.0,"Thursday, 14 August 2025",2025-08-05,35,3,1,2.0,House,6 Peppercorn Parade,-37.648758,145.03491,2025-09-09 16:22:32,17701267,,11,0,2,False,House,House,Harcourts Rata & Co,30123,"Anna Keys, Felicia Taylor","Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface, Openable Windows, Split System Cooling, Dishwasher",https://www.domain.com.au/6-peppercorn-parade-epping-vic-3076-17701267
17705170,EPPING,3076,460,1999.0,"Wednesday, 03 September 2025",2025-08-07,33,3,1,1.0,House,20 Bluebell Drive,-37.648285,145.05789,2025-09-09 16:22:32,17705170,,10,0,0,False,House,House,Hockingstuart Epping,26544,Nav Gunerathna*,"Internal Laundry, Bath, Heating",https://www.domain.com.au/20-bluebell-drive-epping-vic-3076-17705170
17716650,EPPING,3076,450,1955.0,"Monday, 22 September 2025",2025-08-15,25,2,1,1.0,Apartment / Unit / Flat,110/76 Epping Road,-37.630657,145.02827,2025-09-09 16:22:32,17716650,,9,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts Rata & Co,30123,Vanessa Vescio,"Gas, Balcony / Deck, Built in wardrobes, Close to transport, Close to shops, Close to schools, Openable Windows, Dishwasher",https://www.domain.com.au/110-76-epping-road-epping-vic-3076-17716650
17725499,EPPING,3076,450,1955.0,"Wednesday, 03 September 2025",2025-08-21,19,2,2,1.0,Apartment / Unit / Flat,207/90 Epping Road,-37.629566,145.02835,2025-09-09 16:22:32,17725499,,7,0,0,False,Apartment,Apartment / Unit / Flat,RT Edgar - Northside,32225,Lily Passarelli,"Gas, Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Remote Garage",https://www.domain.com.au/207-90-epping-road-epping-vic-3076-17725499
17729926,EPPING,3076,640,2824.0,"Tuesday, 12 August 2025",2025-08-25,15,4,2,2.0,House,3 Ballanoma Green,-37.633923,145.01822,2025-09-09 16:22:32,17729926,,10,0,0,False,House,House,Hockingstuart Epping,26544,Jass Kaur,"Internal Laundry, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/3-ballanoma-green-epping-vic-3076-17729926
17732808,EPPING,3076,590,2564.0,"Tuesday, 26 August 2025",2025-08-26,14,4,2,2.0,Townhouse,15 Basalt Terrace,-37.629917,145.03542,2025-09-09 16:22:32,17732808,,14,0,0,False,Townhouse/Villa,Townhouse,Love & Co Reservoir,7121,Shelli Martin,"Internal Laundry, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/15-basalt-terrace-epping-vic-3076-17732808
17736687,EPPING,3076,495,2151.0,"Saturday, 27 September 2025",2025-08-28,12,3,1,1.0,House,1 Glendale Avenue,-37.642883,145.0488,2025-09-09 16:22:32,17736687,,11,0,0,False,House,House,Harcourts Rata & Co,30123,Charlotte Delaney,"Heating, Area Views, Close to transport, Close to shops, Close to schools, Openable Windows, Cooling, Split System Cooling",https://www.domain.com.au/1-glendale-avenue-epping-vic-3076-17736687
17737696,EPPING,3076,450,1955.0,"Tuesday, 16 September 2025",2025-08-29,11,2,1,1.0,House,12 Gottloh Street,-37.632797,145.00279,2025-09-09 16:22:32,17737696,,9,0,1,False,House,House,Harcourts Rata & Co,30123,Danielle Zulian,"Gas, Heating, Built in wardrobes, Carpeted, Openable Windows, Split System Cooling, Dishwasher, Outdoor Entertaining Area",https://www.domain.com.au/12-gottloh-street-epping-vic-3076-17737696
17737875,EPPING,3076,540,2346.0,"Monday, 22 September 2025",2025-08-29,11,3,2,1.0,House,27 Shaftesbury Drive,-37.62985,145.03867,2025-09-09 16:22:32,17737875,,10,0,0,False,House,House,Harcourts Rata & Co,30123,Sachi Samarasekera,"Gas, Heating, Built in wardrobes, Ensuite, Openable Windows, Dishwasher",https://www.domain.com.au/27-shaftesbury-drive-epping-vic-3076-17737875
17738481,EPPING,3076,550,2390.0,"Friday, 29 August 2025",2025-08-29,11,3,2,2.0,House,2 Helios Walk,-37.635475,145.0258,2025-09-09 16:22:32,17738481,,6,0,0,False,House,House,Ray White Mernda,33841,Rental Department Mernda,"Air conditioning, Internal Laundry, Secure Parking, Broadband internet access, Heating, Study, Solar panels",https://www.domain.com.au/2-helios-walk-epping-vic-3076-17738481
17738615,EPPING,3076,630,2737.0,"Monday, 15 September 2025",2025-08-29,11,4,2,2.0,House,255 Harvest Home Road,-37.62175,145.01363,2025-09-09 16:22:32,17738615,,7,0,0,False,House,House,BIGGIN SCOTT NORTH,31237,"Sophia Shafiq, Property Manager","Built in wardrobes, Secure Parking",https://www.domain.com.au/255-harvest-home-road-epping-vic-3076-17738615
