listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17675227,ESSENDON,3040,515,2238,"Monday, 21 July 2025",2025-07-18,53,2,2,1.0,Apartment / Unit / Flat,306/55 Collins St,-37.74361,144.90746,2025-09-09 16:33:10,17675227,,14,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Essendon,4475,"Azhar Bhatti, Jose Panameno","Internal Laundry, Secure Parking, Heating, Intercom, Balcony / Deck",https://www.domain.com.au/306-55-collins-st-essendon-vic-3040-17675227
17690233,ESSENDON,3040,770,3346,"Wednesday, 13 August 2025",2025-07-29,42,3,2,1.0,Townhouse,11A Raleigh Street,-37.75401,144.92596,2025-09-09 16:33:10,17690233,,10,0,0,False,Townhouse/Villa,Townhouse,Woodards Essendon,2743,Ashleigh Owens,"Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/11a-raleigh-street-essendon-vic-3040-17690233
17692111,ESSENDON,3040,450,1956,"Friday, 01 August 2025",2025-07-30,41,1,1,1.0,Apartment / Unit / Flat,7/91 Lincoln Road,-37.74862,144.90878,2025-09-09 16:33:10,17692111,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Essendon,4475,Anna  Dionyssiou,"Internal Laundry, Garden / Courtyard, Built in wardrobes, Floorboards",https://www.domain.com.au/7-91-lincoln-road-essendon-vic-3040-17692111
17693686,ESSENDON,3040,535,2325,"Thursday, 31 July 2025",2025-07-31,40,2,1,1.0,Apartment / Unit / Flat,13/37 Grice Crescent,-37.748695,144.91745,2025-09-09 16:33:10,17693686,,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Essendon,4475,"Simone Shiells, Anastacia  Stefanou","Gas, Heating, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/13-37-grice-crescent-essendon-vic-3040-17693686
17720792,ESSENDON,3040,850,3693,"Friday, 29 August 2025",2025-08-18,21,3,1,2.0,House,41 Forrester St,-37.752705,144.90053,2025-09-09 16:33:10,17720792,,8,0,1,False,House,House,McDonald Upton,11154,Lina Alyas,"Bath, Heating",https://www.domain.com.au/41-forrester-st-essendon-vic-3040-17720792
17724301,ESSENDON,3040,690,2998,"Friday, 19 September 2025",2025-08-20,20,3,2,2.0,Townhouse,1/238 Buckley Street,-37.755802,144.90747,2025-09-09 16:33:10,17724301,,12,0,1,True,Townhouse/Villa,Townhouse,Jellis Craig Moonee Valley,13365,"Megan Reddy, Mohammed Eleter","Internal Laundry, Dishwasher, Ducted Heating, Garden / Courtyard, Remote Garage",https://www.domain.com.au/1-238-buckley-street-essendon-vic-3040-17724301
17727772,ESSENDON,3040,655,2846,"Thursday, 25 September 2025",2025-08-22,18,3,1,2.0,Townhouse,3/967 Mount Alexander Road,-37.749477,144.91264,2025-09-09 16:33:10,17727772,,6,0,1,False,Townhouse/Villa,Townhouse,Jellis Craig Moonee Valley,13365,"Megan Reddy, Laura La Bruna","Gas, Dishwasher, Ducted Heating, Evaporative Cooling, Built in wardrobes, Garden / Courtyard",https://www.domain.com.au/3-967-mount-alexander-road-essendon-vic-3040-17727772
17730636,ESSENDON,3040,375,1630,"Tuesday, 26 August 2025",2025-08-25,15,1,1,1.0,Apartment / Unit / Flat,3/56 Fitzgerald Road,-37.754253,144.92746,2025-09-09 16:33:10,17730636,,6,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Essendon,2743,Ashleigh Owens,"Gas, Internal Laundry, Bath, Heating, Secure Parking, Air conditioning, Garden / Courtyard, Built in wardrobes",https://www.domain.com.au/3-56-fitzgerald-road-essendon-vic-3040-17730636
17731650,ESSENDON,3040,1400,6083,"Saturday, 30 August 2025",2025-08-26,14,4,3,2.0,House,4 Brewster Street,-37.75103,144.92444,2025-09-09 16:33:10,17731650,,13,0,1,True,House,House,Jellis Craig Moonee Valley,13365,"Megan Reddy, Tyra Suemai","Built in wardrobes, Internal Laundry, Secure Parking, Fireplace(s), Heating",https://www.domain.com.au/4-brewster-street-essendon-vic-3040-17731650
17733417,ESSENDON,3040,550,2390,"Saturday, 27 September 2025",2025-08-27,13,1,1,1.0,Apartment / Unit / Flat,502/316 Pascoe Vale Road,-37.746197,144.92616,2025-09-09 16:33:10,17733417,,8,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Essendon,2743,Ashleigh Owens,"Built in wardrobes, Gas, Intercom, Broadband internet access, Secure Parking, Balcony / Deck, Dishwasher",https://www.domain.com.au/502-316-pascoe-vale-road-essendon-vic-3040-17733417
