listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15385213,ESSENDON NORTH,3041,550,2390.0,"Tuesday, 14 September 2021",2025-08-22,18,1,1,1,Apartment / Unit / Flat,5/74 Keilor Rd,-37.74247,144.90562,2025-09-09 16:38:45,15385213,KU-3369-UZ,7,0,1,False,Apartment,Apartment / Unit / Flat,Melbournia,31564,Kei Chang,"Internal Laundry, INSIDE:, Intercom, Study, Built in wardrobes, Dishwasher, Broadband, Bathtub, Gas Appliances, Split System Heating, Reverse Cycle Air Conditioning, OUTSIDE:, Balcony, Remote Garage, Secure Parking",https://www.domain.com.au/5-74-keilor-rd-essendon-north-vic-3041-15385213
16085993,ESSENDON NORTH,3041,470,2064.0,"Wednesday, 30 October 2024",2023-08-25,746,2,1,1,Apartment / Unit / Flat,8/94 Kerferd Street,-37.7358,144.90002,2025-09-09 16:38:45,16085993,UC-8365-FV,6,0,1,False,Apartment,Apartment / Unit / Flat,RentBetter,27499,,Heating,https://www.domain.com.au/8-94-kerferd-street-essendon-north-vic-3041-16085993
16727493,ESSENDON NORTH,3041,490,2129.0,"Monday, 22 September 2025",2025-08-26,14,2,2,1,Apartment / Unit / Flat,G11/2 Gillies Street,-37.74179,144.90388,2025-09-09 16:38:45,16727493,BT-7901-QH,7,0,0,False,Apartment,Apartment / Unit / Flat,Gotham Property,32563,Aaron Boal,Dishwasher,https://www.domain.com.au/g11-2-gillies-street-essendon-north-vic-3041-16727493
16940420,ESSENDON NORTH,3041,825,3586.0,"Friday, 12 September 2025",2025-08-12,28,3,2,2,Apartment / Unit / Flat,G07C/1 O'Shannassy Street,-37.74039,144.90051,2025-09-09 16:38:45,16940420,,19,1,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,"Mark Reading, Kayla Pathe","Gym, Intercom, Floorboards, Cable or Satellite, Built in wardrobes, Dishwasher, Broadband, Gas Appliances, Split System Heating, Split System Air Conditioning, Balcony, Secure Parking, Spa, Pets Allowed",https://www.domain.com.au/g07c-1-o-shannassy-street-essendon-north-vic-3041-16940420
17245600,ESSENDON NORTH,3041,520,2080.0,"Thursday, 10 October 2024",2024-10-10,334,2,1,1,Apartment / Unit / Flat,312/64 Keilor Road,-37.74286,144.90648,2025-09-09 16:38:45,17245600,BK-0037-WL,1,0,0,False,Apartment,Apartment / Unit / Flat,Blink Property,33347,Andrea Lohmar,"Built in wardrobes, Dishwasher, Balcony / Deck",https://www.domain.com.au/312-64-keilor-road-essendon-north-vic-3041-17245600
17632393,ESSENDON NORTH,3041,625,2710.0,"Friday, 04 July 2025",2025-06-22,78,2,2,2,Townhouse,,-37.73746,144.90141,2025-09-09 16:38:45,17632393,,15,0,0,False,Townhouse/Villa,Townhouse,For Sale By Owner,20095,For Rent,"Air conditioning, Bath, Built in wardrobes, Ensuite, Heating, Modern Bathroom, Modern Kitchen, Pay TV Enabled, Floorboards, Renovated, Renovated Kitchen, Separate Dining Room, Entertainment Area, Garden, Garden Shed, Intercom, Close to Parklands, Close to schools, Close to shops, Close to transport, Quiet Location, Non Smoking, Internal Laundry, Storage Area, Remote Garage, Dishwasher, Courtyard, Secure Parking, Living Area, Fully fenced",https://www.domain.com.au/essendon-north-vic-3041-17632393
17648634,ESSENDON NORTH,3041,500,2173.0,"Tuesday, 19 August 2025",2025-09-01,7,2,1,1,Apartment / Unit / Flat,25/60 Keilor Road,-37.742996,144.90685,2025-09-09 16:38:45,17648634,,5,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Essendon,4722,Melissa Russo,"Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/25-60-keilor-road-essendon-north-vic-3041-17648634
17685294,ESSENDON NORTH,3041,600,,"Monday, 11 August 2025",2025-07-25,46,3,2,1,Apartment / Unit / Flat,Unit 2/18 Duffy St,-37.738865,144.90103,2025-09-09 16:38:45,17685294,,7,0,0,False,Apartment,Apartment / Unit / Flat,Moonee Valley Real Estate,11740,Rental Department,"Air conditioning, Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/unit-2-18-duffy-st-essendon-north-vic-3041-17685294
17707562,ESSENDON NORTH,3041,600,2608.0,"Thursday, 04 September 2025",2025-08-08,32,2,2,1,Apartment / Unit / Flat,202/294 Keilor Rd,-37.73816,144.89499,2025-09-09 16:38:45,17707562,,6,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Essendon,4475,"Adrian Morris, Melissa Stringile","Internal Laundry, Heating, Balcony / Deck, Built in wardrobes, Floorboards, Furnished",https://www.domain.com.au/202-294-keilor-rd-essendon-north-vic-3041-17707562
17709522,ESSENDON NORTH,3041,625,2715.0,"Monday, 15 September 2025",2025-08-11,29,2,2,1,Townhouse,4/6 Gillies Street,-37.74115,144.90439,2025-09-09 16:38:45,17709522,,16,0,0,False,Townhouse/Villa,Townhouse,The Hopkins Group,17841,Nadine Cotsaris,,https://www.domain.com.au/4-6-gillies-street-essendon-north-vic-3041-17709522
