listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17701870,FAIRFIELD,3078,395,1716,"Tuesday, 16 September 2025",2025-08-05,35,1,1,1.0,House,6/47 Station Street,-37.781376,145.01791,2025-09-09 16:49:56,17701870,5,0,0,False,House,House,Nelson Alexander Northcote,4721,Amanda Lachmund,,https://www.domain.com.au/6-47-station-street-fairfield-vic-3078-17701870
17714324,FAIRFIELD,3078,850,3694,"Thursday, 11 September 2025",2025-08-13,26,3,1,,House,66 Arthur Street,-37.77848,145.01907,2025-09-09 16:49:56,17714324,8,0,0,False,House,House,Woodards Northcote-Thornbury,5639,Zerrin Uygun,"Ducted Cooling, Ducted Heating, Balcony / Deck, Built in wardrobes",https://www.domain.com.au/66-arthur-street-fairfield-vic-3078-17714324
17721084,FAIRFIELD,3078,650,2824,"Friday, 12 September 2025",2025-08-19,21,2,1,1.0,House,1/161 Rathmines Street,-37.77298,145.01701,2025-09-09 16:49:56,17721084,7,0,0,False,House,House,Love & Co Reservoir,7121,Benita Evans,"Built in wardrobes, Gas, Heating, Dishwasher",https://www.domain.com.au/1-161-rathmines-street-fairfield-vic-3078-17721084
17723559,FAIRFIELD,3078,680,2955,"Monday, 15 September 2025",2025-08-20,20,2,1,3.0,Semi-Detached,146 Perry Street,-37.7706,145.02502,2025-09-09 16:49:56,17723559,9,0,2,False,Any,Semi-Detached,RT Edgar Manningham,30446,Jason Clarke,"Air conditioning, Split System Heating, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Ducted Heating, Fully fenced, Split System Air Con",https://www.domain.com.au/146-perry-street-fairfield-vic-3078-17723559
17733038,FAIRFIELD,3078,950,4128,"Tuesday, 02 September 2025",2025-08-26,13,3,1,1.0,House,50 Langridge Street,-37.778015,145.0233,2025-09-09 16:49:56,17733038,8,1,0,False,House,House,McGrath Northcote,5484,Marie Demiris,Built in wardrobes,https://www.domain.com.au/50-langridge-street-fairfield-vic-3078-17733038
17739624,FAIRFIELD,3078,540,2346,"Sunday, 31 August 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,2/5 Evans Street,-37.77502,145.02524,2025-09-09 16:49:56,17739624,14,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Fitzroy,3709,"Alicia Cannizzaro, Jellis Craig Inner North","Split System Air Con, Split System Heating, Dishwasher, Floorboards",https://www.domain.com.au/2-5-evans-street-fairfield-vic-3078-17739624
17741778,FAIRFIELD,3078,480,2086,"Monday, 01 September 2025",2025-09-01,8,1,1,1.0,Apartment / Unit / Flat,1/117 Rathmines Street,-37.77475,145.01672,2025-09-09 16:49:56,17741778,7,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Boroondara,18210,"Ross Crouch, Nadia Blyth","Floorboards, Built in wardrobes",https://www.domain.com.au/1-117-rathmines-street-fairfield-vic-3078-17741778
17741846,FAIRFIELD,3078,500,2172,"Monday, 01 September 2025",2025-09-01,7,1,1,1.0,Apartment / Unit / Flat,6/117 Rathmines Street,-37.77476,145.01672,2025-09-09 16:49:56,17741846,7,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Boroondara,18210,"Ross Crouch, Nadia Blyth","Floorboards, Built in wardrobes",https://www.domain.com.au/6-117-rathmines-street-fairfield-vic-3078-17741846
17741936,FAIRFIELD,3078,650,2824,"Monday, 01 September 2025",2025-09-01,7,2,1,2.0,Apartment / Unit / Flat,7/117 Rathmines Street,-37.77475,145.01672,2025-09-09 16:49:56,17741936,7,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Boroondara,18210,"Ross Crouch, Nadia Blyth","Dishwasher, Floorboards, Built in wardrobes",https://www.domain.com.au/7-117-rathmines-street-fairfield-vic-3078-17741936
17753154,FAIRFIELD,3078,420,1825,"Tuesday, 09 September 2025",2025-09-09,0,1,1,1.0,Apartment / Unit / Flat,5/57 Gillies Street,-37.779995,145.01704,2025-09-09 16:49:56,17753154,8,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Northcote,4721,"David Barnes, Yana Colosimo",Heating,https://www.domain.com.au/5-57-gillies-street-fairfield-vic-3078-17753154
17753186,FAIRFIELD,3078,685,2976,"Friday, 03 October 2025",2025-09-09,0,3,1,1.0,Apartment / Unit / Flat,1/26 Rathmines Street,-37.781773,145.01508,2025-09-09 16:49:56,17753186,12,0,0,False,Apartment,Apartment / Unit / Flat,Quixley Real Estate,17356,Daniel Stocco,"Built in wardrobes, Gas, Internal Laundry, Bath, Heating, Secure Parking",https://www.domain.com.au/1-26-rathmines-street-fairfield-vic-3078-17753186
