listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15312318,FAWKNER,3060,470,2042.0,"Monday, 01 September 2025",2025-07-21,49,2,1,1.0,House,16 Maher Street,-37.703976,144.96214,2025-09-09 16:54:44,15312318,NC-0462-AO,7,0,0,False,House,House,Ray White Glenroy,17825,Athanasi Triantafillou,"Built in wardrobes, Internal Laundry",https://www.domain.com.au/16-maher-street-fawkner-vic-3060-15312318
15599405,FAWKNER,3060,420,1820.0,"Monday, 25 August 2025",2025-08-25,15,2,1,1.0,Apartment / Unit / Flat,3/86 Major Road,-37.706978,144.96756,2025-09-09 16:54:44,15599405,LN-1594-IN,4,0,0,False,Apartment,Apartment / Unit / Flat,Walshe & Whitelock Pty Ltd,29046,"Walshe and Whitelock, Matthew Zammit","Internal Laundry, Air conditioning, Built in wardrobes, Secure Parking, Heating, Courtyard",https://www.domain.com.au/3-86-major-road-fawkner-vic-3060-15599405
15901836,FAWKNER,3060,390,1695.0,"Tuesday, 07 October 2025",2025-09-08,1,2,1,1.0,Townhouse,9/1310 Sydney Road,-37.69781,144.96068,2025-09-09 16:54:44,15901836,WG-7063-PU,13,0,0,False,Townhouse/Villa,Townhouse,C + M Residential,28112,"Anthony Zeolla, Eric Petrucci","Built in wardrobes, Internal Laundry, Bath, Heating, Shed",https://www.domain.com.au/9-1310-sydney-road-fawkner-vic-3060-15901836
16088292,FAWKNER,3060,520,2260.0,"Wednesday, 10 September 2025",2025-09-03,6,3,1,1.0,House,17 Major Road,-37.70827,144.97426,2025-09-09 16:54:44,16088292,TF-0067-QM,11,0,0,False,House,House,Ray White Bundoora,12449,Agnes Ale,"Secure Parking, Shed",https://www.domain.com.au/17-major-road-fawkner-vic-3060-16088292
16466845,FAWKNER,3060,550,2383.0,"Wednesday, 10 September 2025",2025-08-25,15,2,2,1.0,House,3/35 Princess Street,-37.71738,144.96336,2025-09-09 16:54:44,16466845,JX-4515-KP,9,0,0,False,House,House,Ray White Coburg,27662,Marcy Helal,,https://www.domain.com.au/3-35-princess-street-fawkner-vic-3060-16466845
16730456,FAWKNER,3060,520,2260.0,"Saturday, 13 September 2025",2025-09-02,7,2,1,1.0,House,181 Jukes Road,-37.70132,144.96074,2025-09-09 16:54:44,16730456,UX-7734-QV,7,1,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office",Dishwasher,https://www.domain.com.au/181-jukes-road-fawkner-vic-3060-16730456
17432017,FAWKNER,3060,600,2600.0,"Wednesday, 01 October 2025",2025-09-09,0,3,1,1.0,House,23 Mcdougall Street,-37.7029,144.96394,2025-09-09 16:54:44,17432017,LI-2833-UQ,10,0,0,False,House,House,Ray White Coburg,27662,Scout Kennedy,Heating,https://www.domain.com.au/23-mcdougall-street-fawkner-vic-3060-17432017
17700432,FAWKNER,3060,510,2216.0,"Friday, 01 August 2025",2025-08-05,35,3,1,1.0,Apartment / Unit / Flat,18A Baird St,-37.705994,144.97127,2025-09-09 16:54:44,17700432,,5,0,0,False,Apartment,Apartment / Unit / Flat,McDonald Upton,11154,Lina Alyas,"Heating, Dishwasher",https://www.domain.com.au/18a-baird-st-fawkner-vic-3060-17700432
17700896,FAWKNER,3060,650,2825.0,"Tuesday, 05 August 2025",2025-08-05,35,2,2,1.0,Townhouse,1 & 2/8 Lynch Road,-37.711884,144.97473,2025-09-09 16:54:44,17700896,,7,0,2,False,Townhouse/Villa,Townhouse,Stockdale & Leggo Glenroy,4131,Marilyn Maroge,"Internal Laundry, Heating, Study, Air conditioning, Alarm System, Built in wardrobes, Close to schools, Close to shops, Close to transport, Garden / Courtyard, Dishwasher, Floorboards, Remote Garage",https://www.domain.com.au/1-2-8-lynch-road-fawkner-vic-3060-17700896
17708549,FAWKNER,3060,580,2520.0,"Thursday, 04 September 2025",2025-08-11,29,3,1,1.0,House,24 Birchwood Street,-37.692917,144.96567,2025-09-09 16:54:44,17708549,,11,0,0,False,House,House,Nelson Alexander | Carlton,4719,Thao Duong,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/24-birchwood-street-fawkner-vic-3060-17708549
