listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15588772,FERNTREE GULLY,3156,525.0,2275,"Wednesday, 01 October 2025",2025-08-26,13,3,1,2,Apartment / Unit / Flat,1/8 Castle Street,-37.873234,145.2801,2025-09-09 17:01:12,15588772,WH-9591-TN,7,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Air conditioning, Internal Laundry, Heating, Dishwasher, Shed",https://www.domain.com.au/1-8-castle-street-ferntree-gully-vic-3156-15588772
15616273,FERNTREE GULLY,3156,650.0,2824,"Monday, 06 October 2025",2025-09-09,0,3,1,2,House,8 Harwell Road,-37.887814,145.26747,2025-09-09 17:01:12,15616273,CU-0665-NL,7,0,0,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Air conditioning, Built in wardrobes, Secure Parking, Dishwasher",https://www.domain.com.au/8-harwell-road-ferntree-gully-vic-3156-15616273
15901773,FERNTREE GULLY,3156,610.0,2643,"Monday, 15 September 2025",2025-07-22,48,3,1,4,House,104 Windermere Drive,-37.895702,145.26695,2025-09-09 17:01:12,15901773,BV-5631-RN,11,0,1,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Air conditioning, Built in wardrobes",https://www.domain.com.au/104-windermere-drive-ferntree-gully-vic-3156-15901773
16803426,FERNTREE GULLY,3156,715.0,3107,"Friday, 19 September 2025",2025-09-09,0,3,2,3,Townhouse,1B Eildon Street,-37.880104,145.26353,2025-09-09 17:01:12,16803426,,7,0,0,False,Townhouse/Villa,Townhouse,Ray White Wantirna,16586,Angelika Bogdanov,"Air conditioning, Floorboards, Built in wardrobes, Heating, Dishwasher, Secure Parking, Balcony / Deck, Garden / Courtyard, Rainwater storage tank",https://www.domain.com.au/1b-eildon-street-ferntree-gully-vic-3156-16803426
16974404,FERNTREE GULLY,3156,600.0,2607,"Monday, 22 April 2024",2025-08-21,19,3,1,2,House,7 Moira Avenue,-37.872005,145.26729,2025-09-09 17:01:12,16974404,BB-1741-IK,6,0,0,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Built in wardrobes, Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/7-moira-avenue-ferntree-gully-vic-3156-16974404
17026038,FERNTREE GULLY,3156,820.0,3553,"Wednesday, 17 September 2025",2025-08-22,18,5,3,2,House,39 Cheryl Crescent,-37.894966,145.26033,2025-09-09 17:01:12,17026038,KP-6386-AD,6,0,0,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Gas, Internal Laundry, Heating, Shed",https://www.domain.com.au/39-cheryl-crescent-ferntree-gully-vic-3156-17026038
17258958,FERNTREE GULLY,3156,870.0,3770,"Friday, 26 September 2025",2025-08-26,13,5,3,2,House,19A Allora Avenue,-37.89913,145.28723,2025-09-09 17:01:12,17258958,RM-8675-LP,8,0,0,False,House,House,Ray White Croydon,17921,Leasing ...,"Gas, Secure Parking, Ensuite",https://www.domain.com.au/19a-allora-avenue-ferntree-gully-vic-3156-17258958
17699813,FERNTREE GULLY,3156,520.0,2250,"Monday, 01 September 2025",2025-08-04,35,3,1,1,House,1/5 Nelson Street,-37.8988,145.29321,2025-09-09 17:01:12,17699813,,12,1,0,False,House,House,Ray White Croydon,17921,Leasing ...,"Gas, Bath, Air conditioning, Built in wardrobes",https://www.domain.com.au/1-5-nelson-street-ferntree-gully-vic-3156-17699813
17735533,FERNTREE GULLY,3156,630.0,2730,"Saturday, 06 September 2025",2025-08-27,12,3,2,2,House,8/5 Milton Street,-37.887672,145.2909,2025-09-09 17:01:12,17735533,,8,0,1,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Built in wardrobes, Gas, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/8-5-milton-street-ferntree-gully-vic-3156-17735533
17742843,FERNTREE GULLY,3156,640.0,2781,"Tuesday, 02 September 2025",2025-09-02,7,3,1,2,House,14 Schneider Street,-37.87801,145.30157,2025-09-09 17:01:12,17742843,,6,0,0,False,House,House,Ray White Ferntree Gully,7876,Pathways 1,"Built in wardrobes, Gas, Heating, Dishwasher, Shed",https://www.domain.com.au/14-schneider-street-ferntree-gully-vic-3156-17742843
17744346,FERNTREE GULLY,3156,620.0,2694,"Friday, 10 October 2025",2025-09-03,6,3,1,1,House,50 Holme Road,-37.891644,145.26869,2025-09-09 17:01:12,17744346,,8,0,1,False,House,House,Schroeder& Wallis,21879,Bonny Hain,"Built in wardrobes, Gas, Pets Allowed, Secure Parking, Heating, Shed, Balcony / Deck",https://www.domain.com.au/50-holme-road-ferntree-gully-vic-3156-17744346
17747153,FERNTREE GULLY,3156,610.0,2651,"Friday, 03 October 2025",2025-09-04,5,3,2,1,House,55 Piperita Road,-37.877304,145.26752,2025-09-09 17:01:12,17747153,,13,0,0,False,House,House,Ray White Ferntree Gully,7876,Pathways 1,"Built in wardrobes, Gas, Heating, Dishwasher, Shed",https://www.domain.com.au/55-piperita-road-ferntree-gully-vic-3156-17747153
17749656,FERNTREE GULLY,3156,700.0,3042,"Friday, 12 September 2025",2025-09-05,4,3,2,4,House,50 Bales Street,-37.895977,145.28795,2025-09-09 17:01:12,17749656,,6,0,0,False,House,House,Hoskins Maroondah,3905,Justin Bannerman,"Air conditioning, Internal Laundry, Secure Parking, Bath, Heating, Shed",https://www.domain.com.au/50-bales-street-ferntree-gully-vic-3156-17749656
17751446,FERNTREE GULLY,3156,780.0,3390,"Friday, 19 September 2025",2025-09-08,1,4,2,2,House,15 Agora Boulevard,-37.870327,145.27896,2025-09-09 17:01:12,17751446,,12,0,2,False,House,House,OBrien Real Estate Wantirna,30597,Nicole Gardner,"Internal Laundry, Fireplace(s), Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Pets Allowed, Close to schools, Ensuite, Carpeted, Openable Windows, Toilet Facilities",https://www.domain.com.au/15-agora-boulevard-ferntree-gully-vic-3156-17751446
17751628,FERNTREE GULLY,3156,660.0,2868,"Friday, 12 September 2025",2025-09-08,1,3,2,2,Townhouse,3/61 Dorset Road,-37.879166,145.28438,2025-09-09 17:01:12,17751628,,6,0,1,False,Townhouse/Villa,Townhouse,OBrien Real Estate Rowville,20542,"Karli Tsutsulis, Stephanie Innes","Internal Laundry, Secure Parking, Study, Built in wardrobes, Close to transport, Close to shops, Close to schools, Carpeted, Broadband Internet Available, Dishwasher, Fully fenced",https://www.domain.com.au/3-61-dorset-road-ferntree-gully-vic-3156-17751628
