listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17533261,FITZROY,3065,1100,5880.0,"Wednesday, 16 April 2025",2025-09-03,6,3,2,2.0,House,27 John Street,-37.800465,144.97641,2025-09-09 16:16:05,17533261,JN-2866-RT,9,0,0,False,House,House,Jellis Craig Fitzroy,3709,"Jayde Cashion, Jellis Craig Inner North","Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Heating, Floorboards, Laundry",https://www.domain.com.au/27-john-street-fitzroy-vic-3065-17533261
17569645,FITZROY,3065,995,4324.0,"Friday, 20 June 2025",2025-09-03,6,2,1,1.0,Apartment / Unit / Flat,15/183 Kerr Street,-37.796864,144.98157,2025-09-09 16:16:05,17569645,TO-7911-ZY,18,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Fitzroy,4718,Ebony O'Regan,"Built in wardrobes, Furnished, Heating",https://www.domain.com.au/15-183-kerr-street-fitzroy-vic-3065-17569645
17699987,FITZROY,3065,625,2716.0,"Friday, 08 August 2025",2025-08-04,35,2,1,2.0,Townhouse,1/34 Alexandra Parade,-37.793423,144.97714,2025-09-09 16:16:05,17699987,,9,0,0,False,Townhouse/Villa,Townhouse,Agents'Agency Network Partners,11919,Katrina Minos,"Gas, Heating, Dishwasher, Air conditioning, Built in wardrobes, Internal Laundry, Garden / Courtyard",https://www.domain.com.au/1-34-alexandra-parade-fitzroy-vic-3065-17699987
17700622,FITZROY,3065,1200,5514.0,"Tuesday, 14 October 2025",2025-08-25,15,2,1,1.0,Townhouse,147 Kerr Street,-37.796562,144.9806,2025-09-09 16:16:05,17700622,,10,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Fitzroy,4718,"Lauren Honey, Yvette Johnston",Balcony / Deck,https://www.domain.com.au/147-kerr-street-fitzroy-vic-3065-17700622
17728561,FITZROY,3065,560,2433.0,"Thursday, 18 September 2025",2025-09-08,1,1,1,1.0,Apartment / Unit / Flat,207/81 Argyle Street,-37.79736,144.97815,2025-09-09 16:16:05,17728561,,5,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Fitzroy,3709,"Jayde Cashion, Jellis Craig Inner North","Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/207-81-argyle-street-fitzroy-vic-3065-17728561
17731399,FITZROY,3065,1100,4998.0,"Saturday, 04 October 2025",2025-08-26,14,2,2,2.0,Apartment / Unit / Flat,207/166 Gertrude Street,-37.80622,144.98026,2025-09-09 16:16:05,17731399,,12,1,1,False,Apartment,Apartment / Unit / Flat,MRE,20795,Millie Bowles,"Air conditioning, Internal Laundry, Balcony / Deck, Car Accom: Carport, Pool/Spa Count: 0",https://www.domain.com.au/207-166-gertrude-street-fitzroy-vic-3065-17731399
17735756,FITZROY,3065,1290,5500.0,"Wednesday, 01 October 2025",2025-08-28,12,3,2,2.0,Townhouse,122 Rose St,-37.796135,144.97993,2025-09-09 16:16:05,17735756,,7,0,0,False,Townhouse/Villa,Townhouse,RentBetter,27499,,"Internal Laundry, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Fully fenced, Garden / Courtyard, Heating, Pets Allowed, Secure Parking",https://www.domain.com.au/122-rose-st-fitzroy-vic-3065-17735756
17740765,FITZROY,3065,560,2433.0,"Thursday, 07 August 2025",2025-09-01,8,1,1,1.0,Apartment / Unit / Flat,13/300 Young Street,-37.797417,144.9799,2025-09-09 16:16:05,17740765,,9,0,1,False,Apartment,Apartment / Unit / Flat,Melcorp Real Estate,11842,"Leasing Team, Romina Alessi","Internal Laundry, Gym, Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Swimming Pool, Intercom, Close to schools, City Views, Security Access, Security System",https://www.domain.com.au/13-300-young-street-fitzroy-vic-3065-17740765
17741537,FITZROY,3065,950,4128.0,"Tuesday, 02 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,38/183 Kerr Street,-37.796875,144.98157,2025-09-09 16:16:05,17741537,,13,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Kew,3909,"Celia McGregor, Eliza Bonnett","Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/38-183-kerr-street-fitzroy-vic-3065-17741537
17741646,FITZROY,3065,775,3368.0,"Monday, 01 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,5/156 Rose Street,-37.796356,144.98167,2025-09-09 16:16:05,17741646,,8,0,1,False,Apartment,Apartment / Unit / Flat,Kay & Burton Stonnington,88,Jonathan Boon,"Built in wardrobes, Dishwasher, Floorboards, Intercom, Secure Parking, Split System AirCon",https://www.domain.com.au/5-156-rose-street-fitzroy-vic-3065-17741646
17741868,FITZROY,3065,1200,5214.0,"Monday, 01 September 2025",2025-09-01,7,2,2,2.0,Apartment / Unit / Flat,201/75 Argyle Street,-37.797337,144.97786,2025-09-09 16:16:05,17741868,,13,0,0,False,Apartment,Apartment / Unit / Flat,Thomson ,176,Kerry Kyloh,,https://www.domain.com.au/201-75-argyle-street-fitzroy-vic-3065-17741868
17744327,FITZROY,3065,3010,2000.0,"Monday, 01 September 2025",2025-09-03,6,3,2,,House,604/416 Gore Street,-37.796806,144.98402,2025-09-09 16:16:05,17744327,,22,0,0,False,House,House,Minus The Agent,26625,Minus The Agent Property Management,"Internal Laundry, Furnished, Air conditioning, Ensuite(s), Secure Parking, Deck, Dishwasher",https://www.domain.com.au/604-416-gore-street-fitzroy-vic-3065-17744327
17746808,FITZROY,3065,390,1695.0,"Thursday, 28 August 2025",2025-09-04,5,1,1,,Apartment / Unit / Flat,22/35-41 Napier Street,-37.80695,144.97908,2025-09-09 16:16:05,17746808,,7,0,0,False,Apartment,Apartment / Unit / Flat,Woodards,19,Emina Taleb,Heating,https://www.domain.com.au/22-35-41-napier-street-fitzroy-vic-3065-17746808
