listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,land_area,url
15660860,FITZROY NORTH,3068,1000,4345.0,"Tuesday, 28 October 2025",2025-09-04,5,3.0,2,1.0,Townhouse,35/6 Reid Street,-37.78544,144.97742,2025-09-09 16:19:48,15660860,FG-7402-KM,7,0,0,False,Townhouse/Villa,Townhouse,Raine & Horne Brunswick Sales,5247,Celeste Elezovic,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Intercom, Heating, Dishwasher",,https://www.domain.com.au/35-6-reid-street-fitzroy-north-vic-3068-15660860
17114099,FITZROY NORTH,3068,820,3563.0,"Monday, 08 September 2025",2025-08-14,26,2.0,2,1.0,Townhouse,15 Tempany Street,-37.78713,144.97726,2025-09-09 16:19:48,17114099,VH-0897-YY,14,0,1,False,Townhouse/Villa,Townhouse,Bricks and Mortar RE,31967,William Postlethwaite,"Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Ensuite(s), Balcony, Remote Garage, Secure Parking, Fully fenced, Pets Allowed",,https://www.domain.com.au/15-tempany-street-fitzroy-north-vic-3068-17114099
17697883,FITZROY NORTH,3068,850,,"Friday, 05 September 2025",2025-08-04,36,3.0,2,2.0,House,20 Ivan Street,-37.7824,144.98721,2025-09-09 16:19:48,17697883,,8,0,0,False,House,House,buymyplace,17238,buymyplace .,"Furnished, Balcony / Deck, Outdoor area, Deck, Fully fenced, Ensuite, Dishwasher, Study, Built in wardrobes, Floorboards, Living area, Broadband internet access, Toilet, Air conditioning, Heating, Solar panels, Car spaces: 2, Energy Eff. Rating: 4",,https://www.domain.com.au/20-ivan-street-fitzroy-north-vic-3068-17697883
17702236,FITZROY NORTH,3068,480,2086.0,"Tuesday, 09 September 2025",2025-08-05,34,1.0,1,,Apartment / Unit / Flat,7/70 Nicholson Street,-37.782684,144.97774,2025-09-09 16:19:48,17702236,,4,0,0,False,Apartment,Apartment / Unit / Flat, Woodards Manningham ,21971,"Georgie Paganis, Raphael Cai","Internal Laundry, Heating, Air conditioning, Intercom, Built in wardrobes, Garden / Courtyard, Dishwasher",,https://www.domain.com.au/7-70-nicholson-street-fitzroy-north-vic-3068-17702236
17708110,FITZROY NORTH,3068,1125,5625.0,"Friday, 08 August 2025",2025-08-08,31,3.0,2,,Townhouse,172 St Georges Road,-37.7854,144.98224,2025-09-09 16:19:48,17708110,,14,0,1,True,Townhouse/Villa,Townhouse,Woodards,19,Klarissa Millis,"Intercom, Heating",,https://www.domain.com.au/172-st-georges-road-fitzroy-north-vic-3068-17708110
17723526,FITZROY NORTH,3068,1300,5649.0,"Wednesday, 17 September 2025",2025-08-20,20,3.0,2,2.0,Townhouse,G5/22 Nicholson Street,-37.774708,144.9796,2025-09-09 16:19:48,17723526,,15,0,1,False,Townhouse/Villa,Townhouse,Harcourts Coburg,34825,"Amber Howlett, Shae Williams","Air conditioning, Floorboards, Intercom, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Study, Secure Parking, Balcony / Deck",,https://www.domain.com.au/g5-22-nicholson-street-fitzroy-north-vic-3068-17723526
17729745,FITZROY NORTH,3068,380,1651.0,"Friday, 29 August 2025",2025-08-25,15,1.0,1,,Studio,3/33 Rae Street,-37.792164,144.9783,2025-09-09 16:19:48,17729745,,13,0,2,False,Apartment,Studio,Woodards,19,Susie Beale,Heating,,https://www.domain.com.au/3-33-rae-street-fitzroy-north-vic-3068-17729745
17732821,FITZROY NORTH,3068,690,2998.0,"Friday, 29 August 2025",2025-08-26,14,2.0,1,1.0,Apartment / Unit / Flat,108/463 Brunswick Street,-37.792847,144.97919,2025-09-09 16:19:48,17732821,,7,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander | Carlton,4719,Marco D'Argenio,"Built in wardrobes, Gas, Internal Laundry, Intercom, Heating, Balcony / Deck, Air conditioning, Reverse Cycle Air Con",,https://www.domain.com.au/108-463-brunswick-street-fitzroy-north-vic-3068-17732821
17735481,FITZROY NORTH,3068,370,,"Wednesday, 27 August 2025",2025-08-27,12,1.0,1,1.0,Apartment / Unit / Flat,6/137 Holden Street,-37.77957,144.98454,2025-09-09 16:19:48,17735481,,4,0,0,False,Apartment,Apartment / Unit / Flat,Harrington Earl Estate Agents,3558,Callum Green,"Bath, Heating, Built in wardrobes",,https://www.domain.com.au/6-137-holden-street-fitzroy-north-vic-3068-17735481
17738734,FITZROY NORTH,3068,750,3259.0,"Friday, 12 September 2025",2025-08-29,11,2.0,2,1.0,Apartment / Unit / Flat,19/137 McKean Street,-37.788433,144.98723,2025-09-09 16:19:48,17738734,,5,0,1,False,Apartment,Apartment / Unit / Flat,Jellis Craig Fitzroy,3709,"Jayde Cashion, Jellis Craig Inner North","Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Intercom, Secure Parking, Laundry, Open plan living",,https://www.domain.com.au/19-137-mckean-street-fitzroy-north-vic-3068-17738734
