listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16155832,FLEMINGTON,3031,1100,6500,"Thursday, 04 September 2025",2025-08-25,15,4,1,2.0,House,1 Illawarra Road,-37.78512,144.92575,2025-09-09 16:24:45,16155832,MS-4019-PH,13,0,1,False,House,House,Keyhole Property Investments,8749,"Rentals, Please  Contact Office","Balcony / Deck, Air conditioning, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Shed, Garden / Courtyard, Floorboards, Gas",https://www.domain.com.au/1-illawarra-road-flemington-vic-3031-16155832
16604447,FLEMINGTON,3031,520,2260,"Thursday, 02 October 2025",2025-08-29,11,1,1,1.0,Apartment / Unit / Flat,108A/72 Ascot Vale Road,-37.784096,144.92307,2025-09-09 16:24:45,16604447,,10,0,1,False,Apartment,Apartment / Unit / Flat,Asset Advantage Management,7605,Jasmin Hickey,"Built in wardrobes, Internal Laundry, Secure Parking, Dishwasher",https://www.domain.com.au/108a-72-ascot-vale-road-flemington-vic-3031-16604447
16609198,FLEMINGTON,3031,660,2868,"Friday, 26 September 2025",2025-08-26,14,2,2,1.0,Apartment / Unit / Flat,110B/72 Ascot Vale Road,-37.784096,144.92307,2025-09-09 16:24:45,16609198,CI-7606-DP,13,0,1,False,Apartment,Apartment / Unit / Flat,Richardson & Wrench Projects Victoria,31321,Daniel Aldieri,"Dishwasher, Split System Heating, Split System Air Conditioning",https://www.domain.com.au/110b-72-ascot-vale-road-flemington-vic-3031-16609198
16609883,FLEMINGTON,3031,660,2868,"Friday, 19 September 2025",2025-08-26,14,2,2,1.0,Apartment / Unit / Flat,306B/72 Ascot Vale Road,-37.784096,144.92307,2025-09-09 16:24:45,16609883,,15,0,1,False,Apartment,Apartment / Unit / Flat,Richardson & Wrench Projects Victoria,31321,Daniel Aldieri,"Dishwasher, Split System Heating",https://www.domain.com.au/306b-72-ascot-vale-road-flemington-vic-3031-16609883
17650305,FLEMINGTON,3031,550,2390,"Monday, 04 August 2025",2025-07-02,68,2,1,1.0,Apartment / Unit / Flat,7/39 Dover Street,-37.78325,144.92548,2025-09-09 16:24:45,17650305,,9,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Flemington,4478,Amber Ward,"Intercom, Heating, Dishwasher",https://www.domain.com.au/7-39-dover-street-flemington-vic-3031-17650305
17659131,FLEMINGTON,3031,460,1998,"Friday, 08 August 2025",2025-07-08,63,2,1,1.0,Apartment / Unit / Flat,6/44 Ascot Vale Road,-37.785133,144.922,2025-09-09 16:24:45,17659131,,10,0,1,True,Apartment,Apartment / Unit / Flat,Jellis Craig Kensington,20419,"Megan Reddy, Edward Tombs","Internal Laundry, Bath, Heating, Intercom, Built in wardrobes",https://www.domain.com.au/6-44-ascot-vale-road-flemington-vic-3031-17659131
17726048,FLEMINGTON,3031,615,2672,"Friday, 26 September 2025",2025-08-21,19,2,1,,House,474 Racecourse Road,-37.787395,144.92455,2025-09-09 16:24:45,17726048,,11,0,1,True,House,House,Jellis Craig Kensington,20419,"Megan Reddy, Mohammed Eleter","Split System Heating, Floorboards",https://www.domain.com.au/474-racecourse-road-flemington-vic-3031-17726048
17726849,FLEMINGTON,3031,460,1998,"Saturday, 30 August 2025",2025-08-21,18,1,1,1.0,Apartment / Unit / Flat,6/7-9 Farnham Court,-37.781593,144.92987,2025-09-09 16:24:45,17726849,,9,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Kensington,20419,"Justin Jovanov, Vicki Lekanis","Built in wardrobes, Gas, Intercom, Bath",https://www.domain.com.au/6-7-9-farnham-court-flemington-vic-3031-17726849
17730659,FLEMINGTON,3031,395,1716,"Monday, 25 August 2025",2025-08-25,15,1,1,1.0,Apartment / Unit / Flat,10/7 Waltham Street,-37.783485,144.92865,2025-09-09 16:24:45,17730659,,6,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Flemington,4478,"Amber Ward, Cheryl Garton",Air conditioning,https://www.domain.com.au/10-7-waltham-street-flemington-vic-3031-17730659
17734243,FLEMINGTON,3031,440,1912,"Wednesday, 17 September 2025",2025-08-27,13,1,1,,Apartment / Unit / Flat,1/107 Princes Street,-37.78507,144.93442,2025-09-09 16:24:45,17734243,,6,0,1,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Flemington,4478,Brittany Findlay,Furnished,https://www.domain.com.au/1-107-princes-street-flemington-vic-3031-17734243
17736214,FLEMINGTON,3031,900,3910,"Thursday, 28 August 2025",2025-08-28,12,4,1,1.0,House,69 Victoria Street,-37.786465,144.93436,2025-09-09 16:24:45,17736214,,8,0,0,False,House,House,Woodards Brunswick/Coburg,34781,Paula Tran,"Heating, Dishwasher",https://www.domain.com.au/69-victoria-street-flemington-vic-3031-17736214
17738940,FLEMINGTON,3031,440,1912,"Monday, 01 September 2025",2025-08-29,11,1,1,1.0,Apartment / Unit / Flat,12/60 Farnham St,-37.782562,144.93106,2025-09-09 16:24:45,17738940,,6,0,0,False,Apartment,Apartment / Unit / Flat,McDonald Upton,11154,Lina Alyas,"Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/12-60-farnham-st-flemington-vic-3031-17738940
17739908,FLEMINGTON,3031,450,1955,"Friday, 05 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,3/90 Dover Street,-37.782707,144.92317,2025-09-09 16:24:45,17739908,,6,0,1,False,Apartment,Apartment / Unit / Flat,Belle Property Carlton | Melbourne | North Melbourne,24322,Helena Eglezos,Built in wardrobes,https://www.domain.com.au/3-90-dover-street-flemington-vic-3031-17739908
17743279,FLEMINGTON,3031,525,2281,"Monday, 13 October 2025",2025-09-02,7,2,1,1.0,Apartment / Unit / Flat,128/200 Smithfield Road,-37.7888,144.92224,2025-09-09 16:24:45,17743279,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Kensington,20419,"Megan Reddy, Willow Stamp","Internal Laundry, Balcony / Deck, Tennis Court, Built in wardrobes",https://www.domain.com.au/128-200-smithfield-road-flemington-vic-3031-17743279
17743470,FLEMINGTON,3031,620,2694,"Wednesday, 01 October 2025",2025-09-02,7,2,1,,House,77 Princes Street,-37.785934,144.93372,2025-09-09 16:24:45,17743470,,10,0,1,False,House,House,Nelson Alexander Flemington,4478,Catherine Maugeri,"Built in wardrobes, Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/77-princes-street-flemington-vic-3031-17743470
