listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15642677,FOOTSCRAY,3011,645.0,2803.0,"Wednesday, 08 October 2025",2025-09-04,5,2,2,1.0,Apartment / Unit / Flat,506/4 Joseph Road,-37.800327,144.90956,2025-09-09 16:33:40,15642677,LC-1243-EE,16,1,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,"Mark Reading, Nirvana Kane","Gym, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Balcony, Pets Allowed",https://www.domain.com.au/506-4-joseph-road-footscray-vic-3011-15642677
15952252,FOOTSCRAY,3011,675.0,2934.0,"Monday, 13 October 2025",2025-09-04,5,2,2,1.0,Apartment / Unit / Flat,405/8 Joseph Road,-37.800327,144.90956,2025-09-09 16:33:40,15952252,ZP-2134-LE,25,1,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,"Mark Reading, Nirvana Kane","Intercom, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Ensuite(s), Balcony, City Views, Water Views",https://www.domain.com.au/405-8-joseph-road-footscray-vic-3011-15952252
16066763,FOOTSCRAY,3011,650.0,2825.0,"Tuesday, 07 October 2025",2025-09-03,6,2,2,1.0,Apartment / Unit / Flat,1402/8 Joseph Road,-37.800327,144.90956,2025-09-09 16:33:40,16066763,BJ-7018-AI,23,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,"Mark Reading, Nirvana Kane","Intercom, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Ensuite(s), Balcony",https://www.domain.com.au/1402-8-joseph-road-footscray-vic-3011-16066763
16302218,FOOTSCRAY,3011,585.0,2542.0,"Tuesday, 09 September 2025",2025-09-09,0,2,2,,Apartment / Unit / Flat,1109/5 Joseph Road,-37.80022,144.90916,2025-09-09 16:33:40,16302218,NM-4260-TF,9,0,0,False,Apartment,Apartment / Unit / Flat,Australian Residential Group,27892,"Sahar Ebadi, Natalee Amici","Internal Laundry, Gym, Intercom, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Gas Hot Water, Ensuite(s), Outdoor Entertainment Area, Balcony, Swimming Pool, Pets Allowed",https://www.domain.com.au/1109-5-joseph-road-footscray-vic-3011-16302218
16888124,FOOTSCRAY,3011,650.0,2825.0,"Friday, 03 October 2025",2025-09-03,6,2,2,1.0,Apartment / Unit / Flat,1014/2 Joseph Road,-37.800327,144.90956,2025-09-09 16:33:40,16888124,IK-0199-SK,9,1,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Mark Reading,"Gym, Intercom, Floorboards, Built in wardrobes, Dishwasher, Air conditioning, Ensuite(s), Outdoor Entertainment Area, Balcony, Remote Garage, Secure Parking, In Ground Pool, Spa, City Views",https://www.domain.com.au/1014-2-joseph-road-footscray-vic-3011-16888124
16965076,FOOTSCRAY,3011,450.0,1954.0,"Saturday, 16 August 2025",2025-07-20,50,1,1,1.0,Apartment / Unit / Flat,227/9 Hewitt Avenue,-37.79966,144.8806,2025-09-09 16:33:40,16965076,UX-0019-YR,9,0,1,False,Apartment,Apartment / Unit / Flat,Lease A Property ,21230,Marc Angelone,"Gas, Internal Laundry, Intercom, Heating, Dishwasher, Study, Balcony / Deck, Pets Allowed",https://www.domain.com.au/227-9-hewitt-avenue-footscray-vic-3011-16965076
17598229,FOOTSCRAY,3011,500.0,2173.0,"Monday, 08 September 2025",2025-09-08,1,1,1,1.0,Apartment / Unit / Flat,307/90 Buckley Street,-37.80342,144.89444,2025-09-09 16:33:40,17598229,,8,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Northcote,37294,"George Boutsiavaras, Elaine Vogles","Built in wardrobes, Gas, Furnished, Intercom, Heating",https://www.domain.com.au/307-90-buckley-street-footscray-vic-3011-17598229
17698150,FOOTSCRAY,3011,520.0,2260.0,"Tuesday, 26 August 2025",2025-08-04,36,2,1,,Apartment / Unit / Flat,1201/8 Hallenstein Street,-37.80004,144.9082,2025-09-09 16:33:40,17698150,,8,1,0,False,Apartment,Apartment / Unit / Flat,Auswell Property Solution Pty Ltd,32686,Elaine YAO,"Gym, Intercom, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Balcony",https://www.domain.com.au/1201-8-hallenstein-street-footscray-vic-3011-17698150
17703212,FOOTSCRAY,3011,520.0,2260.0,"Monday, 01 September 2025",2025-08-06,34,1,1,1.0,Apartment / Unit / Flat,707/2 Hallenstein Street,-37.80043,144.90816,2025-09-09 16:33:40,17703212,,16,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Flemington,4478,Brittany Findlay,"Gas, Internal Laundry, Gym, Dishwasher, Balcony / Deck",https://www.domain.com.au/707-2-hallenstein-street-footscray-vic-3011-17703212
17707618,FOOTSCRAY,3011,950.0,4128.0,"Friday, 12 September 2025",2025-08-08,32,3,2,2.0,House,10 Jerrold Street,-37.792164,144.89093,2025-09-09 16:33:40,17707618,,6,0,0,False,House,House,Buxton Inner West,4371,Eliza O'Donnell,"Gas, Bath, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Heating, Secure Parking",https://www.domain.com.au/10-jerrold-street-footscray-vic-3011-17707618
17713653,FOOTSCRAY,3011,450.0,1954.0,"Thursday, 14 August 2025",2025-08-13,27,1,1,1.0,Apartment / Unit / Flat,227/9 Hewitt Avenue,-37.79966,144.8806,2025-09-09 16:33:40,17713653,,9,0,1,False,Apartment,Apartment / Unit / Flat,RentBetter,27499,,"Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Fully fenced, Heating, Intercom, Pets Allowed, Secure Parking",https://www.domain.com.au/227-9-hewitt-avenue-footscray-vic-3011-17713653
17714403,FOOTSCRAY,3011,575.0,2499.0,"Thursday, 11 September 2025",2025-08-13,26,2,2,1.0,Apartment / Unit / Flat,303/99 Donald Street,-37.79797,144.8996,2025-09-09 16:33:40,17714403,,7,0,0,False,Apartment,Apartment / Unit / Flat,Gotham Property,32563,Aaron Boal,"Intercom, Floorboards, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning",https://www.domain.com.au/303-99-donald-street-footscray-vic-3011-17714403
17716966,FOOTSCRAY,3011,630.0,2738.0,"Friday, 15 August 2025",2025-08-15,25,2,2,1.0,Apartment / Unit / Flat,906C/2 Tannery Walk,-37.800232,144.9071,2025-09-09 16:33:40,17716966,,13,0,0,False,Apartment,Apartment / Unit / Flat,Create Real Estate,13833,Create Rentals,"Internal Laundry, Gym, Built in wardrobes, Heating, Balcony / Deck",https://www.domain.com.au/906c-2-tannery-walk-footscray-vic-3011-17716966
17716988,FOOTSCRAY,3011,630.0,2738.0,"Friday, 15 August 2025",2025-08-15,25,2,2,1.0,Apartment / Unit / Flat,1602C/2 Tannery Walk,-37.800232,144.9071,2025-09-09 16:33:40,17716988,,13,0,0,False,Apartment,Apartment / Unit / Flat,Create Real Estate,13833,Create Rentals,"Internal Laundry, Gym, Built in wardrobes, Heating, Balcony / Deck",https://www.domain.com.au/1602c-2-tannery-walk-footscray-vic-3011-17716988
