listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13338001,FOREST HILL,3131,,,"Monday, 01 July 2019",2019-06-25,2267,3,2,2,Townhouse,,-37.83474,145.17273,2025-09-09 16:48:43,13338001,,5,0,0,False,Townhouse/Villa,Townhouse,Eastern Central Real Estate,20164,George Mash,"Ensuite(s), Air conditioning, Ensuite, Built in wardrobes, Dishwasher, Double garage with internal access, 3 toilets",https://www.domain.com.au/forest-hill-vic-3131-13338001
13485701,FOREST HILL,3131,,,"Monday, 02 September 2019",2019-08-16,2215,3,1,2,House,,-37.83474,145.17273,2025-09-09 16:48:43,13485701,,7,0,0,False,House,House,Eastern Central Real Estate,20164,,"Air conditioning, Ensuite, 2 Toilets, Gas ducted heating, Double garage with remote, Gardening included",https://www.domain.com.au/forest-hill-vic-3131-13485701
14888210,FOREST HILL,3131,,2600.0,"Friday, 19 February 2021",2021-02-06,1676,4,2,5,Townhouse,,-37.83474,145.17273,2025-09-09 16:48:43,14888210,GM-1977-CQ,7,0,0,False,Townhouse/Villa,Townhouse,Eastern Central Real Estate,20164,George Mash,"Heating, Ensuite(s), Air conditioning, Ensuite, Floorboards, Built in wardrobes, Dishwasher",https://www.domain.com.au/forest-hill-vic-3131-14888210
15060096,FOREST HILL,3131,,1412.0,"Monday, 19 April 2021",2021-04-17,1606,2,1,1,Apartment / Unit / Flat,,-37.83474,145.17273,2025-09-09 16:48:43,15060096,FP-3908-GY,3,0,0,False,Apartment,Apartment / Unit / Flat,Eastern Central Real Estate,20164,George Mash,"Gas, Internal Laundry, Air conditioning",https://www.domain.com.au/forest-hill-vic-3131-15060096
15816213,FOREST HILL,3131,,2020.0,"Wednesday, 06 April 2022",2022-04-01,1257,3,2,2,Townhouse,,-37.83474,145.17273,2025-09-09 16:48:43,15816213,MZ-1937-DO,11,0,0,False,Townhouse/Villa,Townhouse,Eastern Central Real Estate,20164,George Mash,"Secure Parking, Ensuite, Floorboards, Built in wardrobes, Dishwasher",https://www.domain.com.au/forest-hill-vic-3131-15816213
16962534,FOREST HILL,3131,,2520.0,"Wednesday, 08 May 2024",2024-04-10,517,3,2,2,Townhouse,,-37.83474,145.17273,2025-09-09 16:48:43,16962534,WD-7462-SS,6,0,0,False,Townhouse/Villa,Townhouse,Eastern Central Real Estate,20164,George Mash,"Ensuite(s), Secure Parking, Air conditioning, Ensuite, Built in wardrobes, Gas, Heating, Dishwasher",https://www.domain.com.au/forest-hill-vic-3131-16962534
17563554,FOREST HILL,3131,400.0,1738.0,"Thursday, 08 May 2025",2025-05-08,124,2,1,1,Apartment / Unit / Flat,,-37.83474,145.17273,2025-09-09 16:48:43,17563554,FP-9591-BT,6,0,0,False,Apartment,Apartment / Unit / Flat,Eastern Central Real Estate,20164,George Mash,"Air conditioning, Floorboards, Built in wardrobes, Internal Laundry, Heating, Shed, Fully fenced, Garden / Courtyard",https://www.domain.com.au/forest-hill-vic-3131-17563554
17717739,FOREST HILL,3131,540.0,2346.0,"Wednesday, 17 September 2025",2025-08-15,25,3,1,1,Apartment / Unit / Flat,1/343 Springvale Road,-37.836533,145.17255,2025-09-09 16:48:43,17717739,,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Freya Semera, Ryan King","Air conditioning, Built in wardrobes, Bath, Heating",https://www.domain.com.au/1-343-springvale-road-forest-hill-vic-3131-17717739
17732714,FOREST HILL,3131,520.0,2259.0,"Friday, 29 August 2025",2025-08-26,14,2,1,1,Apartment / Unit / Flat,2/472 Canterbury Road,-37.836304,145.1822,2025-09-09 16:48:43,17732714,,10,0,0,False,Apartment,Apartment / Unit / Flat,Docking Real Estate,12356,Chris Sung,"Built in wardrobes, Gas, Secure Parking, Bath",https://www.domain.com.au/2-472-canterbury-road-forest-hill-vic-3131-17732714
17735510,FOREST HILL,3131,550.0,2389.0,"Friday, 05 September 2025",2025-08-27,12,3,1,1,House,129 Mahoneys Road,-37.83953,145.16583,2025-09-09 16:48:43,17735510,,8,0,0,False,House,House,Ray White (Judd White Group),17402,Catherine Howard,"Built in wardrobes, Gas, Secure Parking",https://www.domain.com.au/129-mahoneys-road-forest-hill-vic-3131-17735510
17739264,FOREST HILL,3131,1100.0,4780.0,"Thursday, 02 October 2025",2025-08-29,10,4,2,2,House,17 Bristow Dr,-37.833427,145.18126,2025-09-09 16:48:43,17739264,,14,0,1,False,House,House,Area Specialist Dynamic,38901,Radin Shojaei,"Gas, Heating, Air conditioning, Secure Parking, Garden / Courtyard, Built in wardrobes, Dishwasher, Out door entertaining area, Internal Laundry",https://www.domain.com.au/17-bristow-dr-forest-hill-vic-3131-17739264
17739980,FOREST HILL,3131,650.0,2824.0,"Monday, 15 September 2025",2025-09-01,8,3,2,1,Townhouse,7/219 Mahoneys Road,-37.84609,145.16472,2025-09-09 16:48:43,17739980,,9,0,0,False,Townhouse/Villa,Townhouse,McGrath Blackburn,12105,Amy Blackburn,"Secure Parking, Bath, Heating, Built in wardrobes, Courtyard",https://www.domain.com.au/7-219-mahoneys-road-forest-hill-vic-3131-17739980
17740626,FOREST HILL,3131,370.0,,"Monday, 08 September 2025",2025-09-01,8,1,1,1,Apartment / Unit / Flat,5/278 Springvale Road,-37.82994,145.17311,2025-09-09 16:48:43,17740626,,5,0,0,False,Apartment,Apartment / Unit / Flat,Noble Knight Real Estate Pty Ltd,15213,"Kim Wells, Julie Birchall",Internal Laundry,https://www.domain.com.au/5-278-springvale-road-forest-hill-vic-3131-17740626
17742456,FOREST HILL,3131,620.0,2694.0,"Tuesday, 30 September 2025",2025-09-02,7,3,2,1,House,31 Mock Street,-37.844414,145.16716,2025-09-09 16:48:43,17742456,,11,0,0,False,House,House,NOEL JONES WHITEHORSE,17383,"Tanya Kumar, Trinity Taylor","Bath, Study, Air conditioning, Secure Parking, Garden / Courtyard, Fully fenced, Built in wardrobes, Gas Heating, Internal Laundry, Rainwater storage tank",https://www.domain.com.au/31-mock-street-forest-hill-vic-3131-17742456
