listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16358599,FRANKSTON,3199,450.0,1955,"Monday, 22 September 2025",2025-08-12,28,1,1,1.0,House,14/11 Williams Street,-38.150173,145.11751,2025-09-09 16:59:08,16358599,SC-1179-KP,10,0,0,False,House,House,Agents'Agency Network Partners,11919,Zebra Property Management,"Built in wardrobes, Secure Parking",https://www.domain.com.au/14-11-williams-street-frankston-vic-3199-16358599
17697343,FRANKSTON,3199,540.0,2346,"Thursday, 07 August 2025",2025-08-01,38,3,1,1.0,House,12 Belar Avenue,-38.144016,145.1588,2025-09-09 16:59:08,17697343,,8,0,2,False,House,House,RT Edgar Boroondara,3714,Nicole Woods,,https://www.domain.com.au/12-belar-avenue-frankston-vic-3199-17697343
17717358,FRANKSTON,3199,750.0,3250,"Friday, 22 August 2025",2025-08-15,25,3,2,2.0,Townhouse,2/1 Kenilworth Avenue,-38.154106,145.14459,2025-09-09 16:59:08,17717358,,10,0,1,False,Townhouse/Villa,Townhouse,Agents'Agency Network Partners,11919,Zebra Property Management,"Secure Parking, Heating, Ensuite, Energy Eff. Rating: 6",https://www.domain.com.au/2-1-kenilworth-avenue-frankston-vic-3199-17717358
17717367,FRANKSTON,3199,800.0,3466,"Friday, 22 August 2025",2025-08-15,25,4,2,2.0,Townhouse,4/1 Kenilworth Avenue,-38.153946,145.14485,2025-09-09 16:59:08,17717367,,12,0,1,False,Townhouse/Villa,Townhouse,Agents'Agency Network Partners,11919,Zebra Property Management,"Secure Parking, Heating, Ensuite, Energy Eff. Rating: 6.5",https://www.domain.com.au/4-1-kenilworth-avenue-frankston-vic-3199-17717367
17723761,FRANKSTON,3199,500.0,2173,"Wednesday, 20 August 2025",2025-08-20,20,3,1,8.0,House,22 Golconda Avenue,-38.141518,145.14926,2025-09-09 16:59:08,17723761,,9,0,0,False,House,House,Ray White Frankston,17898,"Charlotte Vercoe, Hayley Weston","Internal Laundry, Broadband internet access, Bath, Heating, Balcony / Deck",https://www.domain.com.au/22-golconda-avenue-frankston-vic-3199-17723761
17728652,FRANKSTON,3199,650.0,2816,"Friday, 29 August 2025",2025-08-22,18,4,2,2.0,House,23 Washington Drive,-38.141163,145.15962,2025-09-09 16:59:08,17728652,,14,0,0,False,House,House,Agents'Agency Network Partners,11919,Zebra Property Management,"Air conditioning, Study, Ensuite, Alarm System, Heating, Dishwasher, Shed, Balcony / Deck, renovated laundry, updated kitchen, painted throughout, new carpets",https://www.domain.com.au/23-washington-drive-frankston-vic-3199-17728652
17731562,FRANKSTON,3199,385.0,1540,"Monday, 15 September 2025",2025-08-26,14,1,1,1.0,Apartment / Unit / Flat,Room 10/3 Burns Street,-38.151085,145.13235,2025-09-09 16:59:08,17731562,,5,0,0,False,Apartment,Apartment / Unit / Flat,Hodges Carrum Downs,29757,"Jennelle Blair, Carrum Downs Property Management","Built in wardrobes, Air conditioning, Split System Heating, Balcony / Deck",https://www.domain.com.au/room-10-3-burns-street-frankston-vic-3199-17731562
17733295,FRANKSTON,3199,720.0,3120,"Friday, 29 August 2025",2025-08-27,13,4,2,2.0,House,8 Wooten Close,-38.14112,145.1385,2025-09-09 16:59:08,17733295,,11,0,0,False,House,House,Agents'Agency Network Partners,11919,Zebra Property Management,"Air conditioning, Built in wardrobes, Secure Parking, Heating, Balcony / Deck, Ensuite",https://www.domain.com.au/8-wooten-close-frankston-vic-3199-17733295
17735835,FRANKSTON,3199,840.0,3640,"Friday, 05 September 2025",2025-08-28,12,4,2,2.0,House,15 Warrawee Circuit,-38.136414,145.16263,2025-09-09 16:59:08,17735835,,19,0,0,False,House,House,Agents'Agency Network Partners,11919,Zebra Property Management,"Gas, Ensuite, Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Fireplace(s), Separate Dining Room, Heating, Dishwasher, Study, Secure Parking, Shed, Fully fenced, Balcony / Deck, Garden / Courtyard, Swimming Pool",https://www.domain.com.au/15-warrawee-circuit-frankston-vic-3199-17735835
17742048,FRANKSTON,3199,595.0,2585,"Monday, 01 September 2025",2025-09-01,7,2,1,1.0,Apartment / Unit / Flat,4/29 Heatherhill Road,-38.158035,145.13919,2025-09-09 16:59:08,17742048,,8,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Mornington Peninsula,33982,"Kate Morgan, Ashleigh Bird","Split System Air Con, Built in wardrobes, Garden / Courtyard, Ducted Heating, Remote Garage, Secure Parking",https://www.domain.com.au/4-29-heatherhill-road-frankston-vic-3199-17742048
