listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17582556,FRANKSTON NORTH,3200,320,1280,"Friday, 22 August 2025",2025-08-22,18,1.0,1,,Studio,Room 1/13 Pine Street,-38.124615,145.14253,2025-09-09 17:07:41,17582556,8,0,2,False,Apartment,Studio,Fosterfroling Real Estate,5805,Leasing Team,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Kitchenette, Courtyard, Floorboards",https://www.domain.com.au/room-1-13-pine-street-frankston-north-vic-3200-17582556
17663267,FRANKSTON NORTH,3200,520,2259,"Thursday, 21 August 2025",2025-07-10,61,3.0,1,2.0,House,8 Alba Street,-38.121986,145.16187,2025-09-09 17:07:41,17663267,13,0,0,False,House,House,OBrien Real Estate Frankston,8547,"Matthew Challenger, Ava Limpens","Gas, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/8-alba-street-frankston-north-vic-3200-17663267
17677639,FRANKSTON NORTH,3200,575,2499,"Saturday, 30 August 2025",2025-07-21,50,3.0,1,2.0,House,27 Hickory Crescent,-38.12493,145.15187,2025-09-09 17:07:41,17677639,11,0,0,False,House,House,Aquire,23741,Emily Dowel Aquire Leasing,"Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Heating, Floorboards, Pets Allowed",https://www.domain.com.au/27-hickory-crescent-frankston-north-vic-3200-17677639
17698668,FRANKSTON NORTH,3200,340,1360,"Friday, 22 August 2025",2025-08-04,36,1.0,1,,House,Room 2/2 Alba Street,-38.122158,145.16125,2025-09-09 17:07:41,17698668,6,0,1,True,House,House,Hodges Carrum Downs,29757,"Jennelle Blair, Carrum Downs Property Management","Heating, Split System Air Con, Built in wardrobes, Garden / Courtyard",https://www.domain.com.au/room-2-2-alba-street-frankston-north-vic-3200-17698668
17700625,FRANKSTON NORTH,3200,530,2303,"Thursday, 04 September 2025",2025-08-05,35,3.0,1,4.0,House,39 Rosemary Crescent,-38.125732,145.1548,2025-09-09 17:07:41,17700625,13,0,0,False,House,House,OBrien Real Estate Frankston,8547,"Matthew Challenger, Ava Limpens","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/39-rosemary-crescent-frankston-north-vic-3200-17700625
17702207,FRANKSTON NORTH,3200,315,630,"Friday, 08 August 2025",2025-08-05,34,,1,1.0,Studio,Room 3/22 Poplar Street,-38.121487,145.15546,2025-09-09 17:07:41,17702207,9,0,0,False,Apartment,Studio,Aquire,23741,Emily Dowel Aquire Leasing,"Gas, Broadband internet access",https://www.domain.com.au/room-3-22-poplar-street-frankston-north-vic-3200-17702207
17704515,FRANKSTON NORTH,3200,580,2520,"Friday, 22 August 2025",2025-08-07,33,4.0,2,1.0,House,6 Allure Ct,-38.119793,145.1582,2025-09-09 17:07:41,17704515,7,0,0,False,House,House,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Gas, Pets Allowed, Bath, Heating, Remote Garage",https://www.domain.com.au/6-allure-ct-frankston-north-vic-3200-17704515
17713076,FRANKSTON NORTH,3200,480,2086,"Wednesday, 13 August 2025",2025-08-13,27,3.0,1,,House,10 Hodgins Crescent,-38.12214,145.16013,2025-09-09 17:07:41,17713076,7,0,0,False,House,House,OBrien Real Estate Frankston,8547,Sarah Cruise,"Fully fenced, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/10-hodgins-crescent-frankston-north-vic-3200-17713076
17725533,FRANKSTON NORTH,3200,530,2303,"Thursday, 11 September 2025",2025-08-21,19,3.0,1,2.0,House,16 Plantation Avenue,-38.123608,145.1435,2025-09-09 17:07:41,17725533,13,0,0,False,House,House,OBrien Real Estate Frankston,8547,"Matthew Challenger, Ava Limpens","Gas, Fully fenced, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/16-plantation-avenue-frankston-north-vic-3200-17725533
17726011,FRANKSTON NORTH,3200,550,2390,"Friday, 29 August 2025",2025-08-21,19,3.0,1,2.0,House,81 Rosemary Crescent,-38.126637,145.15909,2025-09-09 17:07:41,17726011,7,0,0,False,House,House,Agents'Agency Network Partners,11919,Zebra Property Management,"Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/81-rosemary-crescent-frankston-north-vic-3200-17726011
