listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14363006,GEELONG,3220,320,1386.0,"Friday, 12 September 2025",2025-08-18,22,1,3,,House,1/9-11 Malop St,-38.146328,144.359,2025-09-09 16:15:20,14363006,,16,1,1,False,House,House,Fresh Property Management Group,27517,Braeden Tournier,"Gas, Broadband internet access, Heating, Furnished",https://www.domain.com.au/1-9-11-malop-st-geelong-vic-3220-14363006
15058005,GEELONG,3220,520,2253.0,"Tuesday, 23 September 2025",2025-09-04,5,2,2,1.0,Apartment / Unit / Flat,1B/44 Myers Street,-38.150646,144.3556,2025-09-09 16:15:20,15058005,GC-8450-KP,7,0,0,False,Apartment,Apartment / Unit / Flat,Compton Green Geelong,21762,Sarah Milner,"Gas, Internal Laundry, Intercom, Balcony / Deck, Air conditioning, Ensuite, Built in wardrobes, Bath, Heating, Dishwasher, Study, Secure Parking, Solar hot water",https://www.domain.com.au/1b-44-myers-street-geelong-vic-3220-15058005
15651933,GEELONG,3220,520,2253.0,"Sunday, 14 September 2025",2025-08-29,10,1,1,1.0,Apartment / Unit / Flat,1803/18 Cavendish Street,-38.1425,144.35701,2025-09-09 16:15:20,15651933,AP-9721-RF,22,1,0,False,Apartment,Apartment / Unit / Flat,Compton Green Geelong,21762,Nicole Boni,"Air conditioning, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking, Balcony / Deck, Water Views, City Views",https://www.domain.com.au/1803-18-cavendish-street-geelong-vic-3220-15651933
17601834,GEELONG,3220,340,1360.0,"Monday, 01 September 2025",2025-08-26,14,1,7,,Studio,9 Clare Street,-38.14645,144.35983,2025-09-09 16:15:20,17601834,,25,1,1,False,Apartment,Studio,Fresh Property Management Group,27517,Jack Wirth,"Gas, Furnished, Broadband internet access, Ensuite(s), room",https://www.domain.com.au/9-clare-street-geelong-vic-3220-17601834
17683936,GEELONG,3220,400,1738.0,"Friday, 08 August 2025",2025-08-14,26,1,1,1.0,House,1/135 Gheringhap St,-38.153366,144.35541,2025-09-09 16:15:20,17683936,,12,1,0,False,House,House,Hayeswinckle Geelong,33394,Dejana Bailey,"Air conditioning, Heating",https://www.domain.com.au/1-135-gheringhap-st-geelong-vic-3220-17683936
17685722,GEELONG,3220,440,1911.0,"Friday, 22 August 2025",2025-07-25,46,2,1,,Apartment / Unit / Flat,3/17A The Esplanade,-38.134556,144.35489,2025-09-09 16:15:20,17685722,,15,1,1,False,Apartment,Apartment / Unit / Flat,West End Real Estate,32468,Callie,"Built in wardrobes, Internal Laundry, Heating, Balcony / Deck",https://www.domain.com.au/3-17a-the-esplanade-geelong-vic-3220-17685722
17688146,GEELONG,3220,450,1955.0,"Sunday, 10 August 2025",2025-07-28,43,2,1,,Apartment / Unit / Flat,11/50 Eastern Beach Road Road,-38.14797,144.37097,2025-09-09 16:15:20,17688146,,8,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Newtown,14503,"Mia Griffiths, Sophie Kennedy-Rush","Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/11-50-eastern-beach-road-road-geelong-vic-3220-17688146
17705747,GEELONG,3220,715,2860.0,"Friday, 29 August 2025",2025-08-07,33,3,2,1.0,Apartment / Unit / Flat,504/8 Gheringhap Street,-38.14372,144.35912,2025-09-09 16:15:20,17705747,,13,0,0,False,Apartment,Apartment / Unit / Flat,Maxwell Collins Real Estate,12185,William Doyle,"Gas, Internal Laundry, Dishwasher, Balcony / Deck, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Ensuite, Water Views, Car Parking - Basement",https://www.domain.com.au/504-8-gheringhap-street-geelong-vic-3220-17705747
17709736,GEELONG,3220,475,2064.0,"Friday, 31 October 2025",2025-08-11,29,3,1,,House,192 Yarra Street,-38.155827,144.3593,2025-09-09 16:15:20,17709736,,7,0,0,False,House,House,Belle Property Geelong,14766,Tia Dean,"Gas, Internal Laundry, Heating, Shed",https://www.domain.com.au/192-yarra-street-geelong-vic-3220-17709736
17722336,GEELONG,3220,520,2259.0,"Wednesday, 17 September 2025",2025-08-19,21,3,1,1.0,House,22 Bourke Crescent,-38.155087,144.36684,2025-09-09 16:15:20,17722336,,11,0,0,False,House,House,Buxton Geelong East Pty Ltd,22460,"Jessica Standfield, Sophie Kennedy-Rush","Heating, Dishwasher",https://www.domain.com.au/22-bourke-crescent-geelong-vic-3220-17722336
17727652,GEELONG,3220,400,,"Monday, 22 September 2025",2025-08-22,18,2,1,1.0,Apartment / Unit / Flat,3/93 Swanston Street,-38.156464,144.36554,2025-09-09 16:15:20,17727652,,6,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts North Geelong,26155,"Marie Harvey, Harcourts Leasing","Built in wardrobes, Bath",https://www.domain.com.au/3-93-swanston-street-geelong-vic-3220-17727652
17736969,GEELONG,3220,600,2400.0,"Monday, 29 September 2025",2025-08-28,12,2,2,1.0,Apartment / Unit / Flat,103/100 Western Beach Road,-38.144188,144.36136,2025-09-09 16:15:20,17736969,,13,0,0,False,Apartment,Apartment / Unit / Flat,Maxwell Collins Real Estate,12185,Jodie Ferguson,"Air conditioning, Heating, Built in wardrobes, Close to transport, Water Front, Close to schools, Ensuite, Car Parking - Surface, Study",https://www.domain.com.au/103-100-western-beach-road-geelong-vic-3220-17736969
17745272,GEELONG,3220,450,1955.0,"Friday, 03 October 2025",2025-09-03,6,2,1,1.0,Apartment / Unit / Flat,2/63 Kilgour Street,-38.155422,144.35753,2025-09-09 16:15:20,17745272,,8,0,1,False,Apartment,Apartment / Unit / Flat,West End Real Estate,32468,Callie,"Courtyard, Built in wardrobes, Dishwasher, Split-System Air Conditioning, Split-System Heating, Furnished",https://www.domain.com.au/2-63-kilgour-street-geelong-vic-3220-17745272
17745600,GEELONG,3220,950,4127.0,"Friday, 12 September 2025",2025-09-03,6,3,2,1.0,Apartment / Unit / Flat,805/18 Malone Street,-38.14056,144.35553,2025-09-09 16:15:20,17745600,,12,0,1,False,Apartment,Apartment / Unit / Flat,McGrath Geelong | Newtown,5797,Hannah Raguse,"Internal Laundry, Gym, Balcony / Deck, Air conditioning, Heating, Area Views, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Furnished, Car Parking - Basement",https://www.domain.com.au/805-18-malone-street-geelong-vic-3220-17745600
