listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17226617,GEELONG WEST,3218,450,1800.0,"Saturday, 19 April 2025",2025-08-18,22,2,1,1.0,House,10 Pizer Street,-38.14518,144.34633,2025-09-09 16:18:35,17226617,UQ-4599-PD,6,0,2,False,House,House,Kardinia Property,32708,Kardinia Property,Air conditioning,https://www.domain.com.au/10-pizer-street-geelong-west-vic-3218-17226617
17692117,GEELONG WEST,3218,435,1890.0,"Monday, 18 August 2025",2025-07-30,41,3,1,,House,24 Gertrude Street,-38.144436,144.34528,2025-09-09 16:18:35,17692117,,9,1,0,False,House,House,Buxton Newtown,14503,"Mia Griffiths, Sophie Kennedy-Rush","Gas, Bath, Air conditioning, Split System Heating, Split System Air Con, Reverse Cycle Air Con, Fully fenced, Shed",https://www.domain.com.au/24-gertrude-street-geelong-west-vic-3218-17692117
17695838,GEELONG WEST,3218,360,,"Wednesday, 27 August 2025",2025-08-01,39,1,1,1.0,Apartment / Unit / Flat,2/27 Isabella Street,-38.1333,144.3471,2025-09-09 16:18:35,17695838,,6,1,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Geelong,18039,Tim Callander,"Gas, Internal Laundry, Garden / Courtyard, Split System Heating, Split System Air Con, Built in wardrobes, Pets Allowed",https://www.domain.com.au/2-27-isabella-street-geelong-west-vic-3218-17695838
17719713,GEELONG WEST,3218,550,2389.0,"Friday, 12 September 2025",2025-08-18,22,3,2,1.0,House,59 Britannia Street,-38.134293,144.3431,2025-09-09 16:18:35,17719713,,13,0,1,False,House,House,Buxton Newtown,14503,"Mia Griffiths, Sophie Kennedy-Rush","Gas, Air conditioning, Garden / Courtyard, Dishwasher, Ducted Heating, Fully fenced, Secure Parking, Ensuite",https://www.domain.com.au/59-britannia-street-geelong-west-vic-3218-17719713
17720278,GEELONG WEST,3218,685,2537.0,"Thursday, 16 October 2025",2025-08-18,22,3,2,2.0,Townhouse,3/113-115 Albert Street,-38.13997,144.33868,2025-09-09 16:18:35,17720278,,6,0,0,False,Townhouse/Villa,Townhouse,McGrath Geelong | Newtown,5797,Hannah Raguse,"Secure Parking, Intercom, Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite",https://www.domain.com.au/3-113-115-albert-street-geelong-west-vic-3218-17720278
17721385,GEELONG WEST,3218,450,1955.0,"Friday, 12 September 2025",2025-08-19,21,2,1,2.0,Apartment / Unit / Flat,4/55 Britannia Street,-38.13469,144.34352,2025-09-09 16:18:35,17721385,,10,0,0,False,Apartment,Apartment / Unit / Flat,Wilsons Real Estate Geelong,20366,Maddy Brown,"Balcony / Deck, Floorboards, Air conditioning, Heating",https://www.domain.com.au/4-55-britannia-street-geelong-west-vic-3218-17721385
17728404,GEELONG WEST,3218,580,2520.0,"Tuesday, 16 September 2025",2025-08-22,18,3,1,,House,43 Weller Street,-38.141903,144.35013,2025-09-09 16:18:35,17728404,,7,0,0,False,House,House,Wilsons Real Estate Geelong,20366,Maddy Brown,"Internal Laundry, Dishwasher, Heating, Floorboards, Outdoor Entertaining",https://www.domain.com.au/43-weller-street-geelong-west-vic-3218-17728404
17729618,GEELONG WEST,3218,490,2129.0,"Friday, 26 September 2025",2025-08-25,15,2,1,1.0,Townhouse,220 Hope Street,-38.140614,144.3368,2025-09-09 16:18:35,17729618,,7,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Geelong Sales,5005,Geelong Leasing,"Built in wardrobes, Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/220-hope-street-geelong-west-vic-3218-17729618
17734349,GEELONG WEST,3218,390,1694.0,"Wednesday, 17 September 2025",2025-08-27,13,1,1,1.0,Apartment / Unit / Flat,1/126 Weller Street,-38.140907,144.34425,2025-09-09 16:18:35,17734349,,10,0,0,False,Apartment,Apartment / Unit / Flat,Maxwell Collins Real Estate,12185,Mel Keay,"Gas, Internal Laundry, Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to shops, Car Parking - Surface",https://www.domain.com.au/1-126-weller-street-geelong-west-vic-3218-17734349
17736480,GEELONG WEST,3218,440,1906.0,"Friday, 12 September 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,1/15 Isabella Street,-38.133747,144.34785,2025-09-09 16:18:35,17736480,,8,0,0,False,Apartment,Apartment / Unit / Flat,ANDREWS ESTATE AGENTS,31119,Barb Thompson,"Internal Laundry, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Carpeted",https://www.domain.com.au/1-15-isabella-street-geelong-west-vic-3218-17736480
17740795,GEELONG WEST,3218,830,3596.0,"Friday, 24 October 2025",2025-09-01,8,4,2,2.0,House,72 Elizabeth Street,-38.136868,144.3408,2025-09-09 16:18:35,17740795,,16,0,0,True,House,House,Gartland,11825,Gartland Leasing,"Air conditioning, Floorboards, Built in wardrobes, Internal Laundry, Gas, Bath, Fireplace(s), Heating, Dishwasher, Study, Secure Parking, Fully fenced, Balcony / Deck, Garden / Courtyard, Water Views, City Views",https://www.domain.com.au/72-elizabeth-street-geelong-west-vic-3218-17740795
17741391,GEELONG WEST,3218,560,2426.0,"Wednesday, 22 October 2025",2025-09-01,8,2,1,3.0,House,100 Hope Street,-38.141747,144.34625,2025-09-09 16:18:35,17741391,,13,0,0,True,House,House,Gartland,11825,Gartland Leasing,"Air conditioning, Floorboards, Built in wardrobes, Pets Allowed, Fireplace(s), Heating, Dishwasher, Study, Secure Parking, Shed, Garden / Courtyard, North Facing, Solar panels",https://www.domain.com.au/100-hope-street-geelong-west-vic-3218-17741391
17742477,GEELONG WEST,3218,450,1955.0,"Tuesday, 30 September 2025",2025-09-02,7,2,1,1.0,Apartment / Unit / Flat,4/115 Pakington St,-38.138718,144.34848,2025-09-09 16:18:35,17742477,,9,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Belmont,27306,Belmont Inspections,"Internal Laundry, Secure Parking, Bath, Balcony, Built in wardrobes, Dishwasher, Floorboards, Split-System Air Con, Split-System Heating",https://www.domain.com.au/4-115-pakington-st-geelong-west-vic-3218-17742477
17742929,GEELONG WEST,3218,470,2042.0,"Friday, 10 October 2025",2025-09-02,7,2,1,1.0,Townhouse,2/50 Autumn Street,-38.14327,144.35037,2025-09-09 16:18:35,17742929,,12,0,0,False,Townhouse/Villa,Townhouse,Buxton Newtown,14503,"Mia Griffiths, Sophie Kennedy-Rush","Built in wardrobes, Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Study",https://www.domain.com.au/2-50-autumn-street-geelong-west-vic-3218-17742929
17748188,GEELONG WEST,3218,700,3041.0,"Monday, 27 October 2025",2025-09-04,4,3,2,2.0,House,29 Catherine Street,-38.138195,144.33965,2025-09-09 16:18:35,17748188,,9,0,1,False,House,House,McGrath Geelong | Newtown,5797,Rajesh Chaubay,"Gas, Internal Laundry, Dishwasher, Balcony / Deck, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Car Parking - Surface, Carpeted",https://www.domain.com.au/29-catherine-street-geelong-west-vic-3218-17748188
17748444,GEELONG WEST,3218,685,2976.0,"Wednesday, 15 October 2025",2025-09-05,4,4,2,1.0,House,41 McDougall Street,-38.13753,144.33905,2025-09-09 16:18:35,17748444,,17,0,1,True,House,House,Geelong Property Managers,32238,Jacqui Trevey,"Heating, Ensuite, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Study",https://www.domain.com.au/41-mcdougall-street-geelong-west-vic-3218-17748444
17748761,GEELONG WEST,3218,575,2499.0,"Friday, 05 September 2025",2025-09-05,4,3,1,1.0,House,57A French Street,-38.142338,144.33746,2025-09-09 16:18:35,17748761,,14,0,1,False,House,House,Jellis Craig Geelong,18039,Tim Callander,"Internal Laundry, Bath, Balcony / Deck, Air conditioning, Study, Broadband internet access, Built in wardrobes, Ducted Cooling, Ducted Heating, Fully fenced, Outdoor Entertainment Area, Pets Allowed, Rumpus Room, Secure Parking, Shed",https://www.domain.com.au/57a-french-street-geelong-west-vic-3218-17748761
17749087,GEELONG WEST,3218,415,1803.0,"Tuesday, 07 October 2025",2025-09-05,4,2,1,2.0,House,2 Keeble Street,-38.131817,144.3395,2025-09-09 16:18:35,17749087,,12,0,1,False,House,House,Buxton Newtown,14503,"Mia Griffiths, Sophie Kennedy-Rush","Gas, Bath, Air conditioning, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Reverse Cycle Air Con",https://www.domain.com.au/2-keeble-street-geelong-west-vic-3218-17749087
17752078,GEELONG WEST,3218,470,2036.0,"Tuesday, 30 September 2025",2025-09-08,1,4,1,1.0,House,68 Isabella Street,-38.132523,144.34425,2025-09-09 16:18:35,17752078,,15,0,1,False,House,House,Gartland,11825,Gartland Leasing,"Air conditioning, Floorboards, Internal Laundry, Pets Allowed, Bath, Heating, Dishwasher, Secure Parking, Garden / Courtyard, Ground floor",https://www.domain.com.au/68-isabella-street-geelong-west-vic-3218-17752078
17753508,GEELONG WEST,3218,370,1480.0,"Thursday, 02 October 2025",2025-09-09,0,1,12,8.0,Studio,6 Aberdeen St,-38.147106,144.35155,2025-09-09 16:18:35,17753508,,32,1,1,False,Apartment,Studio,Fresh Property Management Group,27517,Jack Wirth,"Broadband internet access, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Air conditioning, Ensuite(s), Secure Parking, Fully fenced, Furnished, room",https://www.domain.com.au/6-aberdeen-st-geelong-west-vic-3218-17753508
