listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14466257,GLEN IRIS,3146,590,2564,"Friday, 10 October 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,7/6 Creswick Street,-37.85272,145.04413,2025-09-09 16:49:28,14466257,FR-1262-SX,7,1,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Alex Ng,"Car Accom: Single Carport, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Cooking: Gas Hotplates and Electric Oven, Pool/Spa Count: 0",https://www.domain.com.au/7-6-creswick-street-glen-iris-vic-3146-14466257
15723294,GLEN IRIS,3146,465,2021,"Thursday, 04 September 2025",2025-08-20,20,1,1,1.0,Apartment / Unit / Flat,11/39 Osborne Avenue,-37.85464,145.04689,2025-09-09 16:49:28,15723294,ND-1935-AW,9,1,1,False,Apartment,Apartment / Unit / Flat,Metropole Properties Melbourne,18456,Monika Turski,"Built in wardrobes, Dishwasher, Split System Heating, Reverse Cycle Air Conditioning",https://www.domain.com.au/11-39-osborne-avenue-glen-iris-vic-3146-15723294
16559450,GLEN IRIS,3146,650,2824,"Thursday, 02 October 2025",2025-09-08,1,2,2,2.0,Apartment / Unit / Flat,9/443 Burke Road,-37.84603,145.0537,2025-09-09 16:49:28,16559450,PP-8972-TB,12,0,0,False,Apartment,Apartment / Unit / Flat,G&H Property Group,29900,Luke Carlson,"Secure Parking, Heating, Balcony / Deck, Air conditioning, Intercom, Floorboards",https://www.domain.com.au/9-443-burke-road-glen-iris-vic-3146-16559450
17557932,GLEN IRIS,3146,1280,6000,"Monday, 28 July 2025",2025-05-05,126,5,2,,House,3 Fairview Grove,-37.86484,145.05446,2025-09-09 16:49:28,17557932,BB-9254-FW,12,0,0,False,House,House,Harcourts Blackburn,37344,Sophia Cong,,https://www.domain.com.au/3-fairview-grove-glen-iris-vic-3146-17557932
17717604,GLEN IRIS,3146,1575,9450,"Thursday, 28 August 2025",2025-08-15,25,4,3,4.0,House,69 Glen Iris Road,-37.849445,145.0685,2025-09-09 16:49:28,17717604,,11,0,1,False,House,House,Raine & Horne Brunswick Sales,5247,Sia Neveskiotis,"Air conditioning, Secure Parking, Heating, Study",https://www.domain.com.au/69-glen-iris-road-glen-iris-vic-3146-17717604
17737177,GLEN IRIS,3146,980,4258,"Friday, 05 September 2025",2025-08-28,12,3,1,1.0,House,65 Erica Avenue,-37.859123,145.04776,2025-09-09 16:49:28,17737177,,5,0,0,False,House,House,Barry Plant (Waverley),18349,Prachi Desai प्राची देसाई,,https://www.domain.com.au/65-erica-avenue-glen-iris-vic-3146-17737177
17744138,GLEN IRIS,3146,995,6485,"Wednesday, 08 October 2025",2025-09-02,6,4,1,3.0,House,12 Lincoln Street,-37.849724,145.07387,2025-09-09 16:49:28,17744138,,11,0,1,True,House,House, Jellis Craig & Company Pty Ltd,6525,Heather Kirk,"Secure Parking, Dishwasher, Gas, Study",https://www.domain.com.au/12-lincoln-street-glen-iris-vic-3146-17744138
17744746,GLEN IRIS,3146,600,2607,"Tuesday, 07 October 2025",2025-09-03,6,2,1,1.0,Apartment / Unit / Flat,4/1415 High Street,-37.858463,145.04503,2025-09-09 16:49:28,17744746,,9,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property Armadale,3703,Xavier Sukra,,https://www.domain.com.au/4-1415-high-street-glen-iris-vic-3146-17744746
17744857,GLEN IRIS,3146,840,3650,"Wednesday, 15 October 2025",2025-09-03,6,3,1,2.0,House,5 Hadley Court,-37.84601,145.05138,2025-09-09 16:49:28,17744857,,7,0,1,False,House,House,Shelter Real Estate,33086,Shelter Real Estate,"Heating, Area Views, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface",https://www.domain.com.au/5-hadley-court-glen-iris-vic-3146-17744857
17746600,GLEN IRIS,3146,520,2260,"Thursday, 25 September 2025",2025-09-04,5,1,1,1.0,Apartment / Unit / Flat,3/38 Edgar Street,-37.854694,145.04575,2025-09-09 16:49:28,17746600,,6,0,0,False,Apartment,Apartment / Unit / Flat,Wilson Glen Eira PTY LTD,4518,Louise Scarcella,"Dishwasher, Split System Heating, Pets Allowed",https://www.domain.com.au/3-38-edgar-street-glen-iris-vic-3146-17746600
17746949,GLEN IRIS,3146,480,2086,"Thursday, 11 September 2025",2025-09-04,5,2,1,1.0,Apartment / Unit / Flat,7/58 Edgar Street North,-37.850597,145.04681,2025-09-09 16:49:28,17746949,,7,0,0,False,Apartment,Apartment / Unit / Flat,Fletchers Canterbury,3923,"Glenda Martin, Brooke Abrahams",,https://www.domain.com.au/7-58-edgar-street-north-glen-iris-vic-3146-17746949
17747386,GLEN IRIS,3146,595,2585,"Thursday, 04 September 2025",2025-09-04,5,2,1,1.0,Apartment / Unit / Flat,3/270 Warrigal Road,-37.85234,145.09477,2025-09-09 16:49:28,17747386,,13,0,1,False,Apartment,Apartment / Unit / Flat,Buxton Camberwell,28347,"Emily Katiforis, Alex Mayne","Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/3-270-warrigal-road-glen-iris-vic-3146-17747386
17747666,GLEN IRIS,3146,880,3824,"Thursday, 04 September 2025",2025-09-04,5,2,2,2.0,Apartment / Unit / Flat,g10/1559-1567 High Street,-37.85963,145.06062,2025-09-09 16:49:28,17747666,,10,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Stonnington,4450,"Danielle Crumblehulme, Lauren Flynn","Study, Balcony / Deck, Broadband internet access, Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Gym, Intercom, Outdoor Entertainment Area, Remote Garage, Secure Parking, Storage Cage, Integrated Fridge/freezer",https://www.domain.com.au/g10-1559-1567-high-street-glen-iris-vic-3146-17747666
17748737,GLEN IRIS,3146,775,3368,"Friday, 05 September 2025",2025-09-05,4,2,2,1.0,Apartment / Unit / Flat,415/5 Glenarm Road,-37.85359,145.0514,2025-09-09 16:49:28,17748737,,12,0,2,False,Apartment,Apartment / Unit / Flat,Marshall White Stonnington,4450,"Tina Jin, Anna Pylkkanen",,https://www.domain.com.au/415-5-glenarm-road-glen-iris-vic-3146-17748737
17750905,GLEN IRIS,3146,630,2738,"Wednesday, 01 October 2025",2025-09-08,1,2,2,1.0,Apartment / Unit / Flat,124/25 Trent Street,-37.851128,145.08073,2025-09-09 16:49:28,17750905,,15,0,2,False,Apartment,Apartment / Unit / Flat,Belle Property Carlton | Melbourne | North Melbourne,24322,Helena Eglezos,"Area Views, Close to transport, Ensuite, Floorboards, Secure Parking, Dishwasher",https://www.domain.com.au/124-25-trent-street-glen-iris-vic-3146-17750905
17751268,GLEN IRIS,3146,415,1803,"Monday, 06 October 2025",2025-09-08,1,1,1,1.0,Apartment / Unit / Flat,3/40 Edgar Street,-37.85452,145.04578,2025-09-09 16:49:28,17751268,,7,0,1,False,Apartment,Apartment / Unit / Flat,Meadows Property Group,5625,Fiona Elshani,,https://www.domain.com.au/3-40-edgar-street-glen-iris-vic-3146-17751268
17752410,GLEN IRIS,3146,350,1521,"Saturday, 13 September 2025",2025-09-08,0,1,1,1.0,Apartment / Unit / Flat,13/12 Belmont Avenue,-37.857616,145.04836,2025-09-09 16:49:28,17752410,,9,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,"Built in wardrobes, Dishwasher",https://www.domain.com.au/13-12-belmont-avenue-glen-iris-vic-3146-17752410
17752737,GLEN IRIS,3146,500,2173,"Saturday, 13 September 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,1/2 Glenarm Road,-37.853737,145.05106,2025-09-09 16:49:28,17752737,,10,1,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,"Air conditioning, Garden / Courtyard",https://www.domain.com.au/1-2-glenarm-road-glen-iris-vic-3146-17752737
17753588,GLEN IRIS,3146,1200,6000,"Tuesday, 23 September 2025",2025-09-09,0,4,2,2.0,House,4 Dorrington Avenue,-37.86343,145.05397,2025-09-09 16:49:28,17753588,,9,0,1,False,House,House,VICPROP Manningham,29196,Kaan Arel,"Built in wardrobes, Fireplace(s), Study",https://www.domain.com.au/4-dorrington-avenue-glen-iris-vic-3146-17753588
17753986,GLEN IRIS,3146,620,2694,"Monday, 22 September 2025",2025-09-09,0,2,1,1.0,Townhouse,14B Wallis Avenue,-37.85346,145.06953,2025-09-09 16:49:28,17753986,,6,0,0,True,Townhouse/Villa,Townhouse,Shelter Real Estate,33086,Shelter Real Estate,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface",https://www.domain.com.au/14b-wallis-avenue-glen-iris-vic-3146-17753986
9884451,GLEN IRIS,3146,490,2129,"Friday, 05 September 2025",2025-08-29,11,2,1,1.0,Apartment / Unit / Flat,5/9 Osborne Avenue,-37.857376,145.04631,2025-09-09 16:49:32,9884451,WG-3909-BF,7,0,1,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Alex Ng,"Car Accom: Single Off-Street Parking, Heating: Electric, Cooking: Gas Hotplates and Electric Oven, Pool/Spa Count: 0",https://www.domain.com.au/5-9-osborne-avenue-glen-iris-vic-3146-9884451
15254421,GLEN IRIS,3146,500,2173,"Saturday, 13 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,8/19 Clyde Street,-37.862007,145.04959,2025-09-09 16:49:32,15254421,MY-2856-GS,6,0,0,False,Apartment,Apartment / Unit / Flat,Thomson ,176,Harriet Henderson,,https://www.domain.com.au/8-19-clyde-street-glen-iris-vic-3146-15254421
16662816,GLEN IRIS,3146,875,3802,"Tuesday, 26 August 2025",2025-06-05,95,2,2,1.0,Apartment / Unit / Flat,100/288 Tooronga Road,-37.85269,145.04256,2025-09-09 16:49:32,16662816,,8,1,0,False,Apartment,Apartment / Unit / Flat,Corporate Keys Australia,7537,Manhattan Apartments,"Gas, Internal Laundry, Furnished, Broadband internet access, Dishwasher, Balcony, Air conditioning",https://www.domain.com.au/100-288-tooronga-road-glen-iris-vic-3146-16662816
17347592,GLEN IRIS,3146,908,3945,"Friday, 19 September 2025",2025-02-05,216,1,1,1.0,Apartment / Unit / Flat,288 Tooronga Road,-37.85269,145.04256,2025-09-09 16:49:32,17347592,,14,1,1,False,Apartment,Apartment / Unit / Flat,Corporate Keys Australia,7537,Manhattan Apartments,"Built in wardrobes, Gas, Internal Laundry, Furnished, Dishwasher",https://www.domain.com.au/288-tooronga-road-glen-iris-vic-3146-17347592
17369309,GLEN IRIS,3146,590,2556,"Tuesday, 02 September 2025",2025-08-29,11,1,1,1.0,Apartment / Unit / Flat,101/1631-1637 Malvern Road,-37.8547,145.05278,2025-09-09 16:49:32,17369309,,6,0,0,False,Apartment,Apartment / Unit / Flat,Ritz Property Management,29859,Shiuann Teh,"Air conditioning, Built in wardrobes, Gas, Internal Laundry, Intercom, Dishwasher, Balcony / Deck",https://www.domain.com.au/101-1631-1637-malvern-road-glen-iris-vic-3146-17369309
17632878,GLEN IRIS,3146,700,3042,"Friday, 27 June 2025",2025-06-23,78,3,1,3.0,House,7 Britten Street,-37.856094,145.06554,2025-09-09 16:49:32,17632878,,10,0,0,False,House,House,Buxton Camberwell,28347,George Bezas,"Air conditioning, Ducted Heating, Built in wardrobes, Secure Parking, Pets Allowed, Outdoor Entertainment Area, Shed",https://www.domain.com.au/7-britten-street-glen-iris-vic-3146-17632878
17660798,GLEN IRIS,3146,450,1955,"Tuesday, 02 September 2025",2025-08-26,14,1,1,1.0,Apartment / Unit / Flat,43/1501 Malvern Rd,-37.85332,145.04456,2025-09-09 16:49:32,17660798,,9,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Air conditioning, Gas, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/43-1501-malvern-rd-glen-iris-vic-3146-17660798
17679562,GLEN IRIS,3146,600,2608,"Tuesday, 22 July 2025",2025-07-22,49,2,1,1.0,Apartment / Unit / Flat,2/1526 High Street,-37.85926,145.04837,2025-09-09 16:49:32,17679562,,1,0,1,True,Apartment,Apartment / Unit / Flat,Auddino First National,11774,"Mickey Rental Department, Mark Holmes","Gas, Internal Laundry, Dishwasher, Built in wardrobes, Air-Conditioner, Split System Heating, Intercom, Remote Garage, Secure Parking, Courtyard, Fully fenced",https://www.domain.com.au/2-1526-high-street-glen-iris-vic-3146-17679562
17681552,GLEN IRIS,3146,1225,5323,"Wednesday, 13 August 2025",2025-07-23,48,4,2,3.0,House,2A Grandview Avenue,-37.849773,145.08386,2025-09-09 16:49:32,17681552,,12,0,0,False,House,House,Biggin Scott Glen Waverley,24636,"Leasing Team, Shadae Lester","Internal Laundry, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/2a-grandview-avenue-glen-iris-vic-3146-17681552
17718256,GLEN IRIS,3146,470,2042,"Friday, 15 August 2025",2025-08-15,24,2,1,1.0,Apartment / Unit / Flat,1/1423 High Street,-37.858547,145.04588,2025-09-09 16:49:32,17718256,,7,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Camberwell,3601,Tracey Dawe,"Heating, Dishwasher",https://www.domain.com.au/1-1423-high-street-glen-iris-vic-3146-17718256
17723539,GLEN IRIS,3146,650,2824,"Tuesday, 09 September 2025",2025-09-03,6,2,2,1.0,Apartment / Unit / Flat,502/1615 Malvern Road,-37.85435,145.05196,2025-09-09 16:49:32,17723539,,8,0,1,False,Apartment,Apartment / Unit / Flat,Changing Places Real Estate Consultants,6050,Vanessa Fisher,"Gas, Heating, Air conditioning, Secure Parking, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry",https://www.domain.com.au/502-1615-malvern-road-glen-iris-vic-3146-17723539
