listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15289916,GLEN WAVERLEY,3150,680.0,2954.0,"Thursday, 09 October 2025",2025-09-08,1,2,1,1.0,Apartment / Unit / Flat,604/52 Osullivan Road,-37.878693,145.16496,2025-09-09 16:54:55,15289916,PB-9699-OD,12,1,1,True,Apartment,Apartment / Unit / Flat,Austrump Glen Pty Ltd,31049,"Angel Fang, Mary Navarro","Internal Laundry, Heating, Intercom, Built in wardrobes, Balcony, Secure Parking",https://www.domain.com.au/604-52-osullivan-road-glen-waverley-vic-3150-15289916
15518122,GLEN WAVERLEY,3150,945.0,4106.0,"Monday, 06 October 2025",2025-09-09,0,4,3,2.0,House,2 Windella Crescent,-37.895496,145.1574,2025-09-09 16:54:55,15518122,WR-2583-KV,15,0,0,False,House,House,Biggin Scott Glen Waverley,24636,"Leasing Team, Davis  Fung","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/2-windella-crescent-glen-waverley-vic-3150-15518122
16854959,GLEN WAVERLEY,3150,649.0,,"Friday, 25 July 2025",2025-07-25,46,4,2,2.0,House,26 Glen Tower Drive,-37.88088,145.1808,2025-09-09 16:54:55,16854959,AT-9312-JK,6,0,0,False,House,House,Century 21 Property Group,21959,Con Stefanidis,"Air conditioning, Heating",https://www.domain.com.au/26-glen-tower-drive-glen-waverley-vic-3150-16854959
17083083,GLEN WAVERLEY,3150,795.0,3454.0,"Saturday, 27 September 2025",2025-08-28,12,4,2,2.0,House,11 Range View Court,-37.882256,145.17711,2025-09-09 16:54:55,17083083,JC-0102-OV,14,0,0,False,House,House,Biggin Scott Glen Waverley,24636,"Leasing Team, Eric  Sandjaja","Built in wardrobes, Internal Laundry, Secure Parking, Heating, Shed",https://www.domain.com.au/11-range-view-court-glen-waverley-vic-3150-17083083
17200943,GLEN WAVERLEY,3150,670.0,2911.0,"Tuesday, 23 September 2025",2025-09-09,0,2,2,1.0,Apartment / Unit / Flat,G04/24 Bogong Avenue,-37.881947,145.16147,2025-09-09 16:54:55,17200943,,14,0,0,False,Apartment,Apartment / Unit / Flat,JRW Property International,21901,JRW RENTALS DEPARTMENT 1,"Internal Laundry, Intercom, Balcony / Deck, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/g04-24-bogong-avenue-glen-waverley-vic-3150-17200943
17579480,GLEN WAVERLEY,3150,1250.0,,"Saturday, 24 May 2025",2025-05-19,113,4,3,2.0,House,87 Jasmine Circuit,-37.90247,145.15944,2025-09-09 16:54:55,17579480,,12,1,1,False,House,House,Ausky Group,20742,"Ausky Real Estate, Vivi Liana","Air conditioning, Alarm System, Broadband internet access, Garden / Courtyard, Dishwasher",https://www.domain.com.au/87-jasmine-circuit-glen-waverley-vic-3150-17579480
17691153,GLEN WAVERLEY,3150,990.0,5940.0,"Monday, 25 August 2025",2025-07-29,42,4,3,1.0,Townhouse,5/1 Kennedy Street,-37.876625,145.1672,2025-09-09 16:54:55,17691153,,10,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Mount Waverley ,17805,"Zahra Sharifi, Leighanne Chong","Gas, Internal Laundry, Built in wardrobes, Ducted Cooling, Ducted Heating, Remote Garage, Shed",https://www.domain.com.au/5-1-kennedy-street-glen-waverley-vic-3150-17691153
17707984,GLEN WAVERLEY,3150,1180.0,7080.0,"Friday, 08 August 2025",2025-08-08,32,4,3,2.0,House,21 Stirling Crescent,-37.889652,145.17906,2025-09-09 16:54:55,17707984,,19,0,1,False,House,House,Jellis Craig Mount Waverley ,17805,"Tiffany Pan, Stephanie Petrakis","Fireplace(s), Split System Air Con, Study, Built in wardrobes, Balcony / Deck, Dishwasher, Ducted Cooling, Ducted Heating, Intercom, Remote Garage",https://www.domain.com.au/21-stirling-crescent-glen-waverley-vic-3150-17707984
17708603,GLEN WAVERLEY,3150,850.0,3693.0,"Saturday, 16 August 2025",2025-08-11,29,4,3,2.0,Townhouse,1/35 Folkestone Road,-37.860973,145.15459,2025-09-09 16:54:55,17708603,,15,0,1,False,Townhouse/Villa,Townhouse,CHN Real Estate Group,29444,"Angeline Zhang, Winnie Wen","Heating, Dishwasher, Air conditioning, Remote Garage, Built in wardrobes",https://www.domain.com.au/1-35-folkestone-road-glen-waverley-vic-3150-17708603
17708964,GLEN WAVERLEY,3150,800.0,,"Friday, 22 August 2025",2025-08-11,29,3,2,2.0,Townhouse,2/3 Ranfurlie Drive,-37.89378,145.16432,2025-09-09 16:54:55,17708964,,9,0,0,False,Townhouse/Villa,Townhouse,Ray White (Judd White Group),17402,"Lida Khem, Holly Huo","Gas, Secure Parking, Heating",https://www.domain.com.au/2-3-ranfurlie-drive-glen-waverley-vic-3150-17708964
17711535,GLEN WAVERLEY,3150,780.0,3389.0,"Tuesday, 12 August 2025",2025-08-12,28,2,2,1.0,Apartment / Unit / Flat,718/52-54 O'Sullivan Rd,-37.8787,145.16496,2025-09-09 16:54:55,17711535,,8,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts Vermont South,20439,Harcourts Vermont South,"Built in wardrobes, Gas, Internal Laundry, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/718-52-54-o-sullivan-rd-glen-waverley-vic-3150-17711535
