listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15414709,GLENROY,3046,475,2064.0,"Monday, 22 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,10/39-41 Kennedy Street,-37.711655,144.91158,2025-09-09 16:20:14,15414709,QK-7276-YH,9,1,1,False,Apartment,Apartment / Unit / Flat,LongView Real Estate,7797,Tessa Stirling,"Internal Laundry, Secure Parking, Bath, Built in wardrobes, Split System Heating, Split System Air Conditioning, Courtyard",https://www.domain.com.au/10-39-41-kennedy-street-glenroy-vic-3046-15414709
16496693,GLENROY,3046,620,2694.0,"Friday, 03 October 2025",2025-09-05,4,3,2,2.0,House,134 Hilton Street,-37.700943,144.93169,2025-09-09 16:20:14,16496693,WK-5062-GN,10,0,1,False,House,House,Bricks and Mortar RE,31967,Warrick Vanderbilt,"Gas, Internal Laundry, Secure Parking, Heating, Dishwasher, Bathtub, Pets Allowed",https://www.domain.com.au/134-hilton-street-glenroy-vic-3046-16496693
17700647,GLENROY,3046,480,2086.0,"Friday, 05 September 2025",2025-08-05,35,2,1,1.0,Townhouse,5/19 Beckett Street,-37.700253,144.91205,2025-09-09 16:20:14,17700647,,6,0,0,False,Townhouse/Villa,Townhouse,Woodards Pascoe Vale,4898,Angie Diaco,"Internal Laundry, Air conditioning, Garden / Courtyard, Shed, Built in wardrobes, Dishwasher",https://www.domain.com.au/5-19-beckett-street-glenroy-vic-3046-17700647
17707168,GLENROY,3046,550,2390.0,"Thursday, 14 August 2025",2025-08-08,32,3,1,1.0,House,105 Valley Crescent,-37.698795,144.90833,2025-09-09 16:20:14,17707168,,11,0,1,False,House,House,Ascot Investment Management,38193,Andy Lusi,,https://www.domain.com.au/105-valley-crescent-glenroy-vic-3046-17707168
17710000,GLENROY,3046,450,1950.0,"Monday, 25 August 2025",2025-08-11,29,2,1,1.0,Apartment / Unit / Flat,8/11 Currajong Street,-37.711014,144.91776,2025-09-09 16:20:14,17710000,,8,0,0,False,Apartment,Apartment / Unit / Flat,WP Real Estate,8491,"Nicole Bayliss, Adam Farrugia","Floorboards, Built in wardrobes, Internal Laundry, Balcony / Deck",https://www.domain.com.au/8-11-currajong-street-glenroy-vic-3046-17710000
17712376,GLENROY,3046,490,2130.0,"Tuesday, 12 August 2025",2025-08-12,27,2,1,1.0,Apartment / Unit / Flat,2/58 John St,-37.69824,144.9455,2025-09-09 16:20:14,17712376,,7,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Gladstone Park,17270,"Simone Shiells, Jose Panameno","Internal Laundry, Heating, Built in wardrobes",https://www.domain.com.au/2-58-john-st-glenroy-vic-3046-17712376
17720612,GLENROY,3046,550,2390.0,"Monday, 18 August 2025",2025-08-18,21,2,2,1.0,Apartment / Unit / Flat,1/10 Leonard Av,-37.70535,144.9302,2025-09-09 16:20:14,17720612,,13,0,0,False,Apartment,Apartment / Unit / Flat,Buyer's Advocate,18698,"Liz Haughey, Leasing Team",,https://www.domain.com.au/1-10-leonard-av-glenroy-vic-3046-17720612
17725537,GLENROY,3046,530,2303.0,"Thursday, 21 August 2025",2025-08-21,19,3,1,3.0,House,52 Andrew Street,-37.6958,144.94508,2025-09-09 16:20:14,17725537,,11,0,0,True,House,House,Ray White Glenroy,17825,Athanasi Triantafillou,"Built in wardrobes, Heating, Shed",https://www.domain.com.au/52-andrew-street-glenroy-vic-3046-17725537
17739829,GLENROY,3046,620,2694.0,"Monday, 22 September 2025",2025-09-01,8,4,2,2.0,House,108 Paget Avenue,-37.697372,144.92609,2025-09-09 16:20:14,17739829,,10,0,1,False,House,House,Jellis Craig Kensington,20419,"Megan Reddy, Kayla Young",Floorboards,https://www.domain.com.au/108-paget-avenue-glenroy-vic-3046-17739829
17740854,GLENROY,3046,580,2520.0,"Tuesday, 09 September 2025",2025-09-01,8,3,2,1.0,Townhouse,21/85 Chapman Avenue,-37.706017,144.91142,2025-09-09 16:20:14,17740854,,6,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Northcote,15667,"Alicia Cannizzaro, Jellis Craig Inner North","Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Study",https://www.domain.com.au/21-85-chapman-avenue-glenroy-vic-3046-17740854
17741662,GLENROY,3046,650,2824.0,"Saturday, 06 September 2025",2025-09-01,8,3,1,2.0,House,33 May Street,-37.69972,144.946,2025-09-09 16:20:14,17741662,,18,0,1,False,House,House,C + M Residential,28112,"Anthony Zeolla, Eric Petrucci","Built in wardrobes, Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Shed",https://www.domain.com.au/33-may-street-glenroy-vic-3046-17741662
17743132,GLENROY,3046,520,2260.0,"Wednesday, 03 September 2025",2025-09-02,7,2,1,3.0,House,1/44 Cromwell Street,-37.700874,144.92307,2025-09-09 16:20:14,17743132,,10,0,0,False,House,House,ASK Property Partners Pty Ltd,37858,Zara-Jane Hayes,"Internal Laundry, Bath, Fireplace(s), Courtyard, Outdoor Entertainment Area, Remote Garage, Secure Parking, Alarm System, Broadband Internet Available, Built in wardrobes, Dishwasher, Floorboards, Pay TV Access, Air conditioning, Gas Heating, Split-System Air Conditioning, Pets Allowed",https://www.domain.com.au/1-44-cromwell-street-glenroy-vic-3046-17743132
