listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
8991170,GOLDEN SQUARE,3555,700,3041.0,"Friday, 13 February 2026",2014-04-17,4162,3,2,2.0,Townhouse,2/31 Booth Street,-36.767105,144.25919,2025-09-09 16:36:07,8991170,,15,0,0,False,Townhouse/Villa,Townhouse,Tweed Sutherland First National,20881,Samantha Lee,Furnished,https://www.domain.com.au/2-31-booth-street-golden-square-vic-3555-8991170
9307989,GOLDEN SQUARE,3555,460,1999.0,"Friday, 05 September 2025",2025-08-28,12,3,1,1.0,House,1 Holly Street,-36.777966,144.24626,2025-09-09 16:36:07,9307989,VZ-2188-UH,10,0,1,False,House,House,DCK Real Estate,4596,Holly Kellett,"Air conditioning, Heating, Close to transport, Close to schools, Split System Heating, Split System Cooling, Ducted Heating",https://www.domain.com.au/1-holly-street-golden-square-vic-3555-9307989
12742842,GOLDEN SQUARE,3555,480,2086.0,"Monday, 06 October 2025",2025-08-22,18,3,1,2.0,Apartment / Unit / Flat,2/24 Ophir Street,-36.76636,144.26132,2025-09-09 16:36:07,12742842,FB-8398-WV,10,0,0,False,Apartment,Apartment / Unit / Flat,DCK Real Estate,4596,Holly Kellett,"Built in wardrobes, Gas, Secure Parking, Bath, Shed, Split System Heating, Split System Cooling, Dishwasher",https://www.domain.com.au/2-24-ophir-street-golden-square-vic-3555-12742842
15292992,GOLDEN SQUARE,3555,500,2167.0,"Wednesday, 24 September 2025",2025-09-02,7,3,1,1.0,House,75 Panton Street,-36.77656,144.25607,2025-09-09 16:36:07,15292992,VM-8450-TZ,11,0,1,False,House,House,PRD Nationwide Bendigo,6502,"Jessica Walsh, Lily Blabey","Air conditioning, Built in wardrobes, Bath, Heating",https://www.domain.com.au/75-panton-street-golden-square-vic-3555-15292992
16306131,GOLDEN SQUARE,3555,700,2800.0,"Friday, 26 May 2023",2023-02-01,951,3,1,1.0,House,29 Specimen Hill Road,-36.768436,144.24948,2025-09-09 16:36:07,16306131,VJ-6476-VJ,7,0,0,False,House,House,Buxton Bendigo,37944,,"Gas Heating, Ducted Cooling, Built in wardrobes, Balcony, Furnished, Laundry",https://www.domain.com.au/29-specimen-hill-road-golden-square-vic-3555-16306131
17335424,GOLDEN SQUARE,3555,580,2520.0,"Friday, 23 January 2026",2024-12-03,280,2,1,1.0,House,80A Chum St,-36.763035,144.2523,2025-09-09 16:36:07,17335424,ZK-8989-FJ,6,0,0,False,House,House,Buxton Bendigo,37944,Saskia Heeney,"Air conditioning, Fully fenced, Furnished",https://www.domain.com.au/80a-chum-st-golden-square-vic-3555-17335424
17680889,GOLDEN SQUARE,3555,700,3041.0,"Sunday, 01 February 2026",2025-07-22,48,4,3,2.0,House,5 Frencham St,-36.782948,144.24242,2025-09-09 16:36:07,17680889,,10,0,0,False,House,House,Buxton Bendigo,37944,Saskia Heeney,,https://www.domain.com.au/5-frencham-st-golden-square-vic-3555-17680889
17719200,GOLDEN SQUARE,3555,480,2085.0,"Friday, 22 August 2025",2025-08-18,22,3,1,1.0,House,3 Druid St,-36.781063,144.24428,2025-09-09 16:36:07,17719200,,6,0,0,False,House,House,Buxton Bendigo,37944,Jordana Fitzpatrick,,https://www.domain.com.au/3-druid-st-golden-square-vic-3555-17719200
17722461,GOLDEN SQUARE,3555,700,3034.0,"Thursday, 25 September 2025",2025-08-19,21,4,2,,House,89 Mackenzie Street West,-36.774704,144.24966,2025-09-09 16:36:07,17722461,,15,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Jessica Walsh, Lily Blabey","Built in wardrobes, Bath, Heating, Dishwasher",https://www.domain.com.au/89-mackenzie-street-west-golden-square-vic-3555-17722461
17738400,GOLDEN SQUARE,3555,540,2346.0,"Monday, 29 September 2025",2025-08-29,11,3,2,2.0,House,56 Soldatos Dr,-36.77597,144.23372,2025-09-09 16:36:07,17738400,,13,0,0,False,House,House,Bendigo Real Estate,12758,"Ella O'Donnell, Reception BRE","Shed, Air conditioning, Secure Parking, Balcony / Deck, Garden / Courtyard, Built in wardrobes, Dishwasher, Gas Heating, Out door entertaining area, Internal Laundry",https://www.domain.com.au/56-soldatos-dr-golden-square-vic-3555-17738400
17741313,GOLDEN SQUARE,3555,460,,"Thursday, 11 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,2/125 MacKenzie Street West,-36.77855,144.24712,2025-09-09 16:36:07,17741313,,7,0,0,True,Apartment,Apartment / Unit / Flat,Property Plus Real Estate,17493,"Katie Ross, Nick Chamouras","Built in wardrobes, Air conditioning, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/2-125-mackenzie-street-west-golden-square-vic-3555-17741313
17742565,GOLDEN SQUARE,3555,460,1998.0,"Monday, 15 September 2025",2025-09-02,7,2,1,1.0,Apartment / Unit / Flat,2/6 Magazine Boulevard,-36.773617,144.24356,2025-09-09 16:36:07,17742565,,5,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property Bendigo | Castlemaine | Maldon,5904,Alidia Ferrari,"Internal Laundry, Swimming Pool, Dishwasher, Shed, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Carpeted",https://www.domain.com.au/2-6-magazine-boulevard-golden-square-vic-3555-17742565
17745551,GOLDEN SQUARE,3555,450,1955.0,"Monday, 29 September 2025",2025-09-03,6,3,1,1.0,House,13 Symonds Street,-36.773434,144.24817,2025-09-09 16:36:07,17745551,,2,0,0,False,House,House,Bendigo Real Estate,12758,"Ella O'Donnell, Reception BRE","Built in wardrobes, Bath, Air conditioning, Secure Parking, Garden / Courtyard, Fully fenced, Gas Heating",https://www.domain.com.au/13-symonds-street-golden-square-vic-3555-17745551
17748544,GOLDEN SQUARE,3555,530,2297.0,"Thursday, 25 September 2025",2025-09-05,4,3,2,2.0,House,54 Wade Street,-36.765057,144.25725,2025-09-09 16:36:07,17748544,,8,0,0,False,House,House,PH Property,11863,Kyle Burton,"Secure Parking, Heating, Built in wardrobes, Ensuite, Carpeted, Dishwasher, Fully fenced",https://www.domain.com.au/54-wade-street-golden-square-vic-3555-17748544
17753775,GOLDEN SQUARE,3555,480,2085.0,"Wednesday, 29 October 2025",2025-09-09,0,3,2,1.0,House,5/20A Emmett Street,-36.76842,144.24849,2025-09-09 16:36:07,17753775,,20,0,1,False,House,House,Ray White Bendigo,25162,Sophie Boxshall,"Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Fully fenced",https://www.domain.com.au/5-20a-emmett-street-golden-square-vic-3555-17753775
