listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16771922,GREENSBOROUGH,3088,445,1934,"Tuesday, 23 September 2025",2025-09-09,0,2,1,2,Apartment / Unit / Flat,4/39 Alexandra Street,-37.708347,145.10683,2025-09-09 16:20:20,16771922,OZ-5703-HC,8,0,0,False,Apartment,Apartment / Unit / Flat,Darren Jones Real Estate,11759,Claire Morrow,Secure Parking,https://www.domain.com.au/4-39-alexandra-street-greensborough-vic-3088-16771922
17089617,GREENSBOROUGH,3088,445,1934,"Tuesday, 26 August 2025",2025-08-22,18,2,1,1,Apartment / Unit / Flat,4/139 Grimshaw Street,-37.704674,145.09892,2025-09-09 16:20:20,17089617,UV-6909-TX,6,1,1,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Paul Sim, Corina Carter","Balcony / Deck, Dishwasher, Bathtub, Gas Heating, Split System Air Conditioning",https://www.domain.com.au/4-139-grimshaw-street-greensborough-vic-3088-17089617
17591353,GREENSBOROUGH,3088,600,2607,"Friday, 30 May 2025",2025-05-26,106,3,1,1,House,2 Plenty River Drive,-37.69632,145.10829,2025-09-09 16:20:20,17591353,PN-3016-JC,8,0,0,False,House,House,Stockdale & Leggo Bundoora,12274,"Joseph Petralia, Thanuja Kannangara","Gas, Air conditioning, Built in wardrobes, Close to schools, Close to shops, Close to transport, Floorboards, Shed",https://www.domain.com.au/2-plenty-river-drive-greensborough-vic-3088-17591353
17604617,GREENSBOROUGH,3088,630,2738,"Monday, 04 August 2025",2025-08-01,39,3,2,2,House,40 Warwick Road,-37.706818,145.1048,2025-09-09 16:20:20,17604617,,7,0,0,False,House,House,Barry Plant Manningham,7015,"Freya Semera, Emily Stoneham","Air conditioning, Gas, Heating, Dishwasher",https://www.domain.com.au/40-warwick-road-greensborough-vic-3088-17604617
17692546,GREENSBOROUGH,3088,450,1955,"Monday, 18 August 2025",2025-07-30,41,2,1,1,Townhouse,42 Paterson Crescent,-37.707222,145.10997,2025-09-09 16:20:20,17692546,,14,0,0,False,Townhouse/Villa,Townhouse,Buckingham & Company,12165,Bianca Bowden,"Built in wardrobes, Internal Laundry",https://www.domain.com.au/42-paterson-crescent-greensborough-vic-3088-17692546
17697988,GREENSBOROUGH,3088,580,2520,"Sunday, 03 August 2025",2025-08-04,36,2,2,1,Apartment / Unit / Flat,"G02/4 Poulter, Avenue",-37.70233,145.10701,2025-09-09 16:20:20,17697988,,13,0,1,False,Apartment,Apartment / Unit / Flat,Melo Real Estate Pty Ltd,38412,"Carmelo Caputa, Admin Team","Gas, Balcony, Outdoor Entertainment Area, Built in wardrobes, Dishwasher, Floorboards, Intercom, Split-System Air Conditioning, Split-System Heating, Ensuite",https://www.domain.com.au/g02-4-poulter-avenue-greensborough-vic-3088-17697988
17697989,GREENSBOROUGH,3088,630,2737,"Sunday, 03 August 2025",2025-08-04,36,2,2,1,Apartment / Unit / Flat,505/4 Poulter Avenue,-37.70232,145.10695,2025-09-09 16:20:20,17697989,,11,0,1,False,Apartment,Apartment / Unit / Flat,Melo Real Estate Pty Ltd,38412,"Carmelo Caputa, Admin Team","Gas, Balcony, Outdoor Entertainment Area, Built in wardrobes, Dishwasher, Floorboards, Intercom, Split-System Air Conditioning, Split-System Heating, Ensuite",https://www.domain.com.au/505-4-poulter-avenue-greensborough-vic-3088-17697989
17707980,GREENSBOROUGH,3088,560,2433,"Friday, 08 August 2025",2025-08-08,31,3,2,2,House,41 Warriparri Crescent,-37.69556,145.10057,2025-09-09 16:20:20,17707980,,11,0,0,False,House,House,Harcourts Rata & Co,30123,"George Stavrakis, Sachi Samarasekera","Air conditioning, Heating, Built in wardrobes, Ensuite, Openable Windows, Cooling",https://www.domain.com.au/41-warriparri-crescent-greensborough-vic-3088-17707980
17715544,GREENSBOROUGH,3088,600,2607,"Saturday, 13 September 2025",2025-08-14,26,3,1,1,Townhouse,1/21 Broad St,-37.70588,145.10153,2025-09-09 16:20:20,17715544,,7,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Eltham,30467,Sarah Craigie,Heating,https://www.domain.com.au/1-21-broad-st-greensborough-vic-3088-17715544
17721463,GREENSBOROUGH,3088,550,2390,"Wednesday, 27 August 2025",2025-08-19,21,3,1,1,Apartment / Unit / Flat,2/152 Nell Street,-37.708427,145.09436,2025-09-09 16:20:20,17721463,,11,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant North Eastern Group,4902,Jarrod Pearce,"Built in wardrobes, Heating, Balcony / Deck",https://www.domain.com.au/2-152-nell-street-greensborough-vic-3088-17721463
17729776,GREENSBOROUGH,3088,680,2954,"Wednesday, 10 September 2025",2025-08-25,15,3,2,2,Townhouse,1/3 Echuca Road,-37.709496,145.10742,2025-09-09 16:20:20,17729776,,7,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Greensborough and Hurstbridge.,30457,Billianne Lidgerwood,"Air conditioning, Internal Laundry, Heating, Balcony / Deck",https://www.domain.com.au/1-3-echuca-road-greensborough-vic-3088-17729776
17747446,GREENSBOROUGH,3088,540,2346,"Thursday, 04 September 2025",2025-09-04,5,2,2,1,House,4/90 Nell St,-37.708794,145.10089,2025-09-09 16:20:20,17747446,,12,0,0,False,House,House,Jellis Craig Greensborough and Hurstbridge.,30457,Caroline Cummaudo,"Internal Laundry, Secure Parking, Heating, Dishwasher, Study, Balcony / Deck",https://www.domain.com.au/4-90-nell-st-greensborough-vic-3088-17747446
17752160,GREENSBOROUGH,3088,630,2737,"Friday, 10 October 2025",2025-09-08,0,3,2,2,House,28 Sainsbury Avenue,-37.714355,145.09871,2025-09-09 16:20:20,17752160,,12,0,0,False,House,House,Jellis Craig Eltham,30467,"Billianne Lidgerwood, Chloe Dwyer-Fraser","Heating, Secure Parking, Garden / Courtyard, Outdoor Entertainment Area, Shed, Built in wardrobes, Floorboards, Gas",https://www.domain.com.au/28-sainsbury-avenue-greensborough-vic-3088-17752160
