listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14433856,GREENVALE,3059,570,2477.0,"Sunday, 12 October 2025",2025-09-09,0,4,2,2,House,27 Saffron St,-37.63231,144.87718,2025-09-09 16:22:46,14433856,NC-1033-BZ,8,0,0,False,House,House,Cooper Real Estate,15316,Trish Cooper,Secure Parking,https://www.domain.com.au/27-saffron-st-greenvale-vic-3059-14433856
16306969,GREENVALE,3059,610,2651.0,"Monday, 11 March 2024",2025-09-08,1,4,2,2,House,33 Scarlet Drive,-37.619625,144.87587,2025-09-09 16:22:46,16306969,ET-8445-VK,8,0,0,False,House,House,Ray White Gladstone Park,31262,Caresse Strangis,"Gas, Internal Laundry, Secure Parking, Heating, Dishwasher, Ensuite",https://www.domain.com.au/33-scarlet-drive-greenvale-vic-3059-16306969
16669168,GREENVALE,3059,725,3150.0,"Monday, 08 September 2025",2025-08-04,36,4,2,2,House,6 Adderley Drive,-37.641895,144.90717,2025-09-09 16:22:46,16669168,GV-1763-QD,18,0,0,False,House,House,Ray White Gladstone Park,31262,Tiana Rubeidis,Secure Parking,https://www.domain.com.au/6-adderley-drive-greenvale-vic-3059-16669168
16797349,GREENVALE,3059,850,3683.0,"Friday, 12 September 2025",2025-08-29,11,4,2,2,House,11 Kintyre Court,-37.647205,144.89175,2025-09-09 16:22:46,16797349,OJ-6391-PT,12,0,0,False,House,House,RAY BINER REAL ESTATE,7597,Ray Biner,,https://www.domain.com.au/11-kintyre-court-greenvale-vic-3059-16797349
17514251,GREENVALE,3059,650,2824.0,"Monday, 22 September 2025",2025-09-09,0,4,2,4,House,4 Middleton Court,-37.64174,144.89839,2025-09-09 16:22:46,17514251,ZX-2906-GI,10,0,0,False,House,House,Ray White Bundoora,12449,Natasha Vella,"Internal Laundry, Dishwasher, Balcony / Deck, Ensuite",https://www.domain.com.au/4-middleton-court-greenvale-vic-3059-17514251
17688423,GREENVALE,3059,495,2151.0,"Monday, 04 August 2025",2025-07-28,43,3,1,1,Apartment / Unit / Flat,15A Witton Ct,-37.642624,144.88147,2025-09-09 16:22:46,17688423,,11,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Gladstone Park,17270,"Adrian Morris, Jose Panameno","Built in wardrobes, Bath",https://www.domain.com.au/15a-witton-ct-greenvale-vic-3059-17688423
17703186,GREENVALE,3059,570,2477.0,"Tuesday, 12 August 2025",2025-08-06,34,3,2,2,House,29 Bianca Crescent,-37.614994,144.88734,2025-09-09 16:22:46,17703186,,14,0,1,False,House,House,Precinct Estate Agents ,19327,Precinct Leasing,"Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Fully fenced, Garden / Courtyard",https://www.domain.com.au/29-bianca-crescent-greenvale-vic-3059-17703186
17710281,GREENVALE,3059,1200,5214.0,"Monday, 01 September 2025",2025-08-11,28,5,3,2,House,10 Bisect Road,-37.619118,144.9085,2025-09-09 16:22:46,17710281,,18,0,1,False,House,House,Zed Real Estate,30678,Dean Ghausi,"Internal Laundry, Pets Allowed, Secure Parking, Fireplace(s), Heating, Shed, Balcony / Deck",https://www.domain.com.au/10-bisect-road-greenvale-vic-3059-17710281
17712394,GREENVALE,3059,670,2912.0,"Tuesday, 02 September 2025",2025-08-12,27,4,2,2,Apartment / Unit / Flat,32 Mattina Circuit,-37.63476,144.8917,2025-09-09 16:22:46,17712394,,13,0,0,False,Apartment,Apartment / Unit / Flat,AREM GROUP,38634,"Jenny Neoh, June Loh","Heating, Ensuite(s), Secure Parking, Air conditioning, Ensuite, Alarm System, Built in wardrobes, Separate Dining Room, Dishwasher, Fully fenced, Garden / Courtyard, Gas, Broadband internet access, Internal Laundry",https://www.domain.com.au/32-mattina-circuit-greenvale-vic-3059-17712394
17734296,GREENVALE,3059,630,2738.0,"Wednesday, 03 September 2025",2025-08-27,13,4,3,2,House,13 Red Wattle Way,-37.639046,144.8785,2025-09-09 16:22:46,17734296,,2,0,0,False,House,House,Barry Plant Gladstone Park,17270,Shenel Van Arkadie,"Heating, Secure Parking, Balcony / Deck, Built in wardrobes, Dishwasher",https://www.domain.com.au/13-red-wattle-way-greenvale-vic-3059-17734296
17735593,GREENVALE,3059,795,3445.0,"Tuesday, 26 August 2025",2025-08-27,12,4,3,1,House,18 Saddle Way,-37.647457,144.8758,2025-09-09 16:22:46,17735593,,10,0,0,False,House,House,Jason Real Estate Sales PTY LTD,6638,"Chanel Sassine, Tiffany Luu","Heating, Dishwasher, Study, Built in wardrobes, Alarm System, Intercom, Vacuum System, Ensuite, Courtyard, Floorboards",https://www.domain.com.au/18-saddle-way-greenvale-vic-3059-17735593
17735594,GREENVALE,3059,795,3445.0,"Tuesday, 26 August 2025",2025-08-27,12,4,3,1,House,16 Saddle Way,-37.647385,144.87581,2025-09-09 16:22:46,17735594,,10,0,0,False,House,House,Jason Real Estate Sales PTY LTD,6638,"Chanel Sassine, Tiffany Luu","Pets Allowed, Secure Parking, Heating, Dishwasher, Built in wardrobes, Alarm System, Intercom, Vacuum System, Ensuite, Floorboards",https://www.domain.com.au/16-saddle-way-greenvale-vic-3059-17735594
17737094,GREENVALE,3059,480,2080.0,"Wednesday, 27 August 2025",2025-08-28,12,1,1,1,Apartment / Unit / Flat,25A Wallace Drive,-37.65061,144.89989,2025-09-09 16:22:46,17737094,,6,0,0,False,Apartment,Apartment / Unit / Flat,YPA Hume City,12708,Ayse Tutuncu,"Gas, Internal Laundry, Air conditioning, Built in wardrobes, Close to schools, Close to shops, Close to transport, Heating",https://www.domain.com.au/25a-wallace-drive-greenvale-vic-3059-17737094
17742292,GREENVALE,3059,530,2303.0,"Tuesday, 30 September 2025",2025-09-02,7,4,2,2,House,4 Honey Flower Way,-37.6271,144.87746,2025-09-09 16:22:46,17742292,,9,0,0,False,House,House,Stockdale & Leggo Glenroy,4131,"Leasing Division, Lydia Tostevin","Built in wardrobes, Close to schools, Close to shops, Close to transport, Dishwasher, Outdoor Entertaining, Remote Garage",https://www.domain.com.au/4-honey-flower-way-greenvale-vic-3059-17742292
17743751,GREENVALE,3059,750,3259.0,"Wednesday, 01 October 2025",2025-09-02,7,4,2,2,House,22 Helenic Drive,-37.644886,144.8724,2025-09-09 16:22:46,17743751,,14,0,0,False,House,House,Nelson Alexander Essendon,4722,Fiona Hauke,"Built in wardrobes, Gas, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/22-helenic-drive-greenvale-vic-3059-17743751
17747172,GREENVALE,3059,680,2955.0,"Saturday, 13 September 2025",2025-09-04,5,4,2,2,House,9 Sash Street,-37.63276,144.87927,2025-09-09 16:22:46,17747172,,15,0,0,False,House,House,Ray White Gladstone Park,31262,Tiana Rubeidis,"Secure Parking, Study, Shed",https://www.domain.com.au/9-sash-street-greenvale-vic-3059-17747172
17748098,GREENVALE,3059,680,2955.0,"Thursday, 04 September 2025",2025-09-04,4,4,2,2,House,10 Darmain Drive,-37.628246,144.884,2025-09-09 16:22:46,17748098,,8,0,1,False,House,House,Ray White Glenroy,17825,Athanasi Triantafillou,"Air conditioning, Heating, Dishwasher, Alarm System, Intercom, Built in wardrobes, Internal Laundry, Bath, Secure Parking, Garden / Courtyard, Solar panels",https://www.domain.com.au/10-darmain-drive-greenvale-vic-3059-17748098
17750165,GREENVALE,3059,450,1955.0,"Monday, 08 September 2025",2025-09-05,3,2,1,1,House,9B Buttercup Drive,-37.621246,144.87878,2025-09-09 16:22:46,17750165,,27,0,2,False,House,House,Frasers Property | VIC,7378,John Young,"Built in wardrobes, Dishwasher, Broadband, Gas Appliances, Split System Heating, Split System Air Conditioning, Gas Hot Water, Courtyard, Remote Garage, Fully fenced, Solar hot water, Greywater system",https://www.domain.com.au/9b-buttercup-drive-greenvale-vic-3059-17750165
17751915,GREENVALE,3059,650,2824.0,"Tuesday, 30 September 2025",2025-09-08,1,4,2,2,House,44 Positano Grove,-37.62676,144.89023,2025-09-09 16:22:46,17751915,,6,0,0,False,House,House,Barry Plant (Brunswick-Coburg),6048,Muhamed Khoder,"Built in wardrobes, Secure Parking, Heating, Study",https://www.domain.com.au/44-positano-grove-greenvale-vic-3059-17751915
17752882,GREENVALE,3059,660,2868.0,"Friday, 03 October 2025",2025-09-09,0,4,2,2,House,6 Directions Drive,-37.614212,144.90797,2025-09-09 16:22:46,17752882,,16,0,0,False,House,House,Reliance Craigieburn,36313,Jade Truong,"Secure Parking, Heating",https://www.domain.com.au/6-directions-drive-greenvale-vic-3059-17752882
16590724,GREENVALE,3059,650,2824.0,"Monday, 11 August 2025",2025-08-04,36,4,2,2,House,23 Koomba Crescent,-37.61363,144.90633,2025-09-09 16:22:51,16590724,FK-9185-HP,17,1,1,False,House,House,PROTIQUE REALTY,32851,PROTIQUE REALTY LEASE,"Broadband internet access, Intercom, Alarm System, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Air conditioning, Outdoor Entertainment Area, Remote Garage",https://www.domain.com.au/23-koomba-crescent-greenvale-vic-3059-16590724
17229230,GREENVALE,3059,700,3042.0,"Monday, 16 June 2025",2025-06-11,90,4,2,2,House,12 Sonia Crescent,-37.631283,144.88968,2025-09-09 16:22:51,17229230,EW-9356-BP,14,0,0,False,House,House,One Group Realty,32679,"Chantell Hawzi, Naaz Fatima","Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Bath, Separate Dining Room, Heating, Dishwasher, Secure Parking, Fully fenced, Garden / Courtyard",https://www.domain.com.au/12-sonia-crescent-greenvale-vic-3059-17229230
17238358,GREENVALE,3059,650,,"Monday, 24 February 2025",2025-02-24,197,4,2,2,House,,-37.639965,144.88092,2025-09-09 16:22:51,17238358,,7,1,0,False,House,House,First Step Homes 4U,24633,Kerry Smith,"Secure Parking, Air conditioning, Built in wardrobes, Courtyard, Dishwasher, Fully fenced",https://www.domain.com.au/greenvale-vic-3059-17238358
