listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15957037,GROVEDALE,3216,265,1060,"Friday, 22 August 2025",2025-08-19,21,1,1,,House,Room 3/18 Petkell Parade,-38.212498,144.31203,2025-09-09 16:27:30,15957037,,16,1,0,True,House,House,Ray White Highton,18426,Danielle Dimery,,https://www.domain.com.au/room-3-18-petkell-parade-grovedale-vic-3216-15957037
16664057,GROVEDALE,3216,490,2125,"Monday, 08 September 2025",2025-08-12,28,3,2,1.0,House,37 Muscovy Drive,-38.20428,144.3499,2025-09-09 16:27:30,16664057,BB-3315-ZB,11,1,0,False,House,House,Ray White Highton,18426,Chris Walsh,"Bath, Heating, Dishwasher, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/37-muscovy-drive-grovedale-vic-3216-16664057
17122437,GROVEDALE,3216,275,1100,"Monday, 25 August 2025",2024-07-20,416,1,1,1.0,House,19 Jockia Ridge,-38.213264,144.3128,2025-09-09 16:27:30,17122437,CU-4705-VZ,19,0,0,False,House,House,RentBetter,27499,,"Internal Laundry, Air conditioning, Built in wardrobes, Dishwasher, Fully fenced, Furnished, Garden / Courtyard, Gym, Heating, Intercom, Solar hot water, Solar panels",https://www.domain.com.au/19-jockia-ridge-grovedale-vic-3216-17122437
17547889,GROVEDALE,3216,777,3376,"Monday, 12 May 2025",2025-04-29,133,6,2,2.0,House,17 Jockia Ridge,-38.21327,144.3124,2025-09-09 16:27:30,17547889,GW-6874-TM,8,0,0,False,House,House,Geelong Real Estate Co.,35120,"Reece Fidler, Jelena Jovanovic",,https://www.domain.com.au/17-jockia-ridge-grovedale-vic-3216-17547889
17659829,GROVEDALE,3216,430,1868,"Saturday, 30 August 2025",2025-07-09,62,2,2,2.0,Apartment / Unit / Flat,3/24 Bieske Road,-38.20692,144.33487,2025-09-09 16:27:30,17659829,,10,0,0,False,Apartment,Apartment / Unit / Flat,Luxepm Geelong,34693,Christy Holt,"Air conditioning, Built in wardrobes, Gas, Secure Parking, Fully fenced",https://www.domain.com.au/3-24-bieske-road-grovedale-vic-3216-17659829
17706997,GROVEDALE,3216,205,891,"Friday, 08 August 2025",2025-08-08,32,1,1,4.0,House,10 Langham Court,-38.196777,144.33417,2025-09-09 16:27:30,17706997,,10,0,0,False,House,House,QWIK REAL ESTATE,36428,Pranay Kunnilchira,"Gas, Broadband internet access, Ensuite, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/10-langham-court-grovedale-vic-3216-17706997
17718928,GROVEDALE,3216,175,700,"Thursday, 21 August 2025",2025-08-18,22,1,1,,House,62 Reserve Road,-38.205963,144.34793,2025-09-09 16:27:30,17718928,,6,0,0,False,House,House,ANDREWS ESTATE AGENTS,31119,"Barb Thompson, Sally Cantarella","Air conditioning, Broadband internet access, Heating, Built in wardrobes, Furnished",https://www.domain.com.au/62-reserve-road-grovedale-vic-3216-17718928
17723476,GROVEDALE,3216,470,2042,"Wednesday, 10 September 2025",2025-08-20,20,2,1,2.0,House,8 Amarina Crescent,-38.20191,144.32333,2025-09-09 16:27:30,17723476,,11,0,1,False,House,House,McGrath Geelong | Newtown,5797,Rajesh Chaubay,"Gas, Internal Laundry, Bath, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface",https://www.domain.com.au/8-amarina-crescent-grovedale-vic-3216-17723476
17729989,GROVEDALE,3216,540,2340,"Thursday, 09 October 2025",2025-08-25,15,3,1,2.0,House,51 Moruya Drive,-38.205044,144.31833,2025-09-09 16:27:30,17729989,,9,0,0,True,House,House,Gartland,11825,Gartland Leasing,"Built in wardrobes, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/51-moruya-drive-grovedale-vic-3216-17729989
17736438,GROVEDALE,3216,540,2346,"Monday, 15 September 2025",2025-08-28,12,4,2,2.0,House,5A Yongala Ct,-38.20944,144.32248,2025-09-09 16:27:30,17736438,,12,0,0,False,House,House,Hayeswinckle Highton,18314,"Emily Johnstone, Keely Duggan","Bath, Heating, Shed",https://www.domain.com.au/5a-yongala-ct-grovedale-vic-3216-17736438
