listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16495481,HADFIELD,3046,620,2694,"Friday, 22 August 2025",2025-08-22,18,3,1,4,House,63 East Street,-37.70949,144.95003,2025-09-09 16:41:25,16495481,OU-2975-RP,9,0,0,False,House,House,C + M Residential,28112,"Anthony Zeolla, Eric Petrucci","Air conditioning, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/63-east-street-hadfield-vic-3046-16495481
16633762,HADFIELD,3046,500,2173,"Thursday, 21 August 2025",2025-07-16,55,2,1,2,Townhouse,2/17 Eileen Street,-37.708412,144.93892,2025-09-09 16:41:25,16633762,SP-1190-VP,8,0,1,False,Townhouse/Villa,Townhouse,C + M Residential,28112,"Anthony Zeolla, Eric Petrucci","Built in wardrobes, Gas, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/2-17-eileen-street-hadfield-vic-3046-16633762
17309286,HADFIELD,3046,510,2216,"Wednesday, 10 September 2025",2025-08-27,13,3,1,1,House,9 Samson Street,-37.707844,144.94933,2025-09-09 16:41:25,17309286,JR-3156-OI,6,0,0,False,House,House,Ray White Glenroy,17825,Athanasi Triantafillou,"Air conditioning, Built in wardrobes, Secure Parking, Bath, Heating",https://www.domain.com.au/9-samson-street-hadfield-vic-3046-17309286
17637796,HADFIELD,3046,460,1999,"Wednesday, 25 June 2025",2025-06-25,76,2,1,1,Apartment / Unit / Flat,6/116 Middle Street,-37.709263,144.94072,2025-09-09 16:41:25,17637796,,6,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Glenroy,11897,Sargon Warda,"Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/6-116-middle-street-hadfield-vic-3046-17637796
17693412,HADFIELD,3046,690,2998,"Tuesday, 26 August 2025",2025-07-30,40,4,2,2,Townhouse,101 South Street,-37.714752,144.94286,2025-09-09 16:41:25,17693412,,6,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Pascoe Vale,5894,Katia Materazzo,"Gas, Internal Laundry, Secure Parking, Intercom, Heating, Dishwasher, Study",https://www.domain.com.au/101-south-street-hadfield-vic-3046-17693412
17704237,HADFIELD,3046,700,3042,"Friday, 03 October 2025",2025-08-06,33,3,2,2,House,2B Ila St,-37.709038,144.93764,2025-09-09 16:41:25,17704237,,6,0,0,False,House,House,Woodards Pascoe Vale,4898,Angie Diaco,"Built in wardrobes, Air conditioning, Garden / Courtyard",https://www.domain.com.au/2b-ila-st-hadfield-vic-3046-17704237
17708092,HADFIELD,3046,525,2281,"Friday, 19 September 2025",2025-08-08,31,2,2,1,Townhouse,1/105 Middle Street,-37.709797,144.94182,2025-09-09 16:41:25,17708092,,9,0,1,False,Townhouse/Villa,Townhouse,Woodards Ascot Vale,26361,Luke Pickering,"Gas, Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/1-105-middle-street-hadfield-vic-3046-17708092
17711487,HADFIELD,3046,480,2080,"Saturday, 30 August 2025",2025-08-12,28,2,1,1,Apartment / Unit / Flat,2/3 Richmond Street,-37.705338,144.94946,2025-09-09 16:41:25,17711487,,7,0,0,False,Apartment,Apartment / Unit / Flat,YPA Hume City,12708,Ayse Tutuncu,"Air conditioning, Internal Laundry, Bath, Built in wardrobes, Close to schools, Close to shops, Close to transport",https://www.domain.com.au/2-3-richmond-street-hadfield-vic-3046-17711487
17731426,HADFIELD,3046,510,2216,"Thursday, 11 September 2025",2025-08-26,14,2,1,1,Townhouse,2/107 West Street,-37.70611,144.93817,2025-09-09 16:41:25,17731426,,9,0,0,False,Townhouse/Villa,Townhouse,LJ Hooker Craigieburn,20696,Aiden Be-Hanna,"Internal Laundry, Balcony / Deck, Built in wardrobes, Dishwasher, Intercom, Remote Garage, Air conditioning, Heating, Vacuum System",https://www.domain.com.au/2-107-west-street-hadfield-vic-3046-17731426
17736832,HADFIELD,3046,520,2259,"Wednesday, 27 August 2025",2025-08-28,12,2,1,1,Apartment / Unit / Flat,3/6 South Street,-37.71513,144.95113,2025-09-09 16:41:25,17736832,,4,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant (Brunswick-Coburg),6048,Rita Kyparissis,"Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/3-6-south-street-hadfield-vic-3046-17736832
