listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16975204,HALLAM,3803,380,1521.0,"Thursday, 18 April 2024",2024-04-18,509,1,1,1,Apartment / Unit / Flat,2 Albert Road,-38.003216,145.26205,2025-09-09 16:43:56,16975204,17,0,0,False,Apartment,Apartment / Unit / Flat,LJ Hooker Casey,19249,Olivia Ferguson,"Built in wardrobes, Heating, Close to transport, Close to shops, Ensuite, Kitchenette, Split system",https://www.domain.com.au/2-albert-road-hallam-vic-3803-16975204
17707555,HALLAM,3803,520,2260.0,"Monday, 11 August 2025",2025-08-08,32,2,2,1,Townhouse,5/77-79 Frawley Road,-38.000732,145.27112,2025-09-09 16:43:56,17707555,9,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Pakenham - Officer,18278,Barry Plant South Eastern Group,"Gas, Secure Parking, Heating, Dishwasher, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite",https://www.domain.com.au/5-77-79-frawley-road-hallam-vic-3803-17707555
17721481,HALLAM,3803,590,2564.0,"Friday, 12 September 2025",2025-08-19,21,3,1,2,House,45 Bella Crescent,-38.018715,145.28333,2025-09-09 16:43:56,17721481,20,0,0,False,House,House,The Neighbourhood Property Collective,31493,"Carmela Dimasi, Chris Gialis, Lyndall Giblin","Secure Parking, Fully fenced, Built in wardrobes, Floorboards, Split-System Air Conditioning, Split-System Heating, Ensuite",https://www.domain.com.au/45-bella-crescent-hallam-vic-3803-17721481
17725895,HALLAM,3803,650,2824.0,"Thursday, 21 August 2025",2025-08-21,19,4,2,2,House,21 George Chudleigh Drive,-38.002705,145.28381,2025-09-09 16:43:56,17725895,1,0,0,False,House,House,Just Realty International,30731,Nick Huang,,https://www.domain.com.au/21-george-chudleigh-drive-hallam-vic-3803-17725895
17730024,HALLAM,3803,600,,"Monday, 01 September 2025",2025-08-25,15,3,2,2,House,1/26 Charles Street,-38.006344,145.27328,2025-09-09 16:43:56,17730024,8,0,1,False,House,House,P&G Real Estate,32326,Nia Molaei,"Pets Allowed, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/1-26-charles-street-hallam-vic-3803-17730024
17731681,HALLAM,3803,490,2129.0,"Wednesday, 01 October 2025",2025-08-26,14,3,1,1,House,29 Hyssop Drive,-38.00569,145.2831,2025-09-09 16:43:56,17731681,8,0,0,False,House,House,LJ Hooker Casey,19249,Abigail Forza,"Secure Parking, Dishwasher, Built in wardrobes, Close to transport, Close to shops, Ducted Heating, Split system",https://www.domain.com.au/29-hyssop-drive-hallam-vic-3803-17731681
17735369,HALLAM,3803,560,2433.0,"Wednesday, 27 August 2025",2025-08-27,13,3,2,2,House,14/3 Young Road,-38.002953,145.27454,2025-09-09 16:43:56,17735369,8,0,0,False,House,House,Barry Plant Narre Warren,17478,"Madisson Akers, Nicole Robertson","Built in wardrobes, Heating, Dishwasher",https://www.domain.com.au/14-3-young-road-hallam-vic-3803-17735369
17739680,HALLAM,3803,630,2738.0,"Monday, 08 September 2025",2025-09-01,8,4,2,2,House,57 Alexander Street,-38.00377,145.25964,2025-09-09 16:43:56,17739680,8,0,0,False,House,House,Just Realty International,30731,Nick Huang,"Air conditioning, Heating, Dishwasher, Ensuite",https://www.domain.com.au/57-alexander-street-hallam-vic-3803-17739680
17743238,HALLAM,3803,440,1912.0,"Tuesday, 02 September 2025",2025-09-02,7,2,1,1,Apartment / Unit / Flat,1/19 Edinborough Street,-38.00176,145.26724,2025-09-09 16:43:56,17743238,6,0,0,False,Apartment,Apartment / Unit / Flat,Hall & Partners First National Dandenong,17903,Rochelle Rawiri,,https://www.domain.com.au/1-19-edinborough-street-hallam-vic-3803-17743238
17744697,HALLAM,3803,645,2803.0,"Wednesday, 03 September 2025",2025-09-03,6,3,1,1,House,5 Timothy Court,-37.99968,145.26341,2025-09-09 16:43:56,17744697,5,0,0,False,House,House,Top Estate Agents,37270,"Jagjeet Singh, Karan Singh","Heating, Dishwasher",https://www.domain.com.au/5-timothy-court-hallam-vic-3803-17744697
