listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16192502,HAMPTON,3188,1350,6750,"Tuesday, 23 September 2025",2025-09-01,8,4,3,2,House,29A Ivy St,-37.93393,145.01767,2025-09-09 16:52:17,16192502,SJ-6869-OQ,8,0,1,False,House,House,Nick Johnstone Real Estate,18492,Jane Castledine,"Internal Laundry, Intercom, Heating",https://www.domain.com.au/29a-ivy-st-hampton-vic-3188-16192502
17630817,HAMPTON,3188,1800,10800,"Friday, 05 September 2025",2025-06-20,81,4,2,2,House,7 St Kilian Street,-37.930836,144.99997,2025-09-09 16:52:17,17630817,,10,0,0,False,House,House,Hodges Real Estate Sandringham,3917,Katie Pickering,"Air conditioning, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards, Gas",https://www.domain.com.au/7-st-kilian-street-hampton-vic-3188-17630817
17658245,HAMPTON,3188,1200,5214,"Monday, 08 September 2025",2025-09-01,8,3,2,4,Townhouse,3/78 Fewster Road,-37.939342,145.02095,2025-09-09 16:52:17,17658245,,10,0,0,False,Townhouse/Villa,Townhouse,LITTLE Real Estate Victoria,24974,"Alex Ng, Gail Macklin","Air conditioning, Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck, Pool/Spa Count: 0",https://www.domain.com.au/3-78-fewster-road-hampton-vic-3188-17658245
17658819,HAMPTON,3188,750,3259,"Monday, 01 September 2025",2025-07-08,63,3,1,2,House,182 Ludstone Street,-37.935555,145.02203,2025-09-09 16:52:17,17658819,,6,0,0,False,House,House,Zed Real Estate,30678,Dean Ghausi,,https://www.domain.com.au/182-ludstone-street-hampton-vic-3188-17658819
17662889,HAMPTON,3188,1600,6952,"Thursday, 04 September 2025",2025-08-29,11,4,2,2,House,3 Kingston Street,-37.931175,145.01335,2025-09-09 16:52:17,17662889,,12,0,1,True,House,House,Buxton Hampton East,3938,Luisa Abbate,"Internal Laundry, Study, Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Fully fenced, Outdoor Entertainment Area, Remote Garage, Alarm System, Intercom, Ensuite",https://www.domain.com.au/3-kingston-street-hampton-vic-3188-17662889
17707440,HAMPTON,3188,800,3476,"Friday, 19 September 2025",2025-08-08,32,3,1,2,House,489 Bluff Road,-37.934605,145.02411,2025-09-09 16:52:17,17707440,,6,0,0,False,House,House,Buxton Real Estate Mentone,3937,Anthony Fraser,"Internal Laundry, Air conditioning, Built in wardrobes, Outdoor Entertainment Area, Ducted Heating, Remote Garage",https://www.domain.com.au/489-bluff-road-hampton-vic-3188-17707440
17725765,HAMPTON,3188,1100,4400,"Thursday, 21 August 2025",2025-08-21,19,3,2,2,House,29 Bridge Street,-37.944458,145.00444,2025-09-09 16:52:17,17725765,,8,0,0,False,House,House,RT Edgar Glen Eira,23085,Lucy Redman,,https://www.domain.com.au/29-bridge-street-hampton-vic-3188-17725765
17729422,HAMPTON,3188,650,2600,"Friday, 29 August 2025",2025-08-25,15,2,2,2,Apartment / Unit / Flat,5/521 Hampton Street,-37.931755,145.00333,2025-09-09 16:52:17,17729422,,6,0,0,False,Apartment,Apartment / Unit / Flat,HODGES MENTONE,3918,Traci Crellin,"Internal Laundry, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/5-521-hampton-street-hampton-vic-3188-17729422
17736239,HAMPTON,3188,1295,6475,"Tuesday, 30 September 2025",2025-08-28,12,4,2,2,House,11B Olive Street,-37.93272,145.02017,2025-09-09 16:52:17,17736239,,11,0,0,False,House,House,Hodges Real Estate Sandringham,3917,"Maria Konnov, Stephanie Pascoe","Air conditioning, Balcony / Deck, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards, Ensuite",https://www.domain.com.au/11b-olive-street-hampton-vic-3188-17736239
17738971,HAMPTON,3188,520,2260,"Friday, 03 October 2025",2025-08-29,11,2,1,1,Apartment / Unit / Flat,9/3 Fewster Rd,-37.93701,145.0123,2025-09-09 16:52:17,17738971,,6,0,1,False,Apartment,Apartment / Unit / Flat,Hodges Real Estate Sandringham,3917,Katie Love,,https://www.domain.com.au/9-3-fewster-rd-hampton-vic-3188-17738971
17739223,HAMPTON,3188,875,3802,"Friday, 05 September 2025",2025-08-29,10,2,2,1,Apartment / Unit / Flat,G06/23 Crisp Street,-37.940857,145.00519,2025-09-09 16:52:17,17739223,,6,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Bayside,18945,"Amelia Falvo, Ashleigh Coutts","Dishwasher, Ducted Heating, Built in wardrobes, Garden / Courtyard",https://www.domain.com.au/g06-23-crisp-street-hampton-vic-3188-17739223
17740807,HAMPTON,3188,1400,6083,"Saturday, 11 October 2025",2025-09-01,8,4,2,2,House,5/21 Linacre Road,-37.941555,145.00366,2025-09-09 16:52:17,17740807,,15,0,0,False,House,House,HODGES MENTONE,3918,Vicky Miller,"Internal Laundry, Secure Parking, Fireplace(s), Heating, Balcony / Deck",https://www.domain.com.au/5-21-linacre-road-hampton-vic-3188-17740807
17741192,HAMPTON,3188,670,2911,"Tuesday, 07 October 2025",2025-09-01,8,2,1,2,Apartment / Unit / Flat,8/52 Fewster Rd,-37.939434,145.01897,2025-09-09 16:52:17,17741192,,7,0,0,False,Apartment,Apartment / Unit / Flat,Ember Estate Agents,36219,"Cynthia Imbriano, Marcus Auch-Schwelk","Internal Laundry, Secure Parking, Balcony / Deck",https://www.domain.com.au/8-52-fewster-rd-hampton-vic-3188-17741192
17742401,HAMPTON,3188,800,3476,"Friday, 19 September 2025",2025-09-02,7,2,2,1,Apartment / Unit / Flat,506/12 Railway Walk,-37.937943,145.00171,2025-09-09 16:52:17,17742401,,7,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Brighton,3934,Sara Huckett,"Dishwasher, Ducted Heating, Intercom, Built in wardrobes",https://www.domain.com.au/506-12-railway-walk-hampton-vic-3188-17742401
17744484,HAMPTON,3188,1000,5000,"Saturday, 13 September 2025",2025-09-03,6,3,2,2,House,2A Orlando Street,-37.941467,145.00117,2025-09-09 16:52:17,17744484,,12,0,0,False,House,House,Hodges Real Estate Sandringham,3917,Molly Rogerson,,https://www.domain.com.au/2a-orlando-street-hampton-vic-3188-17744484
