listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15701550,HAMPTON EAST,3188,600,2607,"Friday, 12 September 2025",2025-08-14,26,2,1,2.0,House,28 Keith Street,-37.93749,145.03093,2025-09-09 16:55:38,15701550,LT-7809-JX,6,1,1,False,House,House,LYNCHS REAL ESTATE,17955,"Madelyn Ades, Maddi Cox","Air conditioning, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/28-keith-street-hampton-east-vic-3188-15701550
17636404,HAMPTON EAST,3188,990,6000,"Wednesday, 03 September 2025",2025-06-24,77,3,2,2.0,Townhouse,3/4A Sunlit Court,-37.94343,145.03409,2025-09-09 16:55:38,17636404,,9,0,1,False,Townhouse/Villa,Townhouse,Buxton Real Estate Brighton,3934,Michelle Murray,Ensuite,https://www.domain.com.au/3-4a-sunlit-court-hampton-east-vic-3188-17636404
17686062,HAMPTON EAST,3188,1195,5193,"Thursday, 21 August 2025",2025-07-25,46,4,2,2.0,Townhouse,2/22 Apex Avenue,-37.93821,145.02664,2025-09-09 16:55:38,17686062,,7,0,0,False,Townhouse/Villa,Townhouse,Buxton Hampton East,3938,Luisa Abbate,"Gas, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Fully fenced, Outdoor Entertainment Area, Remote Garage, Ensuite",https://www.domain.com.au/2-22-apex-avenue-hampton-east-vic-3188-17686062
17700407,HAMPTON EAST,3188,750,3259,"Sunday, 31 August 2025",2025-08-05,35,3,1,4.0,House,45 Keith Street,-37.93682,145.03041,2025-09-09 16:55:38,17700407,,6,0,0,False,House,House,Buxton Hampton East,3938,Luisa Abbate,"Internal Laundry, Secure Parking, Broadband internet access, Shed, Air conditioning, Alarm System, Split System Air Con, Split System Heating, Built in wardrobes, Study, Dishwasher, Fully fenced, Gas, Pets Allowed, Rumpus Room",https://www.domain.com.au/45-keith-street-hampton-east-vic-3188-17700407
17711282,HAMPTON EAST,3188,1170,5084,"Sunday, 07 September 2025",2025-08-12,28,4,3,3.0,Townhouse,25A Keith Street,-37.938847,145.03021,2025-09-09 16:55:38,17711282,,7,0,0,False,Townhouse/Villa,Townhouse,Zed Real Estate,30678,Dean Ghausi,"Intercom, Bath, Heating",https://www.domain.com.au/25a-keith-street-hampton-east-vic-3188-17711282
17725222,HAMPTON EAST,3188,380,1651,"Wednesday, 10 September 2025",2025-08-21,19,1,1,,Apartment / Unit / Flat,21b Widdop Crescent,-37.94111,145.0269,2025-09-09 16:55:38,17725222,,6,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Hampton East,3938,Luisa Abbate,"Bath, Split System Heating, Reverse Cycle Air Con, Built in wardrobes",https://www.domain.com.au/21b-widdop-crescent-hampton-east-vic-3188-17725222
17725551,HAMPTON EAST,3188,520,2260,"Friday, 29 August 2025",2025-08-21,19,2,1,1.0,Apartment / Unit / Flat,19/21 Roydon Street,-37.93511,145.02705,2025-09-09 16:55:38,17725551,,6,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Hampton East,3938,Luisa Abbate,"Internal Laundry, Bath, Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/19-21-roydon-street-hampton-east-vic-3188-17725551
17725952,HAMPTON EAST,3188,1050,5500,"Thursday, 21 August 2025",2025-08-21,19,4,3,2.0,House,11A Leith Crescent,-37.94226,145.02908,2025-09-09 16:55:38,17725952,,14,0,1,False,House,House,  Buxton Port Phillip,15964,"Thembie Sikwila, Jay Jacob-Green","Ducted Cooling, Ducted Heating, Floorboards",https://www.domain.com.au/11a-leith-crescent-hampton-east-vic-3188-17725952
17732425,HAMPTON EAST,3188,640,2781,"Friday, 05 September 2025",2025-08-26,14,2,2,1.0,Apartment / Unit / Flat,2/51 Lonsdale Avenue,-37.933662,145.028,2025-09-09 16:55:38,17732425,,10,0,0,False,Apartment,Apartment / Unit / Flat,Metropole Properties Melbourne,18456,Rebecah McDowell,"Gas, Internal Laundry, Secure Parking, Heating, Alarm System, Built in wardrobes, Dishwasher, Bathtub, Courtyard",https://www.domain.com.au/2-51-lonsdale-avenue-hampton-east-vic-3188-17732425
17741164,HAMPTON EAST,3188,1150,6900,"Saturday, 06 September 2025",2025-09-01,8,4,2,2.0,House,4A Besant Street,-37.94289,145.02959,2025-09-09 16:55:38,17741164,,12,0,1,True,House,House,Buxton Hampton East,3938,Nej Basak,"Internal Laundry, Study, Balcony / Deck, Air conditioning, Alarm System, Built in wardrobes, Dishwasher, Ducted Heating, Fully fenced, Outdoor Entertainment Area, Remote Garage",https://www.domain.com.au/4a-besant-street-hampton-east-vic-3188-17741164
17743269,HAMPTON EAST,3188,1090,6540,"Thursday, 11 September 2025",2025-09-02,7,3,2,1.0,Townhouse,1/21B Highbury Avenue,-37.935116,145.03288,2025-09-09 16:55:38,17743269,,6,0,1,False,Townhouse/Villa,Townhouse,Buxton Real Estate Brighton,3934,Michelle Murray,Ensuite,https://www.domain.com.au/1-21b-highbury-avenue-hampton-east-vic-3188-17743269
17746689,HAMPTON EAST,3188,490,2129,"Thursday, 02 October 2025",2025-09-04,5,2,1,1.0,Apartment / Unit / Flat,9/21 Roydon Street,-37.93511,145.02705,2025-09-09 16:55:38,17746689,,6,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Hampton East,3938,Luisa Abbate,"Internal Laundry, Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/9-21-roydon-street-hampton-east-vic-3188-17746689
17746794,HAMPTON EAST,3188,880,3824,"Saturday, 13 September 2025",2025-09-04,5,3,2,2.0,House,12 Daff Avenue,-37.94307,145.03586,2025-09-09 16:55:38,17746794,,14,0,1,False,House,House,Buxton Hampton East,3938,Nej Basak,"Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Fireplace(s), Solar panels, Split System Air Con, Ducted Heating, Secure Parking",https://www.domain.com.au/12-daff-avenue-hampton-east-vic-3188-17746794
17753992,HAMPTON EAST,3188,750,3259,"Friday, 10 October 2025",2025-09-09,0,3,2,2.0,Apartment / Unit / Flat,1/5 Kinross Street,-37.933918,145.02559,2025-09-09 16:55:38,17753992,,7,0,0,False,Apartment,Apartment / Unit / Flat,Hodges Real Estate Sandringham,3917,Stephanie Pascoe,"Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/1-5-kinross-street-hampton-east-vic-3188-17753992
17754301,HAMPTON EAST,3188,1470,8820,"Wednesday, 08 October 2025",2025-09-09,0,4,3,2.0,Townhouse,3A Ridge Avenue,-37.93913,145.02567,2025-09-09 16:55:38,17754301,,9,0,2,False,Townhouse/Villa,Townhouse,Buxton Real Estate Brighton,3934,Tara Stewart,Ensuite,https://www.domain.com.au/3a-ridge-avenue-hampton-east-vic-3188-17754301
