listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15555820,HAMPTON PARK,3976,480,2080,"Monday, 15 September 2025",2025-08-25,15,3,1,3.0,House,25 Beckington Crescent,-38.025467,145.2581,2025-09-09 16:59:07,15555820,EH-4828-FG,12,0,0,False,House,House,Pioneer Real Estate ,19062,Dilan Niroshan,"Built in wardrobes, Heating",https://www.domain.com.au/25-beckington-crescent-hampton-park-vic-3976-15555820
17031550,HAMPTON PARK,3976,635,2759,"Saturday, 18 October 2025",2025-09-03,6,4,2,2.0,Townhouse,8 Indra Street,-38.02846,145.27628,2025-09-09 16:59:07,17031550,LV-7648-JQ,9,0,0,False,Townhouse/Villa,Townhouse,Shine Real Estate Pty Ltd,27453,Rental Department,"Heating, Study, Pets Allowed",https://www.domain.com.au/8-indra-street-hampton-park-vic-3976-17031550
17358162,HAMPTON PARK,3976,550,2390,"Tuesday, 02 September 2025",2025-05-14,118,3,2,2.0,House,5 Leonne Court,-38.03143,145.26726,2025-09-09 16:59:07,17358162,AR-5732-NZ,7,0,0,False,House,House,Royal Melbourne Estates,32709,,,https://www.domain.com.au/5-leonne-court-hampton-park-vic-3976-17358162
17687385,HAMPTON PARK,3976,540,2347,"Saturday, 02 August 2025",2025-07-28,43,3,1,2.0,House,53 Springfield Crescent,-38.040836,145.27257,2025-09-09 16:59:07,17687385,,18,0,1,True,House,House,Care Property Management,29924,Rebecca Storey,"Courtyard, Fully fenced, Secure Parking, Shed, Built in wardrobes, Dishwasher, Ducted Heating, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/53-springfield-crescent-hampton-park-vic-3976-17687385
17736750,HAMPTON PARK,3976,550,2390,"Monday, 22 September 2025",2025-08-28,12,3,2,2.0,House,13 Jason Place,-38.039227,145.25285,2025-09-09 16:59:07,17736750,,10,0,0,False,House,House,Care Property Management,29924,Rebecca Storey,"Gas, Fully fenced, Secure Parking, Built in wardrobes, Ducted Heating, Ensuite",https://www.domain.com.au/13-jason-place-hampton-park-vic-3976-17736750
17737748,HAMPTON PARK,3976,630,2738,"Monday, 08 September 2025",2025-08-29,11,4,2,2.0,House,22 Sarah Place,-38.034073,145.27373,2025-09-09 16:59:07,17737748,,9,0,1,False,House,House,MEPROP,37828,"Maurice Cruz, Leo Liu","Courtyard, Deck, Remote Garage, Built in wardrobes, Dishwasher, Floorboards, Air conditioning, Ducted Heating",https://www.domain.com.au/22-sarah-place-hampton-park-vic-3976-17737748
17739386,HAMPTON PARK,3976,550,2390,"Monday, 11 August 2025",2025-08-30,10,3,1,1.0,House,26 Deanswood Road,-38.029785,145.26454,2025-09-09 16:59:07,17739386,,13,0,0,False,House,House,Del Real Estate,18196,Theo Maric,"Heating, Laundry",https://www.domain.com.au/26-deanswood-road-hampton-park-vic-3976-17739386
17739763,HAMPTON PARK,3976,520,2260,"Friday, 12 September 2025",2025-09-01,8,3,1,1.0,House,2 Caroline Place,-38.023636,145.26794,2025-09-09 16:59:07,17739763,,5,0,0,False,House,House,YOUR EXPERT REAL ESTATE - CASEY,35072,Winnie Zhou,"Air conditioning, Study",https://www.domain.com.au/2-caroline-place-hampton-park-vic-3976-17739763
17740581,HAMPTON PARK,3976,550,2390,"Thursday, 02 October 2025",2025-09-01,8,3,1,2.0,House,3 Thelma Rise,-38.04109,145.28154,2025-09-09 16:59:07,17740581,,13,0,1,False,House,House,LJ Hooker Dandenong,33610,Leasing Team,"Air conditioning, Gas, Secure Parking, Dishwasher",https://www.domain.com.au/3-thelma-rise-hampton-park-vic-3976-17740581
17741742,HAMPTON PARK,3976,550,2390,"Saturday, 13 September 2025",2025-09-01,8,3,2,4.0,House,59 Fordholm Road,-38.034748,145.26195,2025-09-09 16:59:07,17741742,,11,0,1,False,House,House,LJ Hooker Casey,19249,Monika Papdan,"Gas, Shed, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Split system",https://www.domain.com.au/59-fordholm-road-hampton-park-vic-3976-17741742
